<TOPS - 조위예측극치자료>

대상조위관측소 : 거문도
위도(WGS84) : N  34도 01분 42초
경도(WGS84) : E 127도 18분 32초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 00 54 MIN    82
2021 12 01 07 12 MAX   264
2021 12 01 13 19 MIN    97
2021 12 01 19 12 MAX   271
2021 12 02 01 34 MIN    55
2021 12 02 08 00 MAX   295
2021 12 02 14 12 MIN    85
2021 12 02 19 55 MAX   280
2021 12 03 02 15 MIN    31
2021 12 03 08 46 MAX   323
2021 12 03 15 03 MIN    76
2021 12 03 20 39 MAX   287
2021 12 04 02 58 MIN    13
2021 12 04 09 34 MAX   343
2021 12 04 15 52 MIN    73
2021 12 04 21 24 MAX   288
2021 12 05 03 42 MIN     3
2021 12 05 10 22 MAX   354
2021 12 05 16 42 MIN    76
2021 12 05 22 09 MAX   284
2021 12 06 04 28 MIN     2
2021 12 06 11 10 MAX   353
2021 12 06 17 32 MIN    84
2021 12 06 22 55 MAX   274
2021 12 07 05 15 MIN    13
2021 12 07 11 59 MAX   341
2021 12 07 18 24 MIN    96
2021 12 07 23 43 MAX   259
2021 12 08 06 03 MIN    32
2021 12 08 12 50 MAX   321
2021 12 08 19 19 MIN   109
2021 12 09 00 34 MAX   241
2021 12 09 06 55 MIN    57
2021 12 09 13 45 MAX   297
2021 12 09 20 20 MIN   119
2021 12 10 01 34 MAX   223
2021 12 10 07 53 MIN    84
2021 12 10 14 45 MAX   272
2021 12 10 21 28 MIN   124
2021 12 11 02 49 MAX   209
2021 12 11 09 02 MIN   108
2021 12 11 15 52 MAX   252
2021 12 11 22 39 MIN   120
2021 12 12 04 22 MAX   206
2021 12 12 10 24 MIN   124
2021 12 12 16 59 MAX   239
2021 12 12 23 40 MIN   111
2021 12 13 05 47 MAX   215
2021 12 13 11 47 MIN   131
2021 12 13 17 56 MAX   231
2021 12 14 00 29 MIN    99
2021 12 14 06 48 MAX   229
2021 12 14 12 55 MIN   129
2021 12 14 18 42 MAX   229
2021 12 15 01 08 MIN    87
2021 12 15 07 35 MAX   246
2021 12 15 13 46 MIN   125
2021 12 15 19 21 MAX   229
2021 12 16 01 42 MIN    75
2021 12 16 08 13 MAX   262
2021 12 16 14 28 MIN   119
2021 12 16 19 57 MAX   233
2021 12 17 02 14 MIN    64
2021 12 17 08 48 MAX   277
2021 12 17 15 04 MIN   113
2021 12 17 20 31 MAX   237
2021 12 18 02 46 MIN    54
2021 12 18 09 21 MAX   290
2021 12 18 15 38 MIN   108
2021 12 18 21 05 MAX   242
2021 12 19 03 19 MIN    47
2021 12 19 09 55 MAX   299
2021 12 19 16 11 MIN   105
2021 12 19 21 38 MAX   246
2021 12 20 03 52 MIN    43
2021 12 20 10 28 MAX   305
2021 12 20 16 45 MIN   104
2021 12 20 22 12 MAX   247
2021 12 21 04 26 MIN    43
2021 12 21 11 03 MAX   307
2021 12 21 17 19 MIN   105
2021 12 21 22 45 MAX   244
2021 12 22 05 01 MIN    46
2021 12 22 11 38 MAX   303
2021 12 22 17 54 MIN   109
2021 12 22 23 20 MAX   239
2021 12 23 05 36 MIN    54
2021 12 23 12 14 MAX   295
2021 12 23 18 32 MIN   114
2021 12 23 23 56 MAX   231
2021 12 24 06 15 MIN    65
2021 12 24 12 53 MAX   284
2021 12 24 19 15 MIN   119
2021 12 25 00 39 MAX   221
2021 12 25 06 58 MIN    79
2021 12 25 13 35 MAX   271
2021 12 25 20 03 MIN   121
2021 12 26 01 33 MAX   213
2021 12 26 07 50 MIN    95
2021 12 26 14 24 MAX   257
2021 12 26 21 00 MIN   119
2021 12 27 02 44 MAX   209
2021 12 27 08 56 MIN   110
2021 12 27 15 21 MAX   246
2021 12 27 22 03 MIN   111
2021 12 28 04 12 MAX   214
2021 12 28 10 17 MIN   120
2021 12 28 16 26 MAX   239
2021 12 28 23 07 MIN    96
2021 12 29 05 37 MAX   231
2021 12 29 11 42 MIN   122
2021 12 29 17 32 MAX   238
2021 12 30 00 06 MIN    77
2021 12 30 06 48 MAX   257
2021 12 30 12 59 MIN   116
2021 12 30 18 34 MAX   242
2021 12 31 01 02 MIN    55
2021 12 31 07 48 MAX   286
2021 12 31 14 03 MIN   104
2021 12 31 19 32 MAX   251
2022 01 01 01 55 MIN    33
2022 01 01 08 42 MAX   313
