<TOPS - 조위예측극치자료>

대상조위관측소 : 대청도
위도(WGS84) : N  37도 49분 31초
경도(WGS84) : E 124도 43분 05초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 02 59 MAX   297
2021 12 01 09 36 MIN    75
2021 12 01 15 44 MAX   306
2021 12 01 22 06 MIN    95
2021 12 02 03 48 MAX   302
2021 12 02 10 18 MIN    49
2021 12 02 16 33 MAX   346
2021 12 02 23 03 MIN    80
2021 12 03 04 33 MAX   306
2021 12 03 10 58 MIN    26
2021 12 03 17 20 MAX   380
2021 12 03 23 55 MIN    70
2021 12 04 05 17 MAX   305
2021 12 04 11 39 MIN     8
2021 12 04 18 06 MAX   405
2021 12 05 00 45 MIN    67
2021 12 05 06 01 MAX   301
2021 12 05 12 22 MIN    -3
2021 12 05 18 54 MAX   418
2021 12 06 01 35 MIN    70
2021 12 06 06 46 MAX   293
2021 12 06 13 05 MIN    -5
2021 12 06 19 43 MAX   418
2021 12 07 02 25 MIN    77
2021 12 07 07 33 MAX   282
2021 12 07 13 51 MIN     1
2021 12 07 20 33 MAX   406
2021 12 08 03 16 MIN    87
2021 12 08 08 21 MAX   270
2021 12 08 14 38 MIN    17
2021 12 08 21 23 MAX   385
2021 12 09 04 07 MIN    96
2021 12 09 09 14 MAX   257
2021 12 09 15 28 MIN    41
2021 12 09 22 15 MAX   358
2021 12 10 05 02 MIN   104
2021 12 10 10 13 MAX   244
2021 12 10 16 23 MIN    70
2021 12 10 23 10 MAX   329
2021 12 11 06 01 MIN   108
2021 12 11 11 23 MAX   235
2021 12 11 17 28 MIN    99
2021 12 12 00 08 MAX   301
2021 12 12 07 02 MIN   106
2021 12 12 12 44 MAX   235
2021 12 12 18 49 MIN   123
2021 12 13 01 11 MAX   279
2021 12 13 08 03 MIN    99
2021 12 13 14 08 MAX   247
2021 12 13 20 19 MIN   133
2021 12 14 02 14 MAX   266
2021 12 14 08 57 MIN    88
2021 12 14 15 18 MAX   269
2021 12 14 21 36 MIN   130
2021 12 15 03 11 MAX   259
2021 12 15 09 43 MIN    76
2021 12 15 16 11 MAX   293
2021 12 15 22 36 MIN   122
2021 12 16 04 00 MAX   257
2021 12 16 10 21 MIN    65
2021 12 16 16 54 MAX   316
2021 12 16 23 23 MIN   112
2021 12 17 04 41 MAX   257
2021 12 17 10 55 MIN    55
2021 12 17 17 31 MAX   335
2021 12 18 00 03 MIN   105
2021 12 18 05 19 MAX   258
2021 12 18 11 27 MIN    46
2021 12 18 18 05 MAX   349
2021 12 19 00 38 MIN   100
2021 12 19 05 53 MAX   259
2021 12 19 11 59 MIN    39
2021 12 19 18 38 MAX   357
2021 12 20 01 12 MIN    98
2021 12 20 06 26 MAX   259
2021 12 20 12 31 MIN    34
2021 12 20 19 11 MAX   361
2021 12 21 01 46 MIN    97
2021 12 21 06 58 MAX   257
2021 12 21 13 04 MIN    32
2021 12 21 19 44 MAX   360
2021 12 22 02 20 MIN    99
2021 12 22 07 31 MAX   255
2021 12 22 13 38 MIN    33
2021 12 22 20 18 MAX   355
2021 12 23 02 54 MIN   101
2021 12 23 08 05 MAX   251
2021 12 23 14 13 MIN    39
2021 12 23 20 53 MAX   346
2021 12 24 03 31 MIN   103
2021 12 24 08 43 MAX   246
2021 12 24 14 50 MIN    48
2021 12 24 21 30 MAX   335
2021 12 25 04 11 MIN   105
2021 12 25 09 26 MAX   241
2021 12 25 15 32 MIN    63
2021 12 25 22 11 MAX   321
2021 12 26 04 55 MIN   106
2021 12 26 10 19 MAX   237
2021 12 26 16 22 MIN    82
2021 12 26 22 57 MAX   305
2021 12 27 05 46 MIN   104
2021 12 27 11 24 MAX   238
2021 12 27 17 26 MIN   102
2021 12 27 23 52 MAX   289
2021 12 28 06 42 MIN    97
2021 12 28 12 41 MAX   249
2021 12 28 18 48 MIN   117
2021 12 29 00 55 MAX   275
2021 12 29 07 41 MIN    84
2021 12 29 14 00 MAX   273
2021 12 29 20 19 MIN   121
2021 12 30 02 00 MAX   266
2021 12 30 08 39 MIN    66
2021 12 30 15 10 MAX   306
2021 12 30 21 41 MIN   113
2021 12 31 03 04 MAX   263
2021 12 31 09 33 MIN    45
2021 12 31 16 11 MAX   341
2021 12 31 22 49 MIN   100
2022 01 01 04 02 MAX   264
2022 01 01 10 25 MIN    23
2022 01 01 17 06 MAX   371
2022 01 01 23 48 MIN    88
2022 01 02 04 55 MAX   268
2022 01 02 11 17 MIN     5
2022 01 02 17 58 MAX   393
2022 01 03 00 41 MIN    77
2022 01 03 05 46 MAX   272
2022 01 03 12 08 MIN    -8
2022 01 03 18 48 MAX   404
2022 01 04 01 31 MIN    70
2022 01 04 06 37 MAX   275
2022 01 04 12 58 MIN   -14
2022 01 04 19 36 MAX   404
2022 01 05 02 17 MIN    67
2022 01 05 07 26 MAX   277
2022 01 05 13 47 MIN   -10
2022 01 05 20 22 MAX   393
2022 01 06 03 01 MIN    66
2022 01 06 08 14 MAX   276
2022 01 06 14 33 MIN     3
2022 01 06 21 06 MAX   374
2022 01 07 03 44 MIN    68
2022 01 07 09 03 MAX   272
2022 01 07 15 19 MIN    26
2022 01 07 21 47 MAX   349
2022 01 08 04 25 MIN    72
2022 01 08 09 53 MAX   264
2022 01 08 16 04 MIN    55
2022 01 08 22 28 MAX   320
2022 01 09 05 07 MIN    78
2022 01 09 10 47 MAX   255
2022 01 09 16 52 MIN    88
2022 01 09 23 09 MAX   290
2022 01 10 05 52 MIN    84
2022 01 10 11 49 MAX   247
2022 01 10 17 50 MIN   121
2022 01 10 23 55 MAX   261
2022 01 11 06 42 MIN    90
2022 01 11 13 05 MAX   246
2022 01 11 19 10 MIN   145
2022 01 12 00 54 MAX   238
2022 01 12 07 40 MIN    91
2022 01 12 14 28 MAX   256
2022 01 12 20 52 MIN   153
2022 01 13 02 04 MAX   223
2022 01 13 08 39 MIN    87
2022 01 13 15 39 MAX   275
2022 01 13 22 16 MIN   145
2022 01 14 03 15 MAX   220
2022 01 14 09 34 MIN    78
2022 01 14 16 33 MAX   297
2022 01 14 23 12 MIN   131
2022 01 15 04 12 MAX   224
2022 01 15 10 21 MIN    66
2022 01 15 17 16 MAX   316
2022 01 15 23 54 MIN   117
2022 01 16 04 58 MAX   232
2022 01 16 11 03 MIN    53
2022 01 16 17 52 MAX   332
2022 01 17 00 29 MIN   105
2022 01 17 05 37 MAX   241
2022 01 17 11 42 MIN    40
2022 01 17 18 27 MAX   343
2022 01 18 01 02 MIN    95
2022 01 18 06 13 MAX   249
2022 01 18 12 19 MIN    29
2022 01 18 18 59 MAX   350
2022 01 19 01 33 MIN    87
2022 01 19 06 47 MAX   256
2022 01 19 12 56 MIN    21
2022 01 19 19 31 MAX   354
2022 01 20 02 05 MIN    80
2022 01 20 07 20 MAX   261
2022 01 20 13 32 MIN    18
2022 01 20 20 02 MAX   354
2022 01 21 02 36 MIN    75
2022 01 21 07 55 MAX   265
2022 01 21 14 08 MIN    20
2022 01 21 20 34 MAX   350
2022 01 22 03 09 MIN    71
2022 01 22 08 32 MAX   268
2022 01 22 14 45 MIN    28
2022 01 22 21 07 MAX   342
2022 01 23 03 42 MIN    70
2022 01 23 09 12 MAX   270
2022 01 23 15 24 MIN    43
2022 01 23 21 41 MAX   328
