<TOPS - 조위예측극치자료>

대상조위관측소 : 도농탄
위도(WGS84) : N  33도 09분 29초
경도(WGS84) : E 126도 16분 29초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 01 25 MIN    49
2021 12 01 07 57 MAX   225
2021 12 01 13 52 MIN    68
2021 12 01 19 52 MAX   226
2021 12 02 02 06 MIN    20
2021 12 02 08 46 MAX   250
2021 12 02 14 44 MIN    54
2021 12 02 20 36 MAX   231
2021 12 03 02 48 MIN    -7
2021 12 03 09 33 MAX   273
2021 12 03 15 34 MIN    46
2021 12 03 21 20 MAX   233
2021 12 04 03 31 MIN   -27
2021 12 04 10 21 MAX   290
2021 12 04 16 23 MIN    44
2021 12 04 22 04 MAX   232
2021 12 05 04 14 MIN   -38
2021 12 05 11 10 MAX   298
2021 12 05 17 12 MIN    50
2021 12 05 22 48 MAX   227
2021 12 06 04 59 MIN   -38
2021 12 06 12 00 MAX   298
2021 12 06 18 02 MIN    61
2021 12 06 23 33 MAX   219
2021 12 07 05 45 MIN   -25
2021 12 07 12 51 MAX   288
2021 12 07 18 55 MIN    77
2021 12 08 00 20 MAX   208
2021 12 08 06 33 MIN    -2
2021 12 08 13 45 MAX   272
2021 12 08 19 52 MIN    92
2021 12 09 01 11 MAX   196
2021 12 09 07 26 MIN    27
2021 12 09 14 40 MAX   252
2021 12 09 20 54 MIN   103
2021 12 10 02 12 MAX   184
2021 12 10 08 25 MIN    58
2021 12 10 15 39 MAX   233
2021 12 10 22 04 MIN   107
2021 12 11 03 32 MAX   176
2021 12 11 09 34 MIN    85
2021 12 11 16 42 MAX   217
2021 12 11 23 14 MIN   102
2021 12 12 05 12 MAX   177
2021 12 12 10 55 MIN   104
2021 12 12 17 44 MAX   206
2021 12 13 00 15 MIN    92
2021 12 13 06 40 MAX   187
2021 12 13 12 17 MIN   111
2021 12 13 18 37 MAX   199
2021 12 14 01 02 MIN    78
2021 12 14 07 41 MAX   201
2021 12 14 13 24 MIN   110
2021 12 14 19 22 MAX   196
2021 12 15 01 42 MIN    64
2021 12 15 08 26 MAX   214
2021 12 15 14 16 MIN   104
2021 12 15 20 00 MAX   195
2021 12 16 02 17 MIN    50
2021 12 16 09 05 MAX   225
2021 12 16 15 00 MIN    97
2021 12 16 20 35 MAX   195
2021 12 17 02 49 MIN    37
2021 12 17 09 40 MAX   236
2021 12 17 15 39 MIN    89
2021 12 17 21 09 MAX   196
2021 12 18 03 21 MIN    26
2021 12 18 10 13 MAX   245
2021 12 18 16 15 MIN    83
2021 12 18 21 43 MAX   198
2021 12 19 03 52 MIN    16
2021 12 19 10 47 MAX   252
2021 12 19 16 49 MIN    81
2021 12 19 22 15 MAX   200
2021 12 20 04 24 MIN    11
2021 12 20 11 21 MAX   257
2021 12 20 17 23 MIN    81
2021 12 20 22 48 MAX   201
2021 12 21 04 57 MIN     9
2021 12 21 11 55 MAX   258
2021 12 21 17 57 MIN    84
2021 12 21 23 22 MAX   201
2021 12 22 05 33 MIN    13
2021 12 22 12 31 MAX   255
2021 12 22 18 32 MIN    89
2021 12 22 23 58 MAX   199
2021 12 23 06 10 MIN    22
2021 12 23 13 07 MAX   249
2021 12 23 19 11 MIN    94
2021 12 24 00 38 MAX   195
2021 12 24 06 51 MIN    35
2021 12 24 13 46 MAX   241
2021 12 24 19 54 MIN    97
2021 12 25 01 25 MAX   188
2021 12 25 07 38 MIN    52
2021 12 25 14 27 MAX   231
2021 12 25 20 44 MIN    96
2021 12 26 02 22 MAX   182
2021 12 26 08 33 MIN    69
2021 12 26 15 13 MAX   221
2021 12 26 21 41 MIN    91
2021 12 27 03 33 MAX   179
2021 12 27 09 39 MIN    83
2021 12 27 16 06 MAX   212
2021 12 27 22 42 MIN    79
2021 12 28 04 59 MAX   184
2021 12 28 10 56 MIN    92
2021 12 28 17 07 MAX   205
2021 12 28 23 44 MIN    61
2021 12 29 06 23 MAX   199
2021 12 29 12 17 MIN    92
2021 12 29 18 11 MAX   202
2021 12 30 00 41 MIN    39
2021 12 30 07 33 MAX   220
2021 12 30 13 30 MIN    84
2021 12 30 19 13 MAX   202
2021 12 31 01 35 MIN    14
2021 12 31 08 31 MAX   244
2021 12 31 14 34 MIN    72
2021 12 31 20 09 MAX   206
2022 01 01 02 26 MIN   -10
2022 01 01 09 25 MAX   266
2022 01 01 15 29 MIN    60
2022 01 01 21 01 MAX   211
2022 01 02 03 16 MIN   -29
2022 01 02 10 16 MAX   283
2022 01 02 16 19 MIN    52
2022 01 02 21 50 MAX   217
2022 01 03 04 04 MIN   -41
2022 01 03 11 06 MAX   293
2022 01 03 17 07 MIN    49
2022 01 03 22 38 MAX   221
2022 01 04 04 51 MIN   -43
2022 01 04 11 53 MAX   294
2022 01 04 17 53 MIN    52
2022 01 04 23 26 MAX   221
2022 01 05 05 37 MIN   -34
2022 01 05 12 38 MAX   287
2022 01 05 18 38 MIN    58
2022 01 06 00 13 MAX   218
2022 01 06 06 23 MIN   -14
2022 01 06 13 21 MAX   272
2022 01 06 19 23 MIN    67
2022 01 07 01 01 MAX   210
2022 01 07 07 09 MIN    14
2022 01 07 14 01 MAX   252
2022 01 07 20 09 MIN    76
2022 01 08 01 51 MAX   200
2022 01 08 07 56 MIN    46
2022 01 08 14 40 MAX   231
2022 01 08 20 57 MIN    83
2022 01 09 02 49 MAX   188
2022 01 09 08 45 MIN    78
2022 01 09 15 18 MAX   210
2022 01 09 21 51 MIN    87
2022 01 10 04 01 MAX   179
2022 01 10 09 44 MIN   106
2022 01 10 15 59 MAX   193
2022 01 10 22 52 MIN    86
2022 01 11 05 38 MAX   178
2022 01 11 11 06 MIN   125
2022 01 11 16 55 MAX   179
2022 01 11 23 57 MIN    81
2022 01 12 07 06 MAX   186
2022 01 12 12 48 MIN   130
2022 01 12 18 07 MAX   171
2022 01 13 00 55 MIN    71
2022 01 13 08 07 MAX   199
2022 01 13 14 04 MIN   123
2022 01 13 19 13 MAX   170
2022 01 14 01 44 MIN    59
2022 01 14 08 53 MAX   212
2022 01 14 14 56 MIN   111
2022 01 14 20 06 MAX   174
2022 01 15 02 26 MIN    45
2022 01 15 09 31 MAX   225
2022 01 15 15 35 MIN    98
2022 01 15 20 49 MAX   180
2022 01 16 03 03 MIN    31
2022 01 16 10 05 MAX   237
2022 01 16 16 09 MIN    87
2022 01 16 21 28 MAX   188
2022 01 17 03 39 MIN    17
2022 01 17 10 38 MAX   247
2022 01 17 16 39 MIN    78
2022 01 17 22 04 MAX   197
2022 01 18 04 14 MIN     5
2022 01 18 11 10 MAX   255
2022 01 18 17 09 MIN    72
2022 01 18 22 39 MAX   205
2022 01 19 04 48 MIN    -3
2022 01 19 11 41 MAX   260
2022 01 19 17 38 MIN    67
2022 01 19 23 14 MAX   211
2022 01 20 05 23 MIN    -4
2022 01 20 12 12 MAX   261
2022 01 20 18 09 MIN    64
2022 01 20 23 51 MAX   214
2022 01 21 06 00 MIN     1
2022 01 21 12 44 MAX   258
2022 01 21 18 43 MIN    63
2022 01 22 00 29 MAX   213
2022 01 22 06 38 MIN    13
2022 01 22 13 16 MAX   251
2022 01 22 19 20 MIN    62
2022 01 23 01 12 MAX   210
2022 01 23 07 19 MIN    31
2022 01 23 13 50 MAX   240
2022 01 23 20 01 MIN    61
2022 01 24 02 00 MAX   203
2022 01 24 08 06 MIN    53
2022 01 24 14 28 MAX   226
2022 01 24 20 49 MIN    61
2022 01 25 02 59 MAX   197
2022 01 25 09 02 MIN    76
2022 01 25 15 12 MAX   210
2022 01 25 21 45 MIN    58
2022 01 26 04 16 MAX   193
2022 01 26 10 16 MIN    96
2022 01 26 16 09 MAX   194
2022 01 26 22 51 MIN    52
2022 01 27 05 51 MAX   199
2022 01 27 11 51 MIN   106
2022 01 27 17 24 MAX   183
2022 01 28 00 05 MIN    40
2022 01 28 07 19 MAX   216
2022 01 28 13 24 MIN   101
2022 01 28 18 45 MAX   181
2022 01 29 01 14 MIN    22
2022 01 29 08 27 MAX   237
2022 01 29 14 34 MIN    86
2022 01 29 19 55 MAX   188
2022 01 30 02 15 MIN     1
2022 01 30 09 24 MAX   258
2022 01 30 15 28 MIN    69
2022 01 30 20 54 MAX   200
2022 01 31 03 09 MIN   -20
2022 01 31 10 13 MAX   275
2022 01 31 16 14 MIN    54
2022 01 31 21 46 MAX   215
2022 02 01 03 58 MIN   -34
2022 02 01 10 58 MAX   285
2022 02 01 16 55 MIN    43
2022 02 01 22 33 MAX   227
2022 02 02 04 43 MIN   -40
2022 02 02 11 38 MAX   287
2022 02 02 17 34 MIN    38
2022 02 02 23 18 MAX   234
2022 02 03 05 27 MIN   -34
2022 02 03 12 15 MAX   281
2022 02 03 18 11 MIN    37
2022 02 04 00 01 MAX   235
2022 02 04 06 07 MIN   -16
2022 02 04 12 49 MAX   267
2022 02 04 18 47 MIN    42
2022 02 05 00 43 MAX   229
2022 02 05 06 46 MIN    11
2022 02 05 13 19 MAX   249
2022 02 05 19 23 MIN    49
2022 02 06 01 25 MAX   218
2022 02 06 07 24 MIN    43
2022 02 06 13 46 MAX   229
2022 02 06 19 59 MIN    58
2022 02 07 02 09 MAX   204
2022 02 07 08 02 MIN    76
2022 02 07 14 11 MAX   209
2022 02 07 20 37 MIN    68
2022 02 08 03 01 MAX   189
2022 02 08 08 45 MIN   107
2022 02 08 14 36 MAX   190
2022 02 08 21 22 MIN    77
2022 02 09 04 16 MAX   178
2022 02 09 09 45 MIN   132
2022 02 09 15 09 MAX   173
2022 02 09 22 25 MIN    84
2022 02 10 06 13 MAX   178
2022 02 10 12 06 MIN   143
2022 02 10 16 17 MAX   157
2022 02 10 23 52 MIN    84
2022 02 11 07 47 MAX   189
2022 02 11 14 11 MIN   133
2022 02 11 18 28 MAX   153
2022 02 12 01 11 MIN    74
2022 02 12 08 41 MAX   204
2022 02 12 14 58 MIN   116
2022 02 12 19 49 MAX   161
2022 02 13 02 07 MIN    59
2022 02 13 09 20 MAX   219
2022 02 13 15 29 MIN   100
2022 02 13 20 40 MAX   174
2022 02 14 02 50 MIN    40
2022 02 14 09 52 MAX   232
2022 02 14 15 55 MIN    85
2022 02 14 21 19 MAX   188
2022 02 15 03 27 MIN    21
2022 02 15 10 21 MAX   244
2022 02 15 16 20 MIN    71
2022 02 15 21 55 MAX   202
2022 02 16 04 01 MIN     4
2022 02 16 10 50 MAX   254
2022 02 16 16 45 MIN    58
2022 02 16 22 29 MAX   216
2022 02 17 04 34 MIN    -8
2022 02 17 11 18 MAX   261
2022 02 17 17 12 MIN    46
2022 02 17 23 03 MAX   227
2022 02 18 05 08 MIN   -14
2022 02 18 11 46 MAX   264
2022 02 18 17 41 MIN    36
2022 02 18 23 39 MAX   234
2022 02 19 05 44 MIN   -10
2022 02 19 12 15 MAX   262
2022 02 19 18 12 MIN    29
2022 02 20 00 17 MAX   236
2022 02 20 06 21 MIN     3
2022 02 20 12 45 MAX   255
2022 02 20 18 47 MIN    27
2022 02 21 00 57 MAX   233
2022 02 21 07 01 MIN    24
2022 02 21 13 16 MAX   242
2022 02 21 19 25 MIN    29
2022 02 22 01 43 MAX   226
2022 02 22 07 45 MIN    52
2022 02 22 13 50 MAX   224
2022 02 22 20 07 MIN    35
2022 02 23 02 38 MAX   215
2022 02 23 08 39 MIN    82
2022 02 23 14 29 MAX   203
2022 02 23 21 00 MIN    44
2022 02 24 03 51 MAX   204
2022 02 24 09 54 MIN   108
2022 02 24 15 22 MAX   181
2022 02 24 22 10 MIN    51
2022 02 25 05 35 MAX   202
2022 02 25 11 48 MIN   120
2022 02 25 16 50 MAX   166
2022 02 25 23 39 MIN    51
2022 02 26 07 17 MAX   215
2022 02 26 13 34 MIN   110
2022 02 26 18 36 MAX   166
2022 02 27 01 04 MIN    38
2022 02 27 08 29 MAX   234
2022 02 27 14 37 MIN    90
2022 02 27 19 56 MAX   181
2022 02 28 02 11 MIN    18
2022 02 28 09 21 MAX   252
2022 02 28 15 21 MIN    69
2022 02 28 20 55 MAX   201
2022 03 01 03 04 MIN    -3
2022 03 01 10 03 MAX   265
2022 03 01 15 59 MIN    50
2022 03 01 21 43 MAX   221
2022 03 02 03 50 MIN   -18
2022 03 02 10 39 MAX   272
2022 03 02 16 33 MIN    34
2022 03 02 22 26 MAX   238
2022 03 03 04 32 MIN   -25
2022 03 03 11 12 MAX   273
2022 03 03 17 07 MIN    24
2022 03 03 23 06 MAX   247
2022 03 04 05 10 MIN   -19
2022 03 04 11 43 MAX   267
2022 03 04 17 39 MIN    19
2022 03 04 23 45 MAX   250
2022 03 05 05 47 MIN    -3
2022 03 05 12 11 MAX   256
2022 03 05 18 10 MIN    21
2022 03 06 00 22 MAX   245
2022 03 06 06 21 MIN    21
2022 03 06 12 36 MAX   240
2022 03 06 18 40 MIN    28
2022 03 07 00 59 MAX   234
2022 03 07 06 55 MIN    51
2022 03 07 12 58 MAX   223
2022 03 07 19 09 MIN    38
2022 03 08 01 37 MAX   220
2022 03 08 07 28 MIN    81
2022 03 08 13 19 MAX   205
2022 03 08 19 38 MIN    52
2022 03 09 02 19 MAX   205
2022 03 09 08 05 MIN   110
2022 03 09 13 39 MAX   187
2022 03 09 20 12 MIN    67
2022 03 10 03 15 MAX   190
2022 03 10 08 57 MIN   134
2022 03 10 14 03 MAX   170
2022 03 10 21 01 MIN    82
2022 03 11 04 53 MAX   181
2022 03 11 11 28 MIN   148
2022 03 11 14 44 MAX   152
2022 03 11 22 31 MIN    93
2022 03 12 07 08 MAX   187
2022 03 12 14 13 MIN   134
2022 03 12 17 46 MAX   144
2022 03 13 00 30 MIN    89
2022 03 13 08 14 MAX   201
2022 03 13 14 43 MIN   116
2022 03 13 19 38 MAX   156
2022 03 14 01 43 MIN    73
2022 03 14 08 53 MAX   215
2022 03 14 15 06 MIN    98
2022 03 14 20 29 MAX   174
2022 03 15 02 29 MIN    52
2022 03 15 09 24 MAX   228
2022 03 15 15 27 MIN    79
2022 03 15 21 06 MAX   193
2022 03 16 03 06 MIN    30
2022 03 16 09 51 MAX   239
2022 03 16 15 49 MIN    60
2022 03 16 21 40 MAX   211
2022 03 17 03 40 MIN    11
2022 03 17 10 17 MAX   249
2022 03 17 16 13 MIN    41
2022 03 17 22 13 MAX   228
2022 03 18 04 14 MIN    -3
2022 03 18 10 44 MAX   257
2022 03 18 16 40 MIN    22
2022 03 18 22 48 MAX   243
2022 03 19 04 49 MIN    -9
2022 03 19 11 12 MAX   261
2022 03 19 17 09 MIN     7
2022 03 19 23 24 MAX   254
2022 03 20 05 25 MIN    -6
2022 03 20 11 42 MAX   259
2022 03 20 17 42 MIN    -2
2022 03 21 00 03 MAX   258
2022 03 21 06 04 MIN     9
2022 03 21 12 13 MAX   250
2022 03 21 18 16 MIN    -4
2022 03 22 00 45 MAX   256
2022 03 22 06 46 MIN    34
2022 03 22 12 45 MAX   234
2022 03 22 18 54 MIN     4
2022 03 23 01 32 MAX   246
2022 03 23 07 32 MIN    64
2022 03 23 13 20 MAX   214
2022 03 23 19 37 MIN    18
2022 03 24 02 28 MAX   230
2022 03 24 08 31 MIN    96
2022 03 24 13 59 MAX   190
2022 03 24 20 29 MIN    38
2022 03 25 03 44 MAX   215
2022 03 25 09 58 MIN   121
2022 03 25 14 55 MAX   168
2022 03 25 21 44 MIN    57
2022 03 26 05 33 MAX   209
2022 03 26 12 07 MIN   124
2022 03 26 16 45 MAX   155
2022 03 26 23 27 MIN    64
2022 03 27 07 15 MAX   218
2022 03 27 13 38 MIN   108
2022 03 27 18 47 MAX   164
2022 03 28 00 58 MIN    55
2022 03 28 08 18 MAX   231
2022 03 28 14 26 MIN    87
2022 03 28 20 01 MAX   185
2022 03 29 02 04 MIN    37
2022 03 29 09 03 MAX   242
