<TOPS - 조위예측극치자료>

대상조위관측소 : 동해항
위도(WGS84) : N  37도 29분 41초
경도(WGS84) : E 129도 08분 38초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 00 13 MAX    21
2021 12 01 06 46 MIN     6
2021 12 01 12 46 MAX    19
2021 12 01 18 45 MIN     8
2021 12 02 00 39 MAX    22
2021 12 02 07 31 MIN     3
2021 12 02 13 57 MAX    20
2021 12 02 19 30 MIN    10
2021 12 03 01 09 MAX    24
2021 12 03 08 19 MIN    -1
2021 12 03 15 04 MAX    21
2021 12 03 20 14 MIN    13
2021 12 04 01 43 MAX    27
2021 12 04 09 08 MIN    -4
2021 12 04 16 10 MAX    22
2021 12 04 20 55 MIN    15
2021 12 05 02 21 MAX    29
2021 12 05 10 00 MIN    -5
2021 12 05 17 21 MAX    21
2021 12 05 21 35 MIN    17
2021 12 06 03 03 MAX    30
2021 12 06 10 54 MIN    -6
2021 12 06 18 39 MAX    20
2021 12 06 22 13 MIN    18
2021 12 07 03 49 MAX    31
2021 12 07 11 49 MIN    -6
2021 12 07 19 54 MAX    19
2021 12 07 22 53 MIN    18
2021 12 08 04 40 MAX    30
2021 12 08 12 46 MIN    -5
2021 12 08 21 00 MAX    18
2021 12 08 23 41 MIN    17
2021 12 09 05 36 MAX    28
2021 12 09 13 46 MIN    -3
2021 12 09 21 53 MAX    17
2021 12 10 00 51 MIN    16
2021 12 10 06 40 MAX    24
2021 12 10 14 47 MIN    -1
2021 12 10 22 33 MAX    16
2021 12 11 02 38 MIN    14
2021 12 11 07 55 MAX    20
2021 12 11 15 48 MIN     1
2021 12 11 23 05 MAX    16
2021 12 12 04 28 MIN    11
2021 12 12 09 25 MAX    17
2021 12 12 16 43 MIN     4
2021 12 12 23 31 MAX    17
2021 12 13 05 48 MIN     8
2021 12 13 11 14 MAX    14
2021 12 13 17 29 MIN     6
2021 12 13 23 55 MAX    18
2021 12 14 06 49 MIN     5
2021 12 14 13 03 MAX    14
2021 12 14 18 09 MIN     8
2021 12 15 00 18 MAX    19
2021 12 15 07 36 MIN     2
2021 12 15 14 17 MAX    14
2021 12 15 18 44 MIN    10
2021 12 16 00 42 MAX    20
2021 12 16 08 14 MIN     1
2021 12 16 15 07 MAX    15
2021 12 16 19 16 MIN    12
2021 12 17 01 07 MAX    22
2021 12 17 08 47 MIN     0
2021 12 17 15 46 MAX    16
2021 12 17 19 46 MIN    13
2021 12 18 01 34 MAX    23
2021 12 18 09 17 MIN     0
2021 12 18 16 22 MAX    17
2021 12 18 20 17 MIN    14
2021 12 19 02 03 MAX    24
2021 12 19 09 49 MIN    -1
2021 12 19 16 59 MAX    18
2021 12 19 20 47 MIN    15
2021 12 20 02 35 MAX    25
2021 12 20 10 22 MIN    -1
2021 12 20 17 39 MAX    18
2021 12 20 21 18 MIN    15
2021 12 21 03 07 MAX    26
2021 12 21 10 57 MIN    -2
2021 12 21 18 22 MAX    17
2021 12 21 21 50 MIN    15
2021 12 22 03 42 MAX    25
2021 12 22 11 33 MIN    -2
2021 12 22 19 07 MAX    16
2021 12 22 22 23 MIN    14
2021 12 23 04 17 MAX    24
2021 12 23 12 09 MIN    -2
2021 12 23 19 49 MAX    15
2021 12 23 23 02 MIN    13
2021 12 24 04 55 MAX    22
2021 12 24 12 46 MIN    -2
2021 12 24 20 24 MAX    14
2021 12 24 23 52 MIN    12
2021 12 25 05 38 MAX    20
2021 12 25 13 26 MIN    -2
2021 12 25 20 53 MAX    13
2021 12 26 01 02 MIN    11
2021 12 26 06 31 MAX    17
2021 12 26 14 11 MIN    -1
2021 12 26 21 21 MAX    13
2021 12 27 02 38 MIN     9
2021 12 27 07 42 MAX    14
2021 12 27 15 03 MIN     0
2021 12 27 21 51 MAX    14
2021 12 28 04 10 MIN     6
2021 12 28 09 15 MAX    12
2021 12 28 16 00 MIN     2
2021 12 28 22 26 MAX    15
2021 12 29 05 20 MIN     2
2021 12 29 11 12 MAX    11
2021 12 29 16 58 MIN     5
2021 12 29 23 03 MAX    17
2021 12 30 06 20 MIN    -2
2021 12 30 13 11 MAX    12
2021 12 30 17 55 MIN     8
2021 12 30 23 44 MAX    19
2021 12 31 07 15 MIN    -5
2021 12 31 14 33 MAX    14
2021 12 31 18 49 MIN    10
2022 01 01 00 29 MAX    22
2022 01 01 08 09 MIN    -7
2022 01 01 15 39 MAX    16
2022 01 01 19 39 MIN    12
2022 01 02 01 15 MAX    24
2022 01 02 09 03 MIN    -9
2022 01 02 16 36 MAX    17
2022 01 02 20 27 MIN    13
2022 01 03 02 05 MAX    27
2022 01 03 09 56 MIN   -10
