<TOPS - 조위예측극치자료>

대상조위관측소 : 묵호
위도(WGS84) : N  37도 33분 01초
경도(WGS84) : E 129도 06분 59초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 00 24 MAX    25
2021 12 01 06 45 MIN    11
2021 12 01 12 50 MAX    23
2021 12 01 18 51 MIN    13
2021 12 02 00 49 MAX    27
2021 12 02 07 31 MIN     8
2021 12 02 14 01 MAX    25
2021 12 02 19 32 MIN    16
2021 12 03 01 17 MAX    30
2021 12 03 08 17 MIN     5
2021 12 03 15 04 MAX    27
2021 12 03 20 12 MIN    19
2021 12 04 01 49 MAX    34
2021 12 04 09 05 MIN     3
2021 12 04 16 06 MAX    29
2021 12 04 20 51 MIN    22
2021 12 05 02 26 MAX    37
2021 12 05 09 55 MIN     2
2021 12 05 17 12 MAX    29
2021 12 05 21 30 MIN    24
2021 12 06 03 07 MAX    39
2021 12 06 10 47 MIN     2
2021 12 06 18 24 MAX    29
2021 12 06 22 10 MIN    25
2021 12 07 03 51 MAX    39
2021 12 07 11 42 MIN     2
2021 12 07 19 34 MAX    28
2021 12 07 22 54 MIN    25
2021 12 08 04 41 MAX    38
2021 12 08 12 39 MIN     4
2021 12 08 20 36 MAX    26
2021 12 08 23 49 MIN    24
2021 12 09 05 37 MAX    35
2021 12 09 13 37 MIN     5
2021 12 09 21 30 MAX    25
2021 12 10 01 04 MIN    23
2021 12 10 06 41 MAX    31
2021 12 10 14 37 MIN     7
2021 12 10 22 17 MAX    23
2021 12 11 02 39 MIN    20
2021 12 11 07 55 MAX    27
2021 12 11 15 38 MIN     8
2021 12 11 22 56 MAX    23
2021 12 12 04 16 MIN    17
2021 12 12 09 20 MAX    23
2021 12 12 16 35 MIN    10
2021 12 12 23 28 MAX    22
2021 12 13 05 36 MIN    13
2021 12 13 11 02 MAX    20
2021 12 13 17 26 MIN    11
2021 12 13 23 56 MAX    22
2021 12 14 06 38 MIN     9
2021 12 14 12 45 MAX    18
2021 12 14 18 10 MIN    12
2021 12 15 00 20 MAX    23
2021 12 15 07 26 MIN     6
2021 12 15 14 03 MAX    18
2021 12 15 18 48 MIN    14
2021 12 16 00 43 MAX    23
2021 12 16 08 05 MIN     5
2021 12 16 15 01 MAX    19
2021 12 16 19 18 MIN    15
2021 12 17 01 05 MAX    24
2021 12 17 08 40 MIN     3
2021 12 17 15 48 MAX    19
2021 12 17 19 44 MIN    17
2021 12 18 01 28 MAX    26
2021 12 18 09 13 MIN     3
2021 12 18 16 29 MAX    20
2021 12 18 20 08 MIN    18
2021 12 19 01 55 MAX    27
2021 12 19 09 45 MIN     2
2021 12 19 17 07 MAX    21
2021 12 19 20 33 MIN    19
2021 12 20 02 26 MAX    28
2021 12 20 10 20 MIN     2
2021 12 20 17 46 MAX    21
2021 12 20 21 01 MIN    19
2021 12 21 03 00 MAX    29
2021 12 21 10 56 MIN     2
2021 12 21 18 27 MAX    20
2021 12 21 21 34 MIN    19
2021 12 22 03 37 MAX    29
2021 12 22 11 33 MIN     2
2021 12 22 19 10 MAX    20
2021 12 22 22 12 MIN    18
2021 12 23 04 16 MAX    28
2021 12 23 12 13 MIN     2
2021 12 23 19 52 MAX    19
2021 12 23 22 56 MIN    18
2021 12 24 04 58 MAX    27
2021 12 24 12 53 MIN     3
2021 12 24 20 33 MAX    18
2021 12 24 23 51 MIN    17
2021 12 25 05 43 MAX    25
2021 12 25 13 36 MIN     3
2021 12 25 21 09 MAX    18
2021 12 26 01 06 MIN    16
2021 12 26 06 37 MAX    22
2021 12 26 14 21 MIN     4
2021 12 26 21 41 MAX    18
2021 12 27 02 43 MIN    14
2021 12 27 07 45 MAX    19
2021 12 27 15 12 MIN     6
2021 12 27 22 11 MAX    19
2021 12 28 04 14 MIN    11
2021 12 28 09 17 MAX    17
2021 12 28 16 09 MIN     8
2021 12 28 22 43 MAX    20
2021 12 29 05 26 MIN     8
2021 12 29 11 22 MAX    16
2021 12 29 17 08 MIN    11
2021 12 29 23 17 MAX    22
2021 12 30 06 26 MIN     4
2021 12 30 13 19 MAX    18
2021 12 30 18 04 MIN    13
2021 12 30 23 55 MAX    25
2021 12 31 07 20 MIN     1
2021 12 31 14 41 MAX    20
2021 12 31 18 55 MIN    16
2022 01 01 00 36 MAX    28
2022 01 01 08 12 MIN    -2
2022 01 01 15 46 MAX    22
2022 01 01 19 40 MIN    18
2022 01 02 01 21 MAX    31
2022 01 02 09 03 MIN    -3
2022 01 02 16 40 MAX    23
2022 01 02 20 25 MIN    19
2022 01 03 02 08 MAX    33
2022 01 03 09 53 MIN    -4
2022 01 03 17 29 MAX    23
2022 01 03 21 05 MIN    20
2022 01 04 02 58 MAX    35
2022 01 04 10 43 MIN    -4
2022 01 04 18 16 MAX    22
2022 01 04 21 53 MIN    19
2022 01 05 03 48 MAX    34
2022 01 05 11 33 MIN    -3
2022 01 05 18 58 MAX    21
2022 01 05 22 43 MIN    18
2022 01 06 04 40 MAX    33
2022 01 06 12 22 MIN    -1
2022 01 06 19 36 MAX    20
2022 01 06 23 44 MIN    16
2022 01 07 05 32 MAX    29
2022 01 07 13 10 MIN     1
2022 01 07 20 13 MAX    19
2022 01 08 00 53 MIN    14
2022 01 08 06 28 MAX    25
2022 01 08 13 55 MIN     3
2022 01 08 20 50 MAX    18
2022 01 09 02 12 MIN    12
2022 01 09 07 30 MAX    20
2022 01 09 14 37 MIN     5
2022 01 09 21 23 MAX    18
2022 01 10 03 39 MIN     9
2022 01 10 08 48 MAX    15
2022 01 10 15 17 MIN     7
2022 01 10 21 57 MAX    17
2022 01 11 05 01 MIN     6
2022 01 11 10 50 MAX    12
2022 01 11 15 53 MIN     9
2022 01 11 22 28 MAX    17
2022 01 12 06 10 MIN     3
2022 01 12 13 48 MAX    11
2022 01 12 16 39 MIN    10
2022 01 12 23 01 MAX    18
2022 01 13 07 05 MIN     1
2022 01 13 23 33 MAX    18
2022 01 14 07 48 MIN    -1
2022 01 15 00 11 MAX    19
2022 01 15 08 25 MIN    -2
2022 01 15 16 35 MAX    14
2022 01 15 18 55 MIN    13
2022 01 16 00 51 MAX    20
2022 01 16 09 00 MIN    -3
2022 01 16 16 37 MAX    15
2022 01 16 19 36 MIN    13
2022 01 17 01 35 MAX    22
2022 01 17 09 35 MIN    -3
2022 01 17 17 02 MAX    15
2022 01 17 20 12 MIN    13
2022 01 18 02 16 MAX    23
2022 01 18 10 09 MIN    -4
2022 01 18 17 26 MAX    15
2022 01 18 20 45 MIN    13
2022 01 19 02 57 MAX    24
2022 01 19 10 43 MIN    -4
2022 01 19 17 50 MAX    15
2022 01 19 21 29 MIN    12
2022 01 20 03 36 MAX    24
2022 01 20 11 17 MIN    -4
2022 01 20 18 21 MAX    14
2022 01 20 22 12 MIN    11
2022 01 21 04 15 MAX    23
2022 01 21 11 51 MIN    -3
2022 01 21 18 45 MAX    14
2022 01 21 23 00 MIN    10
2022 01 22 04 56 MAX    22
2022 01 22 12 23 MIN    -3
2022 01 22 19 10 MAX    14
2022 01 22 23 54 MIN     9
2022 01 23 05 40 MAX    20
2022 01 23 12 58 MIN    -1
2022 01 23 19 38 MAX    14
2022 01 24 00 58 MIN     8
2022 01 24 06 32 MAX    17
2022 01 24 13 33 MIN     1
2022 01 24 20 06 MAX    15
2022 01 25 02 13 MIN     6
2022 01 25 07 40 MAX    14
2022 01 25 14 11 MIN     4
2022 01 25 20 40 MAX    16
2022 01 26 03 37 MIN     4
2022 01 26 09 23 MAX    12
2022 01 26 14 55 MIN     7
2022 01 26 21 21 MAX    18
2022 01 27 04 58 MIN     1
2022 01 27 12 23 MAX    12
2022 01 27 15 57 MIN    10
2022 01 27 22 12 MAX    20
2022 01 28 06 10 MIN    -2
2022 01 28 14 30 MAX    14
2022 01 28 16 55 MIN    13
2022 01 28 23 10 MAX    22
2022 01 29 07 13 MIN    -5
2022 01 29 15 40 MAX    15
2022 01 29 18 22 MIN    14
2022 01 30 00 10 MAX    24
2022 01 30 08 08 MIN    -7
2022 01 30 16 12 MAX    16
2022 01 30 19 23 MIN    14
2022 01 31 01 09 MAX    26
2022 01 31 08 59 MIN    -8
2022 01 31 16 34 MAX    17
2022 01 31 20 15 MIN    13
2022 02 01 02 06 MAX    28
2022 02 01 09 47 MIN    -8
2022 02 01 17 04 MAX    16
2022 02 01 21 02 MIN    12
2022 02 02 02 57 MAX    28
2022 02 02 10 31 MIN    -8
2022 02 02 17 25 MAX    16
2022 02 02 21 52 MIN    10
2022 02 03 03 47 MAX    28
2022 02 03 11 13 MIN    -7
2022 02 03 17 47 MAX    16
2022 02 03 22 43 MIN     8
2022 02 04 04 35 MAX    26
2022 02 04 11 53 MIN    -5
2022 02 04 18 20 MAX    15
2022 02 04 23 37 MIN     7
2022 02 05 05 23 MAX    22
2022 02 05 12 30 MIN    -3
2022 02 05 18 48 MAX    15
2022 02 06 00 37 MIN     5
2022 02 06 06 13 MAX    18
2022 02 06 13 04 MIN     0
2022 02 06 19 15 MAX    15
2022 02 07 01 41 MIN     4
2022 02 07 07 09 MAX    14
2022 02 07 13 32 MIN     3
2022 02 07 19 42 MAX    15
2022 02 08 02 50 MIN     2
2022 02 08 08 26 MAX    10
2022 02 08 13 50 MIN     5
2022 02 08 20 11 MAX    14
2022 02 09 04 04 MIN     0
2022 02 09 20 38 MAX    14
2022 02 10 05 20 MIN    -1
2022 02 10 21 17 MAX    14
2022 02 11 06 25 MIN    -3
2022 02 11 22 15 MAX    14
2022 02 12 07 18 MIN    -5
2022 02 12 23 22 MAX    14
2022 02 13 08 01 MIN    -6
2022 02 13 16 14 MAX    10
2022 02 13 18 37 MIN     9
2022 02 14 00 29 MAX    15
2022 02 14 08 39 MIN    -7
2022 02 14 16 12 MAX    10
2022 02 14 19 30 MIN     8
2022 02 15 01 26 MAX    17
2022 02 15 09 14 MIN    -8
2022 02 15 16 25 MAX    10
2022 02 15 20 11 MIN     7
2022 02 16 02 11 MAX    18
2022 02 16 09 47 MIN    -8
2022 02 16 16 36 MAX    11
2022 02 16 20 51 MIN     6
2022 02 17 02 52 MAX    19
2022 02 17 10 18 MIN    -8
2022 02 17 16 56 MAX    11
2022 02 17 21 31 MIN     5
2022 02 18 03 32 MAX    20
2022 02 18 10 48 MIN    -7
2022 02 18 17 11 MAX    12
2022 02 18 22 14 MIN     4
2022 02 19 04 12 MAX    20
2022 02 19 11 18 MIN    -6
2022 02 19 17 30 MAX    13
2022 02 19 23 00 MIN     3
2022 02 20 04 54 MAX    19
2022 02 20 11 48 MIN    -4
2022 02 20 17 53 MAX    14
2022 02 20 23 50 MIN     2
