<TOPS - 조위예측극치자료>

대상조위관측소 : 백령도
위도(WGS84) : N  37도 57분 20초
경도(WGS84) : E 124도 44분 10초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 03 12 MAX   302
2021 12 01 09 52 MIN    66
2021 12 01 15 55 MAX   315
2021 12 01 22 25 MIN    85
2021 12 02 04 01 MAX   305
2021 12 02 10 34 MIN    38
2021 12 02 16 44 MAX   352
2021 12 02 23 19 MIN    66
2021 12 03 04 45 MAX   307
2021 12 03 11 16 MIN    14
2021 12 03 17 31 MAX   384
2021 12 04 00 09 MIN    55
2021 12 04 05 27 MAX   306
2021 12 04 11 56 MIN    -4
2021 12 04 18 17 MAX   406
2021 12 05 00 58 MIN    50
2021 12 05 06 10 MAX   301
2021 12 05 12 38 MIN   -13
2021 12 05 19 05 MAX   418
2021 12 06 01 45 MIN    53
2021 12 06 06 54 MAX   293
2021 12 06 13 21 MIN   -13
2021 12 06 19 54 MAX   419
2021 12 07 02 34 MIN    60
2021 12 07 07 41 MAX   283
2021 12 07 14 06 MIN    -3
2021 12 07 20 43 MAX   409
2021 12 08 03 23 MIN    72
2021 12 08 08 31 MAX   271
2021 12 08 14 52 MIN    15
2021 12 08 21 34 MAX   390
2021 12 09 04 14 MIN    85
2021 12 09 09 23 MAX   258
2021 12 09 15 42 MIN    41
2021 12 09 22 26 MAX   363
2021 12 10 05 10 MIN    97
2021 12 10 10 21 MAX   246
2021 12 10 16 37 MIN    70
2021 12 10 23 22 MAX   334
2021 12 11 06 11 MIN   105
2021 12 11 11 29 MAX   236
2021 12 11 17 45 MIN   100
2021 12 12 00 23 MAX   305
2021 12 12 07 16 MIN   105
2021 12 12 12 52 MAX   236
2021 12 12 19 10 MIN   120
2021 12 13 01 30 MAX   282
2021 12 13 08 17 MIN    97
2021 12 13 14 19 MAX   248
2021 12 13 20 37 MIN   127
2021 12 14 02 34 MAX   268
2021 12 14 09 10 MIN    84
2021 12 14 15 30 MAX   271
2021 12 14 21 50 MIN   122
2021 12 15 03 28 MAX   262
2021 12 15 09 54 MIN    69
2021 12 15 16 24 MAX   296
2021 12 15 22 47 MIN   113
2021 12 16 04 13 MAX   261
2021 12 16 10 33 MIN    55
2021 12 16 17 06 MAX   319
2021 12 16 23 32 MIN   104
2021 12 17 04 51 MAX   263
2021 12 17 11 09 MIN    43
2021 12 17 17 43 MAX   338
2021 12 18 00 11 MIN    97
2021 12 18 05 26 MAX   266
2021 12 18 11 42 MIN    35
2021 12 18 18 16 MAX   352
2021 12 19 00 47 MIN    93
2021 12 19 06 00 MAX   269
2021 12 19 12 14 MIN    32
2021 12 19 18 49 MAX   360
2021 12 20 01 21 MIN    91
2021 12 20 06 34 MAX   270
2021 12 20 12 46 MIN    31
2021 12 20 19 21 MAX   364
2021 12 21 01 54 MIN    91
2021 12 21 07 07 MAX   269
2021 12 21 13 18 MIN    33
2021 12 21 19 52 MAX   365
2021 12 22 02 27 MIN    92
2021 12 22 07 40 MAX   266
2021 12 22 13 51 MIN    37
2021 12 22 20 25 MAX   362
2021 12 23 03 02 MIN    95
2021 12 23 08 15 MAX   262
2021 12 23 14 26 MIN    43
2021 12 23 20 59 MAX   357
2021 12 24 03 39 MIN    98
2021 12 24 08 53 MAX   258
2021 12 24 15 04 MIN    52
2021 12 24 21 36 MAX   347
2021 12 25 04 20 MIN   101
2021 12 25 09 37 MAX   253
2021 12 25 15 47 MIN    65
2021 12 25 22 18 MAX   333
2021 12 26 05 07 MIN   102
2021 12 26 10 30 MAX   249
2021 12 26 16 38 MIN    83
2021 12 26 23 06 MAX   315
2021 12 27 06 02 MIN   100
2021 12 27 11 35 MAX   248
2021 12 27 17 45 MIN   103
2021 12 28 00 03 MAX   296
2021 12 28 07 02 MIN    92
2021 12 28 12 53 MAX   257
2021 12 28 19 13 MIN   117
2021 12 29 01 09 MAX   279
2021 12 29 08 03 MIN    78
2021 12 29 14 15 MAX   280
2021 12 29 20 43 MIN   118
2021 12 30 02 17 MAX   270
2021 12 30 09 00 MIN    58
2021 12 30 15 26 MAX   312
2021 12 30 22 00 MIN   107
2021 12 31 03 20 MAX   267
2021 12 31 09 54 MIN    37
2021 12 31 16 26 MAX   346
2021 12 31 23 05 MIN    92
2022 01 01 04 16 MAX   269
2022 01 01 10 44 MIN    16
2022 01 01 17 20 MAX   377
2022 01 02 00 02 MIN    77
2022 01 02 05 08 MAX   273
2022 01 02 11 35 MIN     0
2022 01 02 18 11 MAX   399
2022 01 03 00 52 MIN    65
2022 01 03 05 57 MAX   278
2022 01 03 12 23 MIN   -11
2022 01 03 19 00 MAX   411
2022 01 04 01 40 MIN    58
2022 01 04 06 46 MAX   282
2022 01 04 13 12 MIN   -14
2022 01 04 19 47 MAX   412
2022 01 05 02 25 MIN    55
2022 01 05 07 34 MAX   284
2022 01 05 13 59 MIN   -10
2022 01 05 20 32 MAX   403
2022 01 06 03 10 MIN    57
2022 01 06 08 22 MAX   282
2022 01 06 14 45 MIN     4
2022 01 06 21 16 MAX   384
2022 01 07 03 53 MIN    63
2022 01 07 09 10 MAX   276
2022 01 07 15 31 MIN    27
2022 01 07 21 58 MAX   358
2022 01 08 04 37 MIN    71
2022 01 08 09 59 MAX   268
2022 01 08 16 18 MIN    56
2022 01 08 22 40 MAX   327
2022 01 09 05 23 MIN    79
2022 01 09 10 53 MAX   258
2022 01 09 17 09 MIN    89
2022 01 09 23 23 MAX   295
2022 01 10 06 11 MIN    85
2022 01 10 11 57 MAX   250
2022 01 10 18 13 MIN   121
2022 01 11 00 13 MAX   266
2022 01 11 07 04 MIN    88
2022 01 11 13 15 MAX   250
2022 01 11 19 35 MIN   144
2022 01 12 01 14 MAX   243
2022 01 12 08 01 MIN    87
2022 01 12 14 40 MAX   262
2022 01 12 21 06 MIN   151
2022 01 13 02 24 MAX   230
2022 01 13 08 56 MIN    81
2022 01 13 15 53 MAX   283
2022 01 13 22 25 MIN   143
2022 01 14 03 30 MAX   229
2022 01 14 09 48 MIN    73
2022 01 14 16 47 MAX   306
2022 01 14 23 22 MIN   130
2022 01 15 04 23 MAX   235
2022 01 15 10 35 MIN    63
2022 01 15 17 29 MAX   326
2022 01 16 00 04 MIN   117
2022 01 16 05 08 MAX   245
2022 01 16 11 18 MIN    54
2022 01 16 18 05 MAX   342
2022 01 17 00 39 MIN   106
2022 01 17 05 47 MAX   255
2022 01 17 11 57 MIN    46
2022 01 17 18 37 MAX   354
2022 01 18 01 12 MIN    96
2022 01 18 06 22 MAX   264
2022 01 18 12 33 MIN    38
2022 01 18 19 08 MAX   362
2022 01 19 01 43 MIN    89
2022 01 19 06 55 MAX   271
2022 01 19 13 09 MIN    31
2022 01 19 19 38 MAX   366
2022 01 20 02 14 MIN    82
2022 01 20 07 28 MAX   277
2022 01 20 13 45 MIN    26
2022 01 20 20 09 MAX   368
2022 01 21 02 46 MIN    77
2022 01 21 08 03 MAX   282
2022 01 21 14 21 MIN    25
2022 01 21 20 40 MAX   365
2022 01 22 03 19 MIN    73
2022 01 22 08 40 MAX   285
2022 01 22 14 59 MIN    31
2022 01 22 21 13 MAX   356
2022 01 23 03 54 MIN    70
2022 01 23 09 21 MAX   286
2022 01 23 15 40 MIN    45
2022 01 23 21 49 MAX   341
2022 01 24 04 32 MIN    69
2022 01 24 10 07 MAX   285
2022 01 24 16 26 MIN    67
2022 01 24 22 28 MAX   320
2022 01 25 05 15 MIN    70
2022 01 25 11 03 MAX   282
2022 01 25 17 22 MIN    96
2022 01 25 23 13 MAX   293
2022 01 26 06 05 MIN    71
2022 01 26 12 12 MAX   282
2022 01 26 18 36 MIN   124
2022 01 27 00 09 MAX   266
2022 01 27 07 04 MIN    71
2022 01 27 13 37 MAX   291
2022 01 27 20 10 MIN   140
2022 01 28 01 25 MAX   245
2022 01 28 08 11 MIN    66
2022 01 28 15 03 MAX   313
2022 01 28 21 47 MIN   135
2022 01 29 02 48 MAX   238
2022 01 29 09 20 MIN    54
2022 01 29 16 16 MAX   342
2022 01 29 23 03 MIN   115
2022 01 30 04 00 MAX   245
2022 01 30 10 26 MIN    37
2022 01 30 17 16 MAX   371
2022 01 31 00 00 MIN    93
2022 01 31 05 01 MAX   260
2022 01 31 11 26 MIN    18
2022 01 31 18 07 MAX   392
2022 02 01 00 47 MIN    73
2022 02 01 05 53 MAX   277
2022 02 01 12 20 MIN     2
2022 02 01 18 52 MAX   403
2022 02 02 01 30 MIN    58
2022 02 02 06 40 MAX   293
2022 02 02 13 08 MIN    -7
2022 02 02 19 34 MAX   402
2022 02 03 02 09 MIN    49
2022 02 03 07 24 MAX   303
2022 02 03 13 53 MIN    -7
2022 02 03 20 13 MAX   392
2022 02 04 02 47 MIN    45
2022 02 04 08 07 MAX   308
2022 02 04 14 35 MIN     4
2022 02 04 20 49 MAX   374
2022 02 05 03 22 MIN    47
2022 02 05 08 49 MAX   307
2022 02 05 15 14 MIN    26
2022 02 05 21 23 MAX   350
2022 02 06 03 57 MIN    51
2022 02 06 09 32 MAX   300
2022 02 06 15 53 MIN    55
2022 02 06 21 54 MAX   322
2022 02 07 04 31 MIN    59
2022 02 07 10 17 MAX   291
2022 02 07 16 34 MIN    89
2022 02 07 22 25 MAX   294
2022 02 08 05 07 MIN    70
2022 02 08 11 08 MAX   279
2022 02 08 17 20 MIN   125
2022 02 08 22 59 MAX   265
2022 02 09 05 47 MIN    82
2022 02 09 12 12 MAX   269
2022 02 09 18 25 MIN   157
2022 02 09 23 44 MAX   237
2022 02 10 06 39 MIN    95
2022 02 10 13 37 MAX   267
2022 02 10 20 08 MIN   176
2022 02 11 01 05 MAX   215
2022 02 11 07 45 MIN   104
2022 02 11 15 10 MAX   278
2022 02 11 22 14 MIN   169
2022 02 12 02 47 MAX   210
2022 02 12 08 58 MIN   105
2022 02 12 16 22 MAX   299
2022 02 12 23 19 MIN   149
2022 02 13 04 04 MAX   221
2022 02 13 10 05 MIN    96
2022 02 13 17 10 MAX   320
2022 02 13 23 57 MIN   130
2022 02 14 04 56 MAX   238
2022 02 14 11 00 MIN    82
2022 02 14 17 46 MAX   339
2022 02 15 00 26 MIN   112
2022 02 15 05 35 MAX   257
2022 02 15 11 44 MIN    64
2022 02 15 18 18 MAX   353
2022 02 16 00 55 MIN    97
2022 02 16 06 08 MAX   274
2022 02 16 12 23 MIN    46
2022 02 16 18 48 MAX   364
2022 02 17 01 22 MIN    83
2022 02 17 06 40 MAX   291
2022 02 17 13 00 MIN    30
2022 02 17 19 16 MAX   371
2022 02 18 01 51 MIN    69
2022 02 18 07 12 MAX   305
2022 02 18 13 36 MIN    19
2022 02 18 19 45 MAX   373
2022 02 19 02 20 MIN    57
2022 02 19 07 47 MAX   317
2022 02 19 14 13 MIN    17
2022 02 19 20 15 MAX   370
2022 02 20 02 52 MIN    49
2022 02 20 08 24 MAX   325
2022 02 20 14 50 MIN    24
2022 02 20 20 46 MAX   359
2022 02 21 03 24 MIN    44
2022 02 21 09 03 MAX   328
2022 02 21 15 30 MIN    43
2022 02 21 21 18 MAX   340
2022 02 22 03 57 MIN    45
2022 02 22 09 48 MAX   327
2022 02 22 16 14 MIN    72
2022 02 22 21 53 MAX   316
2022 02 23 04 34 MIN    51
2022 02 23 10 40 MAX   321
2022 02 23 17 06 MIN   107
2022 02 23 22 32 MAX   286
2022 02 24 05 18 MIN    63
2022 02 24 11 45 MAX   312
2022 02 24 18 15 MIN   141
2022 02 24 23 24 MAX   254
2022 02 25 06 15 MIN    76
2022 02 25 13 12 MAX   309
2022 02 25 19 56 MIN   161
2022 02 26 00 48 MAX   228
2022 02 26 07 31 MIN    86
2022 02 26 14 50 MAX   320
2022 02 26 21 51 MIN   151
2022 02 27 02 36 MAX   223
2022 02 27 09 01 MIN    82
2022 02 27 16 11 MAX   344
