<TOPS - 조위예측극치자료>

대상조위관측소 : 서천마량
위도(WGS84) : N  36도 07분 44초
경도(WGS84) : E 126도 29분 43초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 00 00 MAX   553
2021 12 01 00 00 MAX   553
2021 12 01 06 50 MIN   129
2021 12 01 12 39 MAX   570
2021 12 01 19 22 MIN   142
2021 12 02 00 55 MAX   578
2021 12 02 07 41 MIN    78
2021 12 02 13 32 MAX   631
2021 12 02 20 19 MIN   106
2021 12 03 01 43 MAX   598
2021 12 03 08 28 MIN    35
2021 12 03 14 20 MAX   680
2021 12 03 21 11 MIN    80
2021 12 04 02 28 MAX   609
2021 12 04 09 13 MIN     5
2021 12 04 15 07 MAX   711
2021 12 04 21 59 MIN    68
2021 12 05 03 13 MAX   610
2021 12 05 09 58 MIN   -11
2021 12 05 15 53 MAX   723
2021 12 05 22 46 MIN    69
2021 12 06 03 58 MAX   602
2021 12 06 10 43 MIN   -10
2021 12 06 16 40 MAX   717
2021 12 06 23 33 MIN    82
2021 12 07 04 45 MAX   585
2021 12 07 11 27 MIN     5
2021 12 07 17 28 MAX   695
2021 12 08 00 20 MIN   103
2021 12 08 05 33 MAX   563
2021 12 08 12 13 MIN    34
2021 12 08 18 18 MAX   663
2021 12 09 01 08 MIN   128
2021 12 09 06 25 MAX   537
2021 12 09 13 01 MIN    73
2021 12 09 19 10 MAX   624
2021 12 10 02 00 MIN   155
2021 12 10 07 21 MAX   509
2021 12 10 13 54 MIN   119
2021 12 10 20 07 MAX   582
2021 12 11 02 57 MIN   177
2021 12 11 08 26 MAX   486
2021 12 11 14 56 MIN   163
2021 12 11 21 09 MAX   544
2021 12 12 04 01 MIN   188
2021 12 12 09 41 MAX   474
2021 12 12 16 11 MIN   196
2021 12 12 22 18 MAX   517
2021 12 13 05 09 MIN   183
2021 12 13 11 02 MAX   484
2021 12 13 17 33 MIN   207
2021 12 13 23 27 MAX   506
2021 12 14 06 13 MIN   164
2021 12 14 12 15 MAX   513
2021 12 14 18 46 MIN   197
2021 12 15 00 28 MAX   508
2021 12 15 07 05 MIN   138
2021 12 15 13 12 MAX   549
2021 12 15 19 42 MIN   179
2021 12 16 01 17 MAX   518
2021 12 16 07 48 MIN   113
2021 12 16 13 57 MAX   583
2021 12 16 20 28 MIN   161
2021 12 17 01 58 MAX   528
2021 12 17 08 26 MIN    92
2021 12 17 14 35 MAX   608
2021 12 17 21 07 MIN   147
2021 12 18 02 34 MAX   538
2021 12 18 09 00 MIN    77
2021 12 18 15 09 MAX   625
2021 12 18 21 42 MIN   138
2021 12 19 03 08 MAX   545
2021 12 19 09 32 MIN    67
2021 12 19 15 41 MAX   634
2021 12 19 22 15 MIN   133
2021 12 20 03 41 MAX   548
2021 12 20 10 04 MIN    62
2021 12 20 16 12 MAX   636
2021 12 20 22 49 MIN   131
2021 12 21 04 13 MAX   547
2021 12 21 10 37 MIN    62
2021 12 21 16 43 MAX   634
2021 12 21 23 22 MIN   133
2021 12 22 04 45 MAX   543
2021 12 22 11 10 MIN    66
2021 12 22 17 15 MAX   629
2021 12 22 23 57 MIN   138
2021 12 23 05 17 MAX   536
2021 12 23 11 44 MIN    75
2021 12 23 17 48 MAX   620
2021 12 24 00 32 MIN   146
2021 12 24 05 52 MAX   526
2021 12 24 12 20 MIN    90
2021 12 24 18 24 MAX   608
2021 12 25 01 10 MIN   156
2021 12 25 06 31 MAX   515
2021 12 25 12 59 MIN   111
2021 12 25 19 05 MAX   590
2021 12 26 01 52 MIN   166
2021 12 26 07 18 MAX   503
2021 12 26 13 44 MIN   138
2021 12 26 19 53 MAX   567
2021 12 27 02 41 MIN   173
2021 12 27 08 17 MAX   494
2021 12 27 14 42 MIN   168
2021 12 27 20 50 MAX   543
2021 12 28 03 39 MIN   172
2021 12 28 09 27 MAX   496
2021 12 28 15 57 MIN   192
2021 12 28 21 55 MAX   524
2021 12 29 04 47 MIN   158
2021 12 29 10 44 MAX   516
2021 12 29 17 26 MIN   197
2021 12 29 23 05 MAX   516
2021 12 30 05 57 MIN   129
2021 12 30 12 00 MAX   555
2021 12 30 18 50 MIN   178
2021 12 31 00 14 MAX   523
2021 12 31 07 01 MIN    91
