<TOPS - 조위예측극치자료>

대상조위관측소 : 성산포
위도(WGS84) : N  33도 28분 29초
경도(WGS84) : E 126도 55분 40초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 01 04 MIN    50
2021 12 01 07 21 MAX   197
2021 12 01 13 27 MIN    66
2021 12 01 19 17 MAX   202
2021 12 02 01 43 MIN    26
2021 12 02 08 10 MAX   221
2021 12 02 14 21 MIN    56
2021 12 02 20 01 MAX   207
2021 12 03 02 25 MIN     4
2021 12 03 08 59 MAX   243
2021 12 03 15 13 MIN    50
2021 12 03 20 46 MAX   209
2021 12 04 03 08 MIN   -14
2021 12 04 09 48 MAX   259
2021 12 04 16 05 MIN    49
2021 12 04 21 31 MAX   209
2021 12 05 03 53 MIN   -23
2021 12 05 10 37 MAX   267
2021 12 05 16 55 MIN    53
2021 12 05 22 15 MAX   204
2021 12 06 04 38 MIN   -24
2021 12 06 11 26 MAX   265
2021 12 06 17 47 MIN    62
2021 12 06 23 00 MAX   196
2021 12 07 05 25 MIN   -14
2021 12 07 12 16 MAX   255
2021 12 07 18 39 MIN    75
2021 12 07 23 47 MAX   185
2021 12 08 06 12 MIN     5
2021 12 08 13 08 MAX   238
2021 12 08 19 35 MIN    87
2021 12 09 00 37 MAX   172
2021 12 09 07 03 MIN    29
2021 12 09 14 02 MAX   218
2021 12 09 20 37 MIN    95
2021 12 10 01 36 MAX   160
2021 12 10 08 00 MIN    55
2021 12 10 15 01 MAX   200
2021 12 10 21 47 MIN    97
2021 12 11 02 52 MAX   151
2021 12 11 09 09 MIN    77
2021 12 11 16 05 MAX   186
2021 12 11 22 55 MIN    92
2021 12 12 04 27 MAX   150
2021 12 12 10 30 MIN    93
2021 12 12 17 06 MAX   178
2021 12 12 23 53 MIN    82
2021 12 13 05 55 MAX   159
2021 12 13 11 52 MIN    99
2021 12 13 17 59 MAX   173
2021 12 14 00 39 MIN    70
2021 12 14 06 59 MAX   171
2021 12 14 12 59 MIN    99
2021 12 14 18 43 MAX   172
2021 12 15 01 17 MIN    58
2021 12 15 07 46 MAX   184
2021 12 15 13 52 MIN    96
2021 12 15 19 22 MAX   172
2021 12 16 01 51 MIN    46
2021 12 16 08 26 MAX   196
2021 12 16 14 36 MIN    91
2021 12 16 19 59 MAX   173
2021 12 17 02 22 MIN    36
2021 12 17 09 02 MAX   207
2021 12 17 15 14 MIN    87
2021 12 17 20 34 MAX   174
2021 12 18 02 53 MIN    27
2021 12 18 09 36 MAX   217
2021 12 18 15 49 MIN    83
2021 12 18 21 08 MAX   175
2021 12 19 03 25 MIN    20
2021 12 19 10 10 MAX   223
2021 12 19 16 23 MIN    82
2021 12 19 21 40 MAX   177
2021 12 20 03 58 MIN    15
2021 12 20 10 44 MAX   227
2021 12 20 16 56 MIN    82
2021 12 20 22 13 MAX   177
2021 12 21 04 32 MIN    14
2021 12 21 11 18 MAX   227
2021 12 21 17 30 MIN    84
2021 12 21 22 47 MAX   177
2021 12 22 05 07 MIN    18
2021 12 22 11 54 MAX   223
2021 12 22 18 06 MIN    87
