<TOPS - 조위예측극치자료>

대상조위관측소 : 순위도
위도(WGS84) : N  37도 45분 00초
경도(WGS84) : E 125도 19분 60초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 02 30 MAX   412
2021 12 01 09 07 MIN    87
2021 12 01 15 15 MAX   425
2021 12 01 21 37 MIN   117
2021 12 02 03 19 MAX   419
2021 12 02 09 49 MIN    49
2021 12 02 16 04 MAX   484
2021 12 02 22 34 MIN    95
2021 12 03 04 04 MAX   425
2021 12 03 10 29 MIN    16
2021 12 03 16 51 MAX   533
2021 12 03 23 26 MIN    80
2021 12 04 04 48 MAX   424
2021 12 04 11 10 MIN   -10
2021 12 04 17 37 MAX   570
2021 12 05 00 16 MIN    76
2021 12 05 05 32 MAX   418
2021 12 05 11 53 MIN   -27
2021 12 05 18 25 MAX   589
2021 12 06 01 06 MIN    80
2021 12 06 06 17 MAX   406
2021 12 06 12 36 MIN   -29
2021 12 06 19 14 MAX   589
2021 12 07 01 56 MIN    90
2021 12 07 07 04 MAX   390
2021 12 07 13 22 MIN   -21
2021 12 07 20 04 MAX   571
2021 12 08 02 47 MIN   105
2021 12 08 07 52 MAX   373
2021 12 08 14 09 MIN     3
2021 12 08 20 54 MAX   541
2021 12 09 03 38 MIN   118
2021 12 09 08 45 MAX   354
2021 12 09 14 59 MIN    38
2021 12 09 21 46 MAX   501
2021 12 10 04 33 MIN   130
2021 12 10 09 44 MAX   335
2021 12 10 15 54 MIN    80
2021 12 10 22 41 MAX   459
2021 12 11 05 32 MIN   136
2021 12 11 10 54 MAX   321
2021 12 11 16 59 MIN   123
2021 12 11 23 39 MAX   418
2021 12 12 06 33 MIN   133
2021 12 12 12 15 MAX   321
2021 12 12 18 20 MIN   158
2021 12 13 00 42 MAX   386
2021 12 13 07 34 MIN   123
2021 12 13 13 39 MAX   339
2021 12 13 19 50 MIN   172
2021 12 14 01 45 MAX   367
2021 12 14 08 28 MIN   106
2021 12 14 14 49 MAX   371
2021 12 14 21 07 MIN   168
2021 12 15 02 42 MAX   356
2021 12 15 09 14 MIN    89
2021 12 15 15 42 MAX   406
2021 12 15 22 07 MIN   156
2021 12 16 03 31 MAX   354
2021 12 16 09 52 MIN    73
2021 12 16 16 25 MAX   440
2021 12 16 22 54 MIN   142
2021 12 17 04 12 MAX   354
2021 12 17 10 26 MIN    58
2021 12 17 17 02 MAX   468
2021 12 17 23 34 MIN   131
2021 12 18 04 50 MAX   355
2021 12 18 10 58 MIN    45
2021 12 18 17 36 MAX   488
2021 12 19 00 09 MIN   124
2021 12 19 05 24 MAX   356
2021 12 19 11 30 MIN    35
2021 12 19 18 09 MAX   500
2021 12 20 00 43 MIN   121
2021 12 20 05 57 MAX   356
2021 12 20 12 02 MIN    28
2021 12 20 18 42 MAX   506
2021 12 21 01 17 MIN   120
2021 12 21 06 29 MAX   354
2021 12 21 12 35 MIN    25
2021 12 21 19 15 MAX   504
2021 12 22 01 51 MIN   123
2021 12 22 07 02 MAX   351
2021 12 22 13 09 MIN    26
2021 12 22 19 49 MAX   497
2021 12 23 02 25 MIN   126
2021 12 23 07 36 MAX   345
2021 12 23 13 44 MIN    35
2021 12 23 20 24 MAX   484
2021 12 24 03 02 MIN   128
2021 12 24 08 14 MAX   337
2021 12 24 14 21 MIN    48
2021 12 24 21 01 MAX   468
2021 12 25 03 42 MIN   131
2021 12 25 08 57 MAX   330
2021 12 25 15 03 MIN    70
2021 12 25 21 42 MAX   447
2021 12 26 04 26 MIN   133
2021 12 26 09 50 MAX   324
2021 12 26 15 53 MIN    98
2021 12 26 22 28 MAX   424
2021 12 27 05 17 MIN   130
2021 12 27 10 55 MAX   326
2021 12 27 16 57 MIN   127
2021 12 27 23 23 MAX   400
2021 12 28 06 13 MIN   120
2021 12 28 12 12 MAX   342
2021 12 28 18 19 MIN   149
2021 12 29 00 26 MAX   380
2021 12 29 07 12 MIN   101
2021 12 29 13 31 MAX   377
2021 12 29 19 50 MIN   155
2021 12 30 01 31 MAX   367
2021 12 30 08 10 MIN    74
2021 12 30 14 41 MAX   425
2021 12 30 21 12 MIN   143
2021 12 31 02 35 MAX   362
2021 12 31 09 04 MIN    44
2021 12 31 15 42 MAX   476
2021 12 31 22 20 MIN   124
2022 01 01 03 33 MAX   364
2022 01 01 09 56 MIN    11
2022 01 01 16 37 MAX   520
2022 01 01 23 19 MIN   106
2022 01 02 04 26 MAX   370
2022 01 02 10 48 MIN   -15
2022 01 02 17 29 MAX   552
2022 01 03 00 12 MIN    90
2022 01 03 05 17 MAX   375
2022 01 03 11 39 MIN   -34
2022 01 03 18 19 MAX   568
2022 01 04 01 02 MIN    80
2022 01 04 06 08 MAX   380
2022 01 04 12 29 MIN   -43
2022 01 04 19 07 MAX   568
2022 01 05 01 48 MIN    76
2022 01 05 06 57 MAX   383
2022 01 05 13 18 MIN   -37
2022 01 05 19 53 MAX   552
2022 01 06 02 32 MIN    74
2022 01 06 07 45 MAX   381
2022 01 06 14 04 MIN   -18
2022 01 06 20 37 MAX   525
2022 01 07 03 15 MIN    77
2022 01 07 08 34 MAX   375
2022 01 07 14 50 MIN    16
2022 01 07 21 18 MAX   488
2022 01 08 03 56 MIN    83
2022 01 08 09 24 MAX   364
2022 01 08 15 35 MIN    58
2022 01 08 21 59 MAX   446
2022 01 09 04 38 MIN    92
2022 01 09 10 18 MAX   351
2022 01 09 16 23 MIN   106
2022 01 09 22 40 MAX   402
2022 01 10 05 23 MIN   101
2022 01 10 11 20 MAX   339
2022 01 10 17 21 MIN   155
2022 01 10 23 26 MAX   359
2022 01 11 06 13 MIN   109
2022 01 11 12 36 MAX   337
2022 01 11 18 41 MIN   190
2022 01 12 00 25 MAX   326
2022 01 12 07 11 MIN   111
2022 01 12 13 59 MAX   352
2022 01 12 20 23 MIN   202
2022 01 13 01 35 MAX   304
2022 01 13 08 10 MIN   105
2022 01 13 15 10 MAX   380
2022 01 13 21 47 MIN   190
2022 01 14 02 46 MAX   299
2022 01 14 09 05 MIN    92
2022 01 14 16 04 MAX   412
2022 01 14 22 43 MIN   169
2022 01 15 03 43 MAX   305
2022 01 15 09 52 MIN    74
2022 01 15 16 47 MAX   440
2022 01 15 23 25 MIN   149
2022 01 16 04 29 MAX   317
2022 01 16 10 34 MIN    55
2022 01 16 17 23 MAX   463
2022 01 17 00 00 MIN   131
2022 01 17 05 08 MAX   330
2022 01 17 11 13 MIN    36
2022 01 17 17 58 MAX   479
2022 01 18 00 33 MIN   117
2022 01 18 05 44 MAX   342
2022 01 18 11 50 MIN    20
2022 01 18 18 30 MAX   490
2022 01 19 01 04 MIN   105
2022 01 19 06 18 MAX   352
2022 01 19 12 27 MIN     9
2022 01 19 19 02 MAX   495
2022 01 20 01 36 MIN    95
2022 01 20 06 51 MAX   359
2022 01 20 13 03 MIN     4
2022 01 20 19 33 MAX   495
2022 01 21 02 07 MIN    87
2022 01 21 07 26 MAX   365
2022 01 21 13 39 MIN     7
2022 01 21 20 05 MAX   490
2022 01 22 02 40 MIN    82
2022 01 22 08 03 MAX   370
2022 01 22 14 16 MIN    19
2022 01 22 20 38 MAX   478
2022 01 23 03 13 MIN    80
2022 01 23 08 43 MAX   373
2022 01 23 14 55 MIN    41
2022 01 23 21 12 MAX   457
2022 01 24 03 47 MIN    80
2022 01 24 09 29 MAX   374
2022 01 24 15 38 MIN    73
2022 01 24 21 50 MAX   430
2022 01 25 04 26 MIN    82
2022 01 25 10 23 MAX   375
2022 01 25 16 32 MIN   112
2022 01 25 22 34 MAX   394
2022 01 26 05 12 MIN    85
2022 01 26 11 30 MAX   380
2022 01 26 17 44 MIN   152
2022 01 26 23 28 MAX   358
2022 01 27 06 08 MIN    85
2022 01 27 12 51 MAX   393
2022 01 27 19 21 MIN   177
2022 01 28 00 39 MAX   327
2022 01 28 07 17 MIN    76
2022 01 28 14 17 MAX   424
2022 01 28 21 02 MIN   174
2022 01 29 02 00 MAX   313
2022 01 29 08 31 MIN    55
2022 01 29 15 32 MAX   463
2022 01 29 22 21 MIN   149
2022 01 30 03 16 MAX   318
2022 01 30 09 40 MIN    28
2022 01 30 16 34 MAX   501
2022 01 30 23 21 MIN   118
2022 01 31 04 20 MAX   339
2022 01 31 10 42 MIN    -3
2022 01 31 17 26 MAX   530
2022 02 01 00 09 MIN    92
2022 02 01 05 14 MAX   364
2022 02 01 11 38 MIN   -28
2022 02 01 18 13 MAX   544
2022 02 02 00 52 MIN    68
2022 02 02 06 04 MAX   387
2022 02 02 12 27 MIN   -41
2022 02 02 18 55 MAX   544
2022 02 03 01 31 MIN    52
2022 02 03 06 50 MAX   405
2022 02 03 13 13 MIN   -40
2022 02 03 19 35 MAX   529
2022 02 04 02 07 MIN    44
2022 02 04 07 34 MAX   415
2022 02 04 13 55 MIN   -21
2022 02 04 20 10 MAX   504
2022 02 05 02 41 MIN    42
2022 02 05 08 16 MAX   415
2022 02 05 14 33 MIN    13
2022 02 05 20 44 MAX   472
2022 02 06 03 13 MIN    48
2022 02 06 08 58 MAX   406
2022 02 06 15 11 MIN    55
2022 02 06 21 15 MAX   434
2022 02 07 03 44 MIN    60
2022 02 07 09 41 MAX   392
2022 02 07 15 48 MIN   105
2022 02 07 21 45 MAX   393
2022 02 08 04 15 MIN    77
2022 02 08 10 29 MAX   373
2022 02 08 16 30 MIN   156
2022 02 08 22 18 MAX   351
2022 02 09 04 51 MIN    96
2022 02 09 11 29 MAX   356
2022 02 09 17 31 MIN   202
2022 02 09 22 58 MAX   310
2022 02 10 05 40 MIN   117
2022 02 10 12 53 MAX   349
2022 02 10 19 22 MIN   228
2022 02 11 00 08 MAX   276
2022 02 11 06 51 MIN   128
2022 02 11 14 30 MAX   362
2022 02 11 21 38 MIN   216
2022 02 12 01 57 MAX   263
2022 02 12 08 14 MIN   124
2022 02 12 15 43 MAX   392
2022 02 12 22 40 MIN   187
2022 02 13 03 20 MAX   276
2022 02 13 09 24 MIN   102
2022 02 13 16 32 MAX   421
2022 02 13 23 16 MIN   159
2022 02 14 04 15 MAX   301
2022 02 14 10 17 MIN    74
2022 02 14 17 09 MAX   447
2022 02 14 23 46 MIN   133
2022 02 15 04 56 MAX   327
2022 02 15 11 01 MIN    45
2022 02 15 17 42 MAX   469
2022 02 16 00 14 MIN   108
2022 02 16 05 31 MAX   352
2022 02 16 11 41 MIN    22
2022 02 16 18 12 MAX   484
2022 02 17 00 43 MIN    87
2022 02 17 06 05 MAX   375
2022 02 17 12 18 MIN     4
2022 02 17 18 41 MAX   495
2022 02 18 01 12 MIN    68
2022 02 18 06 38 MAX   394
2022 02 18 12 54 MIN    -5
2022 02 18 19 11 MAX   500
2022 02 19 01 41 MIN    54
2022 02 19 07 12 MAX   412
2022 02 19 13 31 MIN    -3
2022 02 19 19 40 MAX   497
2022 02 20 02 11 MIN    45
2022 02 20 07 48 MAX   427
2022 02 20 14 07 MIN    11
2022 02 20 20 11 MAX   484
2022 02 21 02 41 MIN    41
2022 02 21 08 27 MAX   435
2022 02 21 14 45 MIN    38
2022 02 21 20 42 MAX   460
2022 02 22 03 11 MIN    44
2022 02 22 09 09 MAX   438
2022 02 22 15 28 MIN    77
2022 02 22 21 17 MAX   425
2022 02 23 03 44 MIN    52
2022 02 23 09 59 MAX   434
2022 02 23 16 18 MIN   126
2022 02 23 21 56 MAX   383
2022 02 24 04 24 MIN    66
2022 02 24 11 02 MAX   422
2022 02 24 17 27 MIN   175
2022 02 24 22 45 MAX   336
2022 02 25 05 19 MIN    82
2022 02 25 12 26 MAX   415
2022 02 25 19 14 MIN   204
2022 02 26 00 01 MAX   297
2022 02 26 06 39 MIN    93
2022 02 26 14 06 MAX   427
2022 02 26 21 12 MIN   193
2022 02 27 01 47 MAX   283
2022 02 27 08 16 MIN    83
2022 02 27 15 30 MAX   457
2022 02 27 22 26 MIN   156
2022 02 28 03 17 MAX   305
2022 02 28 09 39 MIN    54
2022 02 28 16 30 MAX   490
2022 02 28 23 15 MIN   117
2022 03 01 04 22 MAX   345
2022 03 01 10 44 MIN    19
2022 03 01 17 18 MAX   511
2022 03 01 23 55 MIN    83
2022 03 02 05 13 MAX   386
2022 03 02 11 37 MIN    -8
2022 03 02 17 58 MAX   520
2022 03 03 00 31 MIN    57
2022 03 03 05 57 MAX   421
2022 03 03 12 22 MIN   -21
2022 03 03 18 34 MAX   517
2022 03 04 01 04 MIN    38
2022 03 04 06 37 MAX   446
2022 03 04 13 02 MIN   -15
2022 03 04 19 08 MAX   504
2022 03 05 01 35 MIN    29
2022 03 05 07 16 MAX   459
2022 03 05 13 39 MIN     4
2022 03 05 19 38 MAX   482
2022 03 06 02 03 MIN    28
2022 03 06 07 53 MAX   462
2022 03 06 14 13 MIN    36
2022 03 06 20 06 MAX   454
2022 03 07 02 29 MIN    33
2022 03 07 08 29 MAX   456
2022 03 07 14 46 MIN    76
2022 03 07 20 33 MAX   422
2022 03 08 02 53 MIN    48
2022 03 08 09 06 MAX   441
2022 03 08 15 19 MIN   121
2022 03 08 20 59 MAX   387
2022 03 09 03 18 MIN    67
2022 03 09 09 46 MAX   419
2022 03 09 15 56 MIN   168
2022 03 09 21 25 MAX   351
2022 03 10 03 47 MIN    92
2022 03 10 10 34 MAX   393
2022 03 10 16 45 MIN   212
2022 03 10 21 54 MAX   313
2022 03 11 04 26 MIN   120
2022 03 11 11 46 MAX   370
2022 03 11 18 18 MIN   244
2022 03 11 22 37 MAX   275
2022 03 12 05 31 MIN   146
2022 03 12 13 35 MAX   364
2022 03 12 21 30 MIN   235
2022 03 13 01 00 MAX   253
2022 03 13 07 17 MIN   155
2022 03 13 15 10 MAX   384
2022 03 13 22 23 MIN   200
2022 03 14 02 58 MAX   272
2022 03 14 08 54 MIN   136
2022 03 14 16 04 MAX   413
2022 03 14 22 51 MIN   166
2022 03 15 03 57 MAX   307
2022 03 15 09 57 MIN   102
2022 03 15 16 42 MAX   441
2022 03 15 23 17 MIN   134
2022 03 16 04 37 MAX   345
2022 03 16 10 44 MIN    67
2022 03 16 17 13 MAX   465
2022 03 16 23 44 MIN   102
2022 03 17 05 12 MAX   383
2022 03 17 11 25 MIN    39
2022 03 17 17 42 MAX   485
2022 03 18 00 11 MIN    74
2022 03 18 05 45 MAX   418
2022 03 18 12 03 MIN    19
2022 03 18 18 11 MAX   497
2022 03 19 00 39 MIN    51
2022 03 19 06 19 MAX   449
2022 03 19 12 40 MIN    10
2022 03 19 18 41 MAX   501
2022 03 20 01 08 MIN    33
2022 03 20 06 54 MAX   476
2022 03 20 13 17 MIN    13
2022 03 20 19 11 MAX   495
2022 03 21 01 38 MIN    23
2022 03 21 07 31 MAX   497
2022 03 21 13 56 MIN    32
2022 03 21 19 42 MAX   478
2022 03 22 02 07 MIN    20
2022 03 22 08 10 MAX   507
2022 03 22 14 37 MIN    63
2022 03 22 20 15 MAX   449
2022 03 23 02 38 MIN    28
2022 03 23 08 54 MAX   504
2022 03 23 15 22 MIN   106
2022 03 23 20 50 MAX   411
2022 03 24 03 11 MIN    42
2022 03 24 09 45 MAX   487
2022 03 24 16 16 MIN   158
2022 03 24 21 30 MAX   367
2022 03 25 03 52 MIN    67
2022 03 25 10 49 MAX   460
2022 03 25 17 31 MIN   202
2022 03 25 22 22 MAX   320
2022 03 26 04 50 MIN    99
2022 03 26 12 17 MAX   438
2022 03 26 19 27 MIN   218
2022 03 26 23 54 MAX   286
2022 03 27 06 23 MIN   123
2022 03 27 14 00 MAX   440
2022 03 27 21 12 MIN   191
2022 03 28 01 56 MAX   291
2022 03 28 08 17 MIN   115
2022 03 28 15 20 MAX   459
2022 03 28 22 11 MIN   152
2022 03 29 03 22 MAX   330
2022 03 29 09 41 MIN    85
2022 03 29 16 14 MAX   479
2022 03 29 22 53 MIN   112
2022 03 30 04 19 MAX   380
2022 03 30 10 41 MIN    54
2022 03 30 16 57 MAX   491
2022 03 30 23 29 MIN    80
2022 03 31 05 04 MAX   427
2022 03 31 11 28 MIN    33
2022 03 31 17 33 MAX   494
2022 04 01 00 01 MIN    55
2022 04 01 05 43 MAX   463
2022 04 01 12 09 MIN    28
2022 04 01 18 05 MAX   488
2022 04 02 00 31 MIN    41
2022 04 02 06 20 MAX   488
2022 04 02 12 46 MIN    35
2022 04 02 18 35 MAX   475
2022 04 03 00 58 MIN    33
2022 04 03 06 55 MAX   503
2022 04 03 13 21 MIN    54
2022 04 03 19 04 MAX   457
2022 04 04 01 22 MIN    35
2022 04 04 07 29 MAX   507
2022 04 04 13 53 MIN    80
2022 04 04 19 31 MAX   435
2022 04 05 01 46 MIN    42
2022 04 05 08 02 MAX   503
2022 04 05 14 25 MIN   112
2022 04 05 19 57 MAX   411
2022 04 06 02 09 MIN    55
2022 04 06 08 37 MAX   488
2022 04 06 14 58 MIN   149
2022 04 06 20 23 MAX   383
2022 04 07 02 34 MIN    74
2022 04 07 09 13 MAX   466
2022 04 07 15 34 MIN   185
2022 04 07 20 50 MAX   352
2022 04 08 03 04 MIN    98
2022 04 08 09 57 MAX   437
2022 04 08 16 21 MIN   221
2022 04 08 21 19 MAX   320
2022 04 09 03 41 MIN   127
2022 04 09 10 56 MAX   406
2022 04 09 17 38 MIN   248
2022 04 09 22 04 MAX   289
2022 04 10 04 37 MIN   159
2022 04 10 12 29 MAX   386
2022 04 10 20 12 MIN   245
2022 04 11 00 10 MAX   267
2022 04 11 06 19 MIN   180
2022 04 11 14 10 MAX   392
2022 04 11 21 28 MIN   213
2022 04 12 02 20 MAX   288
2022 04 12 08 12 MIN   169
2022 04 12 15 14 MAX   413
2022 04 12 22 02 MIN   177
2022 04 13 03 25 MAX   330
2022 04 13 09 25 MIN   137
2022 04 13 15 56 MAX   438
2022 04 13 22 32 MIN   139
2022 04 14 04 08 MAX   377
2022 04 14 10 17 MIN   104
2022 04 14 16 31 MAX   462
2022 04 14 23 01 MIN   104
2022 04 15 04 45 MAX   424
2022 04 15 11 01 MIN    76
2022 04 15 17 03 MAX   481
2022 04 15 23 30 MIN    71
2022 04 16 05 20 MAX   469
2022 04 16 11 42 MIN    57
2022 04 16 17 34 MAX   491
2022 04 17 00 01 MIN    45
2022 04 17 05 56 MAX   510
2022 04 17 12 23 MIN    48
2022 04 17 18 06 MAX   492
2022 04 18 00 31 MIN    28
