<TOPS - 조위예측극치자료>

대상조위관측소 : 쌍정초
위도(WGS84) : N  37도 33분 22초
경도(WGS84) : E 130도 56분 21초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 05 56 MIN     5
2021 12 01 11 01 MAX    16
2021 12 01 17 28 MIN     1
2021 12 02 00 02 MAX    21
2021 12 02 06 25 MIN     1
2021 12 02 12 07 MAX    19
2021 12 02 18 09 MIN     5
2021 12 03 00 25 MAX    23
2021 12 03 07 04 MIN    -2
2021 12 03 13 25 MAX    20
2021 12 03 18 45 MIN    10
2021 12 04 00 55 MAX    26
2021 12 04 07 52 MIN    -4
2021 12 04 15 07 MAX    21
2021 12 04 19 18 MIN    13
2021 12 05 01 34 MAX    29
2021 12 05 08 49 MIN    -5
2021 12 05 16 24 MAX    20
2021 12 05 19 49 MIN    16
2021 12 06 02 20 MAX    32
2021 12 06 09 54 MIN    -5
2021 12 06 18 09 MAX    18
2021 12 06 20 21 MIN    17
2021 12 07 03 09 MAX    33
2021 12 07 11 09 MIN    -5
2021 12 07 20 09 MAX    18
2021 12 07 21 06 MIN    17
2021 12 08 03 55 MAX    32
2021 12 08 12 45 MIN    -6
2021 12 09 04 36 MAX    28
2021 12 09 13 52 MIN    -6
2021 12 09 21 31 MAX    16
2021 12 09 23 08 MIN    15
2021 12 10 05 12 MAX    23
2021 12 10 14 42 MIN    -6
2021 12 10 22 05 MAX    15
2021 12 11 03 06 MIN    13
2021 12 11 05 43 MAX    16
2021 12 11 15 26 MIN    -5
2021 12 11 22 43 MAX    13
2021 12 12 04 05 MIN     9
2021 12 12 06 10 MAX    10
2021 12 12 16 10 MIN    -3
2021 12 12 23 25 MAX    11
2021 12 13 05 00 MIN     4
2021 12 13 10 35 MAX     6
2021 12 13 16 58 MIN    -1
2021 12 14 00 17 MAX     9
2021 12 14 05 47 MIN     0
2021 12 14 14 25 MAX     5
2021 12 14 20 12 MIN     1
2021 12 15 00 55 MAX     8
2021 12 15 06 29 MIN    -3
2021 12 15 15 01 MAX     7
2021 12 15 20 43 MIN     3
2021 12 16 00 52 MAX     9
2021 12 16 07 03 MIN    -6
2021 12 16 15 24 MAX     8
2021 12 16 18 40 MIN     5
2021 12 17 01 01 MAX    11
2021 12 17 07 40 MIN    -8
2021 12 17 15 34 MAX     8
2021 12 17 18 38 MIN     5
2021 12 18 01 23 MAX    15
2021 12 18 08 23 MIN    -9
2021 12 18 15 21 MAX     7
2021 12 18 18 37 MIN     5
2021 12 19 01 56 MAX    19
2021 12 19 09 15 MIN    -9
2021 12 19 15 27 MAX     5
2021 12 19 18 29 MIN     4
2021 12 20 02 31 MAX    22
2021 12 20 10 21 MIN    -8
2021 12 20 15 52 MAX     4
2021 12 20 18 09 MIN     2
2021 12 21 03 07 MAX    23
2021 12 21 11 55 MIN    -8
2021 12 21 16 26 MAX     2
2021 12 21 17 59 MIN     1
2021 12 22 03 40 MAX    22
2021 12 22 13 03 MIN    -9
2021 12 23 04 11 MAX    19
2021 12 23 13 43 MIN   -10
2021 12 24 04 40 MAX    14
2021 12 24 14 08 MIN   -10
2021 12 25 05 08 MAX    11
2021 12 25 14 13 MIN   -11
2021 12 25 22 06 MAX     9
2021 12 26 03 30 MIN     5
2021 12 26 05 41 MAX     7
2021 12 26 13 24 MIN   -12
2021 12 26 22 16 MAX     9
2021 12 27 03 56 MIN     3
2021 12 27 06 25 MAX     5
2021 12 27 14 00 MIN   -12
2021 12 27 22 27 MAX     9
2021 12 28 04 16 MIN     0
2021 12 28 07 47 MAX     4
2021 12 28 15 02 MIN   -10
2021 12 28 22 39 MAX     9
2021 12 29 04 40 MIN    -3
2021 12 29 09 55 MAX     6
2021 12 29 15 59 MIN    -6
2021 12 29 22 56 MAX    10
2021 12 30 05 14 MIN    -5
2021 12 30 10 58 MAX     9
2021 12 30 16 50 MIN    -2
2021 12 30 23 23 MAX    12
2021 12 31 05 55 MIN    -7
2021 12 31 12 00 MAX    11
2021 12 31 17 36 MIN     2
2021 12 31 23 58 MAX    14
2022 01 01 06 49 MIN    -8
2022 01 01 13 25 MAX    12
2022 01 01 18 17 MIN     5
2022 01 02 00 42 MAX    18
2022 01 02 07 52 MIN    -9
2022 01 02 15 15 MAX    12
2022 01 02 18 56 MIN     7
2022 01 03 01 31 MAX    22
