<TOPS - 조위예측극치자료>

대상조위관측소 : 어청도
위도(WGS84) : N  36도 07분 02초
경도(WGS84) : E 125도 59분 05초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 00 07 MAX   462
2021 12 01 06 44 MIN   105
2021 12 01 12 46 MAX   480
2021 12 01 19 14 MIN   122
2021 12 02 00 59 MAX   483
2021 12 02 07 32 MIN    61
2021 12 02 13 37 MAX   530
2021 12 02 20 09 MIN    92
2021 12 03 01 46 MAX   501
2021 12 03 08 17 MIN    23
2021 12 03 14 24 MAX   572
2021 12 03 21 00 MIN    71
2021 12 04 02 31 MAX   510
2021 12 04 09 02 MIN    -4
2021 12 04 15 10 MAX   600
2021 12 04 21 49 MIN    62
2021 12 05 03 16 MAX   510
2021 12 05 09 46 MIN   -17
2021 12 05 15 56 MAX   613
2021 12 05 22 37 MIN    65
2021 12 06 04 01 MAX   501
2021 12 06 10 31 MIN   -16
2021 12 06 16 44 MAX   610
2021 12 06 23 26 MIN    78
2021 12 07 04 48 MAX   487
2021 12 07 11 17 MIN    -3
2021 12 07 17 34 MAX   593
2021 12 08 00 15 MIN    98
2021 12 08 05 36 MAX   468
2021 12 08 12 04 MIN    22
2021 12 08 18 24 MAX   567
2021 12 09 01 05 MIN   121
2021 12 09 06 27 MAX   447
2021 12 09 12 54 MIN    56
2021 12 09 19 16 MAX   534
2021 12 10 01 58 MIN   143
2021 12 10 07 24 MAX   426
2021 12 10 13 49 MIN    97
2021 12 10 20 12 MAX   497
2021 12 11 02 56 MIN   159
2021 12 11 08 28 MAX   408
2021 12 11 14 52 MIN   137
2021 12 11 21 13 MAX   464
2021 12 12 04 00 MIN   165
2021 12 12 09 44 MAX   400
2021 12 12 16 06 MIN   167
2021 12 12 22 20 MAX   439
2021 12 13 05 06 MIN   159
2021 12 13 11 06 MAX   409
2021 12 13 17 26 MIN   181
2021 12 13 23 28 MAX   427
2021 12 14 06 07 MIN   142
2021 12 14 12 17 MAX   433
2021 12 14 18 39 MIN   176
2021 12 15 00 27 MAX   427
2021 12 15 06 59 MIN   120
2021 12 15 13 13 MAX   462
2021 12 15 19 36 MIN   163
2021 12 16 01 15 MAX   432
2021 12 16 07 42 MIN    99
2021 12 16 13 57 MAX   488
2021 12 16 20 22 MIN   148
2021 12 17 01 56 MAX   439
2021 12 17 08 19 MIN    81
2021 12 17 14 35 MAX   509
2021 12 17 21 02 MIN   135
2021 12 18 02 33 MAX   445
2021 12 18 08 53 MIN    68
2021 12 18 15 09 MAX   525
2021 12 18 21 37 MIN   127
2021 12 19 03 07 MAX   450
2021 12 19 09 25 MIN    58
2021 12 19 15 42 MAX   535
2021 12 19 22 10 MIN   123
2021 12 20 03 39 MAX   452
2021 12 20 09 56 MIN    51
2021 12 20 16 14 MAX   540
2021 12 20 22 44 MIN   123
2021 12 21 04 11 MAX   452
2021 12 21 10 29 MIN    48
2021 12 21 16 47 MAX   541
2021 12 21 23 17 MIN   127
2021 12 22 04 43 MAX   451
2021 12 22 11 02 MIN    51
2021 12 22 17 20 MAX   536
2021 12 22 23 51 MIN   133
2021 12 23 05 17 MAX   447
2021 12 23 11 38 MIN    59
2021 12 23 17 54 MAX   528
2021 12 24 00 26 MIN   140
2021 12 24 05 53 MAX   441
2021 12 24 12 15 MIN    73
2021 12 24 18 31 MAX   514
2021 12 25 01 05 MIN   147
2021 12 25 06 34 MAX   432
2021 12 25 12 56 MIN    94
2021 12 25 19 12 MAX   497
2021 12 26 01 48 MIN   153
2021 12 26 07 23 MAX   422
2021 12 26 13 44 MIN   121
2021 12 26 19 59 MAX   476
2021 12 27 02 40 MIN   154
2021 12 27 08 23 MAX   414
2021 12 27 14 44 MIN   147
2021 12 27 20 55 MAX   455
2021 12 28 03 40 MIN   148
2021 12 28 09 37 MAX   415
2021 12 28 15 59 MIN   166
2021 12 28 22 01 MAX   440
2021 12 29 04 47 MIN   131
2021 12 29 10 57 MAX   434
2021 12 29 17 23 MIN   168
2021 12 29 23 12 MAX   436
2021 12 30 05 54 MIN   103
2021 12 30 12 10 MAX   469
2021 12 30 18 41 MIN   153
2021 12 31 00 19 MAX   443
2021 12 31 06 55 MIN    69
2021 12 31 13 13 MAX   511
2021 12 31 19 49 MIN   129
2022 01 01 01 19 MAX   455
2022 01 01 07 51 MIN    37
2022 01 01 14 09 MAX   549
2022 01 01 20 47 MIN   105
2022 01 02 02 13 MAX   468
2022 01 02 08 44 MIN    10
2022 01 02 15 01 MAX   578
2022 01 02 21 41 MIN    88
2022 01 03 03 04 MAX   479
2022 01 03 09 34 MIN    -8
2022 01 03 15 51 MAX   595
2022 01 03 22 31 MIN    79
2022 01 04 03 54 MAX   485
2022 01 04 10 23 MIN   -14
2022 01 04 16 39 MAX   598
2022 01 04 23 19 MIN    77
2022 01 05 04 41 MAX   487
2022 01 05 11 11 MIN    -9
2022 01 05 17 26 MAX   590
2022 01 06 00 05 MIN    81
2022 01 06 05 29 MAX   484
2022 01 06 11 58 MIN     8
2022 01 06 18 10 MAX   571
2022 01 07 00 48 MIN    91
2022 01 07 06 15 MAX   476
2022 01 07 12 42 MIN    37
2022 01 07 18 53 MAX   543
2022 01 08 01 30 MIN   104
2022 01 08 07 03 MAX   461
2022 01 08 13 27 MIN    75
2022 01 08 19 35 MAX   508
2022 01 09 02 13 MIN   120
2022 01 09 07 54 MAX   442
2022 01 09 14 15 MIN   121
2022 01 09 20 19 MAX   469
2022 01 10 02 59 MIN   137
2022 01 10 08 52 MAX   422
2022 01 10 15 09 MIN   166
2022 01 10 21 10 MAX   431
2022 01 11 03 52 MIN   150
2022 01 11 10 02 MAX   407
2022 01 11 16 18 MIN   202
2022 01 11 22 11 MAX   399
2022 01 12 04 56 MIN   156
2022 01 12 11 22 MAX   408
2022 01 12 17 43 MIN   217
2022 01 12 23 24 MAX   382
2022 01 13 06 02 MIN   150
2022 01 13 12 37 MAX   426
2022 01 13 19 02 MIN   209
2022 01 14 00 33 MAX   383
2022 01 14 07 01 MIN   134
2022 01 14 13 34 MAX   452
2022 01 14 20 01 MIN   189
2022 01 15 01 28 MAX   394
2022 01 15 07 49 MIN   112
2022 01 15 14 19 MAX   478
2022 01 15 20 46 MIN   167
2022 01 16 02 13 MAX   411
2022 01 16 08 30 MIN    91
2022 01 16 14 56 MAX   501
2022 01 16 21 23 MIN   148
2022 01 17 02 51 MAX   427
2022 01 17 09 08 MIN    70
2022 01 17 15 30 MAX   519
2022 01 17 21 58 MIN   133
2022 01 18 03 26 MAX   442
2022 01 18 09 44 MIN    53
2022 01 18 16 03 MAX   533
2022 01 18 22 32 MIN   121
2022 01 19 03 59 MAX   454
2022 01 19 10 20 MIN    41
2022 01 19 16 35 MAX   541
2022 01 19 23 05 MIN   113
2022 01 20 04 32 MAX   464
2022 01 20 10 55 MIN    36
2022 01 20 17 06 MAX   544
2022 01 20 23 38 MIN   107
2022 01 21 05 05 MAX   471
2022 01 21 11 31 MIN    37
2022 01 21 17 38 MAX   542
2022 01 22 00 11 MIN   104
2022 01 22 05 41 MAX   474
2022 01 22 12 06 MIN    48
2022 01 22 18 11 MAX   534
2022 01 23 00 44 MIN   102
2022 01 23 06 19 MAX   473
2022 01 23 12 44 MIN    67
2022 01 23 18 46 MAX   519
