<TOPS - 조위예측극치자료>

대상조위관측소 : 여수
위도(WGS84) : N  34도 44분 50초
경도(WGS84) : E 127도 45분 56초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 00 09 MIN    76
2021 12 01 06 41 MAX   272
2021 12 01 12 38 MIN    83
2021 12 01 18 47 MAX   282
2021 12 02 00 52 MIN    49
2021 12 02 07 29 MAX   304
2021 12 02 13 29 MIN    65
2021 12 02 19 33 MAX   295
2021 12 03 01 34 MIN    25
2021 12 03 08 15 MAX   332
2021 12 03 14 17 MIN    52
2021 12 03 20 19 MAX   303
2021 12 04 02 18 MIN     8
2021 12 04 09 01 MAX   352
2021 12 04 15 04 MIN    45
2021 12 04 21 03 MAX   305
2021 12 05 03 02 MIN    -1
2021 12 05 09 48 MAX   362
2021 12 05 15 51 MIN    47
2021 12 05 21 48 MAX   300
2021 12 06 03 47 MIN     1
2021 12 06 10 35 MAX   360
2021 12 06 16 39 MIN    56
2021 12 06 22 34 MAX   289
2021 12 07 04 33 MIN    13
2021 12 07 11 22 MAX   348
2021 12 07 17 28 MIN    71
2021 12 07 23 21 MAX   272
2021 12 08 05 20 MIN    32
2021 12 08 12 12 MAX   327
2021 12 08 18 21 MIN    88
2021 12 09 00 12 MAX   251
2021 12 09 06 10 MIN    57
2021 12 09 13 04 MAX   301
2021 12 09 19 18 MIN   104
2021 12 10 01 10 MAX   232
2021 12 10 07 05 MIN    84
2021 12 10 14 02 MAX   275
2021 12 10 20 26 MIN   114
2021 12 11 02 21 MAX   218
2021 12 11 08 10 MIN   107
2021 12 11 15 09 MAX   254
2021 12 11 21 42 MIN   116
2021 12 12 03 44 MAX   214
2021 12 12 09 28 MIN   123
2021 12 12 16 21 MAX   240
2021 12 12 22 50 MIN   108
2021 12 13 05 04 MAX   222
2021 12 13 10 53 MIN   127
2021 12 13 17 26 MAX   235
2021 12 13 23 42 MIN    96
2021 12 14 06 06 MAX   237
2021 12 14 12 03 MIN   122
2021 12 14 18 17 MAX   234
2021 12 15 00 24 MIN    84
2021 12 15 06 54 MAX   254
2021 12 15 12 55 MIN   113
2021 12 15 18 59 MAX   237
2021 12 16 01 01 MIN    71
2021 12 16 07 34 MAX   271
2021 12 16 13 38 MIN   103
2021 12 16 19 35 MAX   241
2021 12 17 01 36 MIN    60
2021 12 17 08 11 MAX   286
2021 12 17 14 16 MIN    93
2021 12 17 20 09 MAX   246
2021 12 18 02 11 MIN    51
2021 12 18 08 46 MAX   299
2021 12 18 14 51 MIN    86
2021 12 18 20 42 MAX   252
2021 12 19 02 44 MIN    44
2021 12 19 09 20 MAX   308
2021 12 19 15 25 MIN    80
2021 12 19 21 15 MAX   256
2021 12 20 03 18 MIN    40
2021 12 20 09 54 MAX   313
2021 12 20 15 57 MIN    78
2021 12 20 21 48 MAX   257
2021 12 21 03 52 MIN    41
2021 12 21 10 28 MAX   314
2021 12 21 16 30 MIN    80
2021 12 21 22 21 MAX   254
2021 12 22 04 26 MIN    44
2021 12 22 11 02 MAX   310
2021 12 22 17 04 MIN    84
2021 12 22 22 56 MAX   248
2021 12 23 05 01 MIN    52
2021 12 23 11 38 MAX   302
2021 12 23 17 41 MIN    90
2021 12 23 23 33 MAX   238
2021 12 24 05 39 MIN    63
2021 12 24 12 16 MAX   290
2021 12 24 18 21 MIN    98
2021 12 25 00 15 MAX   228
2021 12 25 06 21 MIN    77
2021 12 25 12 58 MAX   276
2021 12 25 19 07 MIN   104
2021 12 26 01 07 MAX   219
2021 12 26 07 12 MIN    92
2021 12 26 13 47 MAX   262
2021 12 26 20 02 MIN   107
2021 12 27 02 14 MAX   214
2021 12 27 08 17 MIN   106
2021 12 27 14 46 MAX   249
2021 12 27 21 08 MIN   103
2021 12 28 03 37 MAX   219
2021 12 28 09 37 MIN   113
2021 12 28 15 56 MAX   242
2021 12 28 22 16 MIN    92
2021 12 29 05 02 MAX   235
2021 12 29 11 01 MIN   110
2021 12 29 17 08 MAX   242
2021 12 29 23 20 MIN    75
2021 12 30 06 12 MAX   260
2021 12 30 12 14 MIN    99
2021 12 30 18 13 MAX   249
2021 12 31 00 19 MIN    54
2021 12 31 07 12 MAX   289
2021 12 31 13 17 MIN    83
2021 12 31 19 11 MAX   260
2022 01 01 01 13 MIN    34
2022 01 01 08 06 MAX   316
2022 01 01 14 12 MIN    66
2022 01 01 20 04 MAX   272
2022 01 02 02 06 MIN    15
2022 01 02 08 57 MAX   339
2022 01 02 15 01 MIN    52
2022 01 02 20 54 MAX   283
2022 01 03 02 56 MIN     1
2022 01 03 09 44 MAX   354
2022 01 03 15 49 MIN    44
2022 01 03 21 43 MAX   289
2022 01 04 03 43 MIN    -5
2022 01 04 10 30 MAX   359
2022 01 04 16 34 MIN    42
2022 01 04 22 29 MAX   289
2022 01 05 04 29 MIN    -2
2022 01 05 11 14 MAX   352
2022 01 05 17 18 MIN    47
2022 01 05 23 15 MAX   281
2022 01 06 05 13 MIN    12
2022 01 06 11 56 MAX   335
2022 01 06 18 01 MIN    58
2022 01 07 00 00 MAX   268
2022 01 07 05 56 MIN    34
2022 01 07 12 38 MAX   310
2022 01 07 18 45 MIN    72
2022 01 08 00 46 MAX   250
2022 01 08 06 39 MIN    61
2022 01 08 13 18 MAX   280
2022 01 08 19 30 MIN    87
2022 01 09 01 36 MAX   232
2022 01 09 07 24 MIN    90
2022 01 09 13 59 MAX   250
2022 01 09 20 21 MIN   100
2022 01 10 02 34 MAX   217
2022 01 10 08 17 MIN   117
2022 01 10 14 47 MAX   224
2022 01 10 21 22 MIN   107
2022 01 11 03 49 MAX   211
2022 01 11 09 32 MIN   136
2022 01 11 15 54 MAX   205
2022 01 11 22 30 MIN   107
2022 01 12 05 14 MAX   215
2022 01 12 11 14 MIN   141
2022 01 12 17 16 MAX   199
2022 01 12 23 34 MIN    99
2022 01 13 06 25 MAX   230
2022 01 13 12 37 MIN   132
2022 01 13 18 23 MAX   202
2022 01 14 00 29 MIN    88
2022 01 14 07 17 MAX   248
2022 01 14 13 31 MIN   118
2022 01 14 19 13 MAX   212
2022 01 15 01 16 MIN    74
2022 01 15 07 59 MAX   267
2022 01 15 14 12 MIN   103
2022 01 15 19 55 MAX   225
2022 01 16 01 58 MIN    60
2022 01 16 08 36 MAX   284
2022 01 16 14 46 MIN    89
2022 01 16 20 32 MAX   238
2022 01 17 02 36 MIN    47
2022 01 17 09 12 MAX   299
2022 01 17 15 19 MIN    78
2022 01 17 21 07 MAX   249
2022 01 18 03 11 MIN    36
2022 01 18 09 45 MAX   310
2022 01 18 15 49 MIN    69
2022 01 18 21 42 MAX   258
2022 01 19 03 45 MIN    28
2022 01 19 10 18 MAX   318
2022 01 19 16 19 MIN    62
2022 01 19 22 16 MAX   263
2022 01 20 04 19 MIN    25
2022 01 20 10 50 MAX   321
2022 01 20 16 50 MIN    59
2022 01 20 22 51 MAX   264
2022 01 21 04 52 MIN    27
2022 01 21 11 23 MAX   318
2022 01 21 17 23 MIN    58
2022 01 21 23 26 MAX   262
2022 01 22 05 28 MIN    35
2022 01 22 11 57 MAX   309
2022 01 22 17 57 MIN    61
2022 01 23 00 05 MAX   256
2022 01 23 06 06 MIN    49
2022 01 23 12 32 MAX   294
2022 01 23 18 35 MIN    66
2022 01 24 00 47 MAX   249
2022 01 24 06 48 MIN    68
2022 01 24 13 11 MAX   274
2022 01 24 19 18 MIN    73
2022 01 25 01 37 MAX   239
2022 01 25 07 40 MIN    90
2022 01 25 13 56 MAX   251
2022 01 25 20 10 MIN    81
2022 01 26 02 43 MAX   232
2022 01 26 08 50 MIN   112
2022 01 26 14 57 MAX   230
2022 01 26 21 16 MIN    85
2022 01 27 04 15 MAX   232
2022 01 27 10 26 MIN   124
2022 01 27 16 21 MAX   217
2022 01 27 22 36 MIN    83
2022 01 28 05 53 MAX   247
2022 01 28 12 05 MIN   117
2022 01 28 17 50 MAX   220
2022 01 28 23 56 MIN    69
2022 01 29 07 08 MAX   274
2022 01 29 13 18 MIN    97
2022 01 29 19 02 MAX   235
2022 01 30 01 06 MIN    48
2022 01 30 08 06 MAX   304
2022 01 30 14 13 MIN    72
2022 01 30 20 01 MAX   256
2022 01 31 02 03 MIN    23
2022 01 31 08 54 MAX   331
2022 01 31 14 58 MIN    50
2022 01 31 20 51 MAX   277
2022 02 01 02 53 MIN     2
2022 02 01 09 38 MAX   350
2022 02 01 15 40 MIN    33
2022 02 01 21 37 MAX   293
2022 02 02 03 37 MIN   -11
2022 02 02 10 19 MAX   358
2022 02 02 16 19 MIN    23
2022 02 02 22 19 MAX   301
2022 02 03 04 19 MIN   -12
2022 02 03 10 56 MAX   354
2022 02 03 16 56 MIN    23
2022 02 03 23 00 MAX   299
2022 02 04 04 57 MIN    -1
2022 02 04 11 31 MAX   338
2022 02 04 17 31 MIN    32
2022 02 04 23 38 MAX   289
2022 02 05 05 33 MIN    21
2022 02 05 12 04 MAX   312
2022 02 05 18 06 MIN    46
2022 02 06 00 15 MAX   272
2022 02 06 06 07 MIN    49
2022 02 06 12 33 MAX   281
2022 02 06 18 39 MIN    64
2022 02 07 00 52 MAX   252
2022 02 07 06 41 MIN    80
2022 02 07 12 59 MAX   250
2022 02 07 19 13 MIN    82
2022 02 08 01 32 MAX   232
2022 02 08 07 18 MIN   110
2022 02 08 13 24 MAX   222
2022 02 08 19 52 MIN    98
2022 02 09 02 25 MAX   215
2022 02 09 08 08 MIN   136
2022 02 09 13 57 MAX   198
2022 02 09 20 51 MIN   111
2022 02 10 03 52 MAX   206
2022 02 10 09 51 MIN   154
2022 02 10 15 25 MAX   180
2022 02 10 22 24 MIN   115
2022 02 11 05 47 MAX   213
2022 02 11 12 33 MIN   146
2022 02 11 17 49 MAX   181
2022 02 11 23 58 MIN   106
2022 02 12 07 01 MAX   233
2022 02 12 13 32 MIN   127
2022 02 12 19 00 MAX   197
2022 02 13 01 02 MIN    88
2022 02 13 07 48 MAX   255
2022 02 13 14 07 MIN   108
2022 02 13 19 46 MAX   216
2022 02 14 01 48 MIN    69
2022 02 14 08 25 MAX   276
2022 02 14 14 37 MIN    89
2022 02 14 20 23 MAX   236
2022 02 15 02 25 MIN    49
2022 02 15 08 57 MAX   296
2022 02 15 15 04 MIN    72
2022 02 15 20 57 MAX   254
2022 02 16 02 59 MIN    32
2022 02 16 09 28 MAX   313
2022 02 16 15 30 MIN    57
2022 02 16 21 30 MAX   270
2022 02 17 03 31 MIN    18
2022 02 17 09 59 MAX   326
2022 02 17 15 58 MIN    43
2022 02 17 22 03 MAX   283
2022 02 18 04 03 MIN     9
2022 02 18 10 29 MAX   333
2022 02 18 16 27 MIN    33
2022 02 18 22 37 MAX   292
2022 02 19 04 36 MIN     8
2022 02 19 11 00 MAX   333
2022 02 19 16 58 MIN    27
2022 02 19 23 12 MAX   295
2022 02 20 05 11 MIN    16
2022 02 20 11 32 MAX   323
2022 02 20 17 30 MIN    29
2022 02 20 23 48 MAX   291
2022 02 21 05 48 MIN    33
2022 02 21 12 05 MAX   304
2022 02 21 18 04 MIN    37
2022 02 22 00 27 MAX   281
2022 02 22 06 28 MIN    58
2022 02 22 12 40 MAX   278
2022 02 22 18 42 MIN    51
2022 02 23 01 11 MAX   265
2022 02 23 07 14 MIN    89
2022 02 23 13 20 MAX   249
2022 02 23 19 27 MIN    69
2022 02 24 02 08 MAX   245
2022 02 24 08 20 MIN   120
2022 02 24 14 14 MAX   219
2022 02 24 20 30 MIN    88
2022 02 25 03 44 MAX   232
2022 02 25 10 12 MIN   138
2022 02 25 15 50 MAX   199
2022 02 25 22 05 MIN    97
2022 02 26 05 51 MAX   242
2022 02 26 12 16 MIN   126
2022 02 26 17 47 MAX   204
2022 02 26 23 52 MIN    86
2022 02 27 07 10 MAX   270
2022 02 27 13 22 MIN    99
2022 02 27 19 03 MAX   229
2022 02 28 01 06 MIN    59
2022 02 28 08 01 MAX   301
2022 02 28 14 07 MIN    70
2022 02 28 19 57 MAX   258
2022 03 01 02 00 MIN    30
2022 03 01 08 43 MAX   327
2022 03 01 14 45 MIN    43
2022 03 01 20 42 MAX   285
2022 03 02 02 43 MIN     7
2022 03 02 09 21 MAX   344
2022 03 02 15 20 MIN    23
2022 03 02 21 23 MAX   305
2022 03 03 03 23 MIN    -6
2022 03 03 09 56 MAX   351
2022 03 03 15 54 MIN    12
2022 03 03 22 02 MAX   316
2022 03 04 03 59 MIN    -7
2022 03 04 10 30 MAX   345
2022 03 04 16 27 MIN    11
2022 03 04 22 38 MAX   316
2022 03 05 04 34 MIN     4
2022 03 05 11 00 MAX   329
2022 03 05 16 58 MIN    18
2022 03 05 23 12 MAX   307
2022 03 06 05 06 MIN    24
2022 03 06 11 27 MAX   305
2022 03 06 17 26 MIN    32
2022 03 06 23 44 MAX   292
2022 03 07 05 36 MIN    51
2022 03 07 11 50 MAX   278
2022 03 07 17 53 MIN    50
2022 03 08 00 14 MAX   274
2022 03 08 06 05 MIN    79
2022 03 08 12 11 MAX   251
2022 03 08 18 19 MIN    69
2022 03 09 00 47 MAX   253
2022 03 09 06 36 MIN   107
2022 03 09 12 30 MAX   226
2022 03 09 18 49 MIN    88
2022 03 10 01 27 MAX   233
2022 03 10 07 16 MIN   133
2022 03 10 12 54 MAX   203
2022 03 10 19 32 MIN   108
2022 03 11 02 32 MAX   214
2022 03 11 08 31 MIN   156
2022 03 11 13 43 MAX   181
2022 03 11 21 03 MIN   125
2022 03 12 04 47 MAX   209
2022 03 12 12 20 MIN   154
2022 03 12 17 16 MAX   174
2022 03 12 23 20 MIN   122
2022 03 13 06 34 MAX   227
2022 03 13 13 17 MIN   133
2022 03 13 18 46 MAX   194
2022 03 14 00 40 MIN   103
2022 03 14 07 24 MAX   250
2022 03 14 13 46 MIN   111
2022 03 14 19 29 MAX   217
2022 03 15 01 27 MIN    79
2022 03 15 07 59 MAX   273
2022 03 15 14 11 MIN    90
2022 03 15 20 04 MAX   241
2022 03 16 02 03 MIN    56
2022 03 16 08 30 MAX   295
2022 03 16 14 35 MIN    68
2022 03 16 20 37 MAX   265
2022 03 17 02 36 MIN    35
2022 03 17 09 00 MAX   315
2022 03 17 15 01 MIN    47
2022 03 17 21 09 MAX   288
2022 03 18 03 08 MIN    17
2022 03 18 09 30 MAX   331
2022 03 18 15 28 MIN    27
2022 03 18 21 43 MAX   308
2022 03 19 03 41 MIN     6
2022 03 19 10 01 MAX   339
2022 03 19 15 58 MIN    13
2022 03 19 22 17 MAX   322
2022 03 20 04 16 MIN     5
2022 03 20 10 33 MAX   338
2022 03 20 16 30 MIN     6
2022 03 20 22 53 MAX   328
2022 03 21 04 53 MIN    14
2022 03 21 11 06 MAX   326
2022 03 21 17 02 MIN     9
2022 03 21 23 30 MAX   323
2022 03 22 05 30 MIN    35
2022 03 22 11 40 MAX   304
2022 03 22 17 37 MIN    23
2022 03 23 00 09 MAX   308
2022 03 23 06 11 MIN    65
2022 03 23 12 15 MAX   274
2022 03 23 18 15 MIN    44
2022 03 24 00 54 MAX   284
2022 03 24 07 00 MIN   100
2022 03 24 12 56 MAX   241
2022 03 24 19 00 MIN    71
2022 03 25 01 52 MAX   257
2022 03 25 08 12 MIN   132
2022 03 25 13 54 MAX   210
2022 03 25 20 06 MIN    98
2022 03 26 03 37 MAX   238
2022 03 26 10 27 MIN   144
2022 03 26 15 52 MAX   193
2022 03 26 21 59 MIN   111
2022 03 27 05 47 MAX   248
2022 03 27 12 16 MIN   124
2022 03 27 17 51 MAX   209
2022 03 27 23 51 MIN    96
