<TOPS - 조위예측극치자료>

대상조위관측소 : 연평도
위도(WGS84) : N  37도 39분 28초
경도(WGS84) : E 125도 42분 52초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 02 12 MAX   562
2021 12 01 08 33 MIN   133
2021 12 01 14 51 MAX   589
2021 12 01 21 01 MIN   145
2021 12 02 03 06 MAX   591
2021 12 02 09 19 MIN    84
2021 12 02 15 42 MAX   652
2021 12 02 21 58 MIN   117
2021 12 03 03 54 MAX   614
2021 12 03 10 02 MIN    45
2021 12 03 16 30 MAX   703
2021 12 03 22 51 MIN   101
2021 12 04 04 39 MAX   626
2021 12 04 10 44 MIN    19
2021 12 04 17 16 MAX   735
2021 12 04 23 43 MIN    98
2021 12 05 05 24 MAX   628
2021 12 05 11 27 MIN     7
2021 12 05 18 02 MAX   748
2021 12 06 00 34 MIN   104
2021 12 06 06 09 MAX   620
2021 12 06 12 12 MIN     9
2021 12 06 18 48 MAX   742
2021 12 07 01 23 MIN   117
2021 12 07 06 55 MAX   602
2021 12 07 12 57 MIN    24
2021 12 07 19 35 MAX   720
2021 12 08 02 12 MIN   135
2021 12 08 07 42 MAX   578
2021 12 08 13 44 MIN    49
2021 12 08 20 23 MAX   684
2021 12 09 03 01 MIN   156
2021 12 09 08 32 MAX   547
2021 12 09 14 31 MIN    84
2021 12 09 21 12 MAX   639
2021 12 10 03 52 MIN   177
2021 12 10 09 26 MAX   514
2021 12 10 15 23 MIN   126
2021 12 10 22 06 MAX   589
2021 12 11 04 49 MIN   196
2021 12 11 10 28 MAX   485
2021 12 11 16 24 MIN   170
2021 12 11 23 07 MAX   543
2021 12 12 05 54 MIN   204
2021 12 12 11 43 MAX   471
2021 12 12 17 41 MIN   205
2021 12 13 00 17 MAX   510
2021 12 13 07 03 MIN   196
2021 12 13 13 02 MAX   481
2021 12 13 19 09 MIN   218
2021 12 14 01 28 MAX   498
2021 12 14 08 03 MIN   173
2021 12 14 14 11 MAX   512
2021 12 14 20 27 MIN   208
2021 12 15 02 28 MAX   503
2021 12 15 08 51 MIN   144
2021 12 15 15 07 MAX   554
2021 12 15 21 26 MIN   187
2021 12 16 03 17 MAX   518
2021 12 16 09 31 MIN   115
2021 12 16 15 52 MAX   593
2021 12 16 22 12 MIN   168
2021 12 17 03 58 MAX   534
2021 12 17 10 07 MIN    91
2021 12 17 16 32 MAX   625
2021 12 17 22 52 MIN   153
2021 12 18 04 35 MAX   548
2021 12 18 10 41 MIN    74
2021 12 18 17 08 MAX   647
2021 12 18 23 30 MIN   146
2021 12 19 05 11 MAX   557
2021 12 19 11 14 MIN    66
2021 12 19 17 43 MAX   658
2021 12 20 00 06 MIN   144
2021 12 20 05 45 MAX   561
2021 12 20 11 47 MIN    64
2021 12 20 18 15 MAX   661
2021 12 21 00 40 MIN   148
2021 12 21 06 18 MAX   559
2021 12 21 12 19 MIN    67
2021 12 21 18 47 MAX   658
2021 12 22 01 13 MIN   154
2021 12 22 06 51 MAX   553
2021 12 22 12 51 MIN    73
2021 12 22 19 19 MAX   651
2021 12 23 01 44 MIN   161
2021 12 23 07 24 MAX   545
2021 12 23 13 23 MIN    81
2021 12 23 19 51 MAX   641
2021 12 24 02 15 MIN   168
2021 12 24 07 59 MAX   534
2021 12 24 13 57 MIN    91
2021 12 24 20 27 MAX   626
2021 12 25 02 49 MIN   173
2021 12 25 08 39 MAX   520
2021 12 25 14 37 MIN   108
2021 12 25 21 07 MAX   604
2021 12 26 03 29 MIN   178
2021 12 26 09 27 MAX   506
2021 12 26 15 24 MIN   133
2021 12 26 21 55 MAX   576
2021 12 27 04 19 MIN   180
2021 12 27 10 28 MAX   496
2021 12 27 16 25 MIN   163
2021 12 27 22 54 MAX   547
2021 12 28 05 21 MIN   176
2021 12 28 11 43 MAX   499
2021 12 28 17 41 MIN   189
2021 12 28 23 59 MAX   526
2021 12 29 06 31 MIN   160
2021 12 29 13 02 MAX   526
2021 12 29 19 07 MIN   197
2021 12 30 01 18 MAX   520
2021 12 30 07 39 MIN   131
2021 12 30 14 14 MAX   572
2021 12 30 20 30 MIN   185
2021 12 31 02 26 MAX   531
2021 12 31 08 39 MIN    95
2021 12 31 15 17 MAX   624
2021 12 31 21 41 MIN   164
2022 01 01 03 27 MAX   550
2022 01 01 09 34 MIN    61
2022 01 01 16 14 MAX   672
2022 01 01 22 44 MIN   143
2022 01 02 04 22 MAX   570
2022 01 02 10 26 MIN    35
2022 01 02 17 06 MAX   706
2022 01 02 23 40 MIN   128
2022 01 03 05 14 MAX   586
2022 01 03 11 17 MIN    20
2022 01 03 17 56 MAX   725
2022 01 04 00 33 MIN   118
2022 01 04 06 03 MAX   596
2022 01 04 12 07 MIN    14
2022 01 04 18 43 MAX   727
2022 01 05 01 21 MIN   115
2022 01 05 06 50 MAX   599
2022 01 05 12 54 MIN    20
2022 01 05 19 29 MAX   715
2022 01 06 02 05 MIN   117
2022 01 06 07 36 MAX   592
2022 01 06 13 39 MIN    36
2022 01 06 20 11 MAX   688
2022 01 07 02 46 MIN   125
2022 01 07 08 21 MAX   577
2022 01 07 14 22 MIN    64
2022 01 07 20 51 MAX   650
2022 01 08 03 24 MIN   137
2022 01 08 09 06 MAX   553
2022 01 08 15 04 MIN   101
2022 01 08 21 31 MAX   603
2022 01 09 04 02 MIN   153
2022 01 09 09 55 MAX   525
2022 01 09 15 49 MIN   146
2022 01 09 22 13 MAX   553
2022 01 10 04 45 MIN   169
2022 01 10 10 49 MAX   498
2022 01 10 16 42 MIN   193
2022 01 10 23 02 MAX   505
2022 01 11 05 37 MIN   181
2022 01 11 11 57 MAX   482
2022 01 11 17 52 MIN   233
2022 01 12 00 04 MAX   467
2022 01 12 06 43 MIN   184
2022 01 12 13 14 MAX   486
2022 01 12 19 23 MIN   251
2022 01 13 01 21 MAX   449
2022 01 13 07 50 MIN   174
2022 01 13 14 28 MAX   512
2022 01 13 20 48 MIN   240
2022 01 14 02 33 MAX   457
2022 01 14 08 49 MIN   152
2022 01 14 15 27 MAX   549
2022 01 14 21 51 MIN   216
2022 01 15 03 31 MAX   478
2022 01 15 09 38 MIN   128
2022 01 15 16 14 MAX   586
2022 01 15 22 39 MIN   191
2022 01 16 04 17 MAX   504
2022 01 16 10 21 MIN   106
2022 01 16 16 54 MAX   615
2022 01 16 23 19 MIN   172
2022 01 17 04 57 MAX   528
2022 01 17 10 59 MIN    89
2022 01 17 17 30 MAX   637
2022 01 17 23 56 MIN   158
2022 01 18 05 34 MAX   547
2022 01 18 11 35 MIN    76
2022 01 18 18 03 MAX   652
2022 01 19 00 30 MIN   150
2022 01 19 06 08 MAX   561
2022 01 19 12 09 MIN    66
2022 01 19 18 35 MAX   662
2022 01 20 01 02 MIN   143
2022 01 20 06 41 MAX   571
2022 01 20 12 42 MIN    60
2022 01 20 19 06 MAX   667
2022 01 21 01 31 MIN   138
2022 01 21 07 14 MAX   578
2022 01 21 13 15 MIN    58
2022 01 21 19 38 MAX   667
2022 01 22 01 59 MIN   132
2022 01 22 07 48 MAX   580
2022 01 22 13 48 MIN    63
2022 01 22 20 10 MAX   658
2022 01 23 02 27 MIN   127
2022 01 23 08 26 MAX   578
2022 01 23 14 25 MIN    78
2022 01 23 20 46 MAX   639
2022 01 24 03 00 MIN   125
2022 01 24 09 08 MAX   569
2022 01 24 15 06 MIN   106
2022 01 24 21 26 MAX   607
2022 01 25 03 39 MIN   128
2022 01 25 09 58 MAX   555
2022 01 25 15 56 MIN   146
2022 01 25 22 12 MAX   565
2022 01 26 04 28 MIN   136
2022 01 26 10 59 MAX   540
2022 01 26 17 00 MIN   192
2022 01 26 23 11 MAX   521
2022 01 27 05 31 MIN   146
2022 01 27 12 17 MAX   536
2022 01 27 18 26 MIN   227
2022 01 28 00 27 MAX   487
2022 01 28 06 49 MIN   146
2022 01 28 13 43 MAX   555
2022 01 28 20 09 MIN   233
