<TOPS - 조위예측극치자료>

대상조위관측소 : 영광
위도(WGS84) : N  35도 25분 34초
경도(WGS84) : E 126도 25분 14초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 06 12 MIN   120
2021 12 01 12 15 MAX   549
2021 12 01 18 44 MIN   135
2021 12 02 00 32 MAX   554
2021 12 02 07 02 MIN    72
2021 12 02 13 08 MAX   608
2021 12 02 19 39 MIN   104
2021 12 03 01 20 MAX   575
2021 12 03 07 48 MIN    32
2021 12 03 13 56 MAX   656
2021 12 03 20 29 MIN    83
2021 12 04 02 05 MAX   587
2021 12 04 08 32 MIN     5
2021 12 04 14 42 MAX   687
2021 12 04 21 17 MIN    75
2021 12 05 02 50 MAX   589
2021 12 05 09 16 MIN    -7
2021 12 05 15 28 MAX   699
2021 12 05 22 04 MIN    79
2021 12 06 03 35 MAX   582
2021 12 06 10 00 MIN    -5
2021 12 06 16 14 MAX   693
2021 12 06 22 51 MIN    93
2021 12 07 04 20 MAX   566
2021 12 07 10 45 MIN    12
2021 12 07 17 02 MAX   673
2021 12 07 23 38 MIN   113
2021 12 08 05 07 MAX   543
2021 12 08 11 30 MIN    40
2021 12 08 17 51 MAX   641
2021 12 09 00 28 MIN   137
2021 12 09 05 58 MAX   516
2021 12 09 12 19 MIN    77
2021 12 09 18 42 MAX   602
2021 12 10 01 21 MIN   160
2021 12 10 06 52 MAX   487
2021 12 10 13 13 MIN   121
2021 12 10 19 37 MAX   560
2021 12 11 02 20 MIN   178
2021 12 11 07 55 MAX   461
2021 12 11 14 17 MIN   164
2021 12 11 20 39 MAX   520
2021 12 12 03 27 MIN   186
2021 12 12 09 09 MAX   447
2021 12 12 15 35 MIN   195
2021 12 12 21 49 MAX   491
2021 12 13 04 36 MIN   179
2021 12 13 10 31 MAX   454
2021 12 13 17 00 MIN   203
2021 12 13 22 59 MAX   478
2021 12 14 05 38 MIN   160
2021 12 14 11 46 MAX   482
2021 12 14 18 12 MIN   193
2021 12 15 00 01 MAX   479
2021 12 15 06 30 MIN   136
2021 12 15 12 43 MAX   518
2021 12 15 19 09 MIN   174
2021 12 16 00 50 MAX   487
2021 12 16 07 13 MIN   113
2021 12 16 13 28 MAX   552
2021 12 16 19 54 MIN   157
2021 12 17 01 31 MAX   497
2021 12 17 07 50 MIN    94
2021 12 17 14 06 MAX   577
2021 12 17 20 33 MIN   144
2021 12 18 02 08 MAX   506
2021 12 18 08 23 MIN    81
2021 12 18 14 41 MAX   593
2021 12 18 21 08 MIN   136
2021 12 19 02 42 MAX   513
2021 12 19 08 55 MIN    73
2021 12 19 15 14 MAX   601
2021 12 19 21 40 MIN   133
2021 12 20 03 15 MAX   517
2021 12 20 09 26 MIN    69
2021 12 20 15 46 MAX   603
2021 12 20 22 12 MIN   133
2021 12 21 03 47 MAX   516
2021 12 21 09 59 MIN    69
2021 12 21 16 18 MAX   601
2021 12 21 22 45 MIN   136
2021 12 22 04 20 MAX   513
2021 12 22 10 31 MIN    73
2021 12 22 16 51 MAX   596
2021 12 22 23 19 MIN   141
2021 12 23 04 54 MAX   507
2021 12 23 11 05 MIN    80
2021 12 23 17 25 MAX   589
2021 12 23 23 54 MIN   148
2021 12 24 05 30 MAX   499
2021 12 24 11 41 MIN    91
2021 12 24 18 02 MAX   578
2021 12 25 00 33 MIN   155
2021 12 25 06 10 MAX   490
2021 12 25 12 21 MIN   108
2021 12 25 18 43 MAX   562
2021 12 26 01 15 MIN   162
2021 12 26 06 57 MAX   480
2021 12 26 13 09 MIN   131
2021 12 26 19 30 MAX   541
2021 12 27 02 05 MIN   166
2021 12 27 07 54 MAX   474
2021 12 27 14 08 MIN   159
2021 12 27 20 26 MAX   518
2021 12 28 03 04 MIN   162
2021 12 28 09 03 MAX   476
2021 12 28 15 23 MIN   181
2021 12 28 21 32 MAX   499
2021 12 29 04 11 MIN   148
2021 12 29 10 21 MAX   497
2021 12 29 16 51 MIN   187
2021 12 29 22 43 MAX   493
2021 12 30 05 20 MIN   121
2021 12 30 11 37 MAX   536
2021 12 30 18 12 MIN   172
2021 12 30 23 52 MAX   501
2021 12 31 06 23 MIN    87
2021 12 31 12 41 MAX   582
2021 12 31 19 19 MIN   146
2022 01 01 00 51 MAX   518
2022 01 01 07 19 MIN    52
2022 01 01 13 38 MAX   625
2022 01 01 20 16 MIN   121
2022 01 02 01 46 MAX   536
2022 01 02 08 12 MIN    24
2022 01 02 14 29 MAX   656
2022 01 02 21 08 MIN   102
2022 01 03 02 36 MAX   551
2022 01 03 09 03 MIN     6
2022 01 03 15 19 MAX   673
2022 01 03 21 57 MIN    91
2022 01 04 03 25 MAX   559
2022 01 04 09 52 MIN     0
2022 01 04 16 07 MAX   675
2022 01 04 22 44 MIN    87
2022 01 05 04 13 MAX   561
2022 01 05 10 38 MIN     7
2022 01 05 16 53 MAX   665
2022 01 05 23 29 MIN    90
2022 01 06 05 00 MAX   555
2022 01 06 11 24 MIN    25
2022 01 06 17 38 MAX   643
2022 01 07 00 12 MIN   100
2022 01 07 05 47 MAX   541
2022 01 07 12 08 MIN    56
2022 01 07 18 21 MAX   611
2022 01 08 00 56 MIN   116
2022 01 08 06 34 MAX   520
2022 01 08 12 53 MIN    96
2022 01 08 19 05 MAX   570
2022 01 09 01 39 MIN   136
2022 01 09 07 24 MAX   495
2022 01 09 13 40 MIN   143
2022 01 09 19 51 MAX   524
2022 01 10 02 27 MIN   156
2022 01 10 08 20 MAX   470
2022 01 10 14 37 MIN   189
2022 01 10 20 43 MAX   478
2022 01 11 03 22 MIN   172
2022 01 11 09 28 MAX   453
2022 01 11 15 51 MIN   225
