<TOPS - 조위예측극치자료>

대상조위관측소 : 왕돌초
위도(WGS84) : N  36도 43분 09초
경도(WGS84) : E 129도 43분 57초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 00 27 MAX    17
2021 12 01 06 43 MIN     7
2021 12 01 12 53 MAX    16
2021 12 01 18 53 MIN     9
2021 12 02 00 44 MAX    18
2021 12 02 07 25 MIN     4
2021 12 02 14 10 MAX    17
2021 12 02 19 26 MIN    12
2021 12 03 01 07 MAX    21
2021 12 03 08 06 MIN     2
2021 12 03 15 54 MAX    19
2021 12 03 19 55 MIN    16
2021 12 04 01 36 MAX    24
2021 12 04 08 51 MIN     1
2021 12 04 17 34 MAX    20
2021 12 04 20 25 MIN    18
2021 12 05 02 13 MAX    27
2021 12 05 09 42 MIN     0
2021 12 05 18 39 MAX    21
2021 12 05 20 56 MIN    20
2021 12 06 02 54 MAX    29
2021 12 06 10 39 MIN     0
2021 12 07 03 41 MAX    30
2021 12 07 11 45 MIN     0
2021 12 08 04 33 MAX    29
2021 12 08 12 50 MIN     1
2021 12 08 21 23 MAX    20
2021 12 08 23 27 MIN    19
2021 12 09 05 32 MAX    27
2021 12 09 13 49 MIN     2
2021 12 09 22 02 MAX    18
2021 12 10 01 24 MIN    17
2021 12 10 06 44 MAX    23
2021 12 10 14 45 MIN     3
2021 12 10 22 31 MAX    17
2021 12 11 02 50 MIN    14
2021 12 11 08 06 MAX    20
2021 12 11 15 39 MIN     4
2021 12 11 22 52 MAX    16
2021 12 12 04 15 MIN    11
2021 12 12 09 29 MAX    16
2021 12 12 16 32 MIN     5
2021 12 12 23 10 MAX    15
2021 12 13 05 37 MIN     7
2021 12 13 10 57 MAX    13
2021 12 13 17 23 MIN     6
2021 12 13 23 32 MAX    15
2021 12 14 06 39 MIN     4
2021 12 14 12 36 MAX    11
2021 12 14 18 07 MIN     7
2021 12 14 23 57 MAX    15
2021 12 15 07 27 MIN     1
2021 12 15 14 30 MAX    11
2021 12 15 18 45 MIN     8
2021 12 16 00 23 MAX    15
2021 12 16 08 07 MIN     0
2021 12 16 15 56 MAX    12
2021 12 16 19 17 MIN    10
2021 12 17 00 50 MAX    16
2021 12 17 08 41 MIN    -1
2021 12 17 16 53 MAX    13
2021 12 17 19 41 MIN    11
2021 12 18 01 15 MAX    17
2021 12 18 09 14 MIN    -1
2021 12 18 17 41 MAX    14
2021 12 18 19 58 MIN    13
2021 12 19 01 42 MAX    18
2021 12 19 09 46 MIN    -1
2021 12 20 02 12 MAX    19
2021 12 20 10 20 MIN    -1
2021 12 21 02 47 MAX    20
2021 12 21 10 59 MIN    -1
2021 12 22 03 24 MAX    20
2021 12 22 11 42 MIN     0
2021 12 23 04 06 MAX    20
2021 12 23 12 27 MIN     0
2021 12 24 04 51 MAX    19
2021 12 24 13 12 MIN     0
2021 12 25 05 41 MAX    18
2021 12 25 13 57 MIN     0
2021 12 25 21 54 MAX    13
2021 12 26 01 36 MIN    11
2021 12 26 06 44 MAX    15
2021 12 26 14 43 MIN     1
2021 12 26 22 16 MAX    13
2021 12 27 03 01 MIN     9
2021 12 27 08 02 MAX    13
2021 12 27 15 32 MIN     3
2021 12 27 22 33 MAX    13
2021 12 28 04 21 MIN     7
2021 12 28 09 37 MAX    12
2021 12 28 16 24 MIN     5
2021 12 28 22 50 MAX    14
2021 12 29 05 27 MIN     4
2021 12 29 11 33 MAX    11
2021 12 29 17 15 MIN     8
2021 12 29 23 12 MAX    15
2021 12 30 06 21 MIN     1
2021 12 30 14 11 MAX    12
2021 12 30 17 58 MIN    10
2021 12 30 23 43 MAX    17
2021 12 31 07 09 MIN    -1
2021 12 31 15 57 MAX    14
2021 12 31 18 35 MIN    13
2022 01 01 00 19 MAX    20
2022 01 01 07 58 MIN    -3
2022 01 01 17 02 MAX    16
2022 01 01 18 57 MIN    15
2022 01 02 01 01 MAX    22
2022 01 02 08 50 MIN    -4
2022 01 02 17 58 MAX    17
2022 01 02 19 30 MIN    16
2022 01 03 01 54 MAX    25
2022 01 03 09 47 MIN    -4
2022 01 04 02 43 MAX    26
2022 01 04 10 44 MIN    -4
2022 01 05 03 35 MAX    26
2022 01 05 11 42 MIN    -3
2022 01 06 04 29 MAX    25
2022 01 06 12 34 MIN    -2
2022 01 06 21 00 MAX    14
2022 01 06 23 33 MIN    13
2022 01 07 05 25 MAX    22
2022 01 07 13 21 MIN    -1
2022 01 07 21 07 MAX    13
2022 01 08 00 56 MIN    11
2022 01 08 06 28 MAX    18
2022 01 08 14 04 MIN     0
2022 01 08 21 19 MAX    12
2022 01 09 02 20 MIN     8
2022 01 09 07 40 MAX    14
2022 01 09 14 45 MIN     2
2022 01 09 21 34 MAX    11
2022 01 10 03 46 MIN     5
2022 01 10 09 04 MAX    10
2022 01 10 15 24 MIN     3
2022 01 10 21 52 MAX    11
2022 01 11 05 06 MIN     1
2022 01 11 10 56 MAX     7
2022 01 11 16 06 MIN     4
2022 01 11 22 16 MAX    11
2022 01 12 06 14 MIN    -1
2022 01 12 22 45 MAX    11
2022 01 13 07 04 MIN    -4
2022 01 13 23 15 MAX    11
2022 01 14 07 49 MIN    -5
2022 01 14 23 57 MAX    12
2022 01 15 08 29 MIN    -5
2022 01 16 00 27 MAX    12
2022 01 16 09 03 MIN    -6
2022 01 17 01 19 MAX    14
2022 01 17 09 39 MIN    -5
2022 01 18 01 59 MAX    15
2022 01 18 10 15 MIN    -5
2022 01 19 02 40 MAX    16
2022 01 19 10 52 MIN    -5
2022 01 20 03 23 MAX    17
2022 01 20 11 29 MIN    -5
2022 01 21 04 04 MAX    16
2022 01 21 12 06 MIN    -4
2022 01 21 20 02 MAX     9
2022 01 21 22 52 MIN     8
2022 01 22 04 52 MAX    16
2022 01 22 12 41 MIN    -4
2022 01 22 20 14 MAX     9
2022 01 23 00 03 MIN     7
2022 01 23 05 43 MAX    14
2022 01 23 13 18 MIN    -2
2022 01 23 20 25 MAX     9
2022 01 24 01 14 MIN     5
2022 01 24 06 43 MAX    12
2022 01 24 13 53 MIN     0
2022 01 24 20 39 MAX     9
2022 01 25 02 27 MIN     3
2022 01 25 08 00 MAX     9
2022 01 25 14 27 MIN     2
2022 01 25 20 56 MAX    10
2022 01 26 03 43 MIN     0
2022 01 26 09 59 MAX     7
2022 01 26 14 56 MIN     5
2022 01 26 21 24 MAX    12
2022 01 27 04 58 MIN    -2
2022 01 27 22 01 MAX    13
2022 01 28 06 03 MIN    -4
2022 01 28 22 52 MAX    15
2022 01 29 07 02 MIN    -6
2022 01 29 23 53 MAX    17
2022 01 30 07 59 MIN    -7
2022 01 31 00 51 MAX    18
2022 01 31 08 54 MIN    -8
2022 02 01 01 51 MAX    20
2022 02 01 09 49 MIN    -8
2022 02 02 02 43 MAX    20
2022 02 02 10 40 MIN    -7
2022 02 02 19 15 MAX    10
2022 02 02 21 03 MIN     9
2022 02 03 03 34 MAX    20
2022 02 03 11 24 MIN    -7
2022 02 03 19 30 MAX     9
2022 02 03 22 27 MIN     7
2022 02 04 04 25 MAX    18
2022 02 04 12 05 MIN    -5
2022 02 04 19 29 MAX     8
2022 02 04 23 35 MIN     5
2022 02 05 05 17 MAX    15
2022 02 05 12 41 MIN    -4
2022 02 05 19 30 MAX     8
2022 02 06 00 42 MIN     3
2022 02 06 06 16 MAX    11
2022 02 06 13 14 MIN    -2
2022 02 06 19 37 MAX     8
2022 02 07 01 51 MIN     0
2022 02 07 07 24 MAX     8
2022 02 07 13 40 MIN    -1
2022 02 07 19 54 MAX     8
2022 02 08 03 05 MIN    -2
2022 02 08 09 01 MAX     4
2022 02 08 13 55 MIN     1
2022 02 08 20 15 MAX     7
2022 02 09 04 20 MIN    -4
2022 02 09 20 35 MAX     7
2022 02 10 05 30 MIN    -6
2022 02 10 21 01 MAX     7
2022 02 11 06 32 MIN    -7
2022 02 11 21 42 MAX     7
2022 02 12 07 24 MIN    -8
2022 02 12 22 48 MAX     7
2022 02 13 08 07 MIN    -9
2022 02 14 00 11 MAX     8
2022 02 14 08 47 MIN    -9
2022 02 15 01 09 MAX     9
2022 02 15 09 23 MIN    -9
2022 02 16 01 55 MAX    10
2022 02 16 09 57 MIN    -9
2022 02 17 02 41 MAX    12
2022 02 17 10 30 MIN    -9
2022 02 17 17 52 MAX     5
2022 02 17 21 12 MIN     3
2022 02 18 03 21 MAX    12
2022 02 18 11 02 MIN    -8
2022 02 18 18 06 MAX     5
2022 02 18 22 04 MIN     3
2022 02 19 04 06 MAX    12
2022 02 19 11 34 MIN    -6
2022 02 19 18 03 MAX     6
2022 02 19 23 00 MIN     1
2022 02 20 04 53 MAX    12
2022 02 20 12 04 MIN    -4
2022 02 20 18 10 MAX     7
2022 02 20 23 55 MIN     0
2022 02 21 05 47 MAX    10
2022 02 21 12 31 MIN    -2
2022 02 21 18 32 MAX     8
2022 02 22 00 54 MIN    -2
2022 02 22 06 55 MAX     8
2022 02 22 13 01 MIN     1
2022 02 22 19 00 MAX     9
2022 02 23 02 01 MIN    -4
2022 02 23 08 39 MAX     6
2022 02 23 13 22 MIN     3
2022 02 23 19 33 MAX    10
2022 02 24 03 16 MIN    -6
2022 02 24 20 15 MAX    11
2022 02 25 04 34 MIN    -7
2022 02 25 21 11 MAX    12
2022 02 26 05 48 MIN    -8
2022 02 26 22 21 MAX    12
2022 02 27 06 56 MIN    -9
2022 02 27 23 45 MAX    13
2022 02 28 07 56 MIN   -10
2022 03 01 00 57 MAX    14
2022 03 01 08 50 MIN   -10
2022 03 01 17 44 MAX     6
2022 03 01 19 46 MIN     5
2022 03 02 01 54 MAX    14
2022 03 02 09 38 MIN    -9
2022 03 02 17 49 MAX     6
2022 03 02 20 43 MIN     4
2022 03 03 02 45 MAX    14
2022 03 03 10 18 MIN    -8
2022 03 03 17 39 MAX     5
2022 03 03 21 41 MIN     2
2022 03 04 03 33 MAX    13
2022 03 04 10 52 MIN    -7
2022 03 04 17 34 MAX     5
2022 03 04 22 36 MIN     1
2022 03 05 04 21 MAX    12
2022 03 05 11 25 MIN    -5
2022 03 05 17 22 MAX     6
2022 03 05 23 30 MIN    -1
2022 03 06 05 16 MAX     9
2022 03 06 11 55 MIN    -3
2022 03 06 17 45 MAX     6
2022 03 07 00 25 MIN    -3
2022 03 07 06 15 MAX     7
2022 03 07 12 19 MIN    -1
2022 03 07 17 59 MAX     7
2022 03 08 01 22 MIN    -5
2022 03 08 07 48 MAX     4
2022 03 08 12 30 MIN     0
2022 03 08 18 18 MAX     7
2022 03 09 02 21 MIN    -6
2022 03 09 09 50 MAX     2
2022 03 09 12 21 MIN     1
2022 03 09 18 35 MAX     7
2022 03 10 03 24 MIN    -7
2022 03 10 18 56 MAX     7
2022 03 11 04 32 MIN    -8
2022 03 11 19 24 MAX     6
2022 03 12 05 39 MIN    -9
2022 03 12 20 10 MAX     5
2022 03 13 06 42 MIN    -9
2022 03 13 21 54 MAX     5
2022 03 14 07 32 MIN   -10
2022 03 14 23 44 MAX     5
2022 03 15 08 14 MIN   -10
2022 03 16 01 04 MAX     7
2022 03 16 08 50 MIN   -10
2022 03 16 15 59 MAX     3
2022 03 16 19 51 MIN     1
2022 03 17 01 51 MAX     8
2022 03 17 09 23 MIN    -9
2022 03 17 16 03 MAX     4
2022 03 17 20 36 MIN     1
2022 03 18 02 36 MAX     9
2022 03 18 09 53 MIN    -8
2022 03 18 16 10 MAX     5
2022 03 18 21 22 MIN     0
2022 03 19 03 21 MAX    10
2022 03 19 10 21 MIN    -6
2022 03 19 16 24 MAX     6
2022 03 19 22 06 MIN    -1
2022 03 20 04 07 MAX    11
2022 03 20 10 50 MIN    -3
2022 03 20 16 36 MAX     8
2022 03 20 22 52 MIN    -3
2022 03 21 05 04 MAX    10
2022 03 21 11 16 MIN     0
2022 03 21 16 59 MAX    10
