<TOPS - 조위예측극치자료>

대상조위관측소 : 위도
위도(WGS84) : N  35도 37분 05초
경도(WGS84) : E 126도 18분 07초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 06 26 MIN   110
2021 12 01 12 23 MAX   521
2021 12 01 18 56 MIN   129
2021 12 02 00 37 MAX   528
2021 12 02 07 14 MIN    65
2021 12 02 13 14 MAX   576
2021 12 02 19 51 MIN    93
2021 12 03 01 26 MAX   549
2021 12 03 08 00 MIN    27
2021 12 03 14 01 MAX   623
2021 12 03 20 41 MIN    68
2021 12 04 02 11 MAX   561
2021 12 04 08 44 MIN    -1
2021 12 04 14 47 MAX   656
2021 12 04 21 29 MIN    56
2021 12 05 02 56 MAX   563
2021 12 05 09 28 MIN   -16
2021 12 05 15 34 MAX   672
2021 12 05 22 16 MIN    59
2021 12 06 03 40 MAX   556
2021 12 06 10 12 MIN   -17
2021 12 06 16 21 MAX   669
2021 12 06 23 04 MIN    73
2021 12 07 04 27 MAX   541
2021 12 07 10 56 MIN    -4
2021 12 07 17 10 MAX   651
2021 12 07 23 52 MIN    95
2021 12 08 05 14 MAX   520
2021 12 08 11 43 MIN    24
2021 12 08 17 59 MAX   620
2021 12 09 00 42 MIN   121
2021 12 09 06 05 MAX   496
2021 12 09 12 31 MIN    63
2021 12 09 18 51 MAX   581
2021 12 10 01 35 MIN   145
2021 12 10 07 01 MAX   471
2021 12 10 13 26 MIN   109
2021 12 10 19 47 MAX   539
2021 12 11 02 33 MIN   164
2021 12 11 08 04 MAX   449
2021 12 11 14 30 MIN   154
2021 12 11 20 47 MAX   501
2021 12 12 03 37 MIN   172
2021 12 12 09 18 MAX   437
2021 12 12 15 47 MIN   186
2021 12 12 21 54 MAX   473
2021 12 13 04 44 MIN   167
2021 12 13 10 38 MAX   444
2021 12 13 17 09 MIN   197
2021 12 13 23 02 MAX   460
2021 12 14 05 45 MIN   151
2021 12 14 11 50 MAX   468
2021 12 14 18 19 MIN   189
