<TOPS - 조위예측극치자료>

대상조위관측소 : 읍천항
위도(WGS84) : N  35도 41분 27초
경도(WGS84) : E 129도 28분 32초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 03 19 MAX    17
2021 12 01 09 42 MIN     6
2021 12 01 16 19 MAX    19
2021 12 01 22 10 MIN     7
2021 12 02 03 51 MAX    17
2021 12 02 10 26 MIN     2
2021 12 02 17 17 MAX    21
2021 12 02 23 03 MIN     7
2021 12 03 04 23 MAX    17
2021 12 03 11 10 MIN    -1
2021 12 03 18 10 MAX    24
2021 12 03 23 50 MIN     8
2021 12 04 04 56 MAX    17
2021 12 04 11 54 MIN    -4
2021 12 04 19 00 MAX    25
2021 12 05 00 34 MIN    10
2021 12 05 05 31 MAX    18
2021 12 05 12 40 MIN    -6
2021 12 05 19 49 MAX    26
2021 12 06 01 16 MIN    12
2021 12 06 06 07 MAX    19
2021 12 06 13 27 MIN    -7
2021 12 06 20 39 MAX    25
2021 12 07 01 57 MIN    13
2021 12 07 06 45 MAX    21
2021 12 07 14 14 MIN    -7
2021 12 07 21 30 MAX    24
2021 12 08 02 39 MIN    14
2021 12 08 07 24 MAX    21
2021 12 08 15 03 MIN    -5
2021 12 08 22 24 MAX    22
2021 12 09 03 22 MIN    15
2021 12 09 08 08 MAX    21
2021 12 09 15 52 MIN    -3
2021 12 09 23 21 MAX    20
2021 12 10 04 11 MIN    14
2021 12 10 08 57 MAX    20
2021 12 10 16 45 MIN     0
2021 12 11 00 17 MAX    19
2021 12 11 05 08 MIN    13
2021 12 11 10 01 MAX    18
2021 12 11 17 43 MIN     3
2021 12 12 01 05 MAX    17
2021 12 12 06 15 MIN    10
2021 12 12 11 34 MAX    16
2021 12 12 18 55 MIN     5
2021 12 13 01 47 MAX    16
2021 12 13 07 29 MIN     8
2021 12 13 13 35 MAX    14
2021 12 13 20 22 MIN     7
2021 12 14 02 27 MAX    16
2021 12 14 08 39 MIN     5
2021 12 14 15 31 MAX    15
2021 12 14 21 42 MIN     8
2021 12 15 03 08 MAX    15
2021 12 15 09 39 MIN     2
2021 12 15 16 50 MAX    16
2021 12 15 22 43 MIN     8
2021 12 16 03 48 MAX    15
2021 12 16 10 28 MIN     0
2021 12 16 17 43 MAX    17
2021 12 16 23 30 MIN     8
2021 12 17 04 30 MAX    15
2021 12 17 11 11 MIN    -2
2021 12 17 18 24 MAX    18
2021 12 18 00 09 MIN     8
2021 12 18 05 09 MAX    14
2021 12 18 11 50 MIN    -3
2021 12 18 18 58 MAX    18
2021 12 19 00 42 MIN     9
2021 12 19 05 44 MAX    14
2021 12 19 12 27 MIN    -4
2021 12 19 19 30 MAX    19
2021 12 20 01 09 MIN     9
2021 12 20 06 15 MAX    15
2021 12 20 13 02 MIN    -5
2021 12 20 20 00 MAX    18
2021 12 21 01 35 MIN     9
2021 12 21 06 44 MAX    15
2021 12 21 13 37 MIN    -6
2021 12 21 20 32 MAX    18
2021 12 22 02 03 MIN     9
2021 12 22 07 13 MAX    15
2021 12 22 14 12 MIN    -6
2021 12 22 21 05 MAX    18
2021 12 23 02 35 MIN     9
2021 12 23 07 44 MAX    15
2021 12 23 14 47 MIN    -6
2021 12 23 21 40 MAX    17
2021 12 24 03 12 MIN     8
2021 12 24 08 17 MAX    14
2021 12 24 15 24 MIN    -5
2021 12 24 22 20 MAX    16
2021 12 25 03 53 MIN     8
2021 12 25 08 56 MAX    13
2021 12 25 16 04 MIN    -4
2021 12 25 23 01 MAX    15
2021 12 26 04 40 MIN     7
2021 12 26 09 46 MAX    12
2021 12 26 16 49 MIN    -2
2021 12 26 23 45 MAX    14
