<TOPS - 조위예측극치자료>

대상조위관측소 : 이어도
위도(WGS84) : N  32도 07분 22초
경도(WGS84) : E 125도 10분 56초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 01 41 MIN    50
2021 12 01 08 01 MAX   200
2021 12 01 14 06 MIN    64
2021 12 01 20 01 MAX   204
2021 12 02 02 19 MIN    29
2021 12 02 08 46 MAX   226
2021 12 02 14 56 MIN    55
2021 12 02 20 44 MAX   210
2021 12 03 02 58 MIN     9
2021 12 03 09 32 MAX   250
2021 12 03 15 44 MIN    49
2021 12 03 21 27 MAX   214
2021 12 04 03 40 MIN    -7
2021 12 04 10 19 MAX   267
2021 12 04 16 34 MIN    48
2021 12 04 22 11 MAX   215
2021 12 05 04 23 MIN   -16
2021 12 05 11 06 MAX   276
2021 12 05 17 23 MIN    52
2021 12 05 22 55 MAX   212
2021 12 06 05 07 MIN   -16
2021 12 06 11 54 MAX   274
2021 12 06 18 13 MIN    60
2021 12 06 23 40 MAX   204
2021 12 07 05 53 MIN    -8
2021 12 07 12 43 MAX   264
2021 12 07 19 06 MIN    69
2021 12 08 00 26 MAX   191
2021 12 08 06 41 MIN     8
2021 12 08 13 34 MAX   246
2021 12 08 20 02 MIN    78
2021 12 09 01 16 MAX   176
2021 12 09 07 32 MIN    30
2021 12 09 14 28 MAX   225
2021 12 09 21 02 MIN    85
2021 12 10 02 12 MAX   161
2021 12 10 08 30 MIN    53
2021 12 10 15 26 MAX   204
2021 12 10 22 11 MIN    86
2021 12 11 03 26 MAX   149
2021 12 11 09 40 MIN    74
2021 12 11 16 30 MAX   187
2021 12 11 23 23 MIN    82
2021 12 12 05 06 MAX   146
2021 12 12 11 08 MIN    87
2021 12 12 17 37 MAX   175
2021 12 13 00 26 MIN    73
2021 12 13 06 40 MAX   155
2021 12 13 12 36 MIN    91
2021 12 13 18 37 MAX   169
2021 12 14 01 15 MIN    63
2021 12 14 07 43 MAX   169
2021 12 14 13 43 MIN    89
2021 12 14 19 28 MAX   166
2021 12 15 01 55 MIN    52
2021 12 15 08 29 MAX   183
2021 12 15 14 36 MIN    84
2021 12 15 20 11 MAX   166
2021 12 16 02 31 MIN    42
2021 12 16 09 08 MAX   197
2021 12 16 15 19 MIN    78
2021 12 16 20 50 MAX   168
2021 12 17 03 04 MIN    33
2021 12 17 09 45 MAX   210
2021 12 17 15 58 MIN    73
2021 12 17 21 26 MAX   171
2021 12 18 03 36 MIN    25
2021 12 18 10 19 MAX   220
2021 12 18 16 32 MIN    70
2021 12 18 22 00 MAX   173
2021 12 19 04 07 MIN    19
2021 12 19 10 53 MAX   227
2021 12 19 17 05 MIN    68
2021 12 19 22 31 MAX   176
2021 12 20 04 38 MIN    15
2021 12 20 11 25 MAX   231
2021 12 20 17 37 MIN    68
2021 12 20 23 03 MAX   177
2021 12 21 05 09 MIN    14
2021 12 21 11 57 MAX   230
2021 12 21 18 10 MIN    69
2021 12 21 23 34 MAX   176
2021 12 22 05 42 MIN    17
2021 12 22 12 30 MAX   226
2021 12 22 18 44 MIN    72
2021 12 23 00 08 MAX   172
2021 12 23 06 17 MIN    23
2021 12 23 13 05 MAX   219
2021 12 23 19 22 MIN    74
2021 12 24 00 45 MAX   166
2021 12 24 06 54 MIN    34
2021 12 24 13 43 MAX   210
2021 12 24 20 04 MIN    77
2021 12 25 01 29 MAX   158
2021 12 25 07 38 MIN    47
2021 12 25 14 25 MAX   199
2021 12 25 20 53 MIN    78
2021 12 26 02 23 MAX   151
2021 12 26 08 30 MIN    61
2021 12 26 15 15 MAX   188
2021 12 26 21 51 MIN    76
2021 12 27 03 33 MAX   147
2021 12 27 09 40 MIN    74
2021 12 27 16 13 MAX   179
2021 12 27 22 55 MIN    69
2021 12 28 05 03 MAX   152
2021 12 28 11 06 MIN    83
2021 12 28 17 18 MAX   174
2021 12 28 23 57 MIN    58
2021 12 29 06 28 MAX   168
2021 12 29 12 33 MIN    83
2021 12 29 18 22 MAX   172
2021 12 30 00 54 MIN    43
2021 12 30 07 36 MAX   191
2021 12 30 13 46 MIN    78
2021 12 30 19 22 MAX   174
2021 12 31 01 46 MIN    25
2021 12 31 08 34 MAX   215
2021 12 31 14 49 MIN    70
2021 12 31 20 18 MAX   179
2022 01 01 02 36 MIN     7
2022 01 01 09 27 MAX   237
2022 01 01 15 44 MIN    61
2022 01 01 21 10 MAX   187
2022 01 02 03 26 MIN    -8
2022 01 02 10 16 MAX   255
2022 01 02 16 35 MIN    54
2022 01 02 22 00 MAX   194
2022 01 03 04 15 MIN   -20
2022 01 03 11 04 MAX   265
