<TOPS - 조위예측극치자료>

대상조위관측소 : 인천
위도(WGS84) : N  37도 27분 07초
경도(WGS84) : E 126도 35분 32초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 01 43 MAX   713
2021 12 01 08 10 MIN   160
2021 12 01 14 21 MAX   747
2021 12 01 20 42 MIN   168
2021 12 02 02 40 MAX   753
2021 12 02 09 02 MIN    88
2021 12 02 15 14 MAX   822
2021 12 02 21 39 MIN   118
2021 12 03 03 31 MAX   785
2021 12 03 09 50 MIN    29
2021 12 03 16 03 MAX   878
2021 12 03 22 30 MIN    85
2021 12 04 04 18 MAX   801
2021 12 04 10 36 MIN   -10
2021 12 04 16 50 MAX   910
2021 12 04 23 19 MIN    71
2021 12 05 05 05 MAX   803
2021 12 05 11 21 MIN   -27
2021 12 05 17 37 MAX   919
2021 12 06 00 06 MIN    75
2021 12 06 05 50 MAX   792
2021 12 06 12 06 MIN   -24
2021 12 06 18 23 MAX   909
2021 12 07 00 53 MIN    93
2021 12 07 06 36 MAX   772
2021 12 07 12 50 MIN    -3
2021 12 07 19 10 MAX   884
2021 12 08 01 39 MIN   121
2021 12 08 07 22 MAX   746
2021 12 08 13 35 MIN    34
2021 12 08 19 56 MAX   848
2021 12 09 02 26 MIN   155
2021 12 09 08 10 MAX   714
2021 12 09 14 22 MIN    83
2021 12 09 20 44 MAX   802
2021 12 10 03 15 MIN   191
2021 12 10 09 01 MAX   678
2021 12 10 15 12 MIN   141
2021 12 10 21 36 MAX   751
2021 12 11 04 10 MIN   223
2021 12 11 10 02 MAX   646
2021 12 11 16 10 MIN   199
2021 12 11 22 35 MAX   703
2021 12 12 05 13 MIN   243
2021 12 12 11 14 MAX   629
2021 12 12 17 21 MIN   245
2021 12 12 23 45 MAX   667
2021 12 13 06 23 MIN   240
2021 12 13 12 35 MAX   640
2021 12 13 18 42 MIN   262
2021 12 14 00 58 MAX   655
2021 12 14 07 29 MIN   214
2021 12 14 13 45 MAX   677
2021 12 14 19 56 MIN   249
2021 12 15 02 00 MAX   663
2021 12 15 08 23 MIN   177
2021 12 15 14 41 MAX   722
2021 12 15 20 56 MIN   221
2021 12 16 02 51 MAX   680
2021 12 16 09 08 MIN   140
2021 12 16 15 26 MAX   762
2021 12 16 21 44 MIN   194
2021 12 17 03 33 MAX   697
2021 12 17 09 47 MIN   109
2021 12 17 16 05 MAX   791
2021 12 17 22 25 MIN   173
2021 12 18 04 10 MAX   712
2021 12 18 10 22 MIN    88
2021 12 18 16 40 MAX   808
2021 12 18 23 02 MIN   159
2021 12 19 04 45 MAX   722
2021 12 19 10 56 MIN    74
2021 12 19 17 14 MAX   816
2021 12 19 23 37 MIN   153
2021 12 20 05 20 MAX   727
2021 12 20 11 30 MIN    68
2021 12 20 17 46 MAX   819
2021 12 21 00 11 MIN   152
2021 12 21 05 53 MAX   726
2021 12 21 12 03 MIN    68
2021 12 21 18 18 MAX   818
2021 12 22 00 44 MIN   156
2021 12 22 06 26 MAX   721
2021 12 22 12 36 MIN    73
2021 12 22 18 50 MAX   813
2021 12 23 01 16 MIN   165
2021 12 23 06 59 MAX   711
2021 12 23 13 10 MIN    84
2021 12 23 19 22 MAX   804
2021 12 24 01 50 MIN   176
2021 12 24 07 33 MAX   699
2021 12 24 13 45 MIN   102
2021 12 24 19 57 MAX   789
2021 12 25 02 25 MIN   190
2021 12 25 08 09 MAX   682
2021 12 25 14 24 MIN   129
2021 12 25 20 36 MAX   765
2021 12 26 03 06 MIN   203
2021 12 26 08 54 MAX   664
2021 12 26 15 09 MIN   164
2021 12 26 21 22 MAX   733
2021 12 27 03 54 MIN   214
2021 12 27 09 51 MAX   648
2021 12 27 16 05 MIN   204
2021 12 27 22 20 MAX   698
2021 12 28 04 54 MIN   216
2021 12 28 11 04 MAX   646
2021 12 28 17 17 MIN   236
2021 12 28 23 32 MAX   673
2021 12 29 06 06 MIN   200
2021 12 29 12 26 MAX   671
2021 12 29 18 44 MIN   243
2021 12 30 00 50 MAX   667
2021 12 30 07 19 MIN   161
2021 12 30 13 43 MAX   722
2021 12 30 20 08 MIN   218
2021 12 31 02 03 MAX   684
2021 12 31 08 25 MIN   109
2021 12 31 14 48 MAX   780
2021 12 31 21 17 MIN   178
2022 01 01 03 06 MAX   710
2022 01 01 09 24 MIN    59
2022 01 01 15 46 MAX   832
2022 01 01 22 17 MIN   139
2022 01 02 04 02 MAX   736
2022 01 02 10 18 MIN    19
2022 01 02 16 40 MAX   869
2022 01 02 23 10 MIN   110
2022 01 03 04 54 MAX   756
2022 01 03 11 09 MIN    -8
2022 01 03 17 30 MAX   890
2022 01 04 00 01 MIN    91
2022 01 04 05 44 MAX   770
2022 01 04 11 58 MIN   -20
2022 01 04 18 18 MAX   895
2022 01 05 00 47 MIN    84
2022 01 05 06 31 MAX   776
2022 01 05 12 45 MIN   -17
2022 01 05 19 03 MAX   887
2022 01 06 01 31 MIN    88
2022 01 06 07 16 MAX   772
2022 01 06 13 29 MIN     2
2022 01 06 19 45 MAX   864
2022 01 07 02 12 MIN   102
2022 01 07 07 59 MAX   758
2022 01 07 14 11 MIN    39
2022 01 07 20 25 MAX   827
2022 01 08 02 52 MIN   127
2022 01 08 08 42 MAX   733
2022 01 08 14 53 MIN    91
2022 01 08 21 04 MAX   779
2022 01 09 03 31 MIN   158
2022 01 09 09 28 MAX   700
2022 01 09 15 36 MIN   156
2022 01 09 21 45 MAX   722
2022 01 10 04 15 MIN   192
2022 01 10 10 21 MAX   664
2022 01 10 16 26 MIN   224
2022 01 10 22 33 MAX   664
2022 01 11 05 07 MIN   221
2022 01 11 11 26 MAX   637
2022 01 11 17 31 MIN   282
2022 01 11 23 36 MAX   614
2022 01 12 06 13 MIN   236
2022 01 12 12 44 MAX   633
2022 01 12 18 57 MIN   309
2022 01 13 00 53 MAX   590
2022 01 13 07 25 MIN   227
2022 01 13 13 57 MAX   656
2022 01 13 20 19 MIN   296
2022 01 14 02 06 MAX   596
2022 01 14 08 26 MIN   199
2022 01 14 14 56 MAX   693
2022 01 14 21 21 MIN   262
2022 01 15 03 04 MAX   621
2022 01 15 09 16 MIN   164
2022 01 15 15 44 MAX   730
2022 01 15 22 08 MIN   226
2022 01 16 03 50 MAX   652
2022 01 16 09 59 MIN   130
2022 01 16 16 24 MAX   761
2022 01 16 22 48 MIN   193
2022 01 17 04 30 MAX   682
2022 01 17 10 38 MIN   100
2022 01 17 17 00 MAX   787
2022 01 17 23 25 MIN   168
2022 01 18 05 07 MAX   707
2022 01 18 11 16 MIN    76
2022 01 18 17 33 MAX   806
2022 01 18 23 59 MIN   148
2022 01 19 05 42 MAX   726
2022 01 19 11 53 MIN    57
2022 01 19 18 06 MAX   821
2022 01 20 00 32 MIN   133
2022 01 20 06 15 MAX   739
2022 01 20 12 28 MIN    44
2022 01 20 18 38 MAX   831
2022 01 21 01 04 MIN   122
2022 01 21 06 49 MAX   747
2022 01 21 13 03 MIN    41
2022 01 21 19 10 MAX   833
2022 01 22 01 37 MIN   116
2022 01 22 07 22 MAX   749
2022 01 22 13 39 MIN    50
2022 01 22 19 43 MAX   824
2022 01 23 02 09 MIN   116
2022 01 23 07 57 MAX   744
2022 01 23 14 15 MIN    73
2022 01 23 20 17 MAX   803
2022 01 24 02 44 MIN   121
2022 01 24 08 37 MAX   732
2022 01 24 14 54 MIN   113
2022 01 24 20 56 MAX   767
2022 01 25 03 23 MIN   135
2022 01 25 09 24 MAX   711
2022 01 25 15 40 MIN   166
2022 01 25 21 41 MAX   718
2022 01 26 04 10 MIN   155
2022 01 26 10 23 MAX   687
2022 01 26 16 38 MIN   226
2022 01 26 22 40 MAX   664
2022 01 27 05 12 MIN   175
2022 01 27 11 40 MAX   673
2022 01 27 18 00 MIN   273
2022 01 28 00 00 MAX   621
2022 01 28 06 32 MIN   178
