<TOPS - 조위예측극치자료>

대상조위관측소 : 추자도
위도(WGS84) : N  33도 57분 43초
경도(WGS84) : E 126도 18분 01초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 02 27 MIN    60
2021 12 01 08 45 MAX   257
2021 12 01 14 54 MIN    77
2021 12 01 20 42 MAX   255
2021 12 02 03 09 MIN    30
2021 12 02 09 31 MAX   287
2021 12 02 15 47 MIN    61
2021 12 02 21 23 MAX   259
2021 12 03 03 51 MIN     3
2021 12 03 10 16 MAX   313
2021 12 03 16 37 MIN    50
2021 12 03 22 05 MAX   261
2021 12 04 04 34 MIN   -19
2021 12 04 11 03 MAX   333
2021 12 04 17 25 MIN    45
2021 12 04 22 49 MAX   259
2021 12 05 05 18 MIN   -31
2021 12 05 11 50 MAX   343
2021 12 05 18 14 MIN    48
2021 12 05 23 33 MAX   253
2021 12 06 06 03 MIN   -31
2021 12 06 12 41 MAX   341
2021 12 06 19 04 MIN    58
2021 12 07 00 19 MAX   243
2021 12 07 06 50 MIN   -19
2021 12 07 13 34 MAX   328
2021 12 07 19 56 MIN    72
2021 12 08 01 09 MAX   230
2021 12 08 07 40 MIN     4
2021 12 08 14 31 MAX   309
2021 12 08 20 52 MIN    88
2021 12 09 02 05 MAX   216
2021 12 09 08 33 MIN    33
2021 12 09 15 34 MAX   287
2021 12 09 21 52 MIN   100
2021 12 10 03 16 MAX   204
2021 12 10 09 33 MIN    64
2021 12 10 16 41 MAX   266
2021 12 10 22 57 MIN   105
2021 12 11 04 47 MAX   199
2021 12 11 10 42 MIN    91
2021 12 11 17 48 MAX   249
2021 12 12 00 05 MIN   103
2021 12 12 06 22 MAX   204
2021 12 12 12 00 MIN   111
2021 12 12 18 49 MAX   236
2021 12 13 01 06 MIN    96
2021 12 13 07 40 MAX   216
2021 12 13 13 21 MIN   120
2021 12 13 19 40 MAX   226
2021 12 14 01 58 MIN    85
2021 12 14 08 40 MAX   230
2021 12 14 14 31 MIN   120
2021 12 14 20 22 MAX   220
2021 12 15 02 41 MIN    73
2021 12 15 09 25 MAX   244
