<TOPS - 조위예측극치자료>

대상조위관측소 : 통영
위도(WGS84) : N  34도 49분 40초
경도(WGS84) : E 128도 26분 05초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 06 27 MAX   218
2021 12 01 12 20 MIN    62
2021 12 01 18 29 MAX   225
2021 12 02 00 35 MIN    34
2021 12 02 07 14 MAX   242
2021 12 02 13 11 MIN    46
2021 12 02 19 15 MAX   234
2021 12 03 01 18 MIN    13
2021 12 03 08 01 MAX   263
2021 12 03 14 00 MIN    34
2021 12 03 20 00 MAX   238
2021 12 04 02 01 MIN    -1
2021 12 04 08 48 MAX   277
2021 12 04 14 48 MIN    28
2021 12 04 20 46 MAX   238
2021 12 05 02 46 MIN    -8
2021 12 05 09 35 MAX   283
2021 12 05 15 36 MIN    29
2021 12 05 21 32 MAX   233
2021 12 06 03 31 MIN    -5
2021 12 06 10 23 MAX   281
2021 12 06 16 24 MIN    37
2021 12 06 22 18 MAX   223
2021 12 07 04 17 MIN     5
2021 12 07 11 11 MAX   270
2021 12 07 17 13 MIN    50
2021 12 07 23 05 MAX   209
2021 12 08 05 04 MIN    23
2021 12 08 12 00 MAX   253
2021 12 08 18 05 MIN    65
2021 12 08 23 57 MAX   194
2021 12 09 05 54 MIN    44
2021 12 09 12 52 MAX   233
2021 12 09 19 02 MIN    79
2021 12 10 00 57 MAX   181
2021 12 10 06 49 MIN    65
2021 12 10 13 48 MAX   214
2021 12 10 20 07 MIN    88
2021 12 11 02 09 MAX   172
2021 12 11 07 52 MIN    84
2021 12 11 14 53 MAX   199
2021 12 11 21 21 MIN    90
2021 12 12 03 31 MAX   172
2021 12 12 09 07 MIN    96
2021 12 12 16 05 MAX   191
2021 12 12 22 30 MIN    86
2021 12 13 04 48 MAX   179
2021 12 13 10 28 MIN   100
2021 12 13 17 09 MAX   188
2021 12 13 23 25 MIN    76
2021 12 14 05 49 MAX   191
2021 12 14 11 39 MIN    97
2021 12 14 18 00 MAX   188
2021 12 15 00 09 MIN    66
2021 12 15 06 38 MAX   204
2021 12 15 12 34 MIN    89
2021 12 15 18 42 MAX   190
2021 12 16 00 48 MIN    55
2021 12 16 07 19 MAX   215
2021 12 16 13 19 MIN    81
2021 12 16 19 18 MAX   192
2021 12 17 01 23 MIN    46
2021 12 17 07 57 MAX   226
2021 12 17 13 58 MIN    72
2021 12 17 19 52 MAX   195
2021 12 18 01 57 MIN    38
2021 12 18 08 32 MAX   235
2021 12 18 14 34 MIN    65
2021 12 18 20 24 MAX   198
2021 12 19 02 30 MIN    33
2021 12 19 09 06 MAX   241
2021 12 19 15 07 MIN    61
2021 12 19 20 56 MAX   199
2021 12 20 03 03 MIN    30
2021 12 20 09 40 MAX   245
2021 12 20 15 41 MIN    59
2021 12 20 21 29 MAX   200
2021 12 21 03 35 MIN    30
2021 12 21 10 14 MAX   245
2021 12 21 16 13 MIN    60
2021 12 21 22 03 MAX   198
2021 12 22 04 09 MIN    33
2021 12 22 10 49 MAX   242
2021 12 22 16 47 MIN    64
2021 12 22 22 38 MAX   193
2021 12 23 04 45 MIN    40
2021 12 23 11 25 MAX   236
2021 12 23 17 23 MIN    70
2021 12 23 23 16 MAX   187
2021 12 24 05 23 MIN    49
2021 12 24 12 02 MAX   227
2021 12 24 18 03 MIN    77
2021 12 25 00 00 MAX   179
2021 12 25 00 00 MAX   179
2021 12 25 06 06 MIN    60
2021 12 25 12 44 MAX   217
2021 12 25 18 49 MIN    82
2021 12 26 00 54 MAX   173
2021 12 26 06 57 MIN    72
2021 12 26 13 33 MAX   207
2021 12 26 19 44 MIN    84
2021 12 27 02 04 MAX   170
2021 12 27 08 01 MIN    81
2021 12 27 14 31 MAX   198
2021 12 27 20 49 MIN    80
2021 12 28 03 28 MAX   174
2021 12 28 09 18 MIN    86
2021 12 28 15 40 MAX   194
2021 12 28 21 59 MIN    70
2021 12 29 04 49 MAX   187
2021 12 29 10 41 MIN    83
2021 12 29 16 50 MAX   194
2021 12 29 23 04 MIN    54
2021 12 30 05 58 MAX   206
2021 12 30 11 56 MIN    72
2021 12 30 17 54 MAX   198
2021 12 31 00 03 MIN    36
2021 12 31 06 59 MAX   228
2021 12 31 12 59 MIN    58
2021 12 31 18 53 MAX   205
2022 01 01 00 58 MIN    18
2022 01 01 07 54 MAX   248
2022 01 01 13 55 MIN    43
2022 01 01 19 47 MAX   213
2022 01 02 01 50 MIN     2
2022 01 02 08 45 MAX   265
2022 01 02 14 45 MIN    31
2022 01 02 20 38 MAX   219
2022 01 03 02 40 MIN    -8
2022 01 03 09 34 MAX   275
2022 01 03 15 33 MIN    25
2022 01 03 21 27 MAX   223
2022 01 04 03 27 MIN   -12
2022 01 04 10 19 MAX   277
2022 01 04 16 17 MIN    25
2022 01 04 22 14 MAX   222
2022 01 05 04 13 MIN    -8
2022 01 05 11 02 MAX   271
2022 01 05 17 01 MIN    30
2022 01 05 22 59 MAX   217
2022 01 06 04 56 MIN     4
2022 01 06 11 43 MAX   258
2022 01 06 17 43 MIN    40
2022 01 06 23 44 MAX   208
2022 01 07 05 39 MIN    23
2022 01 07 12 22 MAX   239
2022 01 07 18 26 MIN    53
2022 01 08 00 30 MAX   196
2022 01 08 06 21 MIN    45
2022 01 08 13 01 MAX   218
2022 01 08 19 11 MIN    66
2022 01 09 01 20 MAX   184
2022 01 09 07 06 MIN    68
2022 01 09 13 40 MAX   198
2022 01 09 20 03 MIN    76
2022 01 10 02 19 MAX   173
2022 01 10 07 59 MIN    89
2022 01 10 14 27 MAX   179
2022 01 10 21 05 MIN    82
2022 01 11 03 35 MAX   168
2022 01 11 09 11 MIN   105
2022 01 11 15 34 MAX   166
2022 01 11 22 16 MIN    82
2022 01 12 04 58 MAX   171
2022 01 12 10 48 MIN   110
2022 01 12 16 56 MAX   160
2022 01 12 23 23 MIN    76
2022 01 13 06 09 MAX   181
2022 01 13 12 14 MIN   103
2022 01 13 18 04 MAX   162
2022 01 14 00 18 MIN    67
2022 01 14 07 02 MAX   194
2022 01 14 13 11 MIN    90
2022 01 14 18 55 MAX   168
2022 01 15 01 04 MIN    55
2022 01 15 07 45 MAX   208
2022 01 15 13 53 MIN    77
2022 01 15 19 37 MAX   176
2022 01 16 01 45 MIN    43
2022 01 16 08 24 MAX   220
2022 01 16 14 29 MIN    65
2022 01 16 20 15 MAX   185
2022 01 17 02 22 MIN    32
2022 01 17 08 59 MAX   232
2022 01 17 15 02 MIN    55
2022 01 17 20 51 MAX   193
