<TOPS - 조위예측극치자료>

대상조위관측소 : 후포
위도(WGS84) : N  36도 40분 39초
경도(WGS84) : E 129도 27분 11초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 00 41 MAX    19
2021 12 01 06 51 MIN    10
2021 12 01 13 17 MAX    19
2021 12 01 19 13 MIN    12
2021 12 02 00 57 MAX    20
2021 12 02 07 36 MIN     7
2021 12 02 14 44 MAX    20
2021 12 02 19 55 MIN    15
2021 12 03 01 21 MAX    22
2021 12 03 08 23 MIN     4
2021 12 03 16 07 MAX    21
2021 12 03 20 33 MIN    17
2021 12 04 01 53 MAX    25
2021 12 04 09 14 MIN     2
2021 12 04 17 29 MAX    23
2021 12 04 21 10 MIN    20
2021 12 05 02 31 MAX    27
2021 12 05 10 07 MIN     0
2021 12 05 18 41 MAX    24
2021 12 05 21 44 MIN    21
2021 12 06 03 14 MAX    29
2021 12 06 11 04 MIN     0
2021 12 06 19 44 MAX    24
2021 12 06 22 19 MIN    22
2021 12 07 04 00 MAX    30
2021 12 07 12 05 MIN     1
2021 12 07 20 41 MAX    23
2021 12 07 22 57 MIN    22
2021 12 08 04 50 MAX    30
2021 12 08 13 07 MIN     2
2021 12 09 05 45 MAX    29
2021 12 09 14 08 MIN     4
2021 12 10 06 49 MAX    26
2021 12 10 15 07 MIN     6
2021 12 10 23 01 MAX    20
2021 12 11 03 02 MIN    19
2021 12 11 08 09 MAX    23
2021 12 11 16 03 MIN     7
2021 12 11 23 30 MAX    20
2021 12 12 04 35 MIN    16
2021 12 12 09 40 MAX    20
2021 12 12 16 55 MIN     9
2021 12 12 23 51 MAX    19
2021 12 13 05 52 MIN    12
2021 12 13 11 17 MAX    17
2021 12 13 17 41 MIN    10
2021 12 14 00 08 MAX    18
2021 12 14 06 52 MIN     9
2021 12 14 13 01 MAX    16
2021 12 14 18 20 MIN    11
2021 12 15 00 22 MAX    18
2021 12 15 07 40 MIN     6
2021 12 15 14 34 MAX    15
2021 12 15 18 52 MIN    12
2021 12 16 00 34 MAX    17
2021 12 16 08 19 MIN     4
2021 12 16 15 55 MAX    15
2021 12 16 19 17 MIN    13
2021 12 17 00 48 MAX    18
2021 12 17 08 53 MIN     2
2021 12 17 17 06 MAX    15
2021 12 17 19 35 MIN    14
2021 12 18 01 07 MAX    18
2021 12 18 09 26 MIN     1
2021 12 19 01 36 MAX    19
2021 12 19 10 01 MIN     1
2021 12 19 18 50 MAX    16
2021 12 19 20 15 MIN    15
2021 12 20 02 15 MAX    20
2021 12 20 10 38 MIN     1
2021 12 21 02 58 MAX    21
2021 12 21 11 17 MIN     1
2021 12 22 03 40 MAX    22
2021 12 22 11 57 MIN     1
2021 12 23 04 21 MAX    22
2021 12 23 12 37 MIN     2
2021 12 23 20 51 MAX    16
2021 12 23 23 13 MIN    15
2021 12 24 05 00 MAX    21
2021 12 24 13 18 MIN     2
2021 12 24 21 27 MAX    16
2021 12 25 00 07 MIN    15
2021 12 25 05 42 MAX    20
2021 12 25 14 01 MIN     3
2021 12 25 22 00 MAX    15
2021 12 26 01 18 MIN    14
2021 12 26 06 30 MAX    17
2021 12 26 14 49 MIN     4
2021 12 26 22 25 MAX    15
2021 12 27 03 00 MIN    12
2021 12 27 07 37 MAX    15
2021 12 27 15 42 MIN     5
2021 12 27 22 41 MAX    14
2021 12 28 04 28 MIN     9
2021 12 28 09 21 MAX    13
2021 12 28 16 39 MIN     6
2021 12 28 22 56 MAX    14
2021 12 29 05 32 MIN     5
2021 12 29 11 51 MAX    12
2021 12 29 17 35 MIN     8
2021 12 29 23 18 MAX    15
2021 12 30 06 27 MIN     2
2021 12 30 14 12 MAX    13
2021 12 30 18 26 MIN    10
2021 12 30 23 50 MAX    16
2021 12 31 07 20 MIN    -2
2021 12 31 15 37 MAX    14
2021 12 31 19 11 MIN    12
2022 01 01 00 27 MAX    18
2022 01 01 08 13 MIN    -5
2022 01 01 16 47 MAX    16
2022 01 01 19 48 MIN    14
2022 01 02 01 18 MAX    21
2022 01 02 09 08 MIN    -6
2022 01 02 17 58 MAX    16
2022 01 02 20 28 MIN    15
2022 01 03 02 08 MAX    23
2022 01 03 10 05 MIN    -6
2022 01 03 18 48 MAX    17
2022 01 03 20 56 MIN    16
2022 01 04 03 00 MAX    24
2022 01 04 11 00 MIN    -6
2022 01 04 19 55 MAX    16
2022 01 04 21 56 MIN    15
2022 01 05 03 54 MAX    25
2022 01 05 11 57 MIN    -4
2022 01 05 20 20 MAX    16
