20201016	08-30	06:41:  	12:18:35	17:56:  	05:34:  	11:49:  	17:54:  	06:15:  	18:22:  	05:45:  	18:52:  	05:15:  	19:21:  
20201017	09-01	06:42:  	12:18:22	17:55:  	06:48:  	12:43:  	18:29:  	06:16:  	18:21:  	05:46:  	18:50:  	05:16:  	19:20:  
20201018	09-02	06:42:  	12:18:11	17:53:  	08:02:  	13:38:  	19:06:  	06:17:  	18:19:  	05:47:  	18:49:  	05:17:  	19:19:  
20201019	09-03	06:43:  	12:17:60	17:52:  	09:17:  	14:36:  	19:48:  	06:17:  	18:18:  	05:48:  	18:48:  	05:18:  	19:18:  
20201020	09-04	06:44:  	12:17:49	17:51:  	10:30:  	15:35:  	20:35:  	06:18:  	18:17:  	05:48:  	18:47:  	05:19:  	19:16:  
20201021	09-05	06:45:  	12:17:39	17:50:  	11:39:  	16:34:  	21:28:  	06:19:  	18:16:  	05:49:  	18:46:  	05:20:  	19:15:  
20201022	09-06	06:46:  	12:17:30	17:48:  	12:41:  	17:33:  	22:26:  	06:20:  	18:15:  	05:50:  	18:44:  	05:20:  	19:14:  
20201023	09-07	06:47:  	12:17:22	17:47:  	13:34:  	18:29:  	23:27:  	06:21:  	18:13:  	05:51:  	18:43:  	05:21:  	19:13:  
20201024	09-08	06:48:  	12:17:14	17:46:  	14:19:  	19:22:  	--:--:  	06:22:  	18:12:  	05:52:  	18:42:  	05:22:  	19:12:  
20201025	09-09	06:49:  	12:17:07	17:45:  	14:57:  	20:11:  	00:29:  	06:23:  	18:11:  	05:53:  	18:41:  	05:23:  	19:11:  
20201026	09-10	06:50:  	12:17:00	17:44:  	15:30:  	20:56:  	01:30:  	06:24:  	18:10:  	05:53:  	18:40:  	05:24:  	19:10:  
20201027	09-11	06:51:  	12:16:55	17:43:  	15:59:  	21:39:  	02:29:  	06:24:  	18:09:  	05:54:  	18:39:  	05:25:  	19:09:  
20201028	09-12	06:52:  	12:16:50	17:42:  	16:25:  	22:20:  	03:26:  	06:25:  	18:08:  	05:55:  	18:38:  	05:25:  	19:08:  
20201029	09-13	06:53:  	12:16:45	17:40:  	16:50:  	23:00:  	04:22:  	06:26:  	18:07:  	05:56:  	18:37:  	05:26:  	19:07:  
20201030	09-14	06:54:  	12:16:42	17:39:  	17:16:  	23:41:  	05:18:  	06:27:  	18:06:  	05:57:  	18:36:  	05:27:  	19:06:  
20201031	09-15	06:55:  	12:16:39	17:38:  	17:42:  	--:--:  	06:14:  	06:28:  	18:05:  	05:58:  	18:35:  	05:28:  	19:05:  
20201101	09-16	06:55:  	12:16:37	17:37:  	18:10:  	00:22:  	07:10:  	06:29:  	18:04:  	05:59:  	18:34:  	05:29:  	19:04:  
20201102	09-17	06:56:  	12:16:36	17:36:  	18:42:  	01:05:  	08:08:  	06:30:  	18:03:  	06:00:  	18:33:  	05:30:  	19:03:  
