20201016	08-30	06:41:  	12:19:59	17:58:  	05:36:  	11:50:  	17:56:  	06:16:  	18:24:  	05:46:  	18:53:  	05:17:  	19:22:  
20201017	09-01	06:42:  	12:19:47	17:57:  	06:48:  	12:44:  	18:31:  	06:16:  	18:23:  	05:47:  	18:52:  	05:18:  	19:21:  
20201018	09-02	06:43:  	12:19:35	17:56:  	08:02:  	13:40:  	19:09:  	06:17:  	18:22:  	05:48:  	18:51:  	05:19:  	19:20:  
20201019	09-03	06:44:  	12:19:24	17:55:  	09:16:  	14:37:  	19:52:  	06:18:  	18:20:  	05:49:  	18:50:  	05:19:  	19:19:  
20201020	09-04	06:44:  	12:19:14	17:54:  	10:29:  	15:36:  	20:40:  	06:19:  	18:19:  	05:49:  	18:49:  	05:20:  	19:18:  
20201021	09-05	06:45:  	12:19:04	17:52:  	11:37:  	16:36:  	21:33:  	06:20:  	18:18:  	05:50:  	18:47:  	05:21:  	19:17:  
20201022	09-06	06:46:  	12:18:55	17:51:  	12:38:  	17:34:  	22:31:  	06:20:  	18:17:  	05:51:  	18:46:  	05:22:  	19:16:  
20201023	09-07	06:47:  	12:18:46	17:50:  	13:32:  	18:31:  	23:32:  	06:21:  	18:16:  	05:52:  	18:45:  	05:22:  	19:15:  
20201024	09-08	06:48:  	12:18:38	17:49:  	14:17:  	19:23:  	--:--:  	06:22:  	18:15:  	05:53:  	18:44:  	05:23:  	19:13:  
20201025	09-09	06:49:  	12:18:31	17:48:  	14:56:  	20:12:  	00:33:  	06:23:  	18:14:  	05:53:  	18:43:  	05:24:  	19:12:  
20201026	09-10	06:50:  	12:18:25	17:47:  	15:29:  	20:57:  	01:33:  	06:24:  	18:13:  	05:54:  	18:42:  	05:25:  	19:11:  
20201027	09-11	06:51:  	12:18:19	17:46:  	15:59:  	21:40:  	02:32:  	06:25:  	18:11:  	05:55:  	18:41:  	05:26:  	19:10:  
20201028	09-12	06:51:  	12:18:14	17:45:  	16:26:  	22:21:  	03:29:  	06:26:  	18:10:  	05:56:  	18:40:  	05:26:  	19:10:  
20201029	09-13	06:52:  	12:18:10	17:44:  	16:52:  	23:02:  	04:24:  	06:26:  	18:09:  	05:57:  	18:39:  	05:27:  	19:09:  
20201030	09-14	06:53:  	12:18:06	17:42:  	17:18:  	23:42:  	05:19:  	06:27:  	18:08:  	05:58:  	18:38:  	05:28:  	19:08:  
20201031	09-15	06:54:  	12:18:04	17:41:  	17:45:  	--:--:  	06:14:  	06:28:  	18:08:  	05:58:  	18:37:  	05:29:  	19:07:  
20201101	09-16	06:55:  	12:18:02	17:41:  	18:14:  	00:24:  	07:10:  	06:29:  	18:07:  	05:59:  	18:36:  	05:30:  	19:06:  
20201102	09-17	06:56:  	12:18:01	17:40:  	18:46:  	01:06:  	08:07:  	06:30:  	18:06:  	06:00:  	18:36:  	05:30:  	19:05:  
20201103	09-18	06:57:  	12:18:00	17:39:  	19:22:  	01:52:  	09:04:  	06:31:  	18:05:  	06:01:  	18:35:  	05:31:  	19:04:  
20201104	09-19	06:58:  	12:18:01	17:38:  	20:04:  	02:39:  	10:02:  	06:32:  	18:04:  	06:02:  	18:34:  	05:32:  	19:03:  
20201105	09-20	06:59:  	12:18:02	17:37:  	20:51:  	03:29:  	10:58:  	06:33:  	18:03:  	06:03:  	18:33:  	05:33:  	19:03:  
20201106	09-21	07:00:  	12:18:04	17:36:  	21:45:  	04:21:  	11:52:  	06:33:  	18:02:  	06:03:  	18:32:  	05:34:  	19:02:  
20201107	09-22	07:01:  	12:18:08	17:35:  	22:45:  	05:15:  	12:41:  	06:34:  	18:01:  	06:04:  	18:32:  	05:35:  	19:01:  
20201108	09-23	07:02:  	12:18:11	17:34:  	23:48:  	06:08:  	13:26:  	06:35:  	18:01:  	06:05:  	18:31:  	05:35:  	19:01:  
20201109	09-24	07:03:  	12:18:16	17:33:  	--:--:  	07:01:  	14:06:  	06:36:  	18:00:  	06:06:  	18:30:  	05:36:  	19:00:  
20201110	09-25	07:04:  	12:18:22	17:33:  	00:54:  	07:53:  	14:42:  	06:37:  	17:59:  	06:07:  	18:30:  	05:37:  	18:59:  
20201111	09-26	07:05:  	12:18:28	17:32:  	02:02:  	08:44:  	15:17:  	06:38:  	17:59:  	06:08:  	18:29:  	05:38:  	18:59:  
20201112	09-27	07:06:  	12:18:36	17:31:  	03:11:  	09:35:  	15:50:  	06:39:  	17:58:  	06:09:  	18:28:  	05:39:  	18:58:  
20201113	09-28	07:07:  	12:18:44	17:31:  	04:21:  	10:27:  	16:24:  	06:40:  	17:57:  	06:09:  	18:28:  	05:40:  	18:58:  
20201114	09-29	07:08:  	12:18:53	17:30:  	05:34:  	11:21:  	17:00:  	06:41:  	17:57:  	06:10:  	18:27:  	05:40:  	18:57:  
20201115	10-01	07:08:  	12:19:03	17:29:  	06:48:  	12:17:  	17:40:  	06:42:  	17:56:  	06:11:  	18:27:  	05:41:  	18:57:  
20201116	10-02	07:09:  	12:19:14	17:29:  	08:02:  	13:17:  	18:25:  	06:43:  	17:56:  	06:12:  	18:26:  	05:42:  	18:56:  
20201117	10-03	07:10:  	12:19:26	17:28:  	09:15:  	14:18:  	19:17:  	06:43:  	17:55:  	06:13:  	18:26:  	05:43:  	18:56:  
20201118	10-04	07:11:  	12:19:38	17:28:  	10:23:  	15:19:  	20:15:  	06:44:  	17:55:  	06:14:  	18:25:  	05:44:  	18:55:  
20201119	10-05	07:12:  	12:19:52	17:27:  	11:22:  	16:19:  	21:18:  	06:45:  	17:54:  	06:15:  	18:25:  	05:45:  	18:55:  
20201120	10-06	07:13:  	12:20:06	17:27:  	12:13:  	17:15:  	22:21:  	06:46:  	17:54:  	06:15:  	18:24:  	05:45:  	18:55:  
20201121	10-07	07:14:  	12:20:21	17:26:  	12:55:  	18:07:  	23:23:  	06:47:  	17:53:  	06:16:  	18:24:  	05:46:  	18:54:  
20201122	10-08	07:15:  	12:20:36	17:26:  	13:31:  	18:54:  	--:--:  	06:48:  	17:53:  	06:17:  	18:24:  	05:47:  	18:54:  
20201123	10-09	07:16:  	12:20:53	17:25:  	14:02:  	19:39:  	00:24:  	06:49:  	17:53:  	06:18:  	18:23:  	05:48:  	18:54:  
