20201016	08-30	06:31:  	12:09:14	17:47:  	05:24:  	11:39:  	17:44:  	06:05:  	18:13:  	05:36:  	18:42:  	05:06:  	19:12:  
20201017	09-01	06:31:  	12:09:02	17:46:  	06:37:  	12:33:  	18:20:  	06:06:  	18:12:  	05:36:  	18:41:  	05:07:  	19:11:  
20201018	09-02	06:32:  	12:08:50	17:45:  	07:51:  	13:28:  	18:58:  	06:07:  	18:11:  	05:37:  	18:40:  	05:08:  	19:09:  
20201019	09-03	06:33:  	12:08:39	17:44:  	09:06:  	14:26:  	19:40:  	06:07:  	18:09:  	05:38:  	18:39:  	05:09:  	19:08:  
20201020	09-04	06:34:  	12:08:28	17:42:  	10:18:  	15:25:  	20:27:  	06:08:  	18:08:  	05:39:  	18:38:  	05:09:  	19:07:  
20201021	09-05	06:35:  	12:08:19	17:41:  	11:27:  	16:25:  	21:21:  	06:09:  	18:07:  	05:40:  	18:37:  	05:10:  	19:06:  
20201022	09-06	06:36:  	12:08:09	17:40:  	12:28:  	17:23:  	22:19:  	06:10:  	18:06:  	05:40:  	18:35:  	05:11:  	19:05:  
20201023	09-07	06:37:  	12:08:01	17:39:  	13:22:  	18:19:  	23:20:  	06:11:  	18:05:  	05:41:  	18:34:  	05:12:  	19:04:  
20201024	09-08	06:38:  	12:07:53	17:38:  	14:07:  	19:12:  	--:--:  	06:12:  	18:04:  	05:42:  	18:33:  	05:13:  	19:03:  
20201025	09-09	06:38:  	12:07:46	17:37:  	14:46:  	20:01:  	00:21:  	06:13:  	18:02:  	05:43:  	18:32:  	05:13:  	19:02:  
20201026	09-10	06:39:  	12:07:39	17:35:  	15:19:  	20:46:  	01:21:  	06:13:  	18:01:  	05:44:  	18:31:  	05:14:  	19:01:  
20201027	09-11	06:40:  	12:07:34	17:34:  	15:48:  	21:29:  	02:20:  	06:14:  	18:00:  	05:45:  	18:30:  	05:15:  	19:00:  
20201028	09-12	06:41:  	12:07:29	17:33:  	16:15:  	22:10:  	03:17:  	06:15:  	17:59:  	05:45:  	18:29:  	05:16:  	18:59:  
20201029	09-13	06:42:  	12:07:25	17:32:  	16:41:  	22:51:  	04:13:  	06:16:  	17:58:  	05:46:  	18:28:  	05:17:  	18:58:  
20201030	09-14	06:43:  	12:07:21	17:31:  	17:07:  	23:31:  	05:08:  	06:17:  	17:57:  	05:47:  	18:27:  	05:17:  	18:57:  
20201031	09-15	06:44:  	12:07:18	17:30:  	17:33:  	--:--:  	06:03:  	06:18:  	17:56:  	05:48:  	18:26:  	05:18:  	18:56:  
20201101	09-16	06:45:  	12:07:16	17:29:  	18:02:  	00:12:  	06:59:  	06:19:  	17:55:  	05:49:  	18:25:  	05:19:  	18:55:  
20201102	09-17	06:46:  	12:07:15	17:28:  	18:34:  	00:55:  	07:56:  	06:20:  	17:54:  	05:50:  	18:24:  	05:20:  	18:54:  
