20201016	08-30	06:36:  	12:14:52	17:53:  	05:30:  	11:45:  	17:50:  	06:10:  	18:19:  	05:41:  	18:48:  	05:12:  	19:17:  
20201017	09-01	06:37:  	12:14:40	17:52:  	06:43:  	12:39:  	18:26:  	06:11:  	18:18:  	05:42:  	18:47:  	05:13:  	19:16:  
20201018	09-02	06:38:  	12:14:28	17:51:  	07:57:  	13:34:  	19:04:  	06:12:  	18:16:  	05:43:  	18:46:  	05:13:  	19:15:  
20201019	09-03	06:38:  	12:14:17	17:50:  	09:11:  	14:32:  	19:47:  	06:13:  	18:15:  	05:43:  	18:45:  	05:14:  	19:14:  
20201020	09-04	06:39:  	12:14:07	17:49:  	10:23:  	15:31:  	20:34:  	06:14:  	18:14:  	05:44:  	18:43:  	05:15:  	19:13:  
20201021	09-05	06:40:  	12:13:57	17:47:  	11:31:  	16:30:  	21:28:  	06:14:  	18:13:  	05:45:  	18:42:  	05:16:  	19:12:  
20201022	09-06	06:41:  	12:13:48	17:46:  	12:33:  	17:29:  	22:26:  	06:15:  	18:12:  	05:46:  	18:41:  	05:17:  	19:11:  
20201023	09-07	06:42:  	12:13:39	17:45:  	13:27:  	18:25:  	23:27:  	06:16:  	18:11:  	05:47:  	18:40:  	05:17:  	19:09:  
20201024	09-08	06:43:  	12:13:32	17:44:  	14:12:  	19:18:  	--:--:  	06:17:  	18:10:  	05:47:  	18:39:  	05:18:  	19:08:  
20201025	09-09	06:44:  	12:13:24	17:43:  	14:51:  	20:07:  	00:28:  	06:18:  	18:09:  	05:48:  	18:38:  	05:19:  	19:07:  
20201026	09-10	06:44:  	12:13:18	17:42:  	15:24:  	20:52:  	01:28:  	06:19:  	18:07:  	05:49:  	18:37:  	05:20:  	19:06:  
20201027	09-11	06:45:  	12:13:12	17:41:  	15:53:  	21:35:  	02:27:  	06:20:  	18:06:  	05:50:  	18:36:  	05:21:  	19:05:  
20201028	09-12	06:46:  	12:13:07	17:40:  	16:21:  	22:16:  	03:23:  	06:20:  	18:05:  	05:51:  	18:35:  	05:21:  	19:04:  
20201029	09-13	06:47:  	12:13:03	17:38:  	16:47:  	22:57:  	04:19:  	06:21:  	18:04:  	05:52:  	18:34:  	05:22:  	19:03:  
20201030	09-14	06:48:  	12:12:60	17:37:  	17:13:  	23:37:  	05:14:  	06:22:  	18:03:  	05:52:  	18:33:  	05:23:  	19:03:  
20201031	09-15	06:49:  	12:12:57	17:36:  	17:39:  	--:--:  	06:09:  	06:23:  	18:02:  	05:53:  	18:32:  	05:24:  	19:02:  
20201101	09-16	06:50:  	12:12:55	17:35:  	18:08:  	00:18:  	07:05:  	06:24:  	18:02:  	05:54:  	18:31:  	05:25:  	19:01:  
20201102	09-17	06:51:  	12:12:54	17:34:  	18:40:  	01:01:  	08:01:  	06:25:  	18:01:  	05:55:  	18:30:  	05:25:  	19:00:  
20201103	09-18	06:52:  	12:12:54	17:34:  	19:17:  	01:46:  	08:59:  	06:26:  	18:00:  	05:56:  	18:30:  	05:26:  	18:59:  
20201104	09-19	06:53:  	12:12:54	17:33:  	19:58:  	02:34:  	09:56:  	06:26:  	17:59:  	05:57:  	18:29:  	05:27:  	18:58:  
20201105	09-20	06:54:  	12:12:56	17:32:  	20:46:  	03:24:  	10:53:  	06:27:  	17:58:  	05:57:  	18:28:  	05:28:  	18:58:  
20201106	09-21	06:55:  	12:12:58	17:31:  	21:40:  	04:16:  	11:46:  	06:28:  	17:57:  	05:58:  	18:27:  	05:29:  	18:57:  
20201107	09-22	06:56:  	12:13:01	17:30:  	22:40:  	05:09:  	12:36:  	06:29:  	17:56:  	05:59:  	18:27:  	05:29:  	18:56:  
20201108	09-23	06:57:  	12:13:05	17:29:  	23:43:  	06:03:  	13:20:  	06:30:  	17:56:  	06:00:  	18:26:  	05:30:  	18:55:  
20201109	09-24	06:57:  	12:13:10	17:28:  	--:--:  	06:56:  	14:00:  	06:31:  	17:55:  	06:01:  	18:25:  	05:31:  	18:55:  
20201110	09-25	06:58:  	12:13:15	17:28:  	00:49:  	07:47:  	14:37:  	06:32:  	17:54:  	06:02:  	18:24:  	05:32:  	18:54:  
20201111	09-26	06:59:  	12:13:22	17:27:  	01:57:  	08:39:  	15:11:  	06:33:  	17:54:  	06:03:  	18:24:  	05:33:  	18:54:  
20201112	09-27	07:00:  	12:13:29	17:26:  	03:06:  	09:30:  	15:45:  	06:34:  	17:53:  	06:03:  	18:23:  	05:34:  	18:53:  
20201113	09-28	07:01:  	12:13:37	17:26:  	04:16:  	10:22:  	16:18:  	06:35:  	17:52:  	06:04:  	18:23:  	05:34:  	18:52:  
20201114	09-29	07:02:  	12:13:47	17:25:  	05:28:  	11:16:  	16:55:  	06:36:  	17:52:  	06:05:  	18:22:  	05:35:  	18:52:  
20201115	10-01	07:03:  	12:13:57	17:24:  	06:42:  	12:12:  	17:35:  	06:36:  	17:51:  	06:06:  	18:22:  	05:36:  	18:51:  
20201116	10-02	07:04:  	12:14:07	17:24:  	07:57:  	13:11:  	18:20:  	06:37:  	17:51:  	06:07:  	18:21:  	05:37:  	18:51:  
20201117	10-03	07:05:  	12:14:19	17:23:  	09:10:  	14:13:  	19:12:  	06:38:  	17:50:  	06:08:  	18:21:  	05:38:  	18:51:  
20201118	10-04	07:06:  	12:14:32	17:23:  	10:17:  	15:14:  	20:10:  	06:39:  	17:50:  	06:09:  	18:20:  	05:39:  	18:50:  
20201119	10-05	07:07:  	12:14:45	17:22:  	11:17:  	16:14:  	21:12:  	06:40:  	17:49:  	06:09:  	18:20:  	05:39:  	18:50:  
20201120	10-06	07:08:  	12:14:59	17:22:  	12:08:  	17:10:  	22:16:  	06:41:  	17:49:  	06:10:  	18:19:  	05:40:  	18:49:  
20201121	10-07	07:09:  	12:15:14	17:21:  	12:50:  	18:02:  	23:18:  	06:42:  	17:48:  	06:11:  	18:19:  	05:41:  	18:49:  
20201122	10-08	07:10:  	12:15:29	17:21:  	13:26:  	18:49:  	--:--:  	06:43:  	17:48:  	06:12:  	18:19:  	05:42:  	18:49:  
20201123	10-09	07:11:  	12:15:46	17:20:  	13:57:  	19:33:  	00:19:  	06:44:  	17:48:  	06:13:  	18:18:  	05:43:  	18:49:  
20201124	10-10	07:12:  	12:16:03	17:20:  	14:25:  	20:15:  	01:16:  	06:45:  	17:47:  	06:14:  	18:18:  	05:43:  	18:48:  
20201125	10-11	07:13:  	12:16:21	17:20:  	14:51:  	20:56:  	02:13:  	06:46:  	17:47:  	06:15:  	18:18:  	05:44:  	18:48:  
20201126	10-12	07:14:  	12:16:40	17:19:  	15:17:  	21:36:  	03:08:  	06:46:  	17:47:  	06:15:  	18:18:  	05:45:  	18:48:  
20201127	10-13	07:15:  	12:16:59	17:19:  	15:43:  	22:17:  	04:02:  	06:47:  	17:46:  	06:16:  	18:17:  	05:46:  	18:48:  
20201128	10-14	07:16:  	12:17:19	17:19:  	16:11:  	22:59:  	04:58:  	06:48:  	17:46:  	06:17:  	18:17:  	05:47:  	18:48:  
20201129	10-15	07:17:  	12:17:40	17:19:  	16:42:  	23:43:  	05:54:  	06:49:  	17:46:  	06:18:  	18:17:  	05:47:  	18:48:  
20201130	10-16	07:17:  	12:18:02	17:18:  	17:17:  	--:--:  	06:52:  	06:50:  	17:46:  	06:19:  	18:17:  	05:48:  	18:48:  
20201201	10-17	07:18:  	12:18:24	17:18:  	17:57:  	00:30:  	07:50:  	06:51:  	17:46:  	06:20:  	18:17:  	05:49:  	18:48:  
20201202	10-18	07:19:  	12:18:47	17:18:  	18:43:  	01:20:  	08:48:  	06:52:  	17:46:  	06:20:  	18:17:  	05:50:  	18:48:  
20201203	10-19	07:20:  	12:19:10	17:18:  	19:35:  	02:12:  	09:43:  	06:52:  	17:46:  	06:21:  	18:17:  	05:51:  	18:48:  
20201204	10-20	07:21:  	12:19:34	17:18:  	20:33:  	03:06:  	10:34:  	06:53:  	17:46:  	06:22:  	18:17:  	05:51:  	18:48:  
20201205	10-21	07:22:  	12:19:59	17:18:  	21:35:  	03:59:  	11:20:  	06:54:  	17:46:  	06:23:  	18:17:  	05:52:  	18:48:  
20201206	10-22	07:23:  	12:20:24	17:18:  	22:39:  	04:52:  	12:01:  	06:55:  	17:46:  	06:23:  	18:17:  	05:53:  	18:48:  
20201207	10-23	07:23:  	12:20:49	17:18:  	23:45:  	05:43:  	12:38:  	06:56:  	17:46:  	06:24:  	18:17:  	05:54:  	18:48:  
20201208	10-24	07:24:  	12:21:16	17:18:  	--:--:  	06:32:  	13:11:  	06:56:  	17:46:  	06:25:  	18:17:  	05:54:  	18:48:  
