20201016	08-30	06:39:  	12:18:30	17:57:  	05:34:  	11:49:  	17:54:  	06:14:  	18:23:  	05:45:  	18:52:  	05:16:  	19:21:  
20201017	09-01	06:40:  	12:18:18	17:56:  	06:47:  	12:43:  	18:30:  	06:15:  	18:22:  	05:45:  	18:51:  	05:16:  	19:20:  
20201018	09-02	06:41:  	12:18:06	17:55:  	08:00:  	13:38:  	19:09:  	06:15:  	18:20:  	05:46:  	18:50:  	05:17:  	19:19:  
20201019	09-03	06:42:  	12:17:55	17:54:  	09:14:  	14:35:  	19:51:  	06:16:  	18:19:  	05:47:  	18:48:  	05:18:  	19:17:  
20201020	09-04	06:42:  	12:17:45	17:53:  	10:26:  	15:35:  	20:39:  	06:17:  	18:18:  	05:48:  	18:47:  	05:19:  	19:16:  
20201021	09-05	06:43:  	12:17:35	17:51:  	11:34:  	16:34:  	21:33:  	06:18:  	18:17:  	05:48:  	18:46:  	05:19:  	19:15:  
20201022	09-06	06:44:  	12:17:26	17:50:  	12:35:  	17:33:  	22:31:  	06:19:  	18:16:  	05:49:  	18:45:  	05:20:  	19:14:  
20201023	09-07	06:45:  	12:17:17	17:49:  	13:29:  	18:29:  	23:32:  	06:19:  	18:15:  	05:50:  	18:44:  	05:21:  	19:13:  
20201024	09-08	06:46:  	12:17:10	17:48:  	14:15:  	19:22:  	--:--:  	06:20:  	18:14:  	05:51:  	18:43:  	05:22:  	19:12:  
20201025	09-09	06:47:  	12:17:02	17:47:  	14:53:  	20:10:  	00:33:  	06:21:  	18:13:  	05:52:  	18:42:  	05:22:  	19:11:  
20201026	09-10	06:48:  	12:16:56	17:46:  	15:27:  	20:56:  	01:33:  	06:22:  	18:12:  	05:52:  	18:41:  	05:23:  	19:10:  
20201027	09-11	06:48:  	12:16:50	17:45:  	15:57:  	21:39:  	02:31:  	06:23:  	18:11:  	05:53:  	18:40:  	05:24:  	19:09:  
20201028	09-12	06:49:  	12:16:45	17:44:  	16:24:  	22:20:  	03:27:  	06:24:  	18:10:  	05:54:  	18:39:  	05:25:  	19:08:  
