20201016	08-30	06:25:  	12:01:55	17:38:  	05:16:  	11:31:  	17:36:  	05:59:  	18:04:  	05:29:  	18:35:  	04:58:  	19:05:  
20201017	09-01	06:26:  	12:01:43	17:37:  	06:31:  	12:25:  	18:10:  	06:00:  	18:03:  	05:30:  	18:33:  	04:59:  	19:04:  
20201018	09-02	06:27:  	12:01:31	17:35:  	07:47:  	13:21:  	18:46:  	06:01:  	18:02:  	05:30:  	18:32:  	05:00:  	19:02:  
20201019	09-03	06:28:  	12:01:20	17:34:  	09:03:  	14:18:  	19:27:  	06:02:  	18:00:  	05:31:  	18:31:  	05:01:  	19:01:  
20201020	09-04	06:29:  	12:01:09	17:33:  	10:17:  	15:17:  	20:13:  	06:03:  	17:59:  	05:32:  	18:29:  	05:02:  	19:00:  
20201021	09-05	06:30:  	12:00:60	17:31:  	11:26:  	16:17:  	21:06:  	06:04:  	17:58:  	05:33:  	18:28:  	05:03:  	18:59:  
20201022	09-06	06:31:  	12:00:50	17:30:  	12:28:  	17:16:  	22:04:  	06:05:  	17:57:  	05:34:  	18:27:  	05:04:  	18:57:  
20201023	09-07	06:32:  	12:00:42	17:29:  	13:21:  	18:12:  	23:05:  	06:06:  	17:55:  	05:35:  	18:26:  	05:05:  	18:56:  
20201024	09-08	06:33:  	12:00:34	17:27:  	14:06:  	19:04:  	--:--:  	06:06:  	17:54:  	05:36:  	18:25:  	05:06:  	18:55:  
20201025	09-09	06:34:  	12:00:27	17:26:  	14:43:  	19:53:  	00:08:  	06:07:  	17:53:  	05:37:  	18:24:  	05:06:  	18:54:  
20201026	09-10	06:35:  	12:00:20	17:25:  	15:15:  	20:39:  	01:09:  	06:08:  	17:52:  	05:38:  	18:22:  	05:07:  	18:53:  
20201027	09-11	06:36:  	12:00:15	17:24:  	15:43:  	21:22:  	02:09:  	06:09:  	17:51:  	05:39:  	18:21:  	05:08:  	18:52:  
20201028	09-12	06:37:  	12:00:10	17:23:  	16:09:  	22:03:  	03:08:  	06:10:  	17:50:  	05:40:  	18:20:  	05:09:  	18:51:  
20201029	09-13	06:38:  	12:00:05	17:22:  	16:33:  	22:43:  	04:05:  	06:11:  	17:48:  	05:40:  	18:19:  	05:10:  	18:50:  
20201030	09-14	06:39:  	12:00:02	17:20:  	16:58:  	23:24:  	05:01:  	06:12:  	17:47:  	05:41:  	18:18:  	05:11:  	18:49:  
20201031	09-15	06:40:  	11:59:59	17:19:  	17:23:  	--:--:  	05:58:  	06:13:  	17:46:  	05:42:  	18:17:  	05:12:  	18:48:  
20201101	09-16	06:41:  	11:59:57	17:18:  	17:51:  	00:05:  	06:55:  	06:14:  	17:45:  	05:43:  	18:16:  	05:13:  	18:47:  
20201102	09-17	06:42:  	11:59:56	17:17:  	18:21:  	00:48:  	07:53:  	06:15:  	17:44:  	05:44:  	18:15:  	05:14:  	18:46:  
20201103	09-18	06:43:  	11:59:56	17:16:  	18:56:  	01:33:  	08:52:  	06:16:  	17:43:  	05:45:  	18:14:  	05:15:  	18:45:  
20201104	09-19	06:44:  	11:59:57	17:15:  	19:37:  	02:21:  	09:51:  	06:17:  	17:42:  	05:46:  	18:13:  	05:15:  	18:44:  
20201105	09-20	06:45:  	11:59:58	17:14:  	20:24:  	03:11:  	10:48:  	06:18:  	17:41:  	05:47:  	18:12:  	05:16:  	18:43:  
20201106	09-21	06:46:  	12:00:00	17:13:  	21:18:  	04:03:  	11:41:  	06:19:  	17:41:  	05:48:  	18:12:  	05:17:  	18:42:  
20201107	09-22	06:47:  	12:00:03	17:12:  	22:18:  	04:56:  	12:30:  	06:20:  	17:40:  	05:49:  	18:11:  	05:18:  	18:41:  
20201108	09-23	06:49:  	12:00:07	17:11:  	23:23:  	05:49:  	13:14:  	06:21:  	17:39:  	05:50:  	18:10:  	05:19:  	18:41:  
20201109	09-24	06:50:  	12:00:12	17:10:  	--:--:  	06:42:  	13:53:  	06:22:  	17:38:  	05:51:  	18:09:  	05:20:  	18:40:  
20201110	09-25	06:51:  	12:00:18	17:10:  	00:30:  	07:34:  	14:28:  	06:23:  	17:37:  	05:52:  	18:08:  	05:21:  	18:39:  
20201111	09-26	06:52:  	12:00:24	17:09:  	01:40:  	08:25:  	15:00:  	06:24:  	17:36:  	05:53:  	18:08:  	05:22:  	18:39:  
20201112	09-27	06:53:  	12:00:31	17:08:  	02:51:  	09:16:  	15:32:  	06:25:  	17:36:  	05:54:  	18:07:  	05:23:  	18:38:  
20201113	09-28	06:54:  	12:00:40	17:07:  	04:03:  	10:08:  	16:04:  	06:26:  	17:35:  	05:55:  	18:06:  	05:24:  	18:37:  
20201114	09-29	06:55:  	12:00:49	17:06:  	05:17:  	11:02:  	16:38:  	06:27:  	17:34:  	05:56:  	18:06:  	05:25:  	18:37:  
20201115	10-01	06:56:  	12:00:59	17:06:  	06:33:  	11:58:  	17:16:  	06:28:  	17:34:  	05:56:  	18:05:  	05:25:  	18:36:  
20201116	10-02	06:57:  	12:01:10	17:05:  	07:50:  	12:58:  	18:00:  	06:29:  	17:33:  	05:57:  	18:05:  	05:26:  	18:36:  
20201117	10-03	06:58:  	12:01:21	17:04:  	09:04:  	13:59:  	18:51:  	06:30:  	17:32:  	05:58:  	18:04:  	05:27:  	18:35:  
20201118	10-04	06:59:  	12:01:34	17:04:  	10:12:  	15:01:  	19:48:  	06:31:  	17:32:  	05:59:  	18:03:  	05:28:  	18:35:  
20201119	10-05	07:00:  	12:01:47	17:03:  	11:12:  	16:00:  	20:50:  	06:32:  	17:31:  	06:00:  	18:03:  	05:29:  	18:34:  
20201120	10-06	07:01:  	12:02:01	17:03:  	12:02:  	16:56:  	21:55:  	06:33:  	17:31:  	06:01:  	18:03:  	05:30:  	18:34:  
20201121	10-07	07:02:  	12:02:16	17:02:  	12:43:  	17:48:  	22:59:  	06:34:  	17:30:  	06:02:  	18:02:  	05:31:  	18:33:  
20201122	10-08	07:03:  	12:02:32	17:02:  	13:17:  	18:36:  	--:--:  	06:35:  	17:30:  	06:03:  	18:02:  	05:32:  	18:33:  
20201123	10-09	07:04:  	12:02:48	17:01:  	13:47:  	19:20:  	00:01:  	06:36:  	17:29:  	06:04:  	18:01:  	05:33:  	18:33:  
20201124	10-10	07:05:  	12:03:05	17:01:  	14:14:  	20:02:  	01:00:  	06:37:  	17:29:  	06:05:  	18:01:  	05:34:  	18:32:  
