20201016	08-30	06:31:  	12:07:56	17:44:  	05:23:  	11:38:  	17:43:  	06:05:  	18:11:  	05:35:  	18:41:  	05:04:  	19:11:  
20201017	09-01	06:32:  	12:07:43	17:43:  	06:37:  	12:32:  	18:17:  	06:06:  	18:09:  	05:35:  	18:39:  	05:05:  	19:09:  
20201018	09-02	06:33:  	12:07:32	17:42:  	07:53:  	13:27:  	18:53:  	06:07:  	18:08:  	05:36:  	18:38:  	05:06:  	19:08:  
20201019	09-03	06:34:  	12:07:21	17:40:  	09:08:  	14:24:  	19:34:  	06:07:  	18:07:  	05:37:  	18:37:  	05:07:  	19:07:  
20201020	09-04	06:35:  	12:07:10	17:39:  	10:22:  	15:24:  	20:21:  	06:08:  	18:05:  	05:38:  	18:36:  	05:08:  	19:06:  
20201021	09-05	06:36:  	12:07:00	17:38:  	11:31:  	16:23:  	21:14:  	06:09:  	18:04:  	05:39:  	18:34:  	05:09:  	19:05:  
20201022	09-06	06:37:  	12:06:51	17:37:  	12:33:  	17:22:  	22:12:  	06:10:  	18:03:  	05:40:  	18:33:  	05:10:  	19:03:  
20201023	09-07	06:38:  	12:06:43	17:35:  	13:26:  	18:18:  	23:13:  	06:11:  	18:02:  	05:41:  	18:32:  	05:11:  	19:02:  
20201024	09-08	06:39:  	12:06:35	17:34:  	14:11:  	19:11:  	--:--:  	06:12:  	18:01:  	05:42:  	18:31:  	05:12:  	19:01:  
20201025	09-09	06:39:  	12:06:28	17:33:  	14:48:  	19:60:  	00:15:  	06:13:  	17:59:  	05:43:  	18:30:  	05:12:  	19:00:  
20201026	09-10	06:40:  	12:06:21	17:32:  	15:20:  	20:45:  	01:16:  	06:14:  	17:58:  	05:43:  	18:29:  	05:13:  	18:59:  
20201027	09-11	06:41:  	12:06:15	17:31:  	15:49:  	21:28:  	02:16:  	06:15:  	17:57:  	05:44:  	18:28:  	05:14:  	18:58:  
20201028	09-12	06:42:  	12:06:10	17:29:  	16:15:  	22:09:  	03:14:  	06:16:  	17:56:  	05:45:  	18:27:  	05:15:  	18:57:  
20201029	09-13	06:43:  	12:06:06	17:28:  	16:40:  	22:49:  	04:11:  	06:17:  	17:55:  	05:46:  	18:26:  	05:16:  	18:56:  
20201030	09-14	06:44:  	12:06:03	17:27:  	17:04:  	23:30:  	05:07:  	06:18:  	17:54:  	05:47:  	18:25:  	05:17:  	18:55:  
20201031	09-15	06:45:  	12:06:00	17:26:  	17:30:  	--:--:  	06:04:  	06:19:  	17:53:  	05:48:  	18:24:  	05:18:  	18:54:  
