20201016	08-30	06:42:  	12:18:43	17:55:  	05:34:  	11:49:  	17:53:  	06:16:  	18:21:  	05:45:  	18:51:  	05:15:  	19:22:  
20201017	09-01	06:43:  	12:18:31	17:53:  	06:49:  	12:43:  	18:27:  	06:17:  	18:20:  	05:46:  	18:50:  	05:16:  	19:20:  
20201018	09-02	06:44:  	12:18:19	17:52:  	08:05:  	13:38:  	19:04:  	06:18:  	18:18:  	05:47:  	18:49:  	05:17:  	19:19:  
20201019	09-03	06:45:  	12:18:08	17:51:  	09:20:  	14:36:  	19:44:  	06:19:  	18:17:  	05:48:  	18:48:  	05:18:  	19:18:  
20201020	09-04	06:46:  	12:17:58	17:49:  	10:34:  	15:35:  	20:31:  	06:19:  	18:16:  	05:49:  	18:46:  	05:19:  	19:17:  
20201021	09-05	06:47:  	12:17:48	17:48:  	11:44:  	16:35:  	21:24:  	06:20:  	18:15:  	05:50:  	18:45:  	05:20:  	19:15:  
20201022	09-06	06:48:  	12:17:39	17:47:  	12:45:  	17:33:  	22:22:  	06:21:  	18:13:  	05:51:  	18:44:  	05:21:  	19:14:  
20201023	09-07	06:49:  	12:17:30	17:46:  	13:39:  	18:29:  	23:23:  	06:22:  	18:12:  	05:52:  	18:43:  	05:21:  	19:13:  
20201024	09-08	06:50:  	12:17:23	17:44:  	14:23:  	19:22:  	--:--:  	06:23:  	18:11:  	05:53:  	18:42:  	05:22:  	19:12:  
20201025	09-09	06:51:  	12:17:15	17:43:  	15:00:  	20:11:  	00:25:  	06:24:  	18:10:  	05:54:  	18:40:  	05:23:  	19:11:  
20201026	09-10	06:52:  	12:17:09	17:42:  	15:32:  	20:56:  	01:27:  	06:25:  	18:09:  	05:55:  	18:39:  	05:24:  	19:10:  
20201027	09-11	06:53:  	12:17:03	17:41:  	16:00:  	21:39:  	02:27:  	06:26:  	18:08:  	05:55:  	18:38:  	05:25:  	19:08:  
20201028	09-12	06:54:  	12:16:58	17:40:  	16:26:  	22:20:  	03:25:  	06:27:  	18:06:  	05:56:  	18:37:  	05:26:  	19:07:  
20201029	09-13	06:55:  	12:16:54	17:38:  	16:51:  	23:01:  	04:22:  	06:28:  	18:05:  	05:57:  	18:36:  	05:27:  	19:06:  
20201030	09-14	06:56:  	12:16:51	17:37:  	17:15:  	23:41:  	05:19:  	06:29:  	18:04:  	05:58:  	18:35:  	05:28:  	19:05:  
20201031	09-15	06:57:  	12:16:48	17:36:  	17:40:  	--:--:  	06:15:  	06:30:  	18:03:  	05:59:  	18:34:  	05:29:  	19:04:  
20201101	09-16	06:58:  	12:16:46	17:35:  	18:08:  	00:22:  	07:13:  	06:31:  	18:02:  	06:00:  	18:33:  	05:30:  	19:03:  
20201102	09-17	06:59:  	12:16:45	17:34:  	18:39:  	01:05:  	08:11:  	06:32:  	18:01:  	06:01:  	18:32:  	05:30:  	19:03:  
20201103	09-18	07:00:  	12:16:45	17:33:  	19:14:  	01:50:  	09:09:  	06:33:  	18:00:  	06:02:  	18:31:  	05:31:  	19:02:  
20201104	09-19	07:01:  	12:16:45	17:32:  	19:55:  	02:38:  	10:08:  	06:34:  	17:59:  	06:03:  	18:30:  	05:32:  	19:01:  
20201105	09-20	07:02:  	12:16:47	17:31:  	20:42:  	03:28:  	11:05:  	06:35:  	17:58:  	06:04:  	18:29:  	05:33:  	19:00:  
