20201016	08-30	06:39:  	12:19:23	17:59:  	05:35:  	11:50:  	17:55:  	06:14:  	18:24:  	05:45:  	18:53:  	05:16:  	19:22:  
20201017	09-01	06:40:  	12:19:11	17:58:  	06:47:  	12:44:  	18:32:  	06:15:  	18:23:  	05:46:  	18:52:  	05:17:  	19:21:  
20201018	09-02	06:41:  	12:18:59	17:57:  	08:00:  	13:39:  	19:11:  	06:16:  	18:22:  	05:47:  	18:51:  	05:18:  	19:19:  
20201019	09-03	06:42:  	12:18:48	17:55:  	09:13:  	14:36:  	19:54:  	06:16:  	18:21:  	05:48:  	18:50:  	05:19:  	19:18:  
20201020	09-04	06:42:  	12:18:38	17:54:  	10:25:  	15:36:  	20:42:  	06:17:  	18:20:  	05:48:  	18:48:  	05:19:  	19:17:  
20201021	09-05	06:43:  	12:18:28	17:53:  	11:32:  	16:35:  	21:36:  	06:18:  	18:18:  	05:49:  	18:47:  	05:20:  	19:16:  
20201022	09-06	06:44:  	12:18:19	17:52:  	12:34:  	17:34:  	22:34:  	06:19:  	18:17:  	05:50:  	18:46:  	05:21:  	19:15:  
20201023	09-07	06:45:  	12:18:10	17:51:  	13:28:  	18:30:  	23:35:  	06:20:  	18:16:  	05:51:  	18:45:  	05:22:  	19:14:  
20201024	09-08	06:46:  	12:18:02	17:50:  	14:14:  	19:23:  	--:--:  	06:20:  	18:15:  	05:51:  	18:44:  	05:22:  	19:13:  
20201025	09-09	06:47:  	12:17:55	17:49:  	14:53:  	20:11:  	00:36:  	06:21:  	18:14:  	05:52:  	18:43:  	05:23:  	19:12:  
20201026	09-10	06:47:  	12:17:49	17:48:  	15:27:  	20:57:  	01:35:  	06:22:  	18:13:  	05:53:  	18:42:  	05:24:  	19:11:  
20201027	09-11	06:48:  	12:17:43	17:47:  	15:57:  	21:40:  	02:33:  	06:23:  	18:12:  	05:54:  	18:41:  	05:25:  	19:10:  
20201028	09-12	06:49:  	12:17:38	17:46:  	16:25:  	22:21:  	03:29:  	06:24:  	18:11:  	05:54:  	18:40:  	05:25:  	19:09:  
20201029	09-13	06:50:  	12:17:34	17:45:  	16:51:  	23:01:  	04:24:  	06:24:  	18:10:  	05:55:  	18:40:  	05:26:  	19:08:  
20201030	09-14	06:51:  	12:17:30	17:44:  	17:18:  	23:42:  	05:18:  	06:25:  	18:09:  	05:56:  	18:39:  	05:27:  	19:08:  
20201031	09-15	06:52:  	12:17:28	17:43:  	17:45:  	--:--:  	06:13:  	06:26:  	18:08:  	05:57:  	18:38:  	05:28:  	19:07:  
20201101	09-16	06:53:  	12:17:26	17:42:  	18:15:  	00:23:  	07:08:  	06:27:  	18:08:  	05:58:  	18:37:  	05:28:  	19:06:  
20201102	09-17	06:53:  	12:17:25	17:41:  	18:48:  	01:06:  	08:04:  	06:28:  	18:07:  	05:58:  	18:36:  	05:29:  	19:05:  
20201103	09-18	06:54:  	12:17:24	17:40:  	19:24:  	01:51:  	09:01:  	06:29:  	18:06:  	05:59:  	18:35:  	05:30:  	19:04:  
20201104	09-19	06:55:  	12:17:25	17:39:  	20:07:  	02:39:  	09:58:  	06:29:  	18:05:  	06:00:  	18:34:  	05:31:  	19:04:  
20201105	09-20	06:56:  	12:17:26	17:38:  	20:55:  	03:29:  	10:54:  	06:30:  	18:04:  	06:01:  	18:34:  	05:32:  	19:03:  
20201106	09-21	06:57:  	12:17:29	17:37:  	21:49:  	04:21:  	11:47:  	06:31:  	18:03:  	06:02:  	18:33:  	05:32:  	19:02:  
20201107	09-22	06:58:  	12:17:32	17:37:  	22:48:  	05:14:  	12:37:  	06:32:  	18:03:  	06:02:  	18:32:  	05:33:  	19:02:  
20201108	09-23	06:59:  	12:17:36	17:36:  	23:51:  	06:07:  	13:22:  	06:33:  	18:02:  	06:03:  	18:32:  	05:34:  	19:01:  
20201109	09-24	07:00:  	12:17:40	17:35:  	--:--:  	07:00:  	14:03:  	06:34:  	18:01:  	06:04:  	18:31:  	05:35:  	19:00:  
20201110	09-25	07:01:  	12:17:46	17:34:  	00:56:  	07:52:  	14:40:  	06:35:  	18:01:  	06:05:  	18:30:  	05:35:  	19:00:  
20201111	09-26	07:02:  	12:17:53	17:34:  	02:03:  	08:43:  	15:15:  	06:35:  	18:00:  	06:06:  	18:30:  	05:36:  	18:59:  
20201112	09-27	07:03:  	12:18:00	17:33:  	03:11:  	09:34:  	15:49:  	06:36:  	17:59:  	06:06:  	18:29:  	05:37:  	18:59:  
20201113	09-28	07:03:  	12:18:08	17:32:  	04:20:  	10:26:  	16:24:  	06:37:  	17:59:  	06:07:  	18:29:  	05:38:  	18:58:  
20201114	09-29	07:04:  	12:18:17	17:32:  	05:32:  	11:20:  	17:01:  	06:38:  	17:58:  	06:08:  	18:28:  	05:39:  	18:58:  
20201115	10-01	07:05:  	12:18:27	17:31:  	06:45:  	12:17:  	17:42:  	06:39:  	17:58:  	06:09:  	18:28:  	05:39:  	18:57:  
20201116	10-02	07:06:  	12:18:38	17:31:  	07:59:  	13:16:  	18:28:  	06:40:  	17:57:  	06:10:  	18:27:  	05:40:  	18:57:  
