20211214	11-11	07:39:  	12:29:26	17:20:  	14:29:  	21:04:  	02:50:  	07:10:  	17:48:  	06:38:  	18:21:  	06:06:  	18:52:  
20211215	11-12	07:40:  	12:29:55	17:20:  	14:54:  	21:46:  	03:49:  	07:11:  	17:49:  	06:39:  	18:21:  	06:07:  	18:53:  
20211216	11-13	07:41:  	12:30:24	17:20:  	15:23:  	22:30:  	04:47:  	07:12:  	17:49:  	06:39:  	18:21:  	06:08:  	18:53:  
20211217	11-14	07:41:  	12:30:53	17:21:  	15:55:  	23:16:  	05:46:  	07:12:  	17:49:  	06:40:  	18:22:  	06:08:  	18:53:  
20211218	11-15	07:42:  	12:31:22	17:21:  	16:32:  	--:--:  	06:45:  	07:13:  	17:50:  	06:40:  	18:22:  	06:09:  	18:54:  
20211219	11-16	07:42:  	12:31:52	17:21:  	17:15:  	00:05:  	07:42:  	07:13:  	17:50:  	06:41:  	18:23:  	06:09:  	18:54:  
20211220	11-17	07:43:  	12:32:21	17:22:  	18:04:  	00:55:  	08:36:  	07:14:  	17:51:  	06:42:  	18:23:  	06:10:  	18:55:  
20211221	11-18	07:43:  	12:32:51	17:22:  	18:58:  	01:46:  	09:26:  	07:15:  	17:51:  	06:42:  	18:24:  	06:11:  	18:55:  
20211222	11-19	07:44:  	12:33:21	17:23:  	19:57:  	02:36:  	10:09:  	07:15:  	17:52:  	06:43:  	18:24:  	06:11:  	18:56:  
20211223	11-20	07:44:  	12:33:50	17:23:  	20:58:  	03:26:  	10:47:  	07:16:  	17:52:  	06:43:  	18:25:  	06:11:  	18:56:  
20211224	11-21	07:45:  	12:34:20	17:24:  	22:00:  	04:14:  	11:21:  	07:16:  	17:53:  	06:44:  	18:25:  	06:12:  	18:57:  
20211225	11-22	07:45:  	12:34:50	17:24:  	23:02:  	05:00:  	11:51:  	07:16:  	17:53:  	06:44:  	18:26:  	06:12:  	18:57:  
20211226	11-23	07:46:  	12:35:20	17:25:  	--:--:  	05:45:  	12:18:  	07:17:  	17:54:  	06:44:  	18:26:  	06:13:  	18:58:  
20211227	11-24	07:46:  	12:35:49	17:26:  	00:05:  	06:30:  	12:45:  	07:17:  	17:55:  	06:45:  	18:27:  	06:13:  	18:59:  
20211228	11-25	07:46:  	12:36:19	17:26:  	01:10:  	07:16:  	13:12:  	07:17:  	17:55:  	06:45:  	18:28:  	06:14:  	18:59:  
20211229	11-26	07:47:  	12:36:48	17:27:  	02:17:  	08:04:  	13:42:  	07:18:  	17:56:  	06:45:  	18:28:  	06:14:  	19:00:  
20211230	11-27	07:47:  	12:37:17	17:28:  	03:27:  	08:55:  	14:15:  	07:18:  	17:57:  	06:46:  	18:29:  	06:14:  	19:00:  
20211231	11-28	07:47:  	12:37:46	17:28:  	04:42:  	09:52:  	14:56:  	07:18:  	17:57:  	06:46:  	18:30:  	06:14:  	19:01:  
20220101	11-29	07:47:  	12:38:14	17:29:  	05:58:  	10:54:  	15:45:  	07:19:  	17:58:  	06:46:  	18:30:  	06:15:  	19:02:  
20220102	11-30	07:48:  	12:38:43	17:30:  	07:12:  	11:59:  	16:44:  	07:19:  	17:59:  	06:46:  	18:31:  	06:15:  	19:03:  
20220103	12-01	07:48:  	12:39:11	17:31:  	08:20:  	13:06:  	17:53:  	07:19:  	18:00:  	06:47:  	18:32:  	06:15:  	19:03:  
20220104	12-02	07:48:  	12:39:38	17:32:  	09:17:  	14:10:  	19:07:  	07:19:  	18:00:  	06:47:  	18:33:  	06:15:  	19:04:  
20220105	12-03	07:48:  	12:40:05	17:33:  	10:04:  	15:09:  	20:21:  	07:19:  	18:01:  	06:47:  	18:33:  	06:16:  	19:05:  
20220106	12-04	07:48:  	12:40:32	17:33:  	10:42:  	16:03:  	21:31:  	07:19:  	18:02:  	06:47:  	18:34:  	06:16:  	19:06:  
20220107	12-05	07:48:  	12:40:58	17:34:  	11:13:  	16:51:  	22:38:  	07:19:  	18:03:  	06:47:  	18:35:  	06:16:  	19:06:  
20220108	12-06	07:48:  	12:41:24	17:35:  	11:41:  	17:37:  	23:41:  	07:19:  	18:04:  	06:47:  	18:36:  	06:16:  	19:07:  
20220109	12-07	07:48:  	12:41:49	17:36:  	12:07:  	18:20:  	--:--:  	07:19:  	18:05:  	06:47:  	18:37:  	06:16:  	19:08:  
20220110	12-08	07:48:  	12:42:14	17:37:  	12:32:  	19:02:  	00:42:  	07:19:  	18:06:  	06:47:  	18:38:  	06:16:  	19:09:  
20220111	12-09	07:48:  	12:42:38	17:38:  	12:57:  	19:44:  	01:41:  	07:19:  	18:06:  	06:47:  	18:38:  	06:16:  	19:10:  
