20201016	08-30	06:33:  	12:11:48	17:50:  	05:27:  	11:42:  	17:47:  	06:07:  	18:16:  	05:38:  	18:45:  	05:09:  	19:14:  
20201017	09-01	06:34:  	12:11:35	17:49:  	06:40:  	12:36:  	18:23:  	06:08:  	18:14:  	05:39:  	18:44:  	05:10:  	19:13:  
20201018	09-02	06:35:  	12:11:24	17:48:  	07:54:  	13:31:  	19:01:  	06:09:  	18:13:  	05:40:  	18:43:  	05:10:  	19:12:  
20201019	09-03	06:35:  	12:11:12	17:47:  	09:08:  	14:28:  	19:43:  	06:10:  	18:12:  	05:40:  	18:42:  	05:11:  	19:11:  
20201020	09-04	06:36:  	12:11:02	17:45:  	10:20:  	15:28:  	20:31:  	06:11:  	18:11:  	05:41:  	18:40:  	05:12:  	19:10:  
20201021	09-05	06:37:  	12:10:52	17:44:  	11:28:  	16:27:  	21:24:  	06:11:  	18:10:  	05:42:  	18:39:  	05:13:  	19:09:  
20201022	09-06	06:38:  	12:10:43	17:43:  	12:30:  	17:26:  	22:22:  	06:12:  	18:09:  	05:43:  	18:38:  	05:13:  	19:07:  
20201023	09-07	06:39:  	12:10:35	17:42:  	13:24:  	18:22:  	23:23:  	06:13:  	18:08:  	05:44:  	18:37:  	05:14:  	19:06:  
20201024	09-08	06:40:  	12:10:27	17:41:  	14:09:  	19:15:  	--:--:  	06:14:  	18:06:  	05:44:  	18:36:  	05:15:  	19:05:  
20201025	09-09	06:41:  	12:10:20	17:40:  	14:48:  	20:04:  	00:24:  	06:15:  	18:05:  	05:45:  	18:35:  	05:16:  	19:04:  
20201026	09-10	06:42:  	12:10:13	17:38:  	15:21:  	20:49:  	01:25:  	06:16:  	18:04:  	05:46:  	18:34:  	05:17:  	19:03:  
20201027	09-11	06:42:  	12:10:07	17:37:  	15:50:  	21:32:  	02:23:  	06:17:  	18:03:  	05:47:  	18:33:  	05:17:  	19:02:  
20201028	09-12	06:43:  	12:10:02	17:36:  	16:18:  	22:13:  	03:20:  	06:17:  	18:02:  	05:48:  	18:32:  	05:18:  	19:01:  
20201029	09-13	06:44:  	12:09:58	17:35:  	16:44:  	22:53:  	04:16:  	06:18:  	18:01:  	05:49:  	18:31:  	05:19:  	19:00:  
20201030	09-14	06:45:  	12:09:55	17:34:  	17:09:  	23:34:  	05:11:  	06:19:  	18:00:  	05:49:  	18:30:  	05:20:  	18:59:  
20201031	09-15	06:46:  	12:09:52	17:33:  	17:36:  	--:--:  	06:06:  	06:20:  	17:59:  	05:50:  	18:29:  	05:21:  	18:59:  
20201101	09-16	06:47:  	12:09:50	17:32:  	18:05:  	00:15:  	07:02:  	06:21:  	17:58:  	05:51:  	18:28:  	05:22:  	18:58:  
20201102	09-17	06:48:  	12:09:49	17:31:  	18:37:  	00:58:  	07:58:  	06:22:  	17:57:  	05:52:  	18:27:  	05:22:  	18:57:  
20201103	09-18	06:49:  	12:09:49	17:30:  	19:13:  	01:43:  	08:56:  	06:23:  	17:57:  	05:53:  	18:26:  	05:23:  	18:56:  
20201104	09-19	06:50:  	12:09:49	17:29:  	19:55:  	02:31:  	09:53:  	06:24:  	17:56:  	05:54:  	18:26:  	05:24:  	18:55:  
20201105	09-20	06:51:  	12:09:51	17:29:  	20:43:  	03:21:  	10:50:  	06:24:  	17:55:  	05:54:  	18:25:  	05:25:  	18:54:  
20201106	09-21	06:52:  	12:09:53	17:28:  	21:37:  	04:13:  	11:43:  	06:25:  	17:54:  	05:55:  	18:24:  	05:26:  	18:54:  
20201107	09-22	06:53:  	12:09:56	17:27:  	22:36:  	05:06:  	12:33:  	06:26:  	17:53:  	05:56:  	18:23:  	05:26:  	18:53:  
20201108	09-23	06:54:  	12:09:60	17:26:  	23:40:  	05:60:  	13:17:  	06:27:  	17:52:  	05:57:  	18:23:  	05:27:  	18:52:  
20201109	09-24	06:55:  	12:10:05	17:25:  	--:--:  	06:52:  	13:58:  	06:28:  	17:52:  	05:58:  	18:22:  	05:28:  	18:52:  
20201110	09-25	06:56:  	12:10:10	17:24:  	00:46:  	07:44:  	14:34:  	06:29:  	17:51:  	05:59:  	18:21:  	05:29:  	18:51:  
20201111	09-26	06:57:  	12:10:17	17:24:  	01:53:  	08:35:  	15:08:  	06:30:  	17:50:  	06:00:  	18:21:  	05:30:  	18:50:  
20201112	09-27	06:57:  	12:10:24	17:23:  	03:02:  	09:27:  	15:41:  	06:31:  	17:50:  	06:00:  	18:20:  	05:31:  	18:50:  
