20201016	08-30	06:45:  	12:23:43	18:02:  	05:40:  	11:54:  	17:59:  	06:19:  	18:28:  	05:50:  	18:57:  	05:21:  	19:26:  
20201017	09-01	06:45:  	12:23:31	18:01:  	06:52:  	12:48:  	18:35:  	06:20:  	18:27:  	05:51:  	18:56:  	05:21:  	19:25:  
20201018	09-02	06:46:  	12:23:20	18:00:  	08:06:  	13:43:  	19:13:  	06:21:  	18:25:  	05:51:  	18:55:  	05:22:  	19:24:  
20201019	09-03	06:47:  	12:23:08	17:59:  	09:20:  	14:41:  	19:56:  	06:22:  	18:24:  	05:52:  	18:53:  	05:23:  	19:23:  
20201020	09-04	06:48:  	12:22:58	17:57:  	10:32:  	15:40:  	20:44:  	06:22:  	18:23:  	05:53:  	18:52:  	05:24:  	19:22:  
20201021	09-05	06:49:  	12:22:48	17:56:  	11:40:  	16:40:  	21:37:  	06:23:  	18:22:  	05:54:  	18:51:  	05:25:  	19:20:  
20201022	09-06	06:50:  	12:22:39	17:55:  	12:42:  	17:38:  	22:35:  	06:24:  	18:21:  	05:55:  	18:50:  	05:25:  	19:19:  
20201023	09-07	06:51:  	12:22:31	17:54:  	13:35:  	18:35:  	23:36:  	06:25:  	18:20:  	05:55:  	18:49:  	05:26:  	19:18:  
20201024	09-08	06:51:  	12:22:23	17:53:  	14:21:  	19:27:  	--:--:  	06:26:  	18:19:  	05:56:  	18:48:  	05:27:  	19:17:  
20201025	09-09	06:52:  	12:22:16	17:52:  	15:00:  	20:16:  	00:37:  	06:27:  	18:17:  	05:57:  	18:47:  	05:28:  	19:16:  
20201026	09-10	06:53:  	12:22:09	17:51:  	15:33:  	21:01:  	01:37:  	06:27:  	18:16:  	05:58:  	18:46:  	05:29:  	19:15:  
20201027	09-11	06:54:  	12:22:03	17:50:  	16:02:  	21:44:  	02:36:  	06:28:  	18:15:  	05:59:  	18:45:  	05:29:  	19:14:  
20201028	09-12	06:55:  	12:21:58	17:48:  	16:30:  	22:25:  	03:33:  	06:29:  	18:14:  	06:00:  	18:44:  	05:30:  	19:13:  
20201029	09-13	06:56:  	12:21:54	17:47:  	16:56:  	23:06:  	04:28:  	06:30:  	18:13:  	06:00:  	18:43:  	05:31:  	19:12:  
20201030	09-14	06:57:  	12:21:51	17:46:  	17:22:  	23:46:  	05:23:  	06:31:  	18:12:  	06:01:  	18:42:  	05:32:  	19:11:  
20201031	09-15	06:58:  	12:21:48	17:45:  	17:49:  	--:--:  	06:18:  	06:32:  	18:11:  	06:02:  	18:41:  	05:33:  	19:11:  
20201101	09-16	06:59:  	12:21:46	17:44:  	18:18:  	00:27:  	07:14:  	06:33:  	18:10:  	06:03:  	18:40:  	05:33:  	19:10:  
