<TOPS - 조위예측극치자료>

대상조위관측소 : 광양
위도(WGS84) : N  34도 54분 13초
경도(WGS84) : E 127도 45분 17초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 00 13 MIN    83
2021 12 01 06 44 MAX   307
2021 12 01 12 41 MIN    88
2021 12 01 18 51 MAX   317
2021 12 02 00 57 MIN    52
2021 12 02 07 32 MAX   340
2021 12 02 13 31 MIN    64
2021 12 02 19 38 MAX   330
2021 12 03 01 40 MIN    24
2021 12 03 08 18 MAX   369
2021 12 03 14 19 MIN    46
2021 12 03 20 24 MAX   338
2021 12 04 02 24 MIN     4
2021 12 04 09 04 MAX   389
2021 12 04 15 07 MIN    37
2021 12 04 21 09 MAX   339
2021 12 05 03 08 MIN    -5
2021 12 05 09 50 MAX   398
2021 12 05 15 53 MIN    39
2021 12 05 21 54 MAX   332
2021 12 06 03 52 MIN    -2
2021 12 06 10 37 MAX   394
2021 12 06 16 40 MIN    50
2021 12 06 22 39 MAX   318
2021 12 07 04 37 MIN    13
2021 12 07 11 24 MAX   378
2021 12 07 17 28 MIN    70
2021 12 07 23 25 MAX   299
2021 12 08 05 23 MIN    37
2021 12 08 12 11 MAX   354
2021 12 08 18 19 MIN    93
2021 12 09 00 15 MAX   278
2021 12 09 06 13 MIN    66
2021 12 09 13 02 MAX   326
2021 12 09 19 15 MIN   114
2021 12 10 01 12 MAX   259
2021 12 10 07 07 MIN    97
2021 12 10 13 58 MAX   299
2021 12 10 20 21 MIN   129
2021 12 11 02 20 MAX   246
2021 12 11 08 09 MIN   123
2021 12 11 15 04 MAX   278
2021 12 11 21 35 MIN   133
2021 12 12 03 41 MAX   244
2021 12 12 09 24 MIN   141
2021 12 12 16 20 MAX   267
2021 12 12 22 45 MIN   127
2021 12 13 05 00 MAX   254
2021 12 13 10 46 MIN   147
2021 12 13 17 28 MAX   264
2021 12 13 23 42 MIN   114
2021 12 14 06 03 MAX   271
2021 12 14 11 58 MIN   141
2021 12 14 18 21 MAX   267
2021 12 15 00 27 MIN   100
2021 12 15 06 53 MAX   289
2021 12 15 12 53 MIN   130
2021 12 15 19 04 MAX   271
2021 12 16 01 07 MIN    86
2021 12 16 07 35 MAX   306
2021 12 16 13 38 MIN   117
2021 12 16 19 41 MAX   276
2021 12 17 01 43 MIN    73
2021 12 17 08 13 MAX   321
2021 12 17 14 16 MIN   105
2021 12 17 20 16 MAX   280
2021 12 18 02 17 MIN    63
2021 12 18 08 49 MAX   333
2021 12 18 14 52 MIN    96
2021 12 18 20 48 MAX   284
2021 12 19 02 49 MIN    55
2021 12 19 09 23 MAX   342
2021 12 19 15 26 MIN    90
2021 12 19 21 20 MAX   286
2021 12 20 03 21 MIN    51
2021 12 20 09 56 MAX   346
2021 12 20 15 57 MIN    88
2021 12 20 21 52 MAX   287
2021 12 21 03 54 MIN    50
2021 12 21 10 30 MAX   346
2021 12 21 16 30 MIN    90
2021 12 21 22 26 MAX   284
2021 12 22 04 28 MIN    54
2021 12 22 11 04 MAX   341
2021 12 22 17 04 MIN    95
2021 12 22 23 01 MAX   278
2021 12 23 05 04 MIN    63
2021 12 23 11 40 MAX   333
2021 12 23 17 40 MIN   102
2021 12 23 23 40 MAX   270
2021 12 24 05 43 MIN    76
2021 12 24 12 18 MAX   321
2021 12 24 18 20 MIN   111
2021 12 25 00 23 MAX   260
2021 12 25 06 27 MIN    92
2021 12 25 13 00 MAX   307
2021 12 25 19 07 MIN   119
2021 12 26 01 15 MAX   250
2021 12 26 07 18 MIN   109
2021 12 26 13 48 MAX   294
2021 12 26 20 03 MIN   123
2021 12 27 02 22 MAX   246
2021 12 27 08 22 MIN   123
2021 12 27 14 48 MAX   282
2021 12 27 21 09 MIN   120
2021 12 28 03 45 MAX   251
2021 12 28 09 40 MIN   130
2021 12 28 15 59 MAX   276
2021 12 28 22 20 MIN   107
2021 12 29 05 07 MAX   269
2021 12 29 11 02 MIN   124
2021 12 29 17 13 MAX   277
2021 12 29 23 26 MIN    87
2021 12 30 06 16 MAX   296
2021 12 30 12 16 MIN   108
2021 12 30 18 19 MAX   286
2021 12 31 00 25 MIN    62
2021 12 31 07 15 MAX   326
2021 12 31 13 18 MIN    87
2021 12 31 19 17 MAX   298
2022 01 01 01 20 MIN    37
2022 01 01 08 08 MAX   355
2022 01 01 14 12 MIN    66
2022 01 01 20 10 MAX   310
2022 01 02 02 11 MIN    16
2022 01 02 08 58 MAX   378
2022 01 02 15 02 MIN    50
2022 01 02 20 59 MAX   319
2022 01 03 03 00 MIN     1
2022 01 03 09 46 MAX   392
2022 01 03 15 49 MIN    41
2022 01 03 21 47 MAX   324
2022 01 04 03 47 MIN    -4
2022 01 04 10 31 MAX   394
2022 01 04 16 33 MIN    41
2022 01 04 22 32 MAX   323
2022 01 05 04 32 MIN     1
2022 01 05 11 14 MAX   385
2022 01 05 17 16 MIN    49
2022 01 05 23 17 MAX   315
2022 01 06 05 15 MIN    18
2022 01 06 11 56 MAX   366
2022 01 06 17 59 MIN    65
2022 01 07 00 02 MAX   302
2022 01 07 05 57 MIN    44
2022 01 07 12 36 MAX   340
2022 01 07 18 42 MIN    84
2022 01 08 00 47 MAX   286
2022 01 08 06 40 MIN    75
2022 01 08 13 16 MAX   311
2022 01 08 19 28 MIN   103
2022 01 09 01 36 MAX   269
2022 01 09 07 25 MIN   108
2022 01 09 13 57 MAX   283
2022 01 09 20 20 MIN   119
2022 01 10 02 33 MAX   254
2022 01 10 08 18 MIN   137
2022 01 10 14 44 MAX   258
2022 01 10 21 24 MIN   129
2022 01 11 03 47 MAX   247
2022 01 11 09 29 MIN   159
2022 01 11 15 53 MAX   241
2022 01 11 22 36 MIN   130
2022 01 12 05 11 MAX   251
2022 01 12 11 05 MIN   166
2022 01 12 17 21 MAX   234
2022 01 12 23 42 MIN   122
2022 01 13 06 23 MAX   265
2022 01 13 12 32 MIN   157
2022 01 13 18 30 MAX   239
2022 01 14 00 37 MIN   110
2022 01 14 07 18 MAX   283
