<TOPS - 조위예측극치자료>

대상조위관측소 : 목포
위도(WGS84) : N  34도 46분 47초
경도(WGS84) : E 126도 22분 32초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 04 32 MIN    63
2021 12 01 11 28 MAX   382
2021 12 01 17 05 MIN    76
2021 12 01 23 42 MAX   376
2021 12 02 05 22 MIN    21
2021 12 02 12 26 MAX   424
2021 12 02 17 58 MIN    48
2021 12 03 00 34 MAX   384
2021 12 03 06 07 MIN   -18
2021 12 03 13 20 MAX   460
2021 12 03 18 47 MIN    28
2021 12 04 01 24 MAX   387
2021 12 04 06 52 MIN   -47
2021 12 04 14 12 MAX   485
2021 12 04 19 33 MIN    19
2021 12 05 02 12 MAX   386
2021 12 05 07 35 MIN   -63
2021 12 05 15 03 MAX   498
2021 12 05 20 19 MIN    20
2021 12 06 03 00 MAX   381
2021 12 06 08 19 MIN   -64
2021 12 06 15 53 MAX   499
2021 12 06 21 04 MIN    31
2021 12 07 03 48 MAX   371
2021 12 07 09 03 MIN   -51
2021 12 07 16 43 MAX   488
2021 12 07 21 51 MIN    49
2021 12 08 04 37 MAX   359
2021 12 08 09 49 MIN   -24
2021 12 08 17 32 MAX   467
2021 12 08 22 40 MIN    70
2021 12 09 05 28 MAX   346
2021 12 09 10 38 MIN    11
2021 12 09 18 22 MAX   439
2021 12 09 23 32 MIN    91
2021 12 10 06 22 MAX   333
2021 12 10 11 31 MIN    52
2021 12 10 19 14 MAX   409
2021 12 11 00 30 MIN   108
2021 12 11 07 23 MAX   323
2021 12 11 12 33 MIN    91
2021 12 11 20 10 MAX   380
2021 12 12 01 35 MIN   115
2021 12 12 08 34 MAX   322
2021 12 12 13 46 MIN   122
2021 12 12 21 11 MAX   357
2021 12 13 02 45 MIN   112
2021 12 13 09 49 MAX   332
2021 12 13 15 09 MIN   135
2021 12 13 22 12 MAX   343
2021 12 14 03 48 MIN    98
2021 12 14 10 57 MAX   352
2021 12 14 16 21 MIN   132
2021 12 14 23 07 MAX   335
2021 12 15 04 40 MIN    80
2021 12 15 11 55 MAX   375
2021 12 15 17 19 MIN   121
2021 12 15 23 55 MAX   333
2021 12 16 05 25 MIN    62
2021 12 16 12 43 MAX   395
2021 12 16 18 06 MIN   107
2021 12 17 00 35 MAX   333
2021 12 17 06 04 MIN    46
2021 12 17 13 25 MAX   410
2021 12 17 18 47 MIN    95
2021 12 18 01 12 MAX   336
2021 12 18 06 39 MIN    32
2021 12 18 14 02 MAX   420
2021 12 18 19 23 MIN    85
2021 12 19 01 46 MAX   338
2021 12 19 07 13 MIN    22
2021 12 19 14 38 MAX   426
2021 12 19 19 58 MIN    79
2021 12 20 02 19 MAX   341
2021 12 20 07 45 MIN    14
2021 12 20 15 13 MAX   427
2021 12 20 20 31 MIN    75
2021 12 21 02 54 MAX   342
2021 12 21 08 18 MIN    10
2021 12 21 15 46 MAX   426
2021 12 21 21 04 MIN    75
2021 12 22 03 30 MAX   341
2021 12 22 08 53 MIN     8
2021 12 22 16 20 MAX   422
2021 12 22 21 38 MIN    77
2021 12 23 04 07 MAX   337
2021 12 23 09 29 MIN    11
2021 12 23 16 55 MAX   415
2021 12 23 22 14 MIN    81
2021 12 24 04 47 MAX   332
2021 12 24 10 08 MIN    20
2021 12 24 17 32 MAX   405
2021 12 24 22 53 MIN    85
2021 12 25 05 30 MAX   327
2021 12 25 10 51 MIN    36
2021 12 25 18 12 MAX   392
2021 12 25 23 37 MIN    89
2021 12 26 06 18 MAX   323
2021 12 26 11 39 MIN    58
2021 12 26 18 57 MAX   377
2021 12 27 00 26 MIN    91
2021 12 27 07 16 MAX   323
