<TOPS - 조위예측극치자료>

대상조위관측소 : 부산
위도(WGS84) : N  35도 05분 47초
경도(WGS84) : E 129도 02분 07초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 06 00 MAX   107
2021 12 01 11 50 MIN    23
2021 12 01 18 01 MAX   109
2021 12 02 00 02 MIN    11
2021 12 02 06 46 MAX   116
2021 12 02 12 39 MIN    12
2021 12 02 18 49 MAX   115
2021 12 03 00 47 MIN     1
2021 12 03 07 31 MAX   125
2021 12 03 13 27 MIN     3
2021 12 03 19 36 MAX   119
2021 12 04 01 32 MIN    -5
2021 12 04 08 17 MAX   130
2021 12 04 14 14 MIN    -2
2021 12 04 20 22 MAX   120
2021 12 05 02 18 MIN    -6
2021 12 05 09 03 MAX   132
2021 12 05 15 00 MIN    -3
2021 12 05 21 09 MAX   117
2021 12 06 03 04 MIN    -4
2021 12 06 09 49 MAX   130
2021 12 06 15 47 MIN     0
2021 12 06 21 56 MAX   112
2021 12 07 03 50 MIN     3
2021 12 07 10 35 MAX   125
2021 12 07 16 35 MIN     7
2021 12 07 22 45 MAX   105
2021 12 08 04 38 MIN    12
2021 12 08 11 21 MAX   117
2021 12 08 17 25 MIN    16
2021 12 08 23 38 MAX    97
2021 12 09 05 28 MIN    22
2021 12 09 12 09 MAX   108
2021 12 09 18 19 MIN    24
2021 12 10 00 39 MAX    90
2021 12 10 06 23 MIN    32
2021 12 10 13 04 MAX    99
2021 12 10 19 22 MIN    32
2021 12 11 01 53 MAX    86
2021 12 11 07 26 MIN    40
2021 12 11 14 11 MAX    92
2021 12 11 20 35 MIN    35
2021 12 12 03 10 MAX    86
2021 12 12 08 39 MIN    44
2021 12 12 15 29 MAX    88
2021 12 12 21 47 MIN    35
2021 12 13 04 19 MAX    89
2021 12 13 09 57 MIN    44
2021 12 13 16 39 MAX    88
2021 12 13 22 49 MIN    32
2021 12 14 05 16 MAX    94
2021 12 14 11 05 MIN    40
2021 12 14 17 35 MAX    89
2021 12 14 23 39 MIN    27
