<TOPS - 조위예측극치자료>

대상조위관측소 : 부산항신항
위도(WGS84) : N  35도 04분 39초
경도(WGS84) : E 128도 47분 13초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 06 16 MAX   144
2021 12 01 12 02 MIN    25
2021 12 01 18 18 MAX   149
2021 12 02 00 17 MIN    10
2021 12 02 07 05 MAX   161
2021 12 02 12 53 MIN    12
2021 12 02 19 06 MAX   157
2021 12 03 01 00 MIN    -3
2021 12 03 07 53 MAX   174
2021 12 03 13 41 MIN     2
2021 12 03 19 53 MAX   162
2021 12 04 01 45 MIN   -12
2021 12 04 08 40 MAX   184
2021 12 04 14 29 MIN    -3
2021 12 04 20 39 MAX   164
2021 12 05 02 29 MIN   -15
2021 12 05 09 27 MAX   188
2021 12 05 15 16 MIN    -3
2021 12 05 21 25 MAX   160
2021 12 06 03 14 MIN   -13
2021 12 06 10 14 MAX   186
2021 12 06 16 03 MIN     2
2021 12 06 22 11 MAX   153
2021 12 07 04 00 MIN    -5
2021 12 07 10 59 MAX   178
2021 12 07 16 51 MIN    11
2021 12 07 22 58 MAX   142
2021 12 08 04 46 MIN     6
2021 12 08 11 46 MAX   166
2021 12 08 17 41 MIN    22
2021 12 08 23 50 MAX   130
2021 12 09 05 34 MIN    20
2021 12 09 12 34 MAX   151
2021 12 09 18 35 MIN    33
2021 12 10 00 49 MAX   120
2021 12 10 06 27 MIN    34
2021 12 10 13 28 MAX   137
2021 12 10 19 38 MIN    41
2021 12 11 01 59 MAX   113
2021 12 11 07 28 MIN    46
2021 12 11 14 33 MAX   126
2021 12 11 20 50 MIN    45
2021 12 12 03 15 MAX   112
2021 12 12 08 41 MIN    54
2021 12 12 15 47 MAX   120
2021 12 12 22 02 MIN    44
2021 12 13 04 27 MAX   117
2021 12 13 10 02 MIN    56
2021 12 13 16 57 MAX   119
2021 12 13 23 02 MIN    39
2021 12 14 05 28 MAX   125
2021 12 14 11 14 MIN    51
2021 12 14 17 53 MAX   121
2021 12 14 23 50 MIN    32
2021 12 15 06 19 MAX   134
2021 12 15 12 10 MIN    44
2021 12 15 18 37 MAX   125
2021 12 16 00 30 MIN    26
2021 12 16 07 03 MAX   143
2021 12 16 12 55 MIN    36
2021 12 16 19 13 MAX   129
2021 12 17 01 07 MIN    21
2021 12 17 07 41 MAX   150
2021 12 17 13 34 MIN    30
2021 12 17 19 45 MAX   132
2021 12 18 01 41 MIN    16
2021 12 18 08 18 MAX   156
2021 12 18 14 11 MIN    24
2021 12 18 20 16 MAX   135
2021 12 19 02 15 MIN    13
2021 12 19 08 51 MAX   161
2021 12 19 14 44 MIN    20
2021 12 19 20 46 MAX   137
2021 12 20 02 47 MIN    10
2021 12 20 09 25 MAX   163
2021 12 20 15 18 MIN    18
2021 12 20 21 17 MAX   137
2021 12 21 03 19 MIN     9
2021 12 21 09 57 MAX   162
2021 12 21 15 51 MIN    18
2021 12 21 21 50 MAX   135
2021 12 22 03 53 MIN    10
2021 12 22 10 31 MAX   160
2021 12 22 16 24 MIN    20
2021 12 22 22 26 MAX   130
2021 12 23 04 28 MIN    13
2021 12 23 11 05 MAX   154
2021 12 23 17 00 MIN    24
2021 12 23 23 05 MAX   123
2021 12 24 05 06 MIN    19
2021 12 24 11 42 MAX   147
2021 12 24 17 39 MIN    28
2021 12 24 23 49 MAX   116
2021 12 25 05 49 MIN    26
2021 12 25 12 22 MAX   139
2021 12 25 18 24 MIN    33
2021 12 26 00 45 MAX   110
2021 12 26 06 40 MIN    34
2021 12 26 13 10 MAX   131
2021 12 26 19 19 MIN    37
2021 12 27 01 56 MAX   108
2021 12 27 07 45 MIN    40
2021 12 27 14 10 MAX   125
2021 12 27 20 25 MIN    37
2021 12 28 03 16 MAX   111
2021 12 28 09 02 MIN    43
2021 12 28 15 22 MAX   122
2021 12 28 21 36 MIN    33
2021 12 29 04 35 MAX   120
2021 12 29 10 22 MIN    39
2021 12 29 16 37 MAX   124
2021 12 29 22 42 MIN    25
2021 12 30 05 45 MAX   133
2021 12 30 11 35 MIN    31
2021 12 30 17 45 MAX   130
2021 12 30 23 43 MIN    15
2021 12 31 06 47 MAX   148
2021 12 31 12 38 MIN    20
2021 12 31 18 45 MAX   138
2022 01 01 00 39 MIN     4
2022 01 01 07 42 MAX   163
2022 01 01 13 34 MIN     9
2022 01 01 19 40 MAX   146
2022 01 02 01 33 MIN    -5
2022 01 02 08 34 MAX   175
2022 01 02 14 25 MIN     0
2022 01 02 20 31 MAX   151
2022 01 03 02 23 MIN   -12
2022 01 03 09 22 MAX   183
2022 01 03 15 12 MIN    -5
2022 01 03 21 20 MAX   154
2022 01 04 03 10 MIN   -15
2022 01 04 10 07 MAX   184
2022 01 04 15 57 MIN    -6
2022 01 04 22 06 MAX   152
2022 01 05 03 55 MIN   -13
2022 01 05 10 49 MAX   180
2022 01 05 16 40 MIN    -3
2022 01 05 22 51 MAX   147
2022 01 06 04 37 MIN    -6
2022 01 06 11 29 MAX   170
2022 01 06 17 21 MIN     5
2022 01 06 23 35 MAX   139
2022 01 07 05 18 MIN     4
2022 01 07 12 06 MAX   156
2022 01 07 18 03 MIN    14
2022 01 08 00 21 MAX   130
2022 01 08 05 59 MIN    18
2022 01 08 12 42 MAX   140
2022 01 08 18 47 MIN    25
2022 01 09 01 09 MAX   121
2022 01 09 06 43 MIN    32
2022 01 09 13 20 MAX   125
2022 01 09 19 37 MIN    35
2022 01 10 02 05 MAX   113
2022 01 10 07 36 MIN    45
2022 01 10 14 08 MAX   112
2022 01 10 20 40 MIN    42
2022 01 11 03 13 MAX   109
2022 01 11 08 47 MIN    55
2022 01 11 15 24 MAX   103
2022 01 11 21 54 MIN    45
2022 01 12 04 32 MAX   110
2022 01 12 10 20 MIN    59
2022 01 12 16 56 MAX   101
2022 01 12 23 04 MIN    43
2022 01 13 05 45 MAX   117
2022 01 13 11 45 MIN    54
2022 01 13 18 04 MAX   106
2022 01 14 00 01 MIN    38
2022 01 14 06 41 MAX   127
2022 01 14 12 45 MIN    46
2022 01 14 18 51 MAX   113
2022 01 15 00 49 MIN    31
2022 01 15 07 26 MAX   137
2022 01 15 13 28 MIN    36
2022 01 15 19 28 MAX   120
2022 01 16 01 29 MIN    23
2022 01 16 08 05 MAX   147
2022 01 16 14 04 MIN    27
2022 01 16 20 03 MAX   127
2022 01 17 02 05 MIN    15
2022 01 17 08 40 MAX   155
2022 01 17 14 37 MIN    19
2022 01 17 20 37 MAX   134
2022 01 18 02 39 MIN     7
2022 01 18 09 14 MAX   161
2022 01 18 15 09 MIN    13
2022 01 18 21 13 MAX   138
2022 01 19 03 12 MIN     1
2022 01 19 09 47 MAX   165
2022 01 19 15 40 MIN     8
2022 01 19 21 48 MAX   139
2022 01 20 03 45 MIN    -2
2022 01 20 10 19 MAX   166
2022 01 20 16 12 MIN     5
2022 01 20 22 25 MAX   139
2022 01 21 04 19 MIN    -2
2022 01 21 10 52 MAX   163
2022 01 21 16 43 MIN     5
2022 01 21 23 02 MAX   136
2022 01 22 04 53 MIN     1
2022 01 22 11 24 MAX   157
2022 01 22 17 17 MIN     7
2022 01 22 23 41 MAX   131
2022 01 23 05 31 MIN     7
2022 01 23 11 58 MAX   148
2022 01 23 17 53 MIN    11
2022 01 24 00 22 MAX   125
2022 01 24 06 14 MIN    17
2022 01 24 12 35 MAX   137
2022 01 24 18 36 MIN    18
2022 01 25 01 10 MAX   119
2022 01 25 07 06 MIN    28
2022 01 25 13 21 MAX   126
2022 01 25 19 28 MIN    25
2022 01 26 02 14 MAX   115
2022 01 26 08 13 MIN    39
2022 01 26 14 25 MAX   115
2022 01 26 20 35 MIN    31
2022 01 27 03 46 MAX   114
2022 01 27 09 45 MIN    45
2022 01 27 15 56 MAX   110
2022 01 27 21 57 MIN    32
2022 01 28 05 25 MAX   123
