<TOPS - 조위예측극치자료>

대상조위관측소 : 서귀포
위도(WGS84) : N  33도 14분 24초
경도(WGS84) : E 126도 33분 42초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 01 04 MIN    62
2021 12 01 07 21 MAX   232
2021 12 01 13 26 MIN    79
2021 12 01 19 20 MAX   238
2021 12 02 01 44 MIN    36
2021 12 02 08 11 MAX   261
2021 12 02 14 20 MIN    68
2021 12 02 20 05 MAX   243
2021 12 03 02 25 MIN    11
2021 12 03 08 59 MAX   287
2021 12 03 15 12 MIN    61
2021 12 03 20 50 MAX   246
2021 12 04 03 08 MIN    -9
2021 12 04 09 47 MAX   306
2021 12 04 16 03 MIN    60
2021 12 04 21 34 MAX   245
2021 12 05 03 52 MIN   -21
2021 12 05 10 36 MAX   315
2021 12 05 16 53 MIN    64
2021 12 05 22 19 MAX   240
2021 12 06 04 37 MIN   -22
2021 12 06 11 26 MAX   312
2021 12 06 17 44 MIN    74
2021 12 06 23 04 MAX   232
2021 12 07 05 23 MIN   -13
2021 12 07 12 16 MAX   301
2021 12 07 18 36 MIN    87
2021 12 07 23 50 MAX   220
2021 12 08 06 11 MIN     7
2021 12 08 13 07 MAX   282
2021 12 08 19 31 MIN    99
2021 12 09 00 40 MAX   205
2021 12 09 07 01 MIN    33
2021 12 09 14 01 MAX   260
2021 12 09 20 31 MIN   108
2021 12 10 01 39 MAX   191
2021 12 10 07 57 MIN    62
2021 12 10 14 58 MAX   239
2021 12 10 21 37 MIN   111
2021 12 11 02 53 MAX   181
2021 12 11 09 03 MIN    88
2021 12 11 15 59 MAX   223
2021 12 11 22 45 MIN   107
2021 12 12 04 26 MAX   180
2021 12 12 10 22 MIN   108
2021 12 12 17 00 MAX   212
2021 12 12 23 46 MIN    97
2021 12 13 05 54 MAX   189
2021 12 13 11 44 MIN   117
2021 12 13 17 56 MAX   207
2021 12 14 00 35 MIN    84
2021 12 14 06 59 MAX   205
2021 12 14 12 54 MIN   118
2021 12 14 18 44 MAX   205
2021 12 15 01 16 MIN    71
2021 12 15 07 49 MAX   221
2021 12 15 13 50 MIN   114
2021 12 15 19 26 MAX   206
2021 12 16 01 52 MIN    59
2021 12 16 08 29 MAX   236
2021 12 16 14 36 MIN   109
2021 12 16 20 04 MAX   207
2021 12 17 02 25 MIN    47
2021 12 17 09 05 MAX   249
2021 12 17 15 14 MIN   104
2021 12 17 20 39 MAX   210
2021 12 18 02 57 MIN    37
2021 12 18 09 40 MAX   259
2021 12 18 15 50 MIN   100
2021 12 18 21 12 MAX   212
2021 12 19 03 28 MIN    29
2021 12 19 10 13 MAX   266
2021 12 19 16 24 MIN    97
2021 12 19 21 45 MAX   214
2021 12 20 04 00 MIN    23
2021 12 20 10 46 MAX   270
2021 12 20 16 56 MIN    97
2021 12 20 22 17 MAX   215
2021 12 21 04 33 MIN    21
2021 12 21 11 20 MAX   269
2021 12 21 17 30 MIN    98
2021 12 21 22 50 MAX   213
2021 12 22 05 07 MIN    24
2021 12 22 11 54 MAX   265
2021 12 22 18 06 MIN   101
2021 12 22 23 25 MAX   209
2021 12 23 05 43 MIN    32
2021 12 23 12 30 MAX   258
2021 12 23 18 45 MIN   104
2021 12 24 00 04 MAX   202
2021 12 24 06 22 MIN    44
2021 12 24 13 09 MAX   249
2021 12 24 19 29 MIN   106
2021 12 25 00 49 MAX   193
2021 12 25 07 04 MIN    60
2021 12 25 13 51 MAX   240
2021 12 25 20 20 MIN   106
2021 12 26 01 45 MAX   185
2021 12 26 07 55 MIN    76
2021 12 26 14 39 MAX   230
2021 12 26 21 18 MIN   102
2021 12 27 02 58 MAX   181
2021 12 27 09 00 MIN    92
2021 12 27 15 34 MAX   221
2021 12 27 22 20 MIN    93
2021 12 28 04 25 MAX   187
2021 12 28 10 21 MIN   103
2021 12 28 16 36 MAX   215
2021 12 28 23 21 MIN    78
2021 12 29 05 48 MAX   205
2021 12 29 11 47 MIN   106
2021 12 29 17 39 MAX   212
2021 12 30 00 18 MIN    58
2021 12 30 06 58 MAX   230
2021 12 30 13 04 MIN   102
2021 12 30 18 41 MAX   214
2021 12 31 01 12 MIN    36
2021 12 31 07 58 MAX   257
2021 12 31 14 11 MIN    93
2021 12 31 19 38 MAX   219
2022 01 01 02 03 MIN    14
2022 01 01 08 53 MAX   283
2022 01 01 15 09 MIN    83
2022 01 01 20 32 MAX   226
2022 01 02 02 53 MIN    -5
2022 01 02 09 44 MAX   302
2022 01 02 16 01 MIN    76
2022 01 02 21 22 MAX   234
2022 01 03 03 43 MIN   -18
2022 01 03 10 32 MAX   313
2022 01 03 16 49 MIN    72
2022 01 03 22 10 MAX   239
2022 01 04 04 30 MIN   -21
2022 01 04 11 18 MAX   313
2022 01 04 17 35 MIN    72
2022 01 04 22 57 MAX   240
2022 01 05 05 16 MIN   -14
2022 01 05 12 03 MAX   304
2022 01 05 18 19 MIN    76
2022 01 05 23 42 MAX   235
2022 01 06 06 01 MIN     3
2022 01 06 12 45 MAX   287
2022 01 06 19 03 MIN    81
2022 01 07 00 28 MAX   226
2022 01 07 06 45 MIN    28
2022 01 07 13 25 MAX   265
2022 01 07 19 47 MIN    87
2022 01 08 01 18 MAX   212
2022 01 08 07 28 MIN    58
2022 01 08 14 04 MAX   243
2022 01 08 20 33 MIN    92
2022 01 09 02 14 MAX   199
2022 01 09 08 16 MIN    88
2022 01 09 14 43 MAX   222
2022 01 09 21 26 MIN    96
2022 01 10 03 24 MAX   188
2022 01 10 09 12 MIN   115
2022 01 10 15 28 MAX   204
2022 01 10 22 25 MIN    96
2022 01 11 04 53 MAX   186
2022 01 11 10 32 MIN   134
2022 01 11 16 25 MAX   191
2022 01 11 23 29 MIN    92
2022 01 12 06 24 MAX   195
2022 01 12 12 14 MIN   142
2022 01 12 17 36 MAX   184
2022 01 13 00 28 MIN    85
2022 01 13 07 31 MAX   210
2022 01 13 13 37 MIN   137
2022 01 13 18 44 MAX   183
2022 01 14 01 18 MIN    75
2022 01 14 08 18 MAX   226
2022 01 14 14 31 MIN   129
2022 01 14 19 38 MAX   189
2022 01 15 02 01 MIN    63
2022 01 15 08 57 MAX   241
2022 01 15 15 10 MIN   119
2022 01 15 20 21 MAX   197
2022 01 16 02 39 MIN    50
2022 01 16 09 30 MAX   254
2022 01 16 15 43 MIN   110
2022 01 16 20 59 MAX   206
2022 01 17 03 15 MIN    38
2022 01 17 10 02 MAX   265
2022 01 17 16 14 MIN   102
2022 01 17 21 34 MAX   216
2022 01 18 03 50 MIN    27
2022 01 18 10 34 MAX   272
2022 01 18 16 45 MIN    95
2022 01 18 22 08 MAX   223
2022 01 19 04 24 MIN    20
2022 01 19 11 05 MAX   277
2022 01 19 17 15 MIN    89
2022 01 19 22 43 MAX   228
2022 01 20 04 59 MIN    19
2022 01 20 11 36 MAX   277
2022 01 20 17 47 MIN    85
2022 01 20 23 18 MAX   229
2022 01 21 05 34 MIN    23
2022 01 21 12 08 MAX   273
2022 01 21 18 21 MIN    82
2022 01 21 23 56 MAX   226
2022 01 22 06 10 MIN    33
2022 01 22 12 41 MAX   265
2022 01 22 18 57 MIN    80
2022 01 23 00 38 MAX   220
2022 01 23 06 49 MIN    49
2022 01 23 13 16 MAX   254
2022 01 23 19 36 MIN    80
2022 01 24 01 25 MAX   212
2022 01 24 07 33 MIN    69
2022 01 24 13 54 MAX   239
2022 01 24 20 21 MIN    80
2022 01 25 02 25 MAX   205
2022 01 25 08 27 MIN    92
2022 01 25 14 38 MAX   223
2022 01 25 21 15 MIN    80
2022 01 26 03 42 MAX   203
2022 01 26 09 40 MIN   115
2022 01 26 15 34 MAX   207
2022 01 26 22 22 MIN    76
2022 01 27 05 16 MAX   210
2022 01 27 11 20 MIN   128
2022 01 27 16 48 MAX   196
2022 01 27 23 38 MIN    67
2022 01 28 06 47 MAX   229
2022 01 28 13 02 MIN   126
2022 01 28 18 12 MAX   194
