<TOPS - 조위예측극치자료>

대상조위관측소 : 평택
위도(WGS84) : N  36도 58분 01초
경도(WGS84) : E 126도 49분 22초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 01 28 MAX   747
2021 12 01 08 00 MIN   175
2021 12 01 14 06 MAX   780
2021 12 01 20 30 MIN   186
2021 12 02 02 24 MAX   789
2021 12 02 08 52 MIN   102
2021 12 02 14 58 MAX   855
2021 12 02 21 27 MIN   139
2021 12 03 03 14 MAX   822
2021 12 03 09 40 MIN    43
2021 12 03 15 47 MAX   912
2021 12 03 22 20 MIN   107
2021 12 04 04 01 MAX   841
2021 12 04 10 27 MIN     4
2021 12 04 16 34 MAX   944
2021 12 04 23 09 MIN    94
2021 12 05 04 47 MAX   843
2021 12 05 11 13 MIN   -13
2021 12 05 17 22 MAX   952
2021 12 05 23 57 MIN    98
2021 12 06 05 33 MAX   831
2021 12 06 11 58 MIN    -9
2021 12 06 18 08 MAX   940
2021 12 07 00 44 MIN   116
2021 12 07 06 19 MAX   808
2021 12 07 12 42 MIN    15
2021 12 07 18 55 MAX   912
2021 12 08 01 30 MIN   145
2021 12 08 07 05 MAX   776
2021 12 08 13 27 MIN    55
2021 12 08 19 41 MAX   872
2021 12 09 02 17 MIN   181
2021 12 09 07 53 MAX   737
2021 12 09 14 12 MIN   109
2021 12 09 20 29 MAX   823
2021 12 10 03 06 MIN   219
2021 12 10 08 45 MAX   695
2021 12 10 15 02 MIN   172
2021 12 10 21 22 MAX   769
2021 12 11 04 02 MIN   252
2021 12 11 09 46 MAX   657
2021 12 11 16 00 MIN   234
2021 12 11 22 22 MAX   719
2021 12 12 05 08 MIN   271
2021 12 12 11 02 MAX   637
2021 12 12 17 14 MIN   279
2021 12 12 23 35 MAX   684
2021 12 13 06 19 MIN   264
2021 12 13 12 24 MAX   649
2021 12 13 18 37 MIN   292
2021 12 14 00 49 MAX   675
2021 12 14 07 24 MIN   234
2021 12 14 13 36 MAX   690
2021 12 14 19 51 MIN   273
2021 12 15 01 51 MAX   686
2021 12 15 08 18 MIN   193
2021 12 15 14 31 MAX   741
2021 12 15 20 50 MIN   240
2021 12 16 02 41 MAX   707
2021 12 16 09 02 MIN   153
2021 12 16 15 16 MAX   786
2021 12 16 21 37 MIN   209
2021 12 17 03 23 MAX   727
2021 12 17 09 41 MIN   120
2021 12 17 15 55 MAX   819
2021 12 17 22 18 MIN   187
2021 12 18 04 01 MAX   744
2021 12 18 10 18 MIN    97
2021 12 18 16 31 MAX   839
2021 12 18 22 57 MIN   173
2021 12 19 04 37 MAX   754
2021 12 19 10 52 MIN    84
2021 12 19 17 05 MAX   847
2021 12 19 23 32 MIN   167
2021 12 20 05 12 MAX   758
2021 12 20 11 27 MIN    80
2021 12 20 17 38 MAX   847
2021 12 21 00 06 MIN   168
2021 12 21 05 46 MAX   755
2021 12 21 12 00 MIN    83
2021 12 21 18 10 MAX   842
2021 12 22 00 40 MIN   174
2021 12 22 06 18 MAX   747
2021 12 22 12 33 MIN    91
2021 12 22 18 42 MAX   835
2021 12 23 01 12 MIN   184
2021 12 23 06 50 MAX   736
2021 12 23 13 06 MIN   105
2021 12 23 19 14 MAX   826
2021 12 24 01 45 MIN   195
2021 12 24 07 23 MAX   722
2021 12 24 13 40 MIN   124
2021 12 24 19 48 MAX   812
2021 12 25 02 20 MIN   209
2021 12 25 07 59 MAX   707
2021 12 25 14 18 MIN   150
2021 12 25 20 26 MAX   792
2021 12 26 02 59 MIN   222
2021 12 26 08 44 MAX   691
2021 12 26 15 02 MIN   184
2021 12 26 21 12 MAX   763
2021 12 27 03 48 MIN   232
2021 12 27 09 41 MAX   678
2021 12 27 15 58 MIN   223
2021 12 27 22 10 MAX   732
2021 12 28 04 48 MIN   233
2021 12 28 10 53 MAX   679
2021 12 28 17 10 MIN   254
2021 12 28 23 20 MAX   709
2021 12 29 05 57 MIN   217
2021 12 29 12 13 MAX   706
2021 12 29 18 34 MIN   262
2021 12 30 00 35 MAX   704
2021 12 30 07 08 MIN   179
2021 12 30 13 27 MAX   757
2021 12 30 19 55 MIN   242
