20211214	11-11	07:34:  	12:28:34	17:23:  	14:29:  	21:03:  	02:49:  	07:06:  	17:51:  	06:34:  	18:23:  	06:03:  	18:54:  
20211215	11-12	07:35:  	12:29:03	17:23:  	14:56:  	21:45:  	03:46:  	07:07:  	17:51:  	06:35:  	18:23:  	06:04:  	18:54:  
20211216	11-13	07:36:  	12:29:32	17:23:  	15:25:  	22:29:  	04:44:  	07:07:  	17:52:  	06:36:  	18:23:  	06:05:  	18:54:  
20211217	11-14	07:36:  	12:30:01	17:24:  	15:58:  	23:15:  	05:42:  	07:08:  	17:52:  	06:36:  	18:24:  	06:05:  	18:55:  
20211218	11-15	07:37:  	12:30:30	17:24:  	16:35:  	--:--:  	06:40:  	07:09:  	17:52:  	06:37:  	18:24:  	06:06:  	18:55:  
20211219	11-16	07:38:  	12:30:59	17:24:  	17:19:  	00:04:  	07:37:  	07:09:  	17:53:  	06:37:  	18:25:  	06:06:  	18:56:  
20211220	11-17	07:38:  	12:31:29	17:25:  	18:08:  	00:54:  	08:31:  	07:10:  	17:53:  	06:38:  	18:25:  	06:07:  	18:56:  
20211221	11-18	07:39:  	12:31:59	17:25:  	19:02:  	01:45:  	09:20:  	07:10:  	17:54:  	06:39:  	18:25:  	06:08:  	18:56:  
20211222	11-19	07:39:  	12:32:29	17:26:  	20:00:  	02:35:  	10:04:  	07:11:  	17:54:  	06:39:  	18:26:  	06:08:  	18:57:  
20211223	11-20	07:40:  	12:32:58	17:26:  	21:01:  	03:25:  	10:43:  	07:11:  	17:55:  	06:39:  	18:26:  	06:08:  	18:57:  
20211224	11-21	07:40:  	12:33:28	17:27:  	22:02:  	04:13:  	11:17:  	07:12:  	17:55:  	06:40:  	18:27:  	06:09:  	18:58:  
20211225	11-22	07:40:  	12:33:58	17:27:  	23:03:  	04:59:  	11:48:  	07:12:  	17:56:  	06:40:  	18:28:  	06:09:  	18:59:  
20211226	11-23	07:41:  	12:34:28	17:28:  	--:--:  	05:44:  	12:16:  	07:13:  	17:56:  	06:41:  	18:28:  	06:10:  	18:59:  
20211227	11-24	07:41:  	12:34:57	17:29:  	00:05:  	06:29:  	12:44:  	07:13:  	17:57:  	06:41:  	18:29:  	06:10:  	19:00:  
20211228	11-25	07:42:  	12:35:27	17:29:  	01:09:  	07:15:  	13:12:  	07:13:  	17:58:  	06:42:  	18:29:  	06:11:  	19:00:  
20211229	11-26	07:42:  	12:35:56	17:30:  	02:15:  	08:03:  	13:43:  	07:14:  	17:58:  	06:42:  	18:30:  	06:11:  	19:01:  
