20211214	11-11	07:23:  	12:10:57	16:59:  	14:09:  	20:45:  	02:32:  	06:54:  	17:28:  	06:21:  	18:01:  	05:49:  	18:33:  
20211215	11-12	07:23:  	12:11:25	16:59:  	14:34:  	21:27:  	03:30:  	06:54:  	17:29:  	06:21:  	18:01:  	05:50:  	18:33:  
20211216	11-13	07:24:  	12:11:54	17:00:  	15:02:  	22:11:  	04:29:  	06:55:  	17:29:  	06:22:  	18:02:  	05:50:  	18:33:  
20211217	11-14	07:25:  	12:12:24	17:00:  	15:34:  	22:57:  	05:29:  	06:56:  	17:29:  	06:23:  	18:02:  	05:51:  	18:34:  
20211218	11-15	07:25:  	12:12:53	17:00:  	16:11:  	23:45:  	06:28:  	06:56:  	17:30:  	06:23:  	18:02:  	05:51:  	18:34:  
20211219	11-16	07:26:  	12:13:22	17:01:  	16:53:  	--:--:  	07:26:  	06:57:  	17:30:  	06:24:  	18:03:  	05:52:  	18:35:  
20211220	11-17	07:27:  	12:13:52	17:01:  	17:42:  	00:36:  	08:20:  	06:57:  	17:30:  	06:24:  	18:03:  	05:53:  	18:35:  
20211221	11-18	07:27:  	12:14:22	17:02:  	18:37:  	01:26:  	09:09:  	06:58:  	17:31:  	06:25:  	18:04:  	05:53:  	18:36:  
20211222	11-19	07:28:  	12:14:51	17:02:  	19:36:  	02:17:  	09:53:  	06:58:  	17:31:  	06:25:  	18:04:  	05:54:  	18:36:  
20211223	11-20	07:28:  	12:15:21	17:03:  	20:37:  	03:07:  	10:31:  	06:59:  	17:32:  	06:26:  	18:05:  	05:54:  	18:37:  
20211224	11-21	07:29:  	12:15:51	17:03:  	21:39:  	03:55:  	11:04:  	06:59:  	17:33:  	06:26:  	18:05:  	05:55:  	18:37:  
20211225	11-22	07:29:  	12:16:21	17:04:  	22:42:  	04:41:  	11:33:  	07:00:  	17:33:  	06:27:  	18:06:  	05:55:  	18:38:  
20211226	11-23	07:29:  	12:16:50	17:04:  	23:46:  	05:26:  	12:00:  	07:00:  	17:34:  	06:27:  	18:06:  	05:55:  	18:38:  
20211227	11-24	07:30:  	12:17:20	17:05:  	--:--:  	06:11:  	12:26:  	07:00:  	17:34:  	06:28:  	18:07:  	05:56:  	18:39:  
20211228	11-25	07:30:  	12:17:49	17:06:  	00:51:  	06:57:  	12:53:  	07:01:  	17:35:  	06:28:  	18:08:  	05:56:  	18:40:  
20211229	11-26	07:30:  	12:18:19	17:06:  	01:58:  	07:45:  	13:22:  	07:01:  	17:36:  	06:28:  	18:08:  	05:56:  	18:40:  
20211230	11-27	07:31:  	12:18:48	17:07:  	03:09:  	08:36:  	13:55:  	07:01:  	17:36:  	06:29:  	18:09:  	05:57:  	18:41:  
20211231	11-28	07:31:  	12:19:17	17:08:  	04:24:  	09:33:  	14:35:  	07:02:  	17:37:  	06:29:  	18:10:  	05:57:  	18:42:  
20220101	11-29	07:31:  	12:19:45	17:09:  	05:41:  	10:34:  	15:23:  	07:02:  	17:38:  	06:29:  	18:11:  	05:57:  	18:42:  
20220102	11-30	07:31:  	12:20:14	17:09:  	06:56:  	11:40:  	16:22:  	07:02:  	17:39:  	06:29:  	18:11:  	05:58:  	18:43:  
20220103	12-01	07:31:  	12:20:41	17:10:  	08:03:  	12:46:  	17:31:  	07:02:  	17:39:  	06:29:  	18:12:  	05:58:  	18:44:  
20220104	12-02	07:31:  	12:21:09	17:11:  	09:00:  	13:50:  	18:45:  	07:02:  	17:40:  	06:30:  	18:13:  	05:58:  	18:45:  
20220105	12-03	07:31:  	12:21:36	17:12:  	09:47:  	14:50:  	19:59:  	07:02:  	17:41:  	06:30:  	18:14:  	05:58:  	18:45:  
20220106	12-04	07:31:  	12:22:03	17:13:  	10:24:  	15:43:  	21:11:  	07:02:  	17:42:  	06:30:  	18:14:  	05:58:  	18:46:  
20220107	12-05	07:31:  	12:22:29	17:14:  	10:55:  	16:32:  	22:18:  	07:02:  	17:43:  	06:30:  	18:15:  	05:58:  	18:47:  
20220108	12-06	07:31:  	12:22:55	17:15:  	11:23:  	17:18:  	23:22:  	07:02:  	17:44:  	06:30:  	18:16:  	05:58:  	18:48:  
20220109	12-07	07:31:  	12:23:20	17:16:  	11:48:  	18:01:  	--:--:  	07:02:  	17:45:  	06:30:  	18:17:  	05:58:  	18:49:  
20220110	12-08	07:31:  	12:23:45	17:17:  	12:12:  	18:43:  	00:23:  	07:02:  	17:45:  	06:30:  	18:18:  	05:58:  	18:49:  
