20211214	11-11	07:26:  	12:20:50	17:16:  	14:21:  	20:55:  	02:40:  	06:58:  	17:44:  	06:26:  	18:16:  	05:55:  	18:46:  
20211215	11-12	07:26:  	12:21:18	17:16:  	14:48:  	21:38:  	03:37:  	06:58:  	17:44:  	06:27:  	18:16:  	05:56:  	18:47:  
20211216	11-13	07:27:  	12:21:47	17:17:  	15:18:  	22:21:  	04:35:  	06:59:  	17:45:  	06:27:  	18:16:  	05:56:  	18:47:  
20211217	11-14	07:28:  	12:22:16	17:17:  	15:51:  	23:07:  	05:33:  	06:59:  	17:45:  	06:28:  	18:17:  	05:57:  	18:48:  
20211218	11-15	07:28:  	12:22:46	17:17:  	16:29:  	23:56:  	06:31:  	07:00:  	17:45:  	06:28:  	18:17:  	05:58:  	18:48:  
20211219	11-16	07:29:  	12:23:15	17:18:  	17:12:  	--:--:  	07:27:  	07:01:  	17:46:  	06:29:  	18:18:  	05:58:  	18:48:  
20211220	11-17	07:29:  	12:23:45	17:18:  	18:01:  	00:46:  	08:21:  	07:01:  	17:46:  	06:29:  	18:18:  	05:59:  	18:49:  
20211221	11-18	07:30:  	12:24:15	17:19:  	18:55:  	01:37:  	09:11:  	07:02:  	17:47:  	06:30:  	18:18:  	05:59:  	18:49:  
20211222	11-19	07:30:  	12:24:44	17:19:  	19:53:  	02:27:  	09:55:  	07:02:  	17:47:  	06:31:  	18:19:  	06:00:  	18:50:  
20211223	11-20	07:31:  	12:25:14	17:20:  	20:53:  	03:17:  	10:34:  	07:03:  	17:48:  	06:31:  	18:19:  	06:00:  	18:50:  
20211224	11-21	07:31:  	12:25:44	17:20:  	21:54:  	04:05:  	11:08:  	07:03:  	17:48:  	06:31:  	18:20:  	06:01:  	18:51:  
20211225	11-22	07:32:  	12:26:14	17:21:  	22:55:  	04:51:  	11:39:  	07:04:  	17:49:  	06:32:  	18:21:  	06:01:  	18:51:  
20211226	11-23	07:32:  	12:26:43	17:21:  	23:57:  	05:36:  	12:08:  	07:04:  	17:50:  	06:32:  	18:21:  	06:01:  	18:52:  
20211227	11-24	07:32:  	12:27:13	17:22:  	--:--:  	06:21:  	12:36:  	07:04:  	17:50:  	06:33:  	18:22:  	06:02:  	18:53:  
20211228	11-25	07:33:  	12:27:42	17:23:  	01:01:  	07:07:  	13:04:  	07:05:  	17:51:  	06:33:  	18:22:  	06:02:  	18:53:  
20211229	11-26	07:33:  	12:28:12	17:23:  	02:06:  	07:55:  	13:35:  	07:05:  	17:51:  	06:33:  	18:23:  	06:03:  	18:54:  
20211230	11-27	07:33:  	12:28:41	17:24:  	03:15:  	08:46:  	14:10:  	07:05:  	17:52:  	06:34:  	18:24:  	06:03:  	18:55:  
20211231	11-28	07:34:  	12:29:10	17:25:  	04:28:  	09:43:  	14:51:  	07:06:  	17:53:  	06:34:  	18:24:  	06:03:  	18:55:  
20220101	11-29	07:34:  	12:29:38	17:26:  	05:43:  	10:45:  	15:42:  	07:06:  	17:54:  	06:34:  	18:25:  	06:04:  	18:56:  
20220102	11-30	07:34:  	12:30:06	17:26:  	06:57:  	11:50:  	16:42:  	07:06:  	17:54:  	06:35:  	18:26:  	06:04:  	18:57:  
20220103	12-01	07:34:  	12:30:34	17:27:  	08:05:  	12:57:  	17:50:  	07:06:  	17:55:  	06:35:  	18:27:  	06:04:  	18:57:  
20220104	12-02	07:34:  	12:31:02	17:28:  	09:03:  	14:01:  	19:03:  	07:06:  	17:56:  	06:35:  	18:27:  	06:04:  	18:58:  
20220105	12-03	07:34:  	12:31:29	17:29:  	09:50:  	15:00:  	20:16:  	07:06:  	17:57:  	06:35:  	18:28:  	06:04:  	18:59:  
20220106	12-04	07:34:  	12:31:56	17:30:  	10:29:  	15:54:  	21:25:  	07:07:  	17:57:  	06:35:  	18:29:  	06:05:  	18:59:  
20220107	12-05	07:34:  	12:32:22	17:30:  	11:02:  	16:43:  	22:31:  	07:07:  	17:58:  	06:35:  	18:30:  	06:05:  	19:00:  
20220108	12-06	07:34:  	12:32:48	17:31:  	11:31:  	17:28:  	23:33:  	07:07:  	17:59:  	06:35:  	18:30:  	06:05:  	19:01:  
20220109	12-07	07:34:  	12:33:13	17:32:  	11:58:  	18:11:  	--:--:  	07:07:  	18:00:  	06:35:  	18:31:  	06:05:  	19:02:  
20220110	12-08	07:34:  	12:33:38	17:33:  	12:24:  	18:53:  	00:32:  	07:07:  	18:01:  	06:35:  	18:32:  	06:05:  	19:03:  
