<TOPS - 조위예측극치자료>

대상조위관측소 : 가거도
위도(WGS84) : N  34도 03분 03초
경도(WGS84) : E 125도 07분 44초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 03 46 MIN    47
2021 12 01 10 15 MAX   226
2021 12 01 16 14 MIN    60
2021 12 01 22 18 MAX   220
2021 12 02 04 27 MIN    24
2021 12 02 11 02 MAX   251
2021 12 02 17 04 MIN    47
2021 12 02 23 02 MAX   224
2021 12 03 05 08 MIN     2
2021 12 03 11 48 MAX   273
2021 12 03 17 51 MIN    38
2021 12 03 23 45 MAX   226
2021 12 04 05 50 MIN   -14
2021 12 04 12 34 MAX   289
2021 12 04 18 38 MIN    33
2021 12 05 00 29 MAX   225
2021 12 05 06 33 MIN   -24
2021 12 05 13 22 MAX   297
2021 12 05 19 24 MIN    36
2021 12 06 01 14 MAX   220
2021 12 06 07 17 MIN   -25
2021 12 06 14 11 MAX   297
2021 12 06 20 13 MIN    43
2021 12 07 02 03 MAX   213
2021 12 07 08 04 MIN   -18
2021 12 07 15 04 MAX   288
2021 12 07 21 03 MIN    55
2021 12 08 02 55 MAX   204
2021 12 08 08 53 MIN    -2
2021 12 08 16 00 MAX   272
2021 12 08 21 57 MIN    68
2021 12 09 03 53 MAX   195
2021 12 09 09 47 MIN    19
2021 12 09 16 59 MAX   253
2021 12 09 22 57 MIN    78
2021 12 10 04 59 MAX   187
2021 12 10 10 46 MIN    42
2021 12 10 18 01 MAX   233
2021 12 11 00 03 MIN    82
2021 12 11 06 13 MAX   183
2021 12 11 11 56 MIN    64
2021 12 11 19 05 MAX   215
2021 12 12 01 12 MIN    81
2021 12 12 07 30 MAX   185
2021 12 12 13 19 MIN    80
2021 12 12 20 09 MAX   201
2021 12 13 02 18 MIN    74
2021 12 13 08 46 MAX   191
2021 12 13 14 43 MIN    87
2021 12 13 21 09 MAX   192
2021 12 14 03 14 MIN    64
2021 12 14 09 53 MAX   201
2021 12 14 15 54 MIN    86
2021 12 14 22 01 MAX   187
2021 12 15 04 00 MIN    54
2021 12 15 10 47 MAX   211
2021 12 15 16 48 MIN    82
2021 12 15 22 44 MAX   185
2021 12 16 04 41 MIN    43
2021 12 16 11 30 MAX   220
2021 12 16 17 30 MIN    78
2021 12 16 23 21 MAX   185
2021 12 17 05 16 MIN    35
2021 12 17 12 05 MAX   228
2021 12 17 18 05 MIN    73
2021 12 17 23 53 MAX   187
2021 12 18 05 49 MIN    27
2021 12 18 12 36 MAX   235
2021 12 18 18 38 MIN    68
2021 12 19 00 23 MAX   189
2021 12 19 06 21 MIN    21
2021 12 19 13 06 MAX   241
2021 12 19 19 10 MIN    65
2021 12 20 00 53 MAX   190
2021 12 20 06 52 MIN    16
2021 12 20 13 37 MAX   246
2021 12 20 19 42 MIN    64
2021 12 21 01 26 MAX   190
2021 12 21 07 26 MIN    13
2021 12 21 14 10 MAX   249
2021 12 21 20 16 MIN    65
2021 12 22 02 01 MAX   189
2021 12 22 08 00 MIN    14
2021 12 22 14 47 MAX   248
2021 12 22 20 52 MIN    67
2021 12 23 02 39 MAX   186
2021 12 23 08 38 MIN    18
2021 12 23 15 27 MAX   244
2021 12 23 21 32 MIN    70
2021 12 24 03 23 MAX   182
2021 12 24 09 19 MIN    26
2021 12 24 16 09 MAX   236
2021 12 24 22 16 MIN    72
2021 12 25 04 13 MAX   178
2021 12 25 10 05 MIN    38
2021 12 25 16 54 MAX   227
2021 12 25 23 04 MIN    73
2021 12 26 05 10 MAX   177
2021 12 26 10 57 MIN    52
2021 12 26 17 44 MAX   216
2021 12 26 23 59 MIN    70
2021 12 27 06 16 MAX   179
2021 12 27 11 58 MIN    65
2021 12 27 18 38 MAX   207
2021 12 28 00 58 MIN    63
2021 12 28 07 26 MAX   187
2021 12 28 13 13 MIN    74
2021 12 28 19 37 MAX   199
2021 12 29 01 58 MIN    51
2021 12 29 08 36 MAX   202
2021 12 29 14 32 MIN    75
2021 12 29 20 38 MAX   195
2021 12 30 02 57 MIN    35
2021 12 30 09 41 MAX   222
2021 12 30 15 45 MIN    68
2021 12 30 21 37 MAX   195
2021 12 31 03 51 MIN    16
2021 12 31 10 40 MAX   244
2021 12 31 16 47 MIN    57
2021 12 31 22 33 MAX   198
2022 01 01 04 43 MIN    -2
2022 01 01 11 34 MAX   264
2022 01 01 17 41 MIN    47
2022 01 01 23 25 MAX   202
2022 01 02 05 32 MIN   -18
2022 01 02 12 25 MAX   279
2022 01 02 18 30 MIN    39
2022 01 03 00 15 MAX   206
2022 01 03 06 21 MIN   -29
2022 01 03 13 14 MAX   286
2022 01 03 19 17 MIN    35
2022 01 04 01 04 MAX   208
2022 01 04 07 08 MIN   -33
2022 01 04 14 03 MAX   286
2022 01 04 20 03 MIN    35
2022 01 05 01 54 MAX   207
2022 01 05 07 55 MIN   -29
2022 01 05 14 51 MAX   278
2022 01 05 20 49 MIN    38
2022 01 06 02 45 MAX   205
2022 01 06 08 42 MIN   -16
2022 01 06 15 38 MAX   264
2022 01 06 21 35 MIN    43
2022 01 07 03 37 MAX   201
2022 01 07 09 30 MIN     3
2022 01 07 16 26 MAX   245
2022 01 07 22 22 MIN    49
2022 01 08 04 34 MAX   196
2022 01 08 10 21 MIN    27
2022 01 08 17 15 MAX   224
2022 01 08 23 13 MIN    55
2022 01 09 05 33 MAX   190
2022 01 09 11 16 MIN    53
2022 01 09 18 05 MAX   202
2022 01 10 00 07 MIN    60
2022 01 10 06 39 MAX   185
2022 01 10 12 22 MIN    77
2022 01 10 19 00 MAX   183
2022 01 11 01 09 MIN    63
2022 01 11 07 52 MAX   183
2022 01 11 13 45 MIN    94
2022 01 11 20 02 MAX   169
2022 01 12 02 13 MIN    62
2022 01 12 09 08 MAX   187
2022 01 12 15 18 MIN    98
2022 01 12 21 07 MAX   162
2022 01 13 03 14 MIN    58
2022 01 13 10 15 MAX   194
2022 01 13 16 31 MIN    94
2022 01 13 22 05 MAX   161
2022 01 14 04 07 MIN    51
2022 01 14 11 07 MAX   204
2022 01 14 17 20 MIN    86
2022 01 14 22 54 MAX   165
2022 01 15 04 52 MIN    41
2022 01 15 11 46 MAX   214
2022 01 15 17 57 MIN    77
2022 01 15 23 33 MAX   171
2022 01 16 05 30 MIN    30
2022 01 16 12 21 MAX   224
2022 01 16 18 29 MIN    69
2022 01 17 00 08 MAX   178
2022 01 17 06 06 MIN    19
2022 01 17 12 52 MAX   234
2022 01 17 18 59 MIN    61
2022 01 18 00 42 MAX   184
2022 01 18 06 40 MIN     9
2022 01 18 13 24 MAX   241
2022 01 18 19 30 MIN    54
2022 01 19 01 16 MAX   189
2022 01 19 07 14 MIN     2
2022 01 19 13 57 MAX   246
2022 01 19 20 01 MIN    49
2022 01 20 01 52 MAX   192
2022 01 20 07 49 MIN    -2
2022 01 20 14 31 MAX   248
2022 01 20 20 33 MIN    45
2022 01 21 02 30 MAX   194
2022 01 21 08 26 MIN     0
2022 01 21 15 06 MAX   245
2022 01 21 21 08 MIN    43
2022 01 22 03 10 MAX   195
2022 01 22 09 04 MIN     7
2022 01 22 15 42 MAX   239
2022 01 22 21 45 MIN    42
2022 01 23 03 54 MAX   196
2022 01 23 09 45 MIN    18
2022 01 23 16 20 MAX   230
2022 01 23 22 25 MIN    41
2022 01 24 04 43 MAX   196
2022 01 24 10 32 MIN    35
2022 01 24 17 01 MAX   217
2022 01 24 23 10 MIN    41
2022 01 25 05 40 MAX   197
2022 01 25 11 26 MIN    53
2022 01 25 17 49 MAX   202
2022 01 26 00 03 MIN    42
2022 01 26 06 45 MAX   200
2022 01 26 12 35 MIN    71
2022 01 26 18 46 MAX   188
2022 01 27 01 06 MIN    40
2022 01 27 08 00 MAX   206
2022 01 27 14 00 MIN    82
2022 01 27 19 56 MAX   178
2022 01 28 02 16 MIN    34
2022 01 28 09 19 MAX   219
2022 01 28 15 29 MIN    80
2022 01 28 21 11 MAX   175
2022 01 29 03 27 MIN    22
2022 01 29 10 30 MAX   236
2022 01 29 16 42 MIN    68
2022 01 29 22 21 MAX   180
2022 01 30 04 31 MIN     6
2022 01 30 11 30 MAX   254
2022 01 30 17 39 MIN    54
2022 01 30 23 21 MAX   190
