<TOPS - 조위예측극치자료>

대상조위관측소 : 가덕도
위도(WGS84) : N  35도 01분 27초
경도(WGS84) : E 128도 48분 39초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 06 13 MAX   150
2021 12 01 12 03 MIN    36
2021 12 01 18 15 MAX   154
2021 12 02 00 15 MIN    18
2021 12 02 07 00 MAX   165
2021 12 02 12 53 MIN    23
2021 12 02 19 03 MAX   161
2021 12 03 01 00 MIN     5
2021 12 03 07 47 MAX   178
2021 12 03 13 42 MIN    13
2021 12 03 19 50 MAX   166
2021 12 04 01 44 MIN    -4
2021 12 04 08 34 MAX   186
2021 12 04 14 30 MIN     7
2021 12 04 20 37 MAX   166
2021 12 05 02 30 MIN    -7
2021 12 05 09 21 MAX   190
2021 12 05 15 18 MIN     6
2021 12 05 21 24 MAX   162
2021 12 06 03 15 MIN    -4
2021 12 06 10 08 MAX   187
2021 12 06 16 05 MIN    11
2021 12 06 22 11 MAX   155
2021 12 07 04 01 MIN     4
2021 12 07 10 55 MAX   180
2021 12 07 16 54 MIN    20
2021 12 07 22 59 MAX   145
2021 12 08 04 48 MIN    16
2021 12 08 11 42 MAX   168
2021 12 08 17 44 MIN    31
2021 12 08 23 50 MAX   134
2021 12 09 05 38 MIN    30
2021 12 09 12 31 MAX   155
2021 12 09 18 39 MIN    42
2021 12 10 00 50 MAX   124
2021 12 10 06 33 MIN    44
2021 12 10 13 26 MAX   142
2021 12 10 19 42 MIN    51
2021 12 11 02 03 MAX   118
2021 12 11 07 36 MIN    55
2021 12 11 14 34 MAX   131
2021 12 11 20 52 MIN    55
2021 12 12 03 23 MAX   118
2021 12 12 08 47 MIN    62
2021 12 12 15 49 MAX   126
2021 12 12 22 03 MIN    53
2021 12 13 04 34 MAX   123
2021 12 13 10 05 MIN    64
2021 12 13 16 56 MAX   125
2021 12 13 23 03 MIN    48
2021 12 14 05 31 MAX   131
2021 12 14 11 16 MIN    60
2021 12 14 17 48 MAX   127
2021 12 14 23 51 MIN    41
2021 12 15 06 18 MAX   139
2021 12 15 12 12 MIN    53
2021 12 15 18 31 MAX   129
2021 12 16 00 31 MIN    34
2021 12 16 07 00 MAX   146
2021 12 16 12 57 MIN    46
2021 12 16 19 07 MAX   131
2021 12 17 01 07 MIN    28
2021 12 17 07 37 MAX   152
2021 12 17 13 36 MIN    39
2021 12 17 19 40 MAX   134
2021 12 18 01 42 MIN    24
2021 12 18 08 13 MAX   158
2021 12 18 14 12 MIN    33
2021 12 18 20 13 MAX   136
2021 12 19 02 14 MIN    20
2021 12 19 08 47 MAX   162
2021 12 19 14 46 MIN    29
2021 12 19 20 45 MAX   138
2021 12 20 02 47 MIN    18
