<TOPS - 조위예측극치자료>

대상조위관측소 : 거제도
위도(WGS84) : N  34도 48분 05초
경도(WGS84) : E 128도 41분 57초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 06 17 MAX   161
2021 12 01 12 06 MIN    33
2021 12 01 18 17 MAX   165
2021 12 02 00 21 MIN    14
2021 12 02 07 06 MAX   180
2021 12 02 12 57 MIN    20
2021 12 02 19 04 MAX   173
2021 12 03 01 04 MIN     0
2021 12 03 07 53 MAX   196
2021 12 03 13 45 MIN    10
2021 12 03 19 50 MAX   178
2021 12 04 01 47 MIN   -10
2021 12 04 08 40 MAX   207
2021 12 04 14 32 MIN     4
2021 12 04 20 35 MAX   179
2021 12 05 02 32 MIN   -14
2021 12 05 09 27 MAX   211
2021 12 05 15 20 MIN     5
2021 12 05 21 21 MAX   175
2021 12 06 03 18 MIN   -12
2021 12 06 10 14 MAX   209
2021 12 06 16 08 MIN    10
2021 12 06 22 07 MAX   167
2021 12 07 04 03 MIN    -5
2021 12 07 11 01 MAX   201
2021 12 07 16 56 MIN    20
2021 12 07 22 54 MAX   155
2021 12 08 04 51 MIN     8
2021 12 08 11 48 MAX   187
2021 12 08 17 47 MIN    31
2021 12 08 23 45 MAX   143
2021 12 09 05 40 MIN    23
2021 12 09 12 37 MAX   171
2021 12 09 18 42 MIN    43
2021 12 10 00 44 MAX   131
2021 12 10 06 32 MIN    39
2021 12 10 13 32 MAX   156
2021 12 10 19 46 MIN    51
2021 12 11 01 55 MAX   124
2021 12 11 07 34 MIN    53
2021 12 11 14 35 MAX   144
2021 12 11 20 59 MIN    54
2021 12 12 03 16 MAX   123
2021 12 12 08 49 MIN    63
2021 12 12 15 47 MAX   136
2021 12 12 22 10 MIN    52
2021 12 13 04 31 MAX   129
2021 12 13 10 13 MIN    65
2021 12 13 16 54 MAX   134
2021 12 13 23 08 MIN    46
2021 12 14 05 33 MAX   139
2021 12 14 11 25 MIN    61
2021 12 14 17 48 MAX   136
2021 12 14 23 55 MIN    39
2021 12 15 06 24 MAX   150
2021 12 15 12 20 MIN    54
2021 12 15 18 33 MAX   139
2021 12 16 00 35 MIN    32
2021 12 16 07 08 MAX   160
2021 12 16 13 04 MIN    47
2021 12 16 19 09 MAX   142
2021 12 17 01 12 MIN    25
2021 12 17 07 46 MAX   168
2021 12 17 13 42 MIN    40
2021 12 17 19 42 MAX   145
2021 12 18 01 46 MIN    20
2021 12 18 08 22 MAX   175
2021 12 18 14 17 MIN    34
2021 12 18 20 13 MAX   148
2021 12 19 02 18 MIN    16
2021 12 19 08 57 MAX   179
2021 12 19 14 50 MIN    31
2021 12 19 20 43 MAX   149
2021 12 20 02 50 MIN    13
2021 12 20 09 30 MAX   181
2021 12 20 15 23 MIN    29
2021 12 20 21 15 MAX   149
2021 12 21 03 22 MIN    12
2021 12 21 10 03 MAX   181
2021 12 21 15 56 MIN    29
2021 12 21 21 48 MAX   147
2021 12 22 03 55 MIN    13
2021 12 22 10 36 MAX   178
2021 12 22 16 30 MIN    31
2021 12 22 22 24 MAX   143
2021 12 23 04 30 MIN    17
2021 12 23 11 11 MAX   173
