<TOPS - 조위예측극치자료>

대상조위관측소 : 고흥발포
위도(WGS84) : N  34도 28분 52초
경도(WGS84) : E 127도 20분 34초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 00 44 MIN    72
2021 12 01 07 04 MAX   290
2021 12 01 13 13 MIN    86
2021 12 01 19 06 MAX   296
2021 12 02 01 25 MIN    43
2021 12 02 07 50 MAX   325
2021 12 02 14 06 MIN    69
2021 12 02 19 51 MAX   307
2021 12 03 02 07 MIN    17
2021 12 03 08 37 MAX   357
2021 12 03 14 56 MIN    56
2021 12 03 20 36 MAX   314
2021 12 04 02 50 MIN    -3
2021 12 04 09 24 MAX   380
2021 12 04 15 44 MIN    50
2021 12 04 21 20 MAX   315
2021 12 05 03 33 MIN   -13
2021 12 05 10 11 MAX   392
2021 12 05 16 33 MIN    51
2021 12 05 22 05 MAX   310
2021 12 06 04 18 MIN   -12
2021 12 06 10 58 MAX   391
2021 12 06 17 23 MIN    60
2021 12 06 22 51 MAX   298
2021 12 07 05 05 MIN    -1
2021 12 07 11 48 MAX   378
2021 12 07 18 15 MIN    75
2021 12 07 23 39 MAX   281
2021 12 08 05 53 MIN    21
2021 12 08 12 38 MAX   355
2021 12 08 19 09 MIN    91
2021 12 09 00 30 MAX   259
2021 12 09 06 45 MIN    48
2021 12 09 13 31 MAX   327
2021 12 09 20 09 MIN   105
2021 12 10 01 30 MAX   239
2021 12 10 07 43 MIN    78
2021 12 10 14 31 MAX   298
2021 12 10 21 16 MIN   114
2021 12 11 02 44 MAX   224
2021 12 11 08 52 MIN   105
2021 12 11 15 38 MAX   274
2021 12 11 22 26 MIN   113
2021 12 12 04 14 MAX   221
2021 12 12 10 13 MIN   123
2021 12 12 16 48 MAX   258
2021 12 12 23 29 MIN   105
2021 12 13 05 37 MAX   233
2021 12 13 11 38 MIN   128
2021 12 13 17 50 MAX   249
2021 12 14 00 20 MIN    93
2021 12 14 06 38 MAX   250
2021 12 14 12 47 MIN   125
2021 12 14 18 39 MAX   246
2021 12 15 01 00 MIN    80
2021 12 15 07 24 MAX   270
2021 12 15 13 40 MIN   117
2021 12 15 19 19 MAX   247
2021 12 16 01 35 MIN    67
2021 12 16 08 02 MAX   288
2021 12 16 14 22 MIN   108
2021 12 16 19 55 MAX   251
2021 12 17 02 08 MIN    55
2021 12 17 08 37 MAX   305
2021 12 17 14 58 MIN   100
2021 12 17 20 29 MAX   257
2021 12 18 02 40 MIN    45
2021 12 18 09 11 MAX   319
2021 12 18 15 32 MIN    93
2021 12 18 21 02 MAX   262
2021 12 19 03 13 MIN    37
2021 12 19 09 45 MAX   330
2021 12 19 16 05 MIN    88
2021 12 19 21 36 MAX   266
2021 12 20 03 45 MIN    33
2021 12 20 10 19 MAX   336
2021 12 20 16 38 MIN    87
2021 12 20 22 09 MAX   266
2021 12 21 04 19 MIN    32
2021 12 21 10 53 MAX   337
2021 12 21 17 12 MIN    88
2021 12 21 22 42 MAX   263
2021 12 22 04 53 MIN    36
2021 12 22 11 27 MAX   333
2021 12 22 17 47 MIN    92
2021 12 22 23 16 MAX   257
2021 12 23 05 29 MIN    44
2021 12 23 12 03 MAX   324
2021 12 23 18 24 MIN    99
2021 12 23 23 53 MAX   248
2021 12 24 06 07 MIN    56
2021 12 24 12 41 MAX   312
2021 12 24 19 05 MIN   105
2021 12 25 00 35 MAX   237
2021 12 25 06 50 MIN    72
2021 12 25 13 24 MAX   296
2021 12 25 19 52 MIN   109
2021 12 26 01 28 MAX   228
2021 12 26 07 43 MIN    89
2021 12 26 14 12 MAX   280
2021 12 26 20 48 MIN   109
2021 12 27 02 37 MAX   224
2021 12 27 08 50 MIN   105
2021 12 27 15 10 MAX   266
2021 12 27 21 50 MIN   102
2021 12 28 04 02 MAX   231
2021 12 28 10 10 MIN   115
2021 12 28 16 17 MAX   257
2021 12 28 22 54 MIN    89
2021 12 29 05 25 MAX   251
2021 12 29 11 36 MIN   115
2021 12 29 17 26 MAX   254
2021 12 29 23 55 MIN    69
2021 12 30 06 36 MAX   280
2021 12 30 12 52 MIN   104
2021 12 30 18 31 MAX   259
