<TOPS - 조위예측극치자료>

대상조위관측소 : 군산
위도(WGS84) : N  35도 58분 32초
경도(WGS84) : E 126도 33분 47초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 06 45 MIN   132
2021 12 01 12 37 MAX   574
2021 12 01 19 18 MIN   144
2021 12 02 00 52 MAX   579
2021 12 02 07 35 MIN    80
2021 12 02 13 29 MAX   634
2021 12 02 20 14 MIN   107
2021 12 03 01 40 MAX   601
2021 12 03 08 23 MIN    36
2021 12 03 14 17 MAX   683
2021 12 03 21 05 MIN    80
2021 12 04 02 26 MAX   613
2021 12 04 09 08 MIN     5
2021 12 04 15 04 MAX   714
2021 12 04 21 54 MIN    68
2021 12 05 03 12 MAX   615
2021 12 05 09 53 MIN    -9
2021 12 05 15 51 MAX   727
2021 12 05 22 41 MIN    70
2021 12 06 03 57 MAX   608
2021 12 06 10 37 MIN    -7
2021 12 06 16 38 MAX   721
2021 12 06 23 28 MIN    84
2021 12 07 04 44 MAX   592
2021 12 07 11 23 MIN    10
2021 12 07 17 26 MAX   701
2021 12 08 00 16 MIN   107
2021 12 08 05 32 MAX   571
2021 12 08 12 09 MIN    40
2021 12 08 18 15 MAX   670
2021 12 09 01 05 MIN   134
2021 12 09 06 22 MAX   545
2021 12 09 12 57 MIN    79
2021 12 09 19 06 MAX   631
2021 12 10 01 57 MIN   161
2021 12 10 07 17 MAX   518
2021 12 10 13 50 MIN   124
2021 12 10 20 01 MAX   589
2021 12 11 02 53 MIN   182
2021 12 11 08 20 MAX   495
2021 12 11 14 52 MIN   169
2021 12 11 21 02 MAX   550
2021 12 12 03 56 MIN   193
2021 12 12 09 35 MAX   483
2021 12 12 16 05 MIN   202
2021 12 12 22 11 MAX   522
2021 12 13 05 02 MIN   189
2021 12 13 10 55 MAX   491
2021 12 13 17 26 MIN   214
2021 12 13 23 19 MAX   509
2021 12 14 06 06 MIN   170
2021 12 14 12 07 MAX   518
2021 12 14 18 39 MIN   206
2021 12 15 00 20 MAX   510
2021 12 15 06 59 MIN   145
2021 12 15 13 04 MAX   551
2021 12 15 19 37 MIN   187
2021 12 16 01 10 MAX   518
2021 12 16 07 43 MIN   119
2021 12 16 13 50 MAX   583
2021 12 16 20 23 MIN   168
2021 12 17 01 51 MAX   528
2021 12 17 08 20 MIN    98
2021 12 17 14 28 MAX   607
2021 12 17 21 01 MIN   153
2021 12 18 02 29 MAX   538
2021 12 18 08 54 MIN    83
2021 12 18 15 03 MAX   623
2021 12 18 21 36 MIN   142
2021 12 19 03 03 MAX   545
2021 12 19 09 25 MIN    72
2021 12 19 15 36 MAX   633
2021 12 19 22 09 MIN   136
2021 12 20 03 36 MAX   549
2021 12 20 09 57 MIN    67
2021 12 20 16 08 MAX   638
2021 12 20 22 42 MIN   134
2021 12 21 04 08 MAX   550
2021 12 21 10 30 MIN    66
2021 12 21 16 40 MAX   639
2021 12 21 23 16 MIN   136
2021 12 22 04 41 MAX   548
2021 12 22 11 04 MIN    69
2021 12 22 17 12 MAX   636
2021 12 22 23 51 MIN   143
2021 12 23 05 14 MAX   542
2021 12 23 11 39 MIN    79
2021 12 23 17 46 MAX   628
2021 12 24 00 27 MIN   153
2021 12 24 05 50 MAX   534
2021 12 24 12 15 MIN    94
2021 12 24 18 22 MAX   615
2021 12 25 01 06 MIN   163
2021 12 25 06 29 MAX   523
2021 12 25 12 55 MIN   115
2021 12 25 19 03 MAX   596
2021 12 26 01 48 MIN   173
2021 12 26 07 17 MAX   511
2021 12 26 13 42 MIN   142
2021 12 26 19 50 MAX   571
2021 12 27 02 37 MIN   178
2021 12 27 08 15 MAX   501
2021 12 27 14 40 MIN   171
2021 12 27 20 47 MAX   546
2021 12 28 03 35 MIN   175
2021 12 28 09 26 MAX   501
2021 12 28 15 54 MIN   194
2021 12 28 21 54 MAX   526
2021 12 29 04 42 MIN   159
2021 12 29 10 44 MAX   520
2021 12 29 17 22 MIN   197
2021 12 29 23 04 MAX   520
2021 12 30 05 52 MIN   129
2021 12 30 11 58 MAX   558
2021 12 30 18 44 MIN   177
2021 12 31 00 12 MAX   527
2021 12 31 06 56 MIN    90
2021 12 31 13 03 MAX   605
2021 12 31 19 52 MIN   146
2022 01 01 01 13 MAX   544
2022 01 01 07 54 MIN    51
2022 01 01 14 01 MAX   649
2022 01 01 20 51 MIN   116
2022 01 02 02 08 MAX   561
2022 01 02 08 48 MIN    21
2022 01 02 14 54 MAX   682
2022 01 02 21 44 MIN    94
2022 01 03 03 00 MAX   576
2022 01 03 09 40 MIN     1
2022 01 03 15 43 MAX   700
2022 01 03 22 34 MIN    81
2022 01 04 03 49 MAX   586
2022 01 04 10 30 MIN    -7
2022 01 04 16 31 MAX   704
2022 01 04 23 21 MIN    78
2022 01 05 04 37 MAX   590
2022 01 05 11 17 MIN    -1
2022 01 05 17 18 MAX   695
2022 01 06 00 06 MIN    84
2022 01 06 05 24 MAX   586
2022 01 06 12 03 MIN    18
2022 01 06 18 02 MAX   674
2022 01 07 00 49 MIN    96
2022 01 07 06 10 MAX   576
2022 01 07 12 46 MIN    50
2022 01 07 18 45 MAX   643
2022 01 08 01 31 MIN   115
2022 01 08 06 57 MAX   558
2022 01 08 13 30 MIN    93
2022 01 08 19 28 MAX   603
2022 01 09 02 12 MIN   137
2022 01 09 07 48 MAX   534
2022 01 09 14 15 MIN   144
2022 01 09 20 13 MAX   558
2022 01 10 02 56 MIN   159
2022 01 10 08 44 MAX   508
2022 01 10 15 07 MIN   195
2022 01 10 21 03 MAX   512
2022 01 11 03 48 MIN   177
2022 01 11 09 51 MAX   488
2022 01 11 16 15 MIN   236
2022 01 11 22 04 MAX   474
2022 01 12 04 50 MIN   185
2022 01 12 11 09 MAX   486
2022 01 12 17 41 MIN   252
2022 01 12 23 16 MAX   453
2022 01 13 05 57 MIN   178
2022 01 13 12 25 MAX   503
2022 01 13 19 00 MIN   240
