<TOPS - 조위예측극치자료>

대상조위관측소 : 대산
위도(WGS84) : N  37도 00분 27초
경도(WGS84) : E 126도 21분 10초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 01 20 MAX   641
2021 12 01 07 48 MIN   140
2021 12 01 14 01 MAX   669
2021 12 01 20 17 MIN   158
2021 12 02 02 15 MAX   676
2021 12 02 08 36 MIN    80
2021 12 02 14 51 MAX   735
2021 12 02 21 12 MIN   113
2021 12 03 03 04 MAX   703
2021 12 03 09 21 MIN    30
2021 12 03 15 38 MAX   788
2021 12 03 22 02 MIN    82
2021 12 04 03 50 MAX   717
2021 12 04 10 05 MIN    -5
2021 12 04 16 24 MAX   822
2021 12 04 22 51 MIN    69
2021 12 05 04 35 MAX   719
2021 12 05 10 50 MIN   -23
2021 12 05 17 10 MAX   836
2021 12 05 23 39 MIN    73
2021 12 06 05 20 MAX   709
2021 12 06 11 34 MIN   -24
2021 12 06 17 57 MAX   831
2021 12 07 00 26 MIN    90
2021 12 07 06 06 MAX   690
2021 12 07 12 19 MIN    -8
2021 12 07 18 44 MAX   810
2021 12 08 01 14 MIN   116
2021 12 08 06 52 MAX   665
2021 12 08 13 04 MIN    25
2021 12 08 19 32 MAX   774
2021 12 09 02 02 MIN   148
2021 12 09 07 41 MAX   634
2021 12 09 13 52 MIN    73
2021 12 09 20 21 MAX   727
2021 12 10 02 53 MIN   181
2021 12 10 08 34 MAX   601
2021 12 10 14 44 MIN   131
2021 12 10 21 14 MAX   675
2021 12 11 03 49 MIN   208
2021 12 11 09 38 MAX   571
2021 12 11 15 45 MIN   189
2021 12 11 22 14 MAX   626
2021 12 12 04 54 MIN   223
2021 12 12 10 53 MAX   556
2021 12 12 16 59 MIN   234
2021 12 12 23 25 MAX   592
2021 12 13 06 03 MIN   218
2021 12 13 12 15 MAX   567
2021 12 13 18 21 MIN   250
2021 12 14 00 36 MAX   580
2021 12 14 07 07 MIN   195
2021 12 14 13 25 MAX   601
2021 12 14 19 35 MIN   238
2021 12 15 01 38 MAX   586
2021 12 15 08 00 MIN   163
2021 12 15 14 19 MAX   641
2021 12 15 20 32 MIN   213
2021 12 16 02 26 MAX   601
2021 12 16 08 43 MIN   132
2021 12 16 15 03 MAX   678
2021 12 16 21 19 MIN   188
2021 12 17 03 07 MAX   617
2021 12 17 09 20 MIN   105
2021 12 17 15 41 MAX   706
2021 12 17 21 59 MIN   169
2021 12 18 03 44 MAX   630
2021 12 18 09 54 MIN    84
2021 12 18 16 16 MAX   726
2021 12 18 22 36 MIN   157
2021 12 19 04 18 MAX   639
2021 12 19 10 27 MIN    70
2021 12 19 16 50 MAX   738
2021 12 19 23 10 MIN   153
2021 12 20 04 51 MAX   643
2021 12 20 10 59 MIN    61
2021 12 20 17 22 MAX   743
2021 12 20 23 44 MIN   154
2021 12 21 05 24 MAX   643
2021 12 21 11 33 MIN    60
2021 12 21 17 55 MAX   742
2021 12 22 00 17 MIN   160
2021 12 22 05 57 MAX   638
2021 12 22 12 06 MIN    66
2021 12 22 18 27 MAX   735
2021 12 23 00 51 MIN   168
2021 12 23 06 31 MAX   630
2021 12 23 12 40 MIN    80
2021 12 23 19 00 MAX   723
2021 12 24 01 25 MIN   176
2021 12 24 07 07 MAX   617
2021 12 24 13 16 MIN   103
2021 12 24 19 35 MAX   706
2021 12 25 02 02 MIN   185
2021 12 25 07 46 MAX   601
2021 12 25 13 56 MIN   133
2021 12 25 20 14 MAX   682
2021 12 26 02 44 MIN   194
2021 12 26 08 35 MAX   583
2021 12 26 14 44 MIN   170
2021 12 26 21 01 MAX   654
2021 12 27 03 34 MIN   200
2021 12 27 09 35 MAX   570
2021 12 27 15 43 MIN   206
2021 12 27 21 59 MAX   624
2021 12 28 04 36 MIN   198
2021 12 28 10 49 MAX   572
2021 12 28 16 58 MIN   230
2021 12 28 23 10 MAX   603
2021 12 29 05 45 MIN   182
2021 12 29 12 09 MAX   599
2021 12 29 18 23 MIN   230
2021 12 30 00 25 MAX   600
2021 12 30 06 54 MIN   148
2021 12 30 13 22 MAX   648
2021 12 30 19 42 MIN   205
2021 12 31 01 36 MAX   613
2021 12 31 07 57 MIN   104
2021 12 31 14 24 MAX   704
2021 12 31 20 50 MIN   169
2022 01 01 02 37 MAX   635
2022 01 01 08 53 MIN    61
2022 01 01 15 20 MAX   754
2022 01 01 21 49 MIN   137
2022 01 02 03 32 MAX   656
2022 01 02 09 46 MIN    25
2022 01 02 16 13 MAX   791
2022 01 02 22 44 MIN   113
2022 01 03 04 24 MAX   673
2022 01 03 10 37 MIN     0
2022 01 03 17 04 MAX   812
2022 01 03 23 34 MIN    99
2022 01 04 05 13 MAX   684
2022 01 04 11 26 MIN   -11
2022 01 04 17 52 MAX   816
2022 01 05 00 21 MIN    96
2022 01 05 06 00 MAX   687
2022 01 05 12 13 MIN    -7
2022 01 05 18 37 MAX   804
2022 01 06 01 06 MIN   101
2022 01 06 06 46 MAX   683
2022 01 06 12 58 MIN    13
2022 01 06 19 20 MAX   777
2022 01 07 01 48 MIN   114
2022 01 07 07 31 MAX   668
2022 01 07 13 42 MIN    51
2022 01 07 20 00 MAX   737
2022 01 08 02 28 MIN   134
2022 01 08 08 16 MAX   645
2022 01 08 14 25 MIN   103
2022 01 08 20 40 MAX   689
2022 01 09 03 09 MIN   159
2022 01 09 09 03 MAX   614
2022 01 09 15 10 MIN   163
2022 01 09 21 21 MAX   636
2022 01 10 03 54 MIN   185
2022 01 10 09 59 MAX   583
2022 01 10 16 02 MIN   223
2022 01 10 22 10 MAX   584
2022 01 11 04 47 MIN   208
2022 01 11 11 07 MAX   561
2022 01 11 17 10 MIN   272
2022 01 11 23 12 MAX   542
2022 01 12 05 53 MIN   219
2022 01 12 12 25 MAX   561
2022 01 12 18 35 MIN   292
2022 01 13 00 30 MAX   523
2022 01 13 07 02 MIN   211
2022 01 13 13 38 MAX   585
2022 01 13 19 56 MIN   280
2022 01 14 01 42 MAX   529
2022 01 14 08 01 MIN   187
2022 01 14 14 35 MAX   620
2022 01 14 20 56 MIN   251
2022 01 15 02 38 MAX   552
2022 01 15 08 50 MIN   156
2022 01 15 15 21 MAX   657
2022 01 15 21 43 MIN   221
2022 01 16 03 23 MAX   578
2022 01 16 09 32 MIN   125
2022 01 16 16 01 MAX   688
2022 01 16 22 23 MIN   196
2022 01 17 04 02 MAX   604
2022 01 17 10 10 MIN    97
2022 01 17 16 37 MAX   713
2022 01 17 22 59 MIN   175
2022 01 18 04 39 MAX   626
2022 01 18 10 47 MIN    75
2022 01 18 17 11 MAX   730
2022 01 18 23 34 MIN   159
2022 01 19 05 14 MAX   643
2022 01 19 11 24 MIN    59
2022 01 19 17 44 MAX   742
2022 01 20 00 08 MIN   146
2022 01 20 05 48 MAX   654
2022 01 20 12 00 MIN    52
2022 01 20 18 16 MAX   746
2022 01 21 00 40 MIN   135
2022 01 21 06 23 MAX   660
2022 01 21 12 35 MIN    56
2022 01 21 18 47 MAX   743
2022 01 22 01 12 MIN   128
2022 01 22 06 57 MAX   659
2022 01 22 13 10 MIN    70
2022 01 22 19 19 MAX   733
2022 01 23 01 44 MIN   125
2022 01 23 07 35 MAX   652
2022 01 23 13 47 MIN    95
2022 01 23 19 53 MAX   713
2022 01 24 02 19 MIN   128
2022 01 24 08 15 MAX   640
2022 01 24 14 27 MIN   130
2022 01 24 20 32 MAX   681
2022 01 25 02 58 MIN   138
2022 01 25 09 03 MAX   624
2022 01 25 15 14 MIN   175
2022 01 25 21 17 MAX   640
2022 01 26 03 47 MIN   153
2022 01 26 10 04 MAX   608
2022 01 26 16 15 MIN   223
2022 01 26 22 17 MAX   594
2022 01 27 04 49 MIN   168
2022 01 27 11 21 MAX   603
2022 01 27 17 39 MIN   257
2022 01 27 23 35 MAX   558
2022 01 28 06 06 MIN   170
2022 01 28 12 49 MAX   623
2022 01 28 19 18 MIN   255
2022 01 29 01 05 MAX   553
2022 01 29 07 27 MIN   147
2022 01 29 14 09 MAX   667
2022 01 29 20 43 MIN   220
2022 01 30 02 24 MAX   579
2022 01 30 08 39 MIN   106
2022 01 30 15 15 MAX   719
2022 01 30 21 48 MIN   174
2022 01 31 03 28 MAX   619
2022 01 31 09 40 MIN    61
2022 01 31 16 11 MAX   764
2022 01 31 22 42 MIN   132
2022 02 01 04 21 MAX   659
2022 02 01 10 34 MIN    22
2022 02 01 17 01 MAX   793
2022 02 01 23 29 MIN   101
2022 02 02 05 10 MAX   692
2022 02 02 11 23 MIN    -3
2022 02 02 17 45 MAX   804
2022 02 03 00 10 MIN    81
2022 02 03 05 53 MAX   713
2022 02 03 12 07 MIN    -9
2022 02 03 18 24 MAX   798
2022 02 04 00 48 MIN    74
2022 02 04 06 33 MAX   719
2022 02 04 12 47 MIN     5
2022 02 04 18 59 MAX   775
2022 02 05 01 23 MIN    78
2022 02 05 07 12 MAX   711
2022 02 05 13 24 MIN    38
2022 02 05 19 32 MAX   741
2022 02 06 01 55 MIN    92
2022 02 06 07 49 MAX   690
2022 02 06 13 59 MIN    86
2022 02 06 20 02 MAX   697
2022 02 07 02 25 MIN   116
2022 02 07 08 27 MAX   657
2022 02 07 14 34 MIN   146
2022 02 07 20 32 MAX   647
2022 02 08 02 56 MIN   149
2022 02 08 09 08 MAX   616
2022 02 08 15 12 MIN   211
2022 02 08 21 06 MAX   591
2022 02 09 03 34 MIN   188
2022 02 09 09 58 MAX   574
2022 02 09 16 00 MIN   276
2022 02 09 21 50 MAX   535
2022 02 10 04 24 MIN   227
2022 02 10 11 09 MAX   543
2022 02 10 17 17 MIN   326
2022 02 10 23 01 MAX   487
2022 02 11 05 43 MIN   253
2022 02 11 12 45 MAX   541
2022 02 11 19 15 MIN   335
2022 02 12 00 50 MAX   474
2022 02 12 07 14 MIN   245
2022 02 12 14 09 MAX   574
2022 02 12 20 41 MIN   301
2022 02 13 02 14 MAX   503
2022 02 13 08 23 MIN   209
2022 02 13 15 05 MAX   619
2022 02 13 21 32 MIN   257
2022 02 14 03 08 MAX   548
2022 02 14 09 15 MIN   164
2022 02 14 15 46 MAX   664
2022 02 14 22 11 MIN   214
2022 02 15 03 50 MAX   594
2022 02 15 09 58 MIN   119
2022 02 15 16 22 MAX   702
2022 02 15 22 45 MIN   176
2022 02 16 04 27 MAX   635
2022 02 16 10 37 MIN    80
2022 02 16 16 56 MAX   731
2022 02 16 23 18 MIN   142
2022 02 17 05 02 MAX   668
2022 02 17 11 14 MIN    51
2022 02 17 17 28 MAX   752
2022 02 17 23 50 MIN   113
2022 02 18 05 37 MAX   692
2022 02 18 11 50 MIN    35
2022 02 18 17 59 MAX   763
2022 02 19 00 21 MIN    90
2022 02 19 06 10 MAX   707
2022 02 19 12 25 MIN    33
2022 02 19 18 29 MAX   763
2022 02 20 00 51 MIN    75
2022 02 20 06 44 MAX   712
2022 02 20 12 59 MIN    45
2022 02 20 18 59 MAX   752
2022 02 21 01 21 MIN    69
2022 02 21 07 18 MAX   709
2022 02 21 13 34 MIN    72
2022 02 21 19 31 MAX   728
2022 02 22 01 53 MIN    75
2022 02 22 07 55 MAX   696
2022 02 22 14 11 MIN   114
2022 02 22 20 06 MAX   689
2022 02 23 02 27 MIN    94
2022 02 23 08 39 MAX   672
2022 02 23 14 53 MIN   170
2022 02 23 20 46 MAX   636
2022 02 24 03 09 MIN   127
2022 02 24 09 32 MAX   638
2022 02 24 15 49 MIN   235
2022 02 24 21 39 MAX   575
2022 02 25 04 06 MIN   169
2022 02 25 10 48 MAX   607
2022 02 25 17 14 MIN   289
2022 02 25 23 00 MAX   520
2022 02 26 05 32 MIN   201
2022 02 26 12 32 MAX   604
2022 02 26 19 17 MIN   291
2022 02 27 00 56 MAX   511
2022 02 27 07 15 MIN   190
2022 02 27 14 08 MAX   646
2022 02 27 20 48 MIN   240
2022 02 28 02 27 MAX   558
2022 02 28 08 38 MIN   142
2022 02 28 15 16 MAX   703
2022 02 28 21 47 MIN   179
2022 03 01 03 29 MAX   621
2022 03 01 09 40 MIN    84
2022 03 01 16 08 MAX   751
2022 03 01 22 33 MIN   125
2022 03 02 04 18 MAX   679
2022 03 02 10 30 MIN    37
2022 03 02 16 50 MAX   781
2022 03 02 23 13 MIN    86
2022 03 03 05 00 MAX   722
2022 03 03 11 14 MIN     9
2022 03 03 17 28 MAX   790
2022 03 03 23 49 MIN    62
2022 03 04 05 39 MAX   747
2022 03 04 11 53 MIN     2
2022 03 04 18 01 MAX   783
2022 03 05 00 22 MIN    51
2022 03 05 06 14 MAX   754
2022 03 05 12 28 MIN    16
2022 03 05 18 31 MAX   762
2022 03 06 00 51 MIN    53
2022 03 06 06 48 MAX   745
2022 03 06 13 01 MIN    47
2022 03 06 18 59 MAX   733
2022 03 07 01 18 MIN    65
2022 03 07 07 20 MAX   724
2022 03 07 13 31 MIN    91
2022 03 07 19 25 MAX   696
2022 03 08 01 43 MIN    88
2022 03 08 07 51 MAX   692
2022 03 08 14 01 MIN   146
2022 03 08 19 51 MAX   651
2022 03 09 02 08 MIN   122
2022 03 09 08 24 MAX   651
2022 03 09 14 32 MIN   208
2022 03 09 20 18 MAX   599
2022 03 10 02 37 MIN   166
2022 03 10 09 03 MAX   604
2022 03 10 15 10 MIN   273
2022 03 10 20 52 MAX   542
