<TOPS - 조위예측극치자료>

대상조위관측소 : 독도
위도(WGS84) : N  37도 14분 20초
경도(WGS84) : E 131도 52분 02초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 05 53 MIN     6
2021 12 01 11 39 MAX    16
2021 12 01 17 44 MIN     8
2021 12 01 23 37 MAX    20
2021 12 02 06 39 MIN     3
2021 12 02 12 48 MAX    17
2021 12 02 18 25 MIN    11
2021 12 03 00 06 MAX    23
2021 12 03 07 26 MIN     0
2021 12 03 13 50 MAX    17
2021 12 03 19 03 MIN    14
2021 12 04 00 40 MAX    26
2021 12 04 08 15 MIN    -2
2021 12 04 14 53 MAX    17
2021 12 04 19 39 MIN    15
2021 12 05 01 18 MAX    28
2021 12 05 09 07 MIN    -5
2021 12 06 02 00 MAX    29
2021 12 06 10 03 MIN    -6
2021 12 07 02 47 MAX    28
2021 12 07 11 05 MIN    -7
2021 12 08 03 38 MAX    26
2021 12 08 12 11 MIN    -8
2021 12 09 04 32 MAX    22
2021 12 09 13 14 MIN    -7
2021 12 10 05 33 MAX    18
2021 12 10 14 08 MIN    -6
2021 12 10 23 06 MAX    11
2021 12 11 02 13 MIN     9
2021 12 11 06 50 MAX    13
2021 12 11 14 56 MIN    -5
2021 12 11 22 49 MAX     9
2021 12 12 03 37 MIN     6
2021 12 12 08 22 MAX     9
2021 12 12 15 38 MIN    -2
2021 12 12 22 29 MAX     9
2021 12 13 04 56 MIN     2
2021 12 13 10 04 MAX     6
2021 12 13 16 16 MIN     0
2021 12 13 22 41 MAX    10
2021 12 14 06 02 MIN    -1
2021 12 14 12 11 MAX     6
2021 12 14 16 52 MIN     3
2021 12 14 23 01 MAX    12
2021 12 15 06 50 MIN    -3
2021 12 15 13 44 MAX     7
2021 12 15 17 21 MIN     6
2021 12 15 23 24 MAX    14
2021 12 16 07 28 MIN    -4
2021 12 16 14 45 MAX     9
2021 12 16 17 40 MIN     8
2021 12 16 23 50 MAX    16
2021 12 17 08 01 MIN    -4
2021 12 18 00 17 MAX    18
2021 12 18 08 29 MIN    -4
2021 12 18 16 22 MAX    12
2021 12 18 18 30 MIN    11
2021 12 19 00 46 MAX    20
2021 12 19 08 54 MIN    -4
2021 12 20 01 19 MAX    21
2021 12 20 09 19 MIN    -4
2021 12 20 18 02 MAX    13
2021 12 20 19 38 MIN    12
2021 12 21 01 53 MAX    21
2021 12 21 09 48 MIN    -4
2021 12 22 02 32 MAX    21
