<TOPS - 조위예측극치자료>

대상조위관측소 : 모슬포
위도(WGS84) : N  33도 12분 52초
경도(WGS84) : E 126도 15분 04초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 01 46 MIN    57
2021 12 01 08 05 MAX   217
2021 12 01 14 12 MIN    75
2021 12 01 19 59 MAX   218
2021 12 02 02 27 MIN    30
2021 12 02 08 54 MAX   242
2021 12 02 15 05 MIN    66
2021 12 02 20 42 MAX   223
2021 12 03 03 08 MIN     6
2021 12 03 09 42 MAX   265
2021 12 03 15 55 MIN    60
2021 12 03 21 25 MAX   226
2021 12 04 03 50 MIN   -14
2021 12 04 10 30 MAX   283
2021 12 04 16 43 MIN    58
2021 12 04 22 08 MAX   227
2021 12 05 04 34 MIN   -25
2021 12 05 11 18 MAX   292
2021 12 05 17 32 MIN    62
2021 12 05 22 52 MAX   225
2021 12 06 05 18 MIN   -27
2021 12 06 12 07 MAX   292
2021 12 06 18 22 MIN    69
2021 12 06 23 38 MAX   218
2021 12 07 06 05 MIN   -18
2021 12 07 12 58 MAX   282
2021 12 07 19 13 MIN    79
2021 12 08 00 25 MAX   206
2021 12 08 06 54 MIN     1
2021 12 08 13 51 MAX   266
2021 12 08 20 09 MIN    89
2021 12 09 01 18 MAX   192
2021 12 09 07 47 MIN    25
2021 12 09 14 48 MAX   247
2021 12 09 21 10 MIN    96
2021 12 10 02 21 MAX   177
2021 12 10 08 46 MIN    52
2021 12 10 15 49 MAX   227
2021 12 10 22 18 MIN    98
2021 12 11 03 44 MAX   167
2021 12 11 09 55 MIN    76
2021 12 11 16 53 MAX   210
2021 12 11 23 27 MIN    93
2021 12 12 05 23 MAX   167
2021 12 12 11 16 MIN    93
2021 12 12 17 53 MAX   198
2021 12 13 00 29 MIN    83
2021 12 13 06 49 MAX   176
2021 12 13 12 36 MIN   101
2021 12 13 18 44 MAX   190
2021 12 14 01 18 MIN    71
2021 12 14 07 53 MAX   189
2021 12 14 13 44 MIN   102
2021 12 14 19 27 MAX   185
2021 12 15 01 58 MIN    59
2021 12 15 08 40 MAX   202
2021 12 15 14 38 MIN   100
2021 12 15 20 04 MAX   183
2021 12 16 02 33 MIN    48
2021 12 16 09 17 MAX   215
2021 12 16 15 22 MIN    96
2021 12 16 20 39 MAX   184
2021 12 17 03 05 MIN    38
2021 12 17 09 51 MAX   227
2021 12 17 16 01 MIN    92
2021 12 17 21 13 MAX   188
2021 12 18 03 37 MIN    29
2021 12 18 10 22 MAX   237
2021 12 18 16 36 MIN    89
2021 12 18 21 48 MAX   191
2021 12 19 04 09 MIN    22
2021 12 19 10 54 MAX   245
2021 12 19 17 10 MIN    86
2021 12 19 22 22 MAX   195
2021 12 20 04 42 MIN    18
2021 12 20 11 27 MAX   250
2021 12 20 17 44 MIN    86
2021 12 20 22 56 MAX   196
2021 12 21 05 15 MIN    17
2021 12 21 12 01 MAX   251
2021 12 21 18 18 MIN    88
2021 12 21 23 29 MAX   194
2021 12 22 05 50 MIN    20
2021 12 22 12 35 MAX   248
2021 12 22 18 54 MIN    90
2021 12 23 00 04 MAX   190
2021 12 23 06 27 MIN    26
2021 12 23 13 12 MAX   241
2021 12 23 19 33 MIN    94
2021 12 24 00 41 MAX   184
2021 12 24 07 07 MIN    37
2021 12 24 13 51 MAX   232
2021 12 24 20 16 MIN    96
2021 12 25 01 25 MAX   176
2021 12 25 07 52 MIN    50
2021 12 25 14 35 MAX   221
2021 12 25 21 06 MIN    95
2021 12 26 02 22 MAX   169
2021 12 26 08 46 MIN    66
2021 12 26 15 24 MAX   210
2021 12 26 22 02 MIN    90
2021 12 27 03 39 MAX   167
2021 12 27 09 53 MIN    81
2021 12 27 16 19 MAX   200
2021 12 27 23 03 MIN    80
2021 12 28 05 12 MAX   173
2021 12 28 11 13 MIN    91
2021 12 28 17 20 MAX   193
2021 12 29 00 04 MIN    64
2021 12 29 06 36 MAX   189
2021 12 29 12 38 MIN    94
2021 12 29 18 21 MAX   190
2021 12 30 01 01 MIN    44
2021 12 30 07 46 MAX   212
2021 12 30 13 52 MIN    90
2021 12 30 19 19 MAX   192
2021 12 31 01 54 MIN    21
2021 12 31 08 45 MAX   237
2021 12 31 14 55 MIN    82
2021 12 31 20 15 MAX   197
2022 01 01 02 45 MIN     0
2022 01 01 09 38 MAX   260
2022 01 01 15 50 MIN    72
2022 01 01 21 08 MAX   205
2022 01 02 03 35 MIN   -19
2022 01 02 10 27 MAX   277
2022 01 02 16 40 MIN    64
