<TOPS - 조위예측극치자료>

대상조위관측소 : 보령
위도(WGS84) : N  36도 24분 23초
경도(WGS84) : E 126도 29분 10초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 00 13 MAX   602
2021 12 01 07 04 MIN   147
2021 12 01 12 51 MAX   625
2021 12 01 19 37 MIN   161
2021 12 02 01 06 MAX   632
2021 12 02 07 57 MIN    92
2021 12 02 13 43 MAX   689
2021 12 02 20 36 MIN   125
2021 12 03 01 54 MAX   657
2021 12 03 08 46 MIN    47
2021 12 03 14 31 MAX   740
2021 12 03 21 29 MIN    99
2021 12 04 02 39 MAX   671
2021 12 04 09 33 MIN    16
2021 12 04 15 17 MAX   771
2021 12 04 22 18 MIN    88
2021 12 05 03 23 MAX   672
2021 12 05 10 19 MIN     1
2021 12 05 16 03 MAX   781
2021 12 05 23 06 MIN    90
2021 12 06 04 08 MAX   661
2021 12 06 11 04 MIN     4
2021 12 06 16 50 MAX   773
2021 12 06 23 53 MIN   103
2021 12 07 04 54 MAX   642
2021 12 07 11 48 MIN    22
2021 12 07 17 38 MAX   750
2021 12 08 00 40 MIN   126
2021 12 08 05 43 MAX   616
2021 12 08 12 33 MIN    55
2021 12 08 18 27 MAX   715
2021 12 09 01 27 MIN   153
2021 12 09 06 34 MAX   586
2021 12 09 13 19 MIN    98
2021 12 09 19 18 MAX   673
2021 12 10 02 18 MIN   181
2021 12 10 07 30 MAX   554
2021 12 10 14 10 MIN   148
2021 12 10 20 14 MAX   628
2021 12 11 03 14 MIN   204
2021 12 11 08 35 MAX   526
2021 12 11 15 11 MIN   196
2021 12 11 21 16 MAX   586
2021 12 12 04 18 MIN   216
2021 12 12 09 49 MAX   511
2021 12 12 16 27 MIN   230
2021 12 12 22 26 MAX   556
2021 12 13 05 27 MIN   209
2021 12 13 11 11 MAX   519
2021 12 13 17 51 MIN   238
2021 12 13 23 37 MAX   544
2021 12 14 06 31 MIN   187
2021 12 14 12 26 MAX   550
2021 12 14 19 04 MIN   223
2021 12 15 00 40 MAX   549
2021 12 15 07 23 MIN   158
2021 12 15 13 23 MAX   591
2021 12 15 20 00 MIN   200
2021 12 16 01 29 MAX   562
2021 12 16 08 07 MIN   131
2021 12 16 14 08 MAX   628
2021 12 16 20 47 MIN   180
2021 12 17 02 11 MAX   576
2021 12 17 08 45 MIN   108
2021 12 17 14 46 MAX   656
2021 12 17 21 26 MIN   165
2021 12 18 02 48 MAX   587
2021 12 18 09 20 MIN    92
2021 12 18 15 21 MAX   674
2021 12 18 22 02 MIN   155
2021 12 19 03 22 MAX   594
2021 12 19 09 54 MIN    83
2021 12 19 15 54 MAX   683
2021 12 19 22 36 MIN   151
2021 12 20 03 56 MAX   596
2021 12 20 10 27 MIN    79
2021 12 20 16 26 MAX   685
2021 12 20 23 10 MIN   151
2021 12 21 04 28 MAX   594
2021 12 21 11 00 MIN    81
2021 12 21 16 57 MAX   682
2021 12 21 23 43 MIN   155
2021 12 22 04 59 MAX   588
2021 12 22 11 32 MIN    87
2021 12 22 17 29 MAX   676
2021 12 23 00 17 MIN   162
2021 12 23 05 31 MAX   580
2021 12 23 12 05 MIN    97
2021 12 23 18 01 MAX   668
2021 12 24 00 52 MIN   171
2021 12 24 06 05 MAX   571
2021 12 24 12 39 MIN   113
2021 12 24 18 36 MAX   655
2021 12 25 01 29 MIN   182
2021 12 25 06 45 MAX   561
2021 12 25 13 17 MIN   133
2021 12 25 19 17 MAX   636
2021 12 26 02 10 MIN   192
2021 12 26 07 33 MAX   550
2021 12 26 14 03 MIN   160
2021 12 26 20 06 MAX   613
2021 12 27 02 58 MIN   197
2021 12 27 08 32 MAX   542
2021 12 27 15 00 MIN   189
2021 12 27 21 04 MAX   589
2021 12 28 03 55 MIN   195
2021 12 28 09 43 MAX   546
2021 12 28 16 13 MIN   213
2021 12 28 22 11 MAX   572
2021 12 29 05 01 MIN   179
2021 12 29 11 00 MAX   568
2021 12 29 17 38 MIN   220
2021 12 29 23 20 MAX   568
2021 12 30 06 10 MIN   150
2021 12 30 12 13 MAX   610
2021 12 30 19 03 MIN   205
2021 12 31 00 27 MAX   578
