<TOPS - 조위예측극치자료>

대상조위관측소 : 삼천포
위도(WGS84) : N  34도 55분 27초
경도(WGS84) : E 128도 04분 11초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 00 07 MIN    55
2021 12 01 06 36 MAX   250
2021 12 01 12 33 MIN    60
2021 12 01 18 43 MAX   254
2021 12 02 00 50 MIN    30
2021 12 02 07 24 MAX   281
2021 12 02 13 23 MIN    42
2021 12 02 19 28 MAX   266
2021 12 03 01 32 MIN     9
2021 12 03 08 11 MAX   307
2021 12 03 14 12 MIN    29
2021 12 03 20 13 MAX   274
2021 12 04 02 15 MIN    -6
2021 12 04 08 58 MAX   327
2021 12 04 14 58 MIN    22
2021 12 04 20 57 MAX   277
2021 12 05 02 58 MIN   -13
2021 12 05 09 45 MAX   336
2021 12 05 15 45 MIN    23
2021 12 05 21 41 MAX   273
2021 12 06 03 42 MIN   -11
2021 12 06 10 32 MAX   334
2021 12 06 16 32 MIN    31
2021 12 06 22 26 MAX   263
2021 12 07 04 28 MIN     0
2021 12 07 11 19 MAX   321
2021 12 07 17 19 MIN    45
2021 12 07 23 12 MAX   246
2021 12 08 05 14 MIN    19
2021 12 08 12 07 MAX   300
2021 12 08 18 10 MIN    62
2021 12 09 00 03 MAX   227
2021 12 09 06 03 MIN    41
2021 12 09 12 59 MAX   274
2021 12 09 19 06 MIN    77
2021 12 10 01 01 MAX   208
2021 12 10 06 56 MIN    65
2021 12 10 13 56 MAX   247
2021 12 10 20 11 MIN    88
2021 12 11 02 13 MAX   194
2021 12 11 07 59 MIN    86
2021 12 11 15 03 MAX   225
2021 12 11 21 25 MIN    91
2021 12 12 03 34 MAX   191
2021 12 12 09 16 MIN   100
2021 12 12 16 16 MAX   211
2021 12 12 22 35 MIN    85
2021 12 13 04 50 MAX   199
2021 12 13 10 41 MIN   103
2021 12 13 17 22 MAX   206
2021 12 13 23 31 MIN    73
2021 12 14 05 52 MAX   213
2021 12 14 11 53 MIN    97
2021 12 14 18 14 MAX   207
2021 12 15 00 17 MIN    61
2021 12 15 06 41 MAX   230
2021 12 15 12 47 MIN    87
2021 12 15 18 56 MAX   211
2021 12 16 00 56 MIN    49
2021 12 16 07 25 MAX   247
2021 12 16 13 30 MIN    76
2021 12 16 19 32 MAX   216
2021 12 17 01 33 MIN    38
2021 12 17 08 04 MAX   263
2021 12 17 14 08 MIN    67
2021 12 17 20 05 MAX   223
2021 12 18 02 08 MIN    30
2021 12 18 08 41 MAX   276
2021 12 18 14 43 MIN    59
2021 12 18 20 37 MAX   229
2021 12 19 02 42 MIN    25
2021 12 19 09 16 MAX   284
2021 12 19 15 17 MIN    55
2021 12 19 21 08 MAX   233
2021 12 20 03 15 MIN    23
2021 12 20 09 50 MAX   289
2021 12 20 15 50 MIN    53
2021 12 20 21 40 MAX   235
2021 12 21 03 48 MIN    23
2021 12 21 10 24 MAX   288
2021 12 21 16 23 MIN    54
2021 12 21 22 12 MAX   232
2021 12 22 04 21 MIN    27
2021 12 22 10 58 MAX   283
2021 12 22 16 57 MIN    59
2021 12 22 22 47 MAX   225
2021 12 23 04 55 MIN    34
2021 12 23 11 33 MAX   273
2021 12 23 17 34 MIN    65
2021 12 23 23 25 MAX   215
2021 12 24 05 32 MIN    44
2021 12 24 12 10 MAX   261
2021 12 24 18 14 MIN    73
2021 12 25 00 09 MAX   203
2021 12 25 06 14 MIN    56
2021 12 25 12 52 MAX   246
2021 12 25 19 01 MIN    80
2021 12 26 01 04 MAX   193
2021 12 26 07 05 MIN    70
2021 12 26 13 41 MAX   232
2021 12 26 19 58 MIN    83
2021 12 27 02 17 MAX   189
2021 12 27 08 10 MIN    82
2021 12 27 14 42 MAX   220
2021 12 27 21 06 MIN    80
2021 12 28 03 40 MAX   195
2021 12 28 09 30 MIN    88
2021 12 28 15 53 MAX   214
2021 12 28 22 16 MIN    70
2021 12 29 04 59 MAX   213
2021 12 29 10 53 MIN    86
2021 12 29 17 04 MAX   215
2021 12 29 23 18 MIN    55
2021 12 30 06 07 MAX   238
2021 12 30 12 07 MIN    75
2021 12 30 18 08 MAX   223
2021 12 31 00 16 MIN    37
2021 12 31 07 07 MAX   266
2021 12 31 13 09 MIN    59
2021 12 31 19 05 MAX   235
2022 01 01 01 10 MIN    18
2022 01 01 08 01 MAX   293
2022 01 01 14 03 MIN    43
2022 01 01 19 57 MAX   247
2022 01 02 02 01 MIN     1
2022 01 02 08 52 MAX   315
2022 01 02 14 54 MIN    30
2022 01 02 20 47 MAX   258
2022 01 03 02 50 MIN   -11
2022 01 03 09 40 MAX   329
2022 01 03 15 40 MIN    21
2022 01 03 21 35 MAX   264
2022 01 04 03 38 MIN   -17
2022 01 04 10 26 MAX   333
2022 01 04 16 25 MIN    18
2022 01 04 22 21 MAX   264
2022 01 05 04 23 MIN   -14
2022 01 05 11 09 MAX   324
2022 01 05 17 09 MIN    23
2022 01 05 23 05 MAX   256
2022 01 06 05 06 MIN    -2
2022 01 06 11 51 MAX   305
2022 01 06 17 51 MIN    32
2022 01 06 23 50 MAX   242
2022 01 07 05 47 MIN    17
2022 01 07 12 30 MAX   279
2022 01 07 18 34 MIN    46
2022 01 08 00 36 MAX   225
2022 01 08 06 29 MIN    42
2022 01 08 13 09 MAX   249
2022 01 08 19 20 MIN    61
2022 01 09 01 26 MAX   208
2022 01 09 07 12 MIN    67
2022 01 09 13 50 MAX   220
2022 01 09 20 10 MIN    73
2022 01 10 02 24 MAX   194
2022 01 10 08 03 MIN    91
2022 01 10 14 38 MAX   195
2022 01 10 21 12 MIN    81
2022 01 11 03 35 MAX   188
2022 01 11 09 15 MIN   109
2022 01 11 15 48 MAX   178
2022 01 11 22 21 MIN    82
2022 01 12 04 56 MAX   193
2022 01 12 10 54 MIN   114
2022 01 12 17 13 MAX   174
2022 01 12 23 28 MIN    76
2022 01 13 06 08 MAX   207
2022 01 13 12 22 MIN   106
2022 01 13 18 20 MAX   180
2022 01 14 00 24 MIN    66
2022 01 14 07 05 MAX   226
2022 01 14 13 18 MIN    92
2022 01 14 19 09 MAX   191
2022 01 15 01 12 MIN    54
2022 01 15 07 50 MAX   245
2022 01 15 14 00 MIN    78
2022 01 15 19 48 MAX   204
2022 01 16 01 53 MIN    41
2022 01 16 08 30 MAX   262
2022 01 16 14 36 MIN    65
2022 01 16 20 24 MAX   217
2022 01 17 02 31 MIN    29
2022 01 17 09 06 MAX   276
2022 01 17 15 09 MIN    54
2022 01 17 20 58 MAX   228
2022 01 18 03 06 MIN    19
2022 01 18 09 40 MAX   286
2022 01 18 15 41 MIN    45
2022 01 18 21 32 MAX   236
2022 01 19 03 39 MIN    11
2022 01 19 10 12 MAX   292
2022 01 19 16 12 MIN    39
2022 01 19 22 07 MAX   241
2022 01 20 04 12 MIN     8
2022 01 20 10 44 MAX   293
2022 01 20 16 44 MIN    35
2022 01 20 22 42 MAX   240
2022 01 21 04 46 MIN     9
2022 01 21 11 17 MAX   288
2022 01 21 17 18 MIN    35
2022 01 21 23 20 MAX   236
2022 01 22 05 21 MIN    15
2022 01 22 11 50 MAX   278
2022 01 22 17 53 MIN    39
2022 01 23 00 01 MAX   229
2022 01 23 05 59 MIN    28
2022 01 23 12 26 MAX   263
2022 01 23 18 31 MIN    45
2022 01 24 00 46 MAX   221
2022 01 24 06 42 MIN    45
2022 01 24 13 04 MAX   244
2022 01 24 19 14 MIN    54
2022 01 25 01 39 MAX   212
2022 01 25 07 34 MIN    67
2022 01 25 13 50 MAX   223
2022 01 25 20 07 MIN    62
2022 01 26 02 47 MAX   207
2022 01 26 08 43 MIN    87
2022 01 26 14 52 MAX   204
2022 01 26 21 14 MIN    67
2022 01 27 04 15 MAX   210
2022 01 27 10 15 MIN    99
2022 01 27 16 15 MAX   194
2022 01 27 22 33 MIN    65
2022 01 28 05 47 MAX   226
2022 01 28 11 52 MIN    94
2022 01 28 17 43 MAX   198
2022 01 28 23 52 MIN    52
2022 01 29 07 01 MAX   253
2022 01 29 13 06 MIN    75
2022 01 29 18 54 MAX   214
2022 01 30 01 00 MIN    32
2022 01 30 07 59 MAX   283
2022 01 30 14 02 MIN    52
2022 01 30 19 52 MAX   235
2022 01 31 01 57 MIN     9
2022 01 31 08 48 MAX   308
2022 01 31 14 48 MIN    30
2022 01 31 20 42 MAX   255
2022 02 01 02 47 MIN   -11
2022 02 01 09 32 MAX   325
2022 02 01 15 30 MIN    13
2022 02 01 21 27 MAX   270
2022 02 02 03 31 MIN   -23
2022 02 02 10 12 MAX   331
2022 02 02 16 10 MIN     3
2022 02 02 22 10 MAX   276
2022 02 03 04 11 MIN   -25
2022 02 03 10 50 MAX   324
2022 02 03 16 47 MIN     2
2022 02 03 22 50 MAX   274
2022 02 04 04 48 MIN   -15
2022 02 04 11 24 MAX   306
2022 02 04 17 23 MIN     9
2022 02 04 23 28 MAX   263
2022 02 05 05 23 MIN     3
2022 02 05 11 55 MAX   280
2022 02 05 17 57 MIN    22
2022 02 06 00 05 MAX   246
2022 02 06 05 56 MIN    28
2022 02 06 12 22 MAX   251
2022 02 06 18 30 MIN    39
2022 02 07 00 42 MAX   228
2022 02 07 06 30 MIN    55
2022 02 07 12 46 MAX   223
2022 02 07 19 05 MIN    58
2022 02 08 01 24 MAX   210
2022 02 08 07 07 MIN    82
2022 02 08 13 10 MAX   197
2022 02 08 19 47 MIN    75
2022 02 09 02 17 MAX   194
2022 02 09 07 57 MIN   107
2022 02 09 13 46 MAX   175
2022 02 09 20 50 MIN    89
2022 02 10 03 38 MAX   186
2022 02 10 09 28 MIN   125
2022 02 10 15 18 MAX   159
2022 02 10 22 23 MIN    94
2022 02 11 05 27 MAX   192
2022 02 11 12 00 MIN   123
2022 02 11 17 46 MAX   162
2022 02 11 23 52 MIN    86
2022 02 12 06 47 MAX   212
2022 02 12 13 11 MIN   105
2022 02 12 18 53 MAX   178
2022 02 13 00 55 MIN    70
2022 02 13 07 37 MAX   234
2022 02 13 13 51 MIN    86
2022 02 13 19 36 MAX   197
2022 02 14 01 40 MIN    52
2022 02 14 08 16 MAX   255
2022 02 14 14 23 MIN    68
2022 02 14 20 11 MAX   216
2022 02 15 02 18 MIN    33
2022 02 15 08 50 MAX   273
2022 02 15 14 53 MIN    51
2022 02 15 20 46 MAX   234
2022 02 16 02 52 MIN    16
2022 02 16 09 21 MAX   289
2022 02 16 15 22 MIN    35
2022 02 16 21 20 MAX   249
2022 02 17 03 24 MIN     1
2022 02 17 09 52 MAX   300
2022 02 17 15 52 MIN    21
2022 02 17 21 55 MAX   260
2022 02 18 03 57 MIN    -8
2022 02 18 10 23 MAX   305
2022 02 18 16 22 MIN    12
2022 02 18 22 30 MAX   267
2022 02 19 04 30 MIN   -10
2022 02 19 10 54 MAX   302
2022 02 19 16 54 MIN     8
2022 02 19 23 07 MAX   268
2022 02 20 05 05 MIN    -3
2022 02 20 11 26 MAX   292
2022 02 20 17 26 MIN    11
2022 02 20 23 45 MAX   263
2022 02 21 05 41 MIN    13
2022 02 21 11 58 MAX   273
2022 02 21 18 00 MIN    21
2022 02 22 00 25 MAX   252
2022 02 22 06 21 MIN    36
2022 02 22 12 32 MAX   249
2022 02 22 18 37 MIN    36
2022 02 23 01 11 MAX   237
2022 02 23 07 08 MIN    66
2022 02 23 13 11 MAX   223
2022 02 23 19 22 MIN    54
2022 02 24 02 10 MAX   221
2022 02 24 08 12 MIN    96
2022 02 24 14 05 MAX   196
2022 02 24 20 26 MIN    72
2022 02 25 03 44 MAX   211
2022 02 25 09 56 MIN   114
2022 02 25 15 42 MAX   179
2022 02 25 22 01 MIN    80
2022 02 26 05 42 MAX   223
2022 02 26 11 57 MIN   106
2022 02 26 17 39 MAX   186
2022 02 26 23 45 MIN    69
2022 02 27 07 00 MAX   250
2022 02 27 13 08 MIN    81
2022 02 27 18 53 MAX   210
2022 02 28 00 59 MIN    44
2022 02 28 07 53 MAX   279
2022 02 28 13 55 MIN    52
2022 02 28 19 47 MAX   238
2022 03 01 01 53 MIN    16
2022 03 01 08 36 MAX   303
2022 03 01 14 35 MIN    26
2022 03 01 20 32 MAX   263
2022 03 02 02 37 MIN    -6
2022 03 02 09 15 MAX   318
2022 03 02 15 11 MIN     6
2022 03 02 21 13 MAX   281
2022 03 03 03 16 MIN   -19
2022 03 03 09 50 MAX   321
2022 03 03 15 46 MIN    -6
2022 03 03 21 51 MAX   290
2022 03 04 03 51 MIN   -21
2022 03 04 10 22 MAX   314
2022 03 04 16 19 MIN    -8
2022 03 04 22 28 MAX   289
2022 03 05 04 25 MIN   -12
2022 03 05 10 51 MAX   297
2022 03 05 16 50 MIN    -2
2022 03 05 23 02 MAX   281
2022 03 06 04 56 MIN     6
2022 03 06 11 16 MAX   275
2022 03 06 17 19 MIN    11
2022 03 06 23 34 MAX   266
2022 03 07 05 25 MIN    28
2022 03 07 11 38 MAX   250
2022 03 07 17 46 MIN    29
2022 03 08 00 05 MAX   249
2022 03 08 05 55 MIN    53
2022 03 08 11 57 MAX   227
2022 03 08 18 14 MIN    49
2022 03 09 00 40 MAX   230
2022 03 09 06 28 MIN    79
2022 03 09 12 17 MAX   204
2022 03 09 18 45 MIN    70
2022 03 10 01 22 MAX   211
2022 03 10 07 09 MIN   105
2022 03 10 12 43 MAX   183
2022 03 10 19 31 MIN    91
2022 03 11 02 26 MAX   194
2022 03 11 08 21 MIN   128
2022 03 11 13 35 MAX   161
2022 03 11 21 03 MIN   107
2022 03 12 04 26 MAX   189
2022 03 12 11 28 MIN   133
2022 03 12 17 06 MAX   155
2022 03 12 23 10 MIN   104
2022 03 13 06 17 MAX   205
2022 03 13 12 54 MIN   113
2022 03 13 18 33 MAX   175
2022 03 14 00 29 MIN    86
2022 03 14 07 11 MAX   227
2022 03 14 13 29 MIN    91
2022 03 14 19 15 MAX   198
2022 03 15 01 16 MIN    64
2022 03 15 07 49 MAX   250
2022 03 15 13 58 MIN    69
2022 03 15 19 51 MAX   221
2022 03 16 01 53 MIN    40
2022 03 16 08 21 MAX   271
2022 03 16 14 26 MIN    47
2022 03 16 20 25 MAX   245
2022 03 17 02 28 MIN    18
2022 03 17 08 52 MAX   289
2022 03 17 14 54 MIN    25
2022 03 17 21 00 MAX   267
2022 03 18 03 01 MIN     0
2022 03 18 09 23 MAX   302
2022 03 18 15 23 MIN     7
2022 03 18 21 36 MAX   285
2022 03 19 03 35 MIN   -12
2022 03 19 09 55 MAX   309
2022 03 19 15 54 MIN    -6
2022 03 19 22 12 MAX   296
2022 03 20 04 10 MIN   -14
2022 03 20 10 27 MAX   306
2022 03 20 16 25 MIN   -10
2022 03 20 22 49 MAX   300
2022 03 21 04 46 MIN    -5
2022 03 21 10 59 MAX   294
2022 03 21 16 58 MIN    -4
2022 03 21 23 27 MAX   294
2022 03 22 05 24 MIN    15
2022 03 22 11 32 MAX   273
2022 03 22 17 31 MIN    10
2022 03 23 00 07 MAX   279
2022 03 23 06 05 MIN    44
2022 03 23 12 06 MAX   246
2022 03 23 18 09 MIN    32
2022 03 24 00 53 MAX   257
2022 03 24 06 53 MIN    77
2022 03 24 12 45 MAX   217
2022 03 24 18 54 MIN    57
2022 03 25 01 53 MAX   233
2022 03 25 08 02 MIN   108
2022 03 25 13 43 MAX   188
2022 03 25 20 01 MIN    82
2022 03 26 03 37 MAX   218
2022 03 26 10 03 MIN   121
2022 03 26 15 44 MAX   174
2022 03 26 21 53 MIN    93
2022 03 27 05 37 MAX   228
2022 03 27 11 57 MIN   104
2022 03 27 17 42 MAX   190
2022 03 27 23 43 MIN    78
2022 03 28 06 47 MAX   252
2022 03 28 12 54 MIN    77
2022 03 28 18 45 MAX   218
2022 03 29 00 50 MIN    53
2022 03 29 07 34 MAX   274
2022 03 29 13 35 MIN    49
2022 03 29 19 33 MAX   247
2022 03 30 01 37 MIN    28
2022 03 30 08 13 MAX   291
2022 03 30 14 10 MIN    24
2022 03 30 20 14 MAX   271
2022 03 31 02 18 MIN    10
2022 03 31 08 48 MAX   299
2022 03 31 14 44 MIN     6
2022 03 31 20 53 MAX   288
2022 04 01 02 54 MIN     1
2022 04 01 09 20 MAX   299
2022 04 01 15 16 MIN    -4
2022 04 01 21 29 MAX   297
2022 04 02 03 28 MIN     0
2022 04 02 09 50 MAX   292
2022 04 02 15 47 MIN    -5
2022 04 02 22 03 MAX   298
2022 04 03 03 59 MIN     8
2022 04 03 10 16 MAX   279
2022 04 03 16 16 MIN     1
2022 04 03 22 35 MAX   292
2022 04 04 04 30 MIN    22
2022 04 04 10 39 MAX   263
2022 04 04 16 43 MIN    13
2022 04 04 23 06 MAX   281
2022 04 05 04 59 MIN    39
2022 04 05 11 01 MAX   245
2022 04 05 17 09 MIN    30
2022 04 05 23 37 MAX   267
2022 04 06 05 30 MIN    60
2022 04 06 11 21 MAX   227
2022 04 06 17 35 MIN    50
2022 04 07 00 09 MAX   249
2022 04 07 06 03 MIN    83
2022 04 07 11 45 MAX   208
2022 04 07 18 05 MIN    71
2022 04 08 00 48 MAX   229
2022 04 08 06 44 MIN   106
2022 04 08 12 14 MAX   188
2022 04 08 18 46 MIN    92
2022 04 09 01 41 MAX   209
2022 04 09 07 47 MIN   127
2022 04 09 13 03 MAX   168
2022 04 09 20 01 MIN   111
2022 04 10 03 19 MAX   197
2022 04 10 10 16 MIN   135
2022 04 10 16 08 MAX   158
2022 04 10 22 09 MIN   114
2022 04 11 05 20 MAX   204
2022 04 11 12 07 MIN   117
2022 04 11 17 55 MAX   177
2022 04 11 23 43 MIN    99
2022 04 12 06 25 MAX   223
2022 04 12 12 48 MIN    94
2022 04 12 18 42 MAX   201
2022 04 13 00 37 MIN    76
2022 04 13 07 06 MAX   244
2022 04 13 13 18 MIN    70
2022 04 13 19 20 MAX   229
2022 04 14 01 19 MIN    52
2022 04 14 07 41 MAX   264
2022 04 14 13 47 MIN    45
2022 04 14 19 57 MAX   256
2022 04 15 01 57 MIN    29
2022 04 15 08 15 MAX   282
2022 04 15 14 18 MIN    21
2022 04 15 20 35 MAX   283
2022 04 16 02 35 MIN    10
2022 04 16 08 49 MAX   295
2022 04 16 14 50 MIN     1
2022 04 16 21 13 MAX   305
2022 04 17 03 12 MIN     0
2022 04 17 09 24 MAX   301
2022 04 17 15 23 MIN   -11
2022 04 17 21 52 MAX   319
2022 04 18 03 50 MIN    -1
2022 04 18 09 59 MAX   298
2022 04 18 15 57 MIN   -13
2022 04 18 22 32 MAX   322
2022 04 19 04 30 MIN    10
2022 04 19 10 35 MAX   286
2022 04 19 16 33 MIN    -5
2022 04 19 23 13 MAX   315
2022 04 20 05 11 MIN    31
2022 04 20 11 11 MAX   265
2022 04 20 17 10 MIN    13
2022 04 20 23 56 MAX   297
2022 04 21 05 57 MIN    58
2022 04 21 11 51 MAX   239
2022 04 21 17 52 MIN    38
2022 04 22 00 46 MAX   272
2022 04 22 06 52 MIN    88
2022 04 22 12 38 MAX   211
2022 04 22 18 44 MIN    66
2022 04 23 01 54 MAX   246
2022 04 23 08 10 MIN   111
2022 04 23 13 52 MAX   188
2022 04 23 20 00 MIN    89
2022 04 24 03 34 MAX   231
2022 04 24 10 03 MIN   114
2022 04 24 15 54 MAX   184
2022 04 24 21 48 MIN    97
2022 04 25 05 11 MAX   236
2022 04 25 11 31 MIN    97
2022 04 25 17 26 MAX   202
2022 04 25 23 23 MIN    86
2022 04 26 06 16 MAX   248
2022 04 26 12 23 MIN    73
2022 04 26 18 24 MAX   227
2022 04 27 00 27 MIN    68
2022 04 27 07 03 MAX   260
2022 04 27 13 03 MIN    51
2022 04 27 19 10 MAX   251
2022 04 28 01 14 MIN    51
2022 04 28 07 41 MAX   268
2022 04 28 13 39 MIN    32
2022 04 28 19 51 MAX   271
2022 04 29 01 53 MIN    39
2022 04 29 08 15 MAX   271
2022 04 29 14 12 MIN    18
2022 04 29 20 29 MAX   286
2022 04 30 02 30 MIN    33
2022 04 30 08 47 MAX   270
2022 04 30 14 44 MIN    11
2022 04 30 21 05 MAX   295
2022 05 01 03 04 MIN    32
2022 05 01 09 15 MAX   265
2022 05 01 15 15 MIN    11
2022 05 01 21 39 MAX   298
2022 05 02 03 36 MIN    36
2022 05 02 09 42 MAX   258
2022 05 02 15 44 MIN    16
2022 05 02 22 12 MAX   296
2022 05 03 04 08 MIN    45
2022 05 03 10 07 MAX   249
2022 05 03 16 12 MIN    26
2022 05 03 22 44 MAX   289
2022 05 04 04 39 MIN    57
2022 05 04 10 32 MAX   239
2022 05 04 16 40 MIN    39
2022 05 04 23 15 MAX   277
2022 05 05 05 12 MIN    72
2022 05 05 10 57 MAX   226
2022 05 05 17 09 MIN    56
2022 05 05 23 49 MAX   262
2022 05 06 05 47 MIN    89
2022 05 06 11 26 MAX   210
2022 05 06 17 42 MIN    74
2022 05 07 00 27 MAX   244
2022 05 07 06 30 MIN   107
2022 05 07 12 02 MAX   193
2022 05 07 18 25 MIN    92
2022 05 08 01 16 MAX   226
2022 05 08 07 29 MIN   122
2022 05 08 12 59 MAX   176
2022 05 08 19 29 MIN   108
