<TOPS - 조위예측극치자료>

대상조위관측소 : 속초
위도(WGS84) : N  38도 12분 26초
경도(WGS84) : E 128도 35분 39초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 00 15 MAX    21
2021 12 01 06 40 MIN     6
2021 12 01 12 41 MAX    19
2021 12 01 18 40 MIN     7
2021 12 02 00 40 MAX    23
2021 12 02 07 28 MIN     1
2021 12 02 13 49 MAX    20
2021 12 02 19 23 MIN     9
2021 12 03 01 10 MAX    25
2021 12 03 08 15 MIN    -3
2021 12 03 14 51 MAX    21
2021 12 03 20 05 MIN    11
2021 12 04 01 45 MAX    27
2021 12 04 09 04 MIN    -6
2021 12 04 15 52 MAX    21
2021 12 04 20 46 MIN    13
2021 12 05 02 25 MAX    29
2021 12 05 09 55 MIN    -8
2021 12 05 16 56 MAX    20
2021 12 05 21 26 MIN    14
2021 12 06 03 08 MAX    30
2021 12 06 10 48 MIN    -9
2021 12 06 18 05 MAX    19
2021 12 06 22 07 MIN    15
2021 12 07 03 55 MAX    30
2021 12 07 11 43 MIN    -9
2021 12 07 19 16 MAX    18
2021 12 07 22 50 MIN    15
2021 12 08 04 45 MAX    29
2021 12 08 12 41 MIN    -7
2021 12 08 20 26 MAX    17
2021 12 08 23 43 MIN    15
2021 12 09 05 40 MAX    27
2021 12 09 13 40 MIN    -5
2021 12 09 21 32 MAX    16
2021 12 10 00 58 MIN    15
2021 12 10 06 39 MAX    24
2021 12 10 14 39 MIN    -2
2021 12 10 22 26 MAX    16
2021 12 11 02 35 MIN    13
2021 12 11 07 48 MAX    21
2021 12 11 15 37 MIN     0
2021 12 11 23 04 MAX    16
2021 12 12 04 12 MIN    11
2021 12 12 09 10 MAX    17
2021 12 12 16 31 MIN     3
2021 12 12 23 30 MAX    17
2021 12 13 05 34 MIN     8
2021 12 13 10 53 MAX    15
2021 12 13 17 20 MIN     6
2021 12 13 23 53 MAX    19
2021 12 14 06 37 MIN     5
2021 12 14 12 38 MAX    15
2021 12 14 18 03 MIN     8
2021 12 15 00 16 MAX    20
2021 12 15 07 25 MIN     2
2021 12 15 13 56 MAX    15
2021 12 15 18 41 MIN    10
2021 12 16 00 41 MAX    22
2021 12 16 08 05 MIN     0
2021 12 16 14 53 MAX    16
2021 12 16 19 15 MIN    12
2021 12 17 01 08 MAX    23
2021 12 17 08 40 MIN    -1
2021 12 17 15 36 MAX    17
2021 12 17 19 47 MIN    13
2021 12 18 01 37 MAX    25
2021 12 18 09 13 MIN    -2
2021 12 18 16 14 MAX    18
2021 12 18 20 19 MIN    14
2021 12 19 02 09 MAX    26
2021 12 19 09 46 MIN    -3
2021 12 19 16 50 MAX    18
2021 12 19 20 50 MIN    14
2021 12 20 02 42 MAX    26
2021 12 20 10 20 MIN    -3
2021 12 20 17 25 MAX    18
2021 12 20 21 22 MIN    14
2021 12 21 03 17 MAX    27
2021 12 21 10 55 MIN    -3
2021 12 21 18 02 MAX    17
2021 12 21 21 55 MIN    14
2021 12 22 03 53 MAX    26
2021 12 22 11 32 MIN    -3
2021 12 22 18 42 MAX    17
2021 12 22 22 31 MIN    14
2021 12 23 04 29 MAX    26
2021 12 23 12 10 MIN    -3
2021 12 23 19 25 MAX    16
2021 12 23 23 13 MIN    14
2021 12 24 05 07 MAX    24
2021 12 24 12 50 MIN    -2
2021 12 24 20 10 MAX    16
2021 12 25 00 05 MIN    13
2021 12 25 05 48 MAX    23
2021 12 25 13 32 MIN    -1
2021 12 25 20 51 MAX    16
2021 12 26 01 14 MIN    13
2021 12 26 06 38 MAX    20
2021 12 26 14 16 MIN     1
2021 12 26 21 26 MAX    17
2021 12 27 02 40 MIN    12
2021 12 27 07 42 MAX    18
2021 12 27 15 05 MIN     3
2021 12 27 21 58 MAX    18
2021 12 28 04 06 MIN     9
2021 12 28 09 09 MAX    15
2021 12 28 15 58 MIN     5
2021 12 28 22 31 MAX    19
2021 12 29 05 19 MIN     5
2021 12 29 11 06 MAX    14
2021 12 29 16 54 MIN     8
2021 12 29 23 06 MAX    21
2021 12 30 06 20 MIN     1
2021 12 30 12 59 MAX    15
2021 12 30 17 51 MIN    10
2021 12 30 23 46 MAX    23
2021 12 31 07 16 MIN    -3
2021 12 31 14 20 MAX    17
2021 12 31 18 44 MIN    12
2022 01 01 00 31 MAX    26
2022 01 01 08 09 MIN    -7
2022 01 01 15 25 MAX    18
2022 01 01 19 34 MIN    13
2022 01 02 01 19 MAX    28
2022 01 02 09 01 MIN    -9
2022 01 02 16 15 MAX    19
2022 01 02 20 21 MIN    14
2022 01 03 02 09 MAX    29
2022 01 03 09 53 MIN   -11
2022 01 03 17 08 MAX    18
2022 01 03 21 07 MIN    14
2022 01 04 03 00 MAX    30
2022 01 04 10 43 MIN   -11
2022 01 04 17 57 MAX    17
2022 01 04 21 56 MIN    13
2022 01 05 03 51 MAX    30
2022 01 05 11 33 MIN   -10
2022 01 05 18 42 MAX    16
2022 01 05 22 45 MIN    12
2022 01 06 04 41 MAX    29
2022 01 06 12 20 MIN    -8
2022 01 06 19 18 MAX    16
2022 01 06 23 39 MIN    11
2022 01 07 05 30 MAX    26
2022 01 07 13 04 MIN    -6
2022 01 07 20 03 MAX    15
2022 01 08 00 41 MIN    10
2022 01 08 06 21 MAX    22
2022 01 08 13 47 MIN    -2
2022 01 08 20 35 MAX    16
2022 01 09 01 55 MIN     9
2022 01 09 07 17 MAX    18
2022 01 09 14 26 MIN     1
2022 01 09 21 14 MAX    16
2022 01 10 03 24 MIN     8
2022 01 10 08 30 MAX    14
2022 01 10 15 02 MIN     5
2022 01 10 21 49 MAX    17
2022 01 11 04 56 MIN     6
2022 01 11 10 25 MAX    12
2022 01 11 15 39 MIN     8
2022 01 11 22 23 MAX    19
2022 01 12 06 09 MIN     3
2022 01 12 13 16 MAX    12
2022 01 12 16 12 MIN    11
2022 01 12 23 01 MAX    20
2022 01 13 07 04 MIN     1
2022 01 13 14 45 MAX    14
2022 01 13 17 09 MIN    13
2022 01 13 23 43 MAX    22
2022 01 14 07 47 MIN    -1
2022 01 14 15 41 MAX    15
2022 01 14 18 17 MIN    14
2022 01 15 00 25 MAX    23
2022 01 15 08 24 MIN    -2
2022 01 15 15 49 MAX    17
2022 01 15 19 02 MIN    15
2022 01 16 01 07 MAX    24
2022 01 16 08 59 MIN    -3
2022 01 16 16 16 MAX    17
2022 01 16 19 47 MIN    15
2022 01 17 01 50 MAX    26
2022 01 17 09 32 MIN    -3
2022 01 17 16 33 MAX    18
2022 01 17 20 30 MIN    14
2022 01 18 02 29 MAX    26
2022 01 18 10 06 MIN    -4
2022 01 18 16 57 MAX    18
2022 01 18 21 10 MIN    13
2022 01 19 03 08 MAX    27
2022 01 19 10 39 MIN    -4
2022 01 19 17 28 MAX    17
2022 01 19 21 50 MIN    12
2022 01 20 03 46 MAX    27
2022 01 20 11 12 MIN    -5
2022 01 20 17 55 MAX    17
2022 01 20 22 32 MIN    11
2022 01 21 04 22 MAX    26
2022 01 21 11 46 MIN    -4
2022 01 21 18 24 MAX    17
2022 01 21 23 16 MIN    10
2022 01 22 05 01 MAX    25
2022 01 22 12 19 MIN    -3
2022 01 22 18 54 MAX    17
2022 01 23 00 05 MIN     9
2022 01 23 05 43 MAX    23
2022 01 23 12 53 MIN    -2
2022 01 23 19 26 MAX    17
2022 01 24 01 00 MIN     8
2022 01 24 06 32 MAX    20
2022 01 24 13 28 MIN     1
2022 01 24 19 57 MAX    18
2022 01 25 02 08 MIN     7
2022 01 25 07 34 MAX    17
2022 01 25 14 06 MIN     4
2022 01 25 20 32 MAX    19
2022 01 26 03 28 MIN     5
2022 01 26 09 05 MAX    14
2022 01 26 14 48 MIN     8
2022 01 26 21 13 MAX    21
2022 01 27 04 50 MIN     2
2022 01 27 11 50 MAX    13
2022 01 27 15 47 MIN    11
2022 01 27 22 05 MAX    22
2022 01 28 06 03 MIN    -2
2022 01 28 13 56 MAX    15
2022 01 28 17 08 MIN    13
2022 01 28 23 05 MAX    24
2022 01 29 07 07 MIN    -5
2022 01 29 14 53 MAX    17
2022 01 29 18 22 MIN    14
2022 01 30 00 09 MAX    26
2022 01 30 08 04 MIN    -7
2022 01 30 15 33 MAX    18
2022 01 30 19 23 MIN    14
2022 01 31 01 11 MAX    28
2022 01 31 08 56 MIN    -9
2022 01 31 16 07 MAX    18
2022 01 31 20 16 MIN    13
2022 02 01 02 07 MAX    29
2022 02 01 09 45 MIN   -10
2022 02 01 16 37 MAX    18
2022 02 01 21 08 MIN    11
2022 02 02 03 00 MAX    30
2022 02 02 10 29 MIN   -10
2022 02 02 17 09 MAX    17
2022 02 02 21 53 MIN    10
2022 02 03 03 48 MAX    29
2022 02 03 11 11 MIN    -8
2022 02 03 17 37 MAX    17
2022 02 03 22 41 MIN     8
2022 02 04 04 34 MAX    27
2022 02 04 11 48 MIN    -6
2022 02 04 18 06 MAX    17
2022 02 04 23 29 MIN     7
2022 02 05 05 19 MAX    24
2022 02 05 12 22 MIN    -3
2022 02 05 18 37 MAX    17
2022 02 06 00 20 MIN     6
2022 02 06 06 05 MAX    21
2022 02 06 12 51 MIN     0
2022 02 06 19 05 MAX    18
2022 02 07 01 18 MIN     5
2022 02 07 06 56 MAX    17
2022 02 07 13 14 MIN     4
2022 02 07 19 38 MAX    18
2022 02 08 02 29 MIN     5
2022 02 08 08 08 MAX    13
2022 02 08 13 29 MIN     7
2022 02 08 20 10 MAX    19
2022 02 09 03 54 MIN     4
2022 02 09 10 34 MAX    11
2022 02 09 13 20 MIN    10
2022 02 09 20 48 MAX    20
2022 02 10 05 19 MIN     3
2022 02 10 21 35 MAX    20
2022 02 11 06 26 MIN     1
2022 02 11 22 37 MAX    21
2022 02 12 07 18 MIN     0
2022 02 12 23 46 MAX    22
2022 02 13 07 59 MIN    -1
2022 02 13 15 35 MAX    17
2022 02 13 18 54 MIN    15
2022 02 14 00 46 MAX    23
2022 02 14 08 35 MIN    -2
2022 02 14 15 38 MAX    18
2022 02 14 19 42 MIN    14
2022 02 15 01 38 MAX    25
2022 02 15 09 08 MIN    -3
2022 02 15 15 55 MAX    18
2022 02 15 20 26 MIN    12
2022 02 16 02 20 MAX    26
2022 02 16 09 40 MIN    -4
2022 02 16 16 15 MAX    18
2022 02 16 21 04 MIN    11
2022 02 17 02 59 MAX    27
2022 02 17 10 12 MIN    -4
2022 02 17 16 33 MAX    19
2022 02 17 21 44 MIN     9
2022 02 18 03 37 MAX    27
2022 02 18 10 43 MIN    -4
2022 02 18 16 58 MAX    19
2022 02 18 22 25 MIN     7
2022 02 19 04 15 MAX    26
2022 02 19 11 13 MIN    -4
2022 02 19 17 25 MAX    19
2022 02 19 23 07 MIN     6
2022 02 20 04 56 MAX    24
2022 02 20 11 45 MIN    -2
2022 02 20 17 50 MAX    20
2022 02 20 23 53 MIN     4
2022 02 21 05 41 MAX    22
2022 02 21 12 16 MIN     1
2022 02 21 18 20 MAX    20
2022 02 22 00 44 MIN     3
2022 02 22 06 34 MAX    19
2022 02 22 12 47 MIN     4
2022 02 22 18 51 MAX    21
2022 02 23 01 44 MIN     1
2022 02 23 07 43 MAX    16
2022 02 23 13 17 MIN     8
2022 02 23 19 29 MAX    22
2022 02 24 03 01 MIN     0
2022 02 24 10 03 MAX    13
2022 02 24 13 52 MIN    11
2022 02 24 20 17 MAX    22
2022 02 25 04 29 MIN    -1
2022 02 25 21 22 MAX    23
2022 02 26 05 50 MIN    -3
2022 02 26 14 34 MAX    16
2022 02 26 17 03 MIN    15
2022 02 26 22 42 MAX    23
2022 02 27 06 58 MIN    -5
2022 02 27 14 52 MAX    17
2022 02 27 18 29 MIN    14
2022 02 28 00 05 MAX    25
2022 02 28 07 56 MIN    -6
2022 02 28 15 11 MAX    18
2022 02 28 19 29 MIN    12
2022 03 01 01 13 MAX    26
2022 03 01 08 44 MIN    -7
2022 03 01 15 31 MAX    18
2022 03 01 20 18 MIN    10
2022 03 02 02 09 MAX    27
2022 03 02 09 27 MIN    -7
2022 03 02 15 53 MAX    18
2022 03 02 21 05 MIN     7
2022 03 03 02 58 MAX    28
2022 03 03 10 06 MIN    -6
2022 03 03 16 17 MAX    18
2022 03 03 21 49 MIN     5
2022 03 04 03 42 MAX    27
2022 03 04 10 40 MIN    -4
2022 03 04 16 42 MAX    18
2022 03 04 22 31 MIN     4
2022 03 05 04 26 MAX    25
2022 03 05 11 10 MIN    -2
2022 03 05 17 06 MAX    19
2022 03 05 23 14 MIN     2
2022 03 06 05 10 MAX    22
2022 03 06 11 37 MIN     1
2022 03 06 17 32 MAX    20
2022 03 06 23 59 MIN     2
2022 03 07 05 56 MAX    19
2022 03 07 11 59 MIN     4
2022 03 07 17 58 MAX    20
2022 03 08 00 46 MIN     1
2022 03 08 06 51 MAX    16
2022 03 08 12 15 MIN     7
2022 03 08 18 24 MAX    21
2022 03 09 01 42 MIN     2
2022 03 09 08 16 MAX    13
2022 03 09 12 21 MIN    10
2022 03 09 18 52 MAX    21
2022 03 10 02 50 MIN     2
2022 03 10 19 24 MAX    21
2022 03 11 04 14 MIN     2
2022 03 11 20 12 MAX    21
2022 03 12 05 34 MIN     2
2022 03 12 21 29 MAX    20
2022 03 13 06 35 MIN     1
2022 03 13 15 08 MAX    17
