<TOPS - 조위예측극치자료>

대상조위관측소 : 안마도
위도(WGS84) : N  35도 20분 44초
경도(WGS84) : E 126도 00분 58초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 12 10 MAX   468
2021 12 01 18 23 MIN   110
2021 12 02 00 23 MAX   469
2021 12 02 06 37 MIN    57
2021 12 02 13 01 MAX   520
2021 12 02 19 15 MIN    84
2021 12 03 01 10 MAX   486
2021 12 03 07 19 MIN    24
2021 12 03 13 49 MAX   564
2021 12 03 20 04 MIN    68
2021 12 04 01 55 MAX   498
2021 12 04 08 01 MIN     0
2021 12 04 14 35 MAX   595
2021 12 04 20 52 MIN    63
2021 12 05 02 39 MAX   503
2021 12 05 08 45 MIN   -11
2021 12 05 15 22 MAX   609
2021 12 05 21 40 MIN    69
2021 12 06 03 24 MAX   499
2021 12 06 09 30 MIN   -10
2021 12 06 16 10 MAX   607
2021 12 06 22 29 MIN    82
2021 12 07 04 10 MAX   487
2021 12 07 10 16 MIN     3
2021 12 07 16 59 MAX   590
2021 12 07 23 20 MIN   101
2021 12 08 04 58 MAX   468
2021 12 08 11 05 MIN    27
2021 12 08 17 49 MAX   561
2021 12 09 00 12 MIN   121
2021 12 09 05 49 MAX   443
2021 12 09 11 56 MIN    60
2021 12 09 18 41 MAX   525
2021 12 10 01 07 MIN   140
2021 12 10 06 44 MAX   417
2021 12 10 12 52 MIN    98
2021 12 10 19 36 MAX   486
2021 12 11 02 08 MIN   153
2021 12 11 07 46 MAX   393
2021 12 11 13 57 MIN   137
2021 12 11 20 35 MAX   450
2021 12 12 03 13 MIN   157
2021 12 12 09 00 MAX   381
2021 12 12 15 16 MIN   165
2021 12 12 21 41 MAX   423
2021 12 13 04 19 MIN   149
2021 12 13 10 20 MAX   388
2021 12 13 16 41 MIN   174
2021 12 13 22 47 MAX   409
2021 12 14 05 17 MIN   133
2021 12 14 11 33 MAX   412
2021 12 14 17 52 MIN   167
2021 12 14 23 45 MAX   409
2021 12 15 06 06 MIN   112
2021 12 15 12 30 MAX   444
2021 12 15 18 47 MIN   153
2021 12 16 00 35 MAX   416
2021 12 16 06 48 MIN    93
2021 12 16 13 16 MAX   475
2021 12 16 19 31 MIN   138
2021 12 17 01 16 MAX   426
2021 12 17 07 24 MIN    77
2021 12 17 13 56 MAX   500
2021 12 17 20 10 MIN   128
2021 12 18 01 54 MAX   435
2021 12 18 07 58 MIN    65
2021 12 18 14 33 MAX   516
2021 12 18 20 45 MIN   123
2021 12 19 02 28 MAX   442
2021 12 19 08 30 MIN    58
2021 12 19 15 08 MAX   525
2021 12 19 21 19 MIN   123
2021 12 20 03 01 MAX   445
2021 12 20 09 02 MIN    55
2021 12 20 15 41 MAX   528
2021 12 20 21 52 MIN   126
2021 12 21 03 33 MAX   445
2021 12 21 09 34 MIN    54
2021 12 21 16 14 MAX   526
2021 12 21 22 26 MIN   130
2021 12 22 04 06 MAX   441
2021 12 22 10 06 MIN    56
2021 12 22 16 47 MAX   521
2021 12 22 23 01 MIN   134
2021 12 23 04 41 MAX   435
2021 12 23 10 40 MIN    62
2021 12 23 17 22 MAX   513
2021 12 23 23 37 MIN   137
2021 12 24 05 19 MAX   425
2021 12 24 11 17 MIN    73
2021 12 24 17 59 MAX   501
2021 12 25 00 17 MIN   140
2021 12 25 06 02 MAX   413
2021 12 25 12 00 MIN    90
2021 12 25 18 40 MAX   483
2021 12 26 01 02 MIN   142
2021 12 26 06 51 MAX   402
2021 12 26 12 49 MIN   112
2021 12 26 19 28 MAX   462
