<TOPS - 조위예측극치자료>

대상조위관측소 : 안산
위도(WGS84) : N  37도 11분 32초
경도(WGS84) : E 126도 38분 50초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 01 33 MAX   663
2021 12 01 08 00 MIN   141
2021 12 01 14 12 MAX   700
2021 12 01 20 32 MIN   155
2021 12 02 02 29 MAX   702
2021 12 02 08 51 MIN    74
2021 12 02 15 03 MAX   770
2021 12 02 21 28 MIN   107
2021 12 03 03 18 MAX   733
2021 12 03 09 38 MIN    19
2021 12 03 15 50 MAX   822
2021 12 03 22 18 MIN    75
2021 12 04 04 05 MAX   749
2021 12 04 10 23 MIN   -17
2021 12 04 16 37 MAX   853
2021 12 04 23 07 MIN    62
2021 12 05 04 51 MAX   751
2021 12 05 11 08 MIN   -34
2021 12 05 17 23 MAX   862
2021 12 05 23 55 MIN    65
2021 12 06 05 37 MAX   740
2021 12 06 11 53 MIN   -33
2021 12 06 18 11 MAX   854
2021 12 07 00 42 MIN    82
2021 12 07 06 23 MAX   720
2021 12 07 12 38 MIN   -15
2021 12 07 18 58 MAX   832
2021 12 08 01 30 MIN   108
2021 12 08 07 09 MAX   693
2021 12 08 13 23 MIN    18
2021 12 08 19 45 MAX   797
2021 12 09 02 17 MIN   140
2021 12 09 07 57 MAX   662
2021 12 09 14 10 MIN    65
2021 12 09 20 33 MAX   753
2021 12 10 03 06 MIN   175
2021 12 10 08 49 MAX   629
2021 12 10 15 01 MIN   121
2021 12 10 21 25 MAX   704
2021 12 11 04 01 MIN   205
2021 12 11 09 49 MAX   599
2021 12 11 15 59 MIN   179
2021 12 11 22 25 MAX   656
2021 12 12 05 04 MIN   224
2021 12 12 11 03 MAX   583
2021 12 12 17 10 MIN   226
2021 12 12 23 34 MAX   621
2021 12 13 06 14 MIN   223
2021 12 13 12 24 MAX   594
2021 12 13 18 32 MIN   246
2021 12 14 00 47 MAX   609
2021 12 14 07 20 MIN   200
2021 12 14 13 36 MAX   630
2021 12 14 19 47 MIN   236
2021 12 15 01 49 MAX   616
2021 12 15 08 14 MIN   166
2021 12 15 14 31 MAX   673
2021 12 15 20 46 MIN   211
2021 12 16 02 39 MAX   632
2021 12 16 08 57 MIN   132
2021 12 16 15 16 MAX   711
2021 12 16 21 34 MIN   186
2021 12 17 03 21 MAX   649
2021 12 17 09 36 MIN   103
2021 12 17 15 54 MAX   739
2021 12 17 22 14 MIN   167
2021 12 18 03 58 MAX   662
2021 12 18 10 10 MIN    81
2021 12 18 16 29 MAX   757
2021 12 18 22 51 MIN   154
2021 12 19 04 33 MAX   671
2021 12 19 10 44 MIN    66
2021 12 19 17 03 MAX   766
2021 12 19 23 26 MIN   147
2021 12 20 05 07 MAX   675
2021 12 20 11 17 MIN    57
2021 12 20 17 35 MAX   770
2021 12 21 00 00 MIN   146
2021 12 21 00 00 MIN   146
2021 12 21 05 41 MAX   675
2021 12 21 11 50 MIN    53
2021 12 21 18 07 MAX   769
2021 12 22 00 33 MIN   150
2021 12 22 06 13 MAX   670
2021 12 22 12 24 MIN    56
2021 12 22 18 39 MAX   763
2021 12 23 01 07 MIN   156
2021 12 23 06 46 MAX   662
2021 12 23 12 58 MIN    66
2021 12 23 19 12 MAX   753
2021 12 24 01 40 MIN   166
2021 12 24 07 20 MAX   650
2021 12 24 13 34 MIN    86
2021 12 24 19 47 MAX   736
2021 12 25 02 16 MIN   177
2021 12 25 07 59 MAX   635
2021 12 25 14 14 MIN   115
2021 12 25 20 26 MAX   712
2021 12 26 02 57 MIN   188
2021 12 26 08 44 MAX   618
2021 12 26 15 00 MIN   153
2021 12 26 21 13 MAX   682
2021 12 27 03 46 MIN   197
2021 12 27 09 43 MAX   604
2021 12 27 15 58 MIN   194
2021 12 27 22 11 MAX   651
2021 12 28 04 46 MIN   198
2021 12 28 10 57 MAX   604
2021 12 28 17 11 MIN   224
2021 12 28 23 22 MAX   629
2021 12 29 05 58 MIN   181
2021 12 29 12 18 MAX   631
2021 12 29 18 37 MIN   228
2021 12 30 00 39 MAX   626
2021 12 30 07 10 MIN   143
2021 12 30 13 33 MAX   681
2021 12 30 19 59 MIN   202
2021 12 31 01 51 MAX   643
2021 12 31 08 15 MIN    95
2021 12 31 14 36 MAX   737
2021 12 31 21 07 MIN   164
2022 01 01 02 52 MAX   668
2022 01 01 09 12 MIN    47
2022 01 01 15 33 MAX   785
2022 01 01 22 05 MIN   128
2022 01 02 03 49 MAX   691
2022 01 02 10 05 MIN     8
2022 01 02 16 26 MAX   820
2022 01 02 22 59 MIN   101
2022 01 03 04 41 MAX   709
2022 01 03 10 56 MIN   -18
2022 01 03 17 17 MAX   840
2022 01 03 23 50 MIN    83
2022 01 04 05 30 MAX   720
2022 01 04 11 45 MIN   -30
2022 01 04 18 06 MAX   845
2022 01 05 00 37 MIN    76
2022 01 05 06 17 MAX   724
2022 01 05 12 31 MIN   -28
2022 01 05 18 51 MAX   836
2022 01 06 01 21 MIN    79
2022 01 06 07 02 MAX   719
2022 01 06 13 16 MIN   -10
2022 01 06 19 33 MAX   813
2022 01 07 02 02 MIN    92
2022 01 07 07 46 MAX   706
2022 01 07 13 58 MIN    26
2022 01 07 20 13 MAX   778
2022 01 08 02 42 MIN   114
2022 01 08 08 29 MAX   683
2022 01 08 14 40 MIN    79
2022 01 08 20 52 MAX   731
2022 01 09 03 21 MIN   143
2022 01 09 09 16 MAX   652
2022 01 09 15 24 MIN   143
2022 01 09 21 33 MAX   677
2022 01 10 04 05 MIN   176
2022 01 10 10 09 MAX   620
2022 01 10 16 15 MIN   210
2022 01 10 22 21 MAX   622
2022 01 11 04 57 MIN   205
2022 01 11 11 16 MAX   596
2022 01 11 17 20 MIN   268
2022 01 11 23 23 MAX   576
2022 01 12 06 03 MIN   221
2022 01 12 12 35 MAX   594
2022 01 12 18 48 MIN   295
2022 01 13 00 42 MAX   552
2022 01 13 07 14 MIN   214
2022 01 13 13 49 MAX   617
2022 01 13 20 11 MIN   284
2022 01 14 01 55 MAX   558
2022 01 14 08 16 MIN   188
2022 01 14 14 48 MAX   654
2022 01 14 21 12 MIN   252
2022 01 15 02 53 MAX   582
2022 01 15 09 05 MIN   153
2022 01 15 15 34 MAX   690
2022 01 15 21 59 MIN   218
2022 01 16 03 39 MAX   611
2022 01 16 09 47 MIN   119
2022 01 16 16 14 MAX   721
2022 01 16 22 38 MIN   188
2022 01 17 04 18 MAX   638
2022 01 17 10 26 MIN    87
2022 01 17 16 50 MAX   746
2022 01 17 23 14 MIN   162
2022 01 18 04 54 MAX   661
2022 01 18 11 03 MIN    60
2022 01 18 17 23 MAX   765
2022 01 18 23 49 MIN   142
2022 01 19 05 29 MAX   679
2022 01 19 11 40 MIN    40
2022 01 19 17 56 MAX   778
2022 01 20 00 22 MIN   126
2022 01 20 06 03 MAX   691
2022 01 20 12 16 MIN    29
2022 01 20 18 28 MAX   784
2022 01 21 00 54 MIN   115
2022 01 21 06 36 MAX   698
2022 01 21 12 51 MIN    28
2022 01 21 19 00 MAX   784
2022 01 22 01 26 MIN   108
2022 01 22 07 10 MAX   699
2022 01 22 13 27 MIN    40
2022 01 22 19 33 MAX   774
2022 01 23 01 59 MIN   106
2022 01 23 07 46 MAX   695
2022 01 23 14 04 MIN    67
2022 01 23 20 07 MAX   753
2022 01 24 02 34 MIN   111
2022 01 24 08 27 MAX   684
2022 01 24 14 44 MIN   108
2022 01 24 20 45 MAX   719
2022 01 25 03 13 MIN   124
2022 01 25 09 15 MAX   666
2022 01 25 15 30 MIN   161
2022 01 25 21 31 MAX   675
2022 01 26 04 02 MIN   144
2022 01 26 10 15 MAX   647
2022 01 26 16 31 MIN   217
2022 01 26 22 31 MAX   626
2022 01 27 05 04 MIN   162
2022 01 27 11 32 MAX   638
2022 01 27 17 54 MIN   258
2022 01 27 23 50 MAX   589
2022 01 28 06 25 MIN   163
2022 01 28 13 00 MAX   655
2022 01 28 19 35 MIN   257
2022 01 29 01 21 MAX   584
2022 01 29 07 47 MIN   135
2022 01 29 14 21 MAX   698
2022 01 29 20 58 MIN   217
2022 01 30 02 40 MAX   613
2022 01 30 08 57 MIN    89
2022 01 30 15 28 MAX   751
2022 01 30 22 03 MIN   164
2022 01 31 03 43 MAX   657
2022 01 31 09 58 MIN    38
2022 01 31 16 24 MAX   797
2022 01 31 22 56 MIN   115
2022 02 01 04 37 MAX   700
2022 02 01 10 51 MIN    -4
2022 02 01 17 13 MAX   830
2022 02 01 23 43 MIN    76
2022 02 02 05 25 MAX   734
2022 02 02 11 39 MIN   -32
2022 02 02 17 57 MAX   845
2022 02 03 00 25 MIN    52
2022 02 03 06 08 MAX   756
2022 02 03 12 23 MIN   -40
2022 02 03 18 36 MAX   843
2022 02 04 01 02 MIN    42
2022 02 04 06 48 MAX   764
2022 02 04 13 02 MIN   -28
