<TOPS - 조위예측극치자료>

대상조위관측소 : 안흥
위도(WGS84) : N  36도 40분 29초
경도(WGS84) : E 126도 07분 46초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 00 43 MAX   542
2021 12 01 07 13 MIN   121
2021 12 01 13 22 MAX   563
2021 12 01 19 44 MIN   137
2021 12 02 01 35 MAX   567
2021 12 02 08 01 MIN    69
2021 12 02 14 14 MAX   622
2021 12 02 20 39 MIN   106
2021 12 03 02 22 MAX   586
2021 12 03 08 46 MIN    25
2021 12 03 15 01 MAX   669
2021 12 03 21 30 MIN    86
2021 12 04 03 06 MAX   597
2021 12 04 09 30 MIN    -4
2021 12 04 15 47 MAX   698
2021 12 04 22 18 MIN    79
2021 12 05 03 51 MAX   597
2021 12 05 10 14 MIN   -17
2021 12 05 16 33 MAX   709
2021 12 05 23 06 MIN    83
2021 12 06 04 36 MAX   588
2021 12 06 10 59 MIN   -14
2021 12 06 17 20 MAX   702
2021 12 06 23 54 MIN    97
2021 12 07 05 22 MAX   571
2021 12 07 11 44 MIN     4
2021 12 07 18 08 MAX   682
2021 12 08 00 42 MIN   117
2021 12 08 06 10 MAX   548
2021 12 08 12 30 MIN    34
2021 12 08 18 57 MAX   651
2021 12 09 01 31 MIN   140
2021 12 09 07 01 MAX   522
2021 12 09 13 20 MIN    74
2021 12 09 19 48 MAX   613
2021 12 10 02 24 MIN   164
2021 12 10 07 57 MAX   494
2021 12 10 14 13 MIN   120
2021 12 10 20 43 MAX   570
2021 12 11 03 22 MIN   184
2021 12 11 09 03 MAX   469
2021 12 11 15 17 MIN   166
2021 12 11 21 46 MAX   531
2021 12 12 04 28 MIN   193
2021 12 12 10 22 MAX   457
2021 12 12 16 34 MIN   200
2021 12 12 22 57 MAX   503
2021 12 13 05 38 MIN   186
2021 12 13 11 45 MAX   468
2021 12 13 17 59 MIN   210
2021 12 14 00 07 MAX   491
2021 12 14 06 41 MIN   165
2021 12 14 12 57 MAX   499
2021 12 14 19 12 MIN   200
2021 12 15 01 07 MAX   493
2021 12 15 07 32 MIN   137
2021 12 15 13 53 MAX   536
2021 12 15 20 09 MIN   181
2021 12 16 01 56 MAX   502
2021 12 16 08 15 MIN   111
2021 12 16 14 37 MAX   569
2021 12 16 20 55 MIN   162
2021 12 17 02 36 MAX   513
2021 12 17 08 52 MIN    88
2021 12 17 15 14 MAX   594
2021 12 17 21 34 MIN   149
2021 12 18 03 11 MAX   523
2021 12 18 09 26 MIN    73
2021 12 18 15 48 MAX   610
2021 12 18 22 09 MIN   140
2021 12 19 03 45 MAX   530
2021 12 19 09 59 MIN    63
2021 12 19 16 20 MAX   619
2021 12 19 22 43 MIN   136
2021 12 20 04 19 MAX   533
2021 12 20 10 31 MIN    60
2021 12 20 16 52 MAX   622
2021 12 20 23 16 MIN   135
2021 12 21 04 51 MAX   532
2021 12 21 11 03 MIN    61
2021 12 21 17 23 MAX   620
2021 12 21 23 49 MIN   138
2021 12 22 05 24 MAX   527
2021 12 22 11 36 MIN    65
2021 12 22 17 56 MAX   616
2021 12 23 00 23 MIN   143
2021 12 23 05 57 MAX   519
2021 12 23 12 10 MIN    74
2021 12 23 18 29 MAX   607
2021 12 24 00 58 MIN   151
2021 12 24 06 32 MAX   510
2021 12 24 12 46 MIN    87
2021 12 24 19 05 MAX   595
2021 12 25 01 35 MIN   159
2021 12 25 07 10 MAX   500
2021 12 25 13 26 MIN   106
2021 12 25 19 45 MAX   577
2021 12 26 02 17 MIN   167
2021 12 26 07 58 MAX   489
2021 12 26 14 13 MIN   132
2021 12 26 20 33 MAX   554
2021 12 27 03 06 MIN   172
2021 12 27 08 57 MAX   481
2021 12 27 15 12 MIN   162
2021 12 27 21 30 MAX   530
2021 12 28 04 06 MIN   168
2021 12 28 10 10 MAX   485
2021 12 28 16 26 MIN   186
2021 12 28 22 36 MAX   512
2021 12 29 05 13 MIN   152
2021 12 29 11 30 MAX   508
2021 12 29 17 51 MIN   194
2021 12 29 23 46 MAX   506
2021 12 30 06 21 MIN   122
2021 12 30 12 44 MAX   548
2021 12 30 19 11 MIN   180
2021 12 31 00 53 MAX   514
2021 12 31 07 23 MIN    84
2021 12 31 13 49 MAX   595
2021 12 31 20 19 MIN   156
2022 01 01 01 53 MAX   529
2022 01 01 08 19 MIN    47
2022 01 01 14 46 MAX   637
2022 01 01 21 18 MIN   132
2022 01 02 02 48 MAX   544
2022 01 02 09 12 MIN    18
2022 01 02 15 38 MAX   667
2022 01 02 22 11 MIN   112
2022 01 03 03 40 MAX   557
2022 01 03 10 02 MIN     0
2022 01 03 16 28 MAX   683
2022 01 03 23 01 MIN    99
2022 01 04 04 30 MAX   564
2022 01 04 10 52 MIN    -6
2022 01 04 17 16 MAX   685
2022 01 04 23 48 MIN    93
2022 01 05 05 18 MAX   565
2022 01 05 11 39 MIN     1
2022 01 05 18 01 MAX   674
2022 01 06 00 33 MIN    94
2022 01 06 06 05 MAX   559
2022 01 06 12 25 MIN    20
2022 01 06 18 45 MAX   653
2022 01 07 01 16 MIN   102
2022 01 07 06 51 MAX   546
2022 01 07 13 09 MIN    51
2022 01 07 19 26 MAX   621
2022 01 08 01 58 MIN   118
2022 01 08 07 38 MAX   526
2022 01 08 13 53 MIN    92
2022 01 08 20 08 MAX   581
2022 01 09 02 41 MIN   138
2022 01 09 08 29 MAX   503
2022 01 09 14 40 MIN   141
2022 01 09 20 52 MAX   536
2022 01 10 03 27 MIN   160
2022 01 10 09 26 MAX   479
2022 01 10 15 36 MIN   192
2022 01 10 21 43 MAX   492
2022 01 11 04 22 MIN   178
2022 01 11 10 37 MAX   465
2022 01 11 16 49 MIN   232
2022 01 11 22 48 MAX   456
2022 01 12 05 28 MIN   185
2022 01 12 11 59 MAX   470
2022 01 12 18 19 MIN   247
2022 01 13 00 04 MAX   439
2022 01 13 06 37 MIN   175
2022 01 13 13 14 MAX   494
2022 01 13 19 38 MIN   236
