<TOPS - 조위예측극치자료>

대상조위관측소 : 양포항
위도(WGS84) : N  35도 52분 53초
경도(WGS84) : E 129도 31분 39초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 01 27 MAX     9
2021 12 01 07 00 MIN     4
2021 12 01 15 04 MAX    12
2021 12 01 21 18 MIN     7
2021 12 02 01 43 MAX    10
2021 12 02 08 11 MIN     1
2021 12 02 16 05 MAX    13
2021 12 02 22 22 MIN     8
2021 12 03 02 06 MAX    11
2021 12 03 09 35 MIN    -1
2021 12 03 17 16 MAX    14
2021 12 03 23 06 MIN     9
2021 12 04 02 33 MAX    12
2021 12 04 10 40 MIN    -4
2021 12 04 18 34 MAX    15
2021 12 04 23 43 MIN    11
2021 12 05 03 05 MAX    14
2021 12 05 11 36 MIN    -5
2021 12 05 19 38 MAX    15
2021 12 06 00 16 MIN    12
2021 12 06 03 41 MAX    16
2021 12 06 12 33 MIN    -5
2021 12 06 20 30 MAX    15
2021 12 07 00 40 MIN    13
2021 12 07 04 22 MAX    17
2021 12 07 13 31 MIN    -5
2021 12 08 05 09 MAX    18
2021 12 08 14 30 MIN    -4
2021 12 09 06 05 MAX    17
2021 12 09 15 25 MIN    -3
2021 12 10 07 12 MAX    16
2021 12 10 16 17 MIN    -2
2021 12 10 23 20 MAX    11
2021 12 11 04 05 MIN     9
2021 12 11 08 30 MAX    14
2021 12 11 17 03 MIN     0
2021 12 12 00 10 MAX    10
2021 12 12 05 03 MIN     7
2021 12 12 10 02 MAX    11
2021 12 12 17 46 MIN     1
2021 12 13 00 55 MAX     9
2021 12 13 06 02 MIN     4
2021 12 13 12 40 MAX    10
2021 12 13 18 30 MIN     3
2021 12 14 01 32 MAX     9
2021 12 14 07 15 MIN     2
2021 12 14 14 20 MAX     9
2021 12 14 19 19 MIN     5
2021 12 15 01 59 MAX     9
2021 12 15 08 45 MIN     0
2021 12 15 15 26 MAX     9
2021 12 15 21 50 MIN     7
2021 12 16 02 15 MAX     8
2021 12 16 09 53 MIN    -2
2021 12 16 16 32 MAX     9
2021 12 16 23 00 MIN     7
2021 12 17 02 15 MAX     8
2021 12 17 10 39 MIN    -3
2021 12 17 18 02 MAX     9
2021 12 17 23 26 MIN     8
2021 12 18 02 20 MAX     9
2021 12 18 11 14 MIN    -4
2021 12 18 19 07 MAX     9
2021 12 18 22 44 MIN     8
2021 12 19 02 39 MAX    10
2021 12 19 11 45 MIN    -5
2021 12 19 19 36 MAX     9
2021 12 19 22 25 MIN     8
2021 12 20 03 06 MAX    10
2021 12 20 12 16 MIN    -5
2021 12 20 20 03 MAX     9
2021 12 20 22 57 MIN     8
2021 12 21 03 37 MAX    11
2021 12 21 12 52 MIN    -6
2021 12 21 20 30 MAX     9
2021 12 21 23 31 MIN     8
2021 12 22 04 10 MAX    10
2021 12 22 13 32 MIN    -6
2021 12 22 20 59 MAX     9
2021 12 23 00 03 MIN     8
2021 12 23 04 45 MAX    10
2021 12 23 14 16 MIN    -6
2021 12 23 21 29 MAX     9
2021 12 24 00 23 MIN     7
2021 12 24 05 23 MAX     9
2021 12 24 14 59 MIN    -5
2021 12 24 22 00 MAX     8
2021 12 25 02 39 MIN     7
2021 12 25 06 06 MAX     9
2021 12 25 15 39 MIN    -5
2021 12 25 22 28 MAX     7
2021 12 26 03 32 MIN     5
2021 12 26 06 58 MAX     8
2021 12 26 16 19 MIN    -3
2021 12 26 22 53 MAX     6
2021 12 27 04 16 MIN     4
2021 12 27 08 05 MAX     6
2021 12 27 16 58 MIN    -1
2021 12 27 23 15 MAX     5
2021 12 28 05 00 MIN     1
2021 12 28 10 43 MAX     5
2021 12 28 17 40 MIN     1
2021 12 28 23 37 MAX     6
2021 12 29 05 49 MIN    -1
2021 12 29 14 03 MAX     6
2021 12 29 18 34 MIN     3
2021 12 30 00 06 MAX     6
2021 12 30 06 55 MIN    -3
2021 12 30 15 12 MAX     8
2021 12 30 20 13 MIN     6
2021 12 31 00 43 MAX     8
2021 12 31 08 23 MIN    -5
2021 12 31 16 28 MAX     9
2021 12 31 21 47 MIN     7
2022 01 01 01 14 MAX     9
2022 01 01 09 38 MIN    -8
2022 01 01 18 25 MAX    10
2022 01 01 22 39 MIN     8
2022 01 02 01 58 MAX    11
2022 01 02 10 36 MIN    -9
2022 01 02 19 21 MAX    11
2022 01 02 23 14 MIN     9
2022 01 03 02 37 MAX    12
2022 01 03 11 32 MIN   -10
2022 01 03 19 58 MAX    11
2022 01 03 23 49 MIN     9
2022 01 04 03 22 MAX    13
2022 01 04 12 31 MIN   -11
2022 01 04 20 31 MAX    10
2022 01 04 23 27 MIN     9
2022 01 05 04 11 MAX    13
2022 01 05 13 25 MIN   -11
2022 01 05 21 13 MAX     8
2022 01 06 00 16 MIN     7
2022 01 06 05 08 MAX    12
2022 01 06 14 13 MIN   -10
2022 01 06 21 28 MAX     7
2022 01 07 01 24 MIN     5
2022 01 07 06 20 MAX    10
2022 01 07 14 56 MIN    -8
2022 01 07 21 54 MAX     6
2022 01 08 02 38 MIN     3
2022 01 08 07 29 MAX     9
2022 01 08 15 37 MIN    -6
