<TOPS - 조위예측극치자료>

대상조위관측소 : 영흥도
위도(WGS84) : N  37도 14분 19초
경도(WGS84) : E 126도 25분 43초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 01 30 MAX   674
2021 12 01 07 56 MIN   150
2021 12 01 14 09 MAX   703
2021 12 01 20 27 MIN   160
2021 12 02 02 26 MAX   709
2021 12 02 08 48 MIN    82
2021 12 02 15 02 MAX   772
2021 12 02 21 23 MIN   116
2021 12 03 03 16 MAX   738
2021 12 03 09 35 MIN    26
2021 12 03 15 51 MAX   825
2021 12 03 22 14 MIN    87
2021 12 04 04 03 MAX   755
2021 12 04 10 20 MIN   -12
2021 12 04 16 38 MAX   856
2021 12 04 23 03 MIN    76
2021 12 05 04 49 MAX   757
2021 12 05 11 05 MIN   -29
2021 12 05 17 24 MAX   865
2021 12 05 23 50 MIN    80
2021 12 06 05 35 MAX   748
2021 12 06 11 50 MIN   -25
2021 12 06 18 11 MAX   856
2021 12 07 00 37 MIN    97
2021 12 07 06 20 MAX   728
2021 12 07 12 34 MIN    -2
2021 12 07 18 57 MAX   832
2021 12 08 01 24 MIN   124
2021 12 08 07 06 MAX   699
2021 12 08 13 19 MIN    36
2021 12 08 19 43 MAX   796
2021 12 09 02 12 MIN   158
2021 12 09 07 54 MAX   664
2021 12 09 14 06 MIN    87
2021 12 09 20 31 MAX   750
2021 12 10 03 02 MIN   194
2021 12 10 08 46 MAX   626
2021 12 10 14 56 MIN   146
2021 12 10 21 24 MAX   700
2021 12 11 03 58 MIN   225
2021 12 11 09 48 MAX   591
2021 12 11 15 56 MIN   204
2021 12 11 22 25 MAX   652
2021 12 12 05 04 MIN   242
2021 12 12 11 03 MAX   573
2021 12 12 17 10 MIN   247
2021 12 12 23 36 MAX   619
2021 12 13 06 16 MIN   236
2021 12 13 12 26 MAX   585
2021 12 13 18 34 MIN   260
2021 12 14 00 50 MAX   608
2021 12 14 07 22 MIN   208
2021 12 14 13 38 MAX   623
2021 12 14 19 48 MIN   242
