<TOPS - 조위예측극치자료>

대상조위관측소 : 옹진소청초
위도(WGS84) : N  37도 25분 23초
경도(WGS84) : E 124도 44분 17초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 02 08 MAX   288
2021 12 01 08 41 MIN    77
2021 12 01 14 53 MAX   297
2021 12 01 21 10 MIN    98
2021 12 02 02 57 MAX   294
2021 12 02 09 21 MIN    50
2021 12 02 15 42 MAX   335
2021 12 02 22 08 MIN    86
2021 12 03 03 42 MAX   298
2021 12 03 09 59 MIN    26
2021 12 03 16 28 MAX   366
2021 12 03 23 00 MIN    78
2021 12 04 04 26 MAX   298
2021 12 04 10 39 MIN     7
2021 12 04 17 15 MAX   387
2021 12 04 23 51 MIN    77
2021 12 05 05 10 MAX   295
2021 12 05 11 22 MIN    -5
2021 12 05 18 03 MAX   396
2021 12 06 00 41 MIN    80
2021 12 06 05 55 MAX   288
2021 12 06 12 05 MIN    -8
2021 12 06 18 51 MAX   394
2021 12 07 01 31 MIN    88
2021 12 07 06 41 MAX   278
2021 12 07 12 50 MIN    -2
2021 12 07 19 41 MAX   381
2021 12 08 02 22 MIN    98
2021 12 08 07 29 MAX   265
2021 12 08 13 37 MIN    12
2021 12 08 20 32 MAX   361
2021 12 09 03 15 MIN   108
2021 12 09 08 20 MAX   250
2021 12 09 14 26 MIN    34
2021 12 09 21 25 MAX   336
2021 12 10 04 11 MIN   116
2021 12 10 09 18 MAX   235
2021 12 10 15 19 MIN    61
2021 12 10 22 21 MAX   310
2021 12 11 05 13 MIN   119
2021 12 11 10 27 MAX   224
2021 12 11 16 22 MIN    90
2021 12 11 23 22 MAX   286
2021 12 12 06 18 MIN   116
2021 12 12 11 48 MAX   223
2021 12 12 17 44 MIN   114
2021 12 13 00 26 MAX   268
2021 12 13 07 20 MIN   106
2021 12 13 13 13 MAX   235
2021 12 13 19 20 MIN   126
2021 12 14 01 28 MAX   258
2021 12 14 08 11 MIN    92
2021 12 14 14 24 MAX   257
2021 12 14 20 40 MIN   126
2021 12 15 02 22 MAX   254
2021 12 15 08 53 MIN    77
2021 12 15 15 19 MAX   283
2021 12 15 21 40 MIN   121
2021 12 16 03 09 MAX   254
2021 12 16 09 29 MIN    63
2021 12 16 16 03 MAX   306
2021 12 16 22 28 MIN   115
2021 12 17 03 49 MAX   256
2021 12 17 10 02 MIN    50
2021 12 17 16 41 MAX   323
2021 12 17 23 07 MIN   111
2021 12 18 04 25 MAX   258
2021 12 18 10 33 MIN    41
2021 12 18 17 16 MAX   335
2021 12 18 23 42 MIN   110
2021 12 19 04 59 MAX   261
2021 12 19 11 06 MIN    34
2021 12 19 17 49 MAX   341
2021 12 20 00 16 MIN   109
2021 12 20 05 32 MAX   262
2021 12 20 11 38 MIN    31
2021 12 20 18 21 MAX   342
2021 12 21 00 49 MIN   110
2021 12 21 06 05 MAX   261
2021 12 21 12 11 MIN    30
2021 12 21 18 54 MAX   341
2021 12 22 01 22 MIN   111
2021 12 22 06 38 MAX   258
2021 12 22 12 44 MIN    32
2021 12 22 19 27 MAX   338
2021 12 23 01 57 MIN   112
2021 12 23 07 13 MAX   253
2021 12 23 13 19 MIN    36
2021 12 23 20 02 MAX   332
2021 12 24 02 33 MIN   113
2021 12 24 07 50 MAX   247
2021 12 24 13 55 MIN    45
2021 12 24 20 39 MAX   323
2021 12 25 03 12 MIN   114
2021 12 25 08 34 MAX   240
2021 12 25 14 34 MIN    58
2021 12 25 21 21 MAX   312
2021 12 26 03 55 MIN   114
2021 12 26 09 26 MAX   234
2021 12 26 15 22 MIN    76
2021 12 26 22 08 MAX   297
2021 12 27 04 46 MIN   111
2021 12 27 10 31 MAX   232
2021 12 27 16 23 MIN    98
2021 12 27 23 04 MAX   282
2021 12 28 05 45 MIN   103
2021 12 28 11 49 MAX   241
2021 12 28 17 44 MIN   116
2021 12 28 23 59 MAX   269
2021 12 29 06 47 MIN    89
2021 12 29 13 10 MAX   263
2021 12 29 19 19 MIN   124
2021 12 30 01 12 MAX   262
2021 12 30 07 45 MIN    69
2021 12 30 14 21 MAX   294
2021 12 30 20 46 MIN   119
2021 12 31 02 15 MAX   260
2021 12 31 08 39 MIN    46
2021 12 31 15 22 MAX   327
2021 12 31 21 56 MIN   109
2022 01 01 03 12 MAX   263
2022 01 01 09 30 MIN    23
2022 01 01 16 16 MAX   356
2022 01 01 22 55 MIN    99
2022 01 02 04 06 MAX   267
2022 01 02 10 20 MIN     5
2022 01 02 17 08 MAX   376
2022 01 02 23 49 MIN    91
2022 01 03 04 57 MAX   272
2022 01 03 11 09 MIN    -7
2022 01 03 17 58 MAX   385
2022 01 04 00 39 MIN    86
2022 01 04 05 46 MAX   274
2022 01 04 11 58 MIN   -12
2022 01 04 18 46 MAX   384
2022 01 05 01 26 MIN    84
2022 01 05 06 35 MAX   274
2022 01 05 12 46 MIN    -8
2022 01 05 19 33 MAX   374
2022 01 06 02 12 MIN    83
2022 01 06 07 23 MAX   270
2022 01 06 13 32 MIN     4
2022 01 06 20 17 MAX   357
2022 01 07 02 54 MIN    85
2022 01 07 08 11 MAX   263
2022 01 07 14 17 MIN    24
2022 01 07 20 59 MAX   334
2022 01 08 03 35 MIN    88
2022 01 08 09 00 MAX   254
2022 01 08 15 02 MIN    50
2022 01 08 21 40 MAX   308
2022 01 09 04 16 MIN    92
2022 01 09 09 54 MAX   244
2022 01 09 15 49 MIN    81
2022 01 09 22 22 MAX   281
2022 01 10 05 00 MIN    95
2022 01 10 10 56 MAX   236
2022 01 10 16 45 MIN   112
2022 01 10 23 09 MAX   255
2022 01 11 05 51 MIN    97
2022 01 11 12 11 MAX   235
2022 01 11 18 05 MIN   139
2022 01 12 00 05 MAX   234
2022 01 12 06 51 MIN    94
2022 01 12 13 35 MAX   245
2022 01 12 19 50 MIN   151
2022 01 13 01 14 MAX   222
2022 01 13 07 52 MIN    87
2022 01 13 14 50 MAX   264
2022 01 13 21 19 MIN   148
2022 01 14 02 22 MAX   220
2022 01 14 08 46 MIN    75
2022 01 14 15 46 MAX   286
2022 01 14 22 17 MIN   138
2022 01 15 03 19 MAX   226
2022 01 15 09 33 MIN    61
2022 01 15 16 30 MAX   305
2022 01 15 23 00 MIN   129
2022 01 16 04 05 MAX   236
2022 01 16 10 14 MIN    48
2022 01 16 17 06 MAX   320
2022 01 16 23 35 MIN   120
2022 01 17 04 44 MAX   246
2022 01 17 10 51 MIN    37
2022 01 17 17 39 MAX   330
2022 01 18 00 07 MIN   112
2022 01 18 05 20 MAX   255
2022 01 18 11 27 MIN    28
2022 01 18 18 10 MAX   337
2022 01 19 00 38 MIN   104
2022 01 19 05 55 MAX   262
2022 01 19 12 02 MIN    22
2022 01 19 18 41 MAX   341
2022 01 20 01 09 MIN    97
2022 01 20 06 29 MAX   266
2022 01 20 12 37 MIN    19
2022 01 20 19 12 MAX   343
2022 01 21 01 40 MIN    91
2022 01 21 07 04 MAX   268
2022 01 21 13 11 MIN    21
2022 01 21 19 44 MAX   341
2022 01 22 02 12 MIN    85
2022 01 22 07 40 MAX   268
2022 01 22 13 46 MIN    28
2022 01 22 20 17 MAX   334
2022 01 23 02 43 MIN    81
2022 01 23 08 20 MAX   267
2022 01 23 14 23 MIN    42
2022 01 23 20 52 MAX   321
2022 01 24 03 17 MIN    79
2022 01 24 09 06 MAX   265
2022 01 24 15 06 MIN    63
2022 01 24 21 30 MAX   303
2022 01 25 03 55 MIN    77
2022 01 25 10 00 MAX   262
2022 01 25 15 57 MIN    90
2022 01 25 22 15 MAX   281
2022 01 26 04 42 MIN    76
2022 01 26 11 08 MAX   262
2022 01 26 17 06 MIN   119
2022 01 26 23 09 MAX   257
2022 01 27 05 41 MIN    74
2022 01 27 12 30 MAX   270
2022 01 27 18 45 MIN   139
2022 01 28 00 18 MAX   238
2022 01 28 06 53 MIN    66
2022 01 28 13 56 MAX   290
2022 01 28 20 35 MIN   140
2022 01 29 01 39 MAX   230
2022 01 29 08 07 MIN    52
2022 01 29 15 12 MAX   317
2022 01 29 21 58 MIN   126
2022 01 30 02 55 MAX   235
2022 01 30 09 14 MIN    32
2022 01 30 16 13 MAX   343
2022 01 30 22 58 MIN   108
2022 01 31 03 59 MAX   248
2022 01 31 10 13 MIN    14
2022 01 31 17 05 MAX   363
2022 01 31 23 48 MIN    91
2022 02 01 04 54 MAX   264
2022 02 01 11 07 MIN    -1
2022 02 01 17 52 MAX   373
2022 02 02 00 32 MIN    78
2022 02 02 05 43 MAX   277
2022 02 02 11 56 MIN    -8
2022 02 02 18 35 MAX   373
2022 02 03 01 12 MIN    68
2022 02 03 06 29 MAX   286
2022 02 03 12 42 MIN    -6
2022 02 03 19 14 MAX   364
2022 02 04 01 48 MIN    62
2022 02 04 07 13 MAX   290
2022 02 04 13 24 MIN     5
2022 02 04 19 50 MAX   349
2022 02 05 02 20 MIN    60
2022 02 05 07 54 MAX   288
2022 02 05 14 02 MIN    23
2022 02 05 20 24 MAX   328
2022 02 06 02 49 MIN    61
2022 02 06 08 35 MAX   282
2022 02 06 14 39 MIN    49
2022 02 06 20 55 MAX   303
2022 02 07 03 17 MIN    65
2022 02 07 09 18 MAX   272
2022 02 07 15 16 MIN    79
2022 02 07 21 26 MAX   277
2022 02 08 03 47 MIN    72
2022 02 08 10 06 MAX   259
2022 02 08 15 58 MIN   113
2022 02 08 21 58 MAX   250
2022 02 09 04 25 MIN    81
2022 02 09 11 06 MAX   247
2022 02 09 16 56 MIN   145
2022 02 09 22 37 MAX   225
2022 02 10 05 17 MIN    92
2022 02 10 12 31 MAX   241
2022 02 10 18 44 MIN   169
2022 02 10 23 40 MAX   203
2022 02 11 06 34 MIN    98
2022 02 11 14 15 MAX   251
2022 02 11 21 09 MIN   167
2022 02 12 01 28 MAX   195
2022 02 12 08 00 MIN    93
2022 02 12 15 30 MAX   272
2022 02 12 22 16 MIN   151
2022 02 13 02 55 MAX   205
2022 02 13 09 06 MIN    78
2022 02 13 16 16 MAX   293
2022 02 13 22 53 MIN   135
2022 02 14 03 50 MAX   223
2022 02 14 09 56 MIN    61
2022 02 14 16 51 MAX   312
2022 02 14 23 22 MIN   119
2022 02 15 04 32 MAX   242
2022 02 15 10 38 MIN    43
2022 02 15 17 22 MAX   326
2022 02 15 23 50 MIN   104
2022 02 16 05 07 MAX   260
2022 02 16 11 15 MIN    29
2022 02 16 17 50 MAX   337
2022 02 17 00 18 MIN    89
2022 02 17 05 42 MAX   275
2022 02 17 11 51 MIN    20
2022 02 17 18 19 MAX   344
2022 02 18 00 45 MIN    75
2022 02 18 06 15 MAX   287
2022 02 18 12 26 MIN    15
2022 02 18 18 48 MAX   347
2022 02 19 01 14 MIN    64
2022 02 19 06 50 MAX   295
2022 02 19 13 01 MIN    17
2022 02 19 19 18 MAX   345
2022 02 20 01 41 MIN    55
2022 02 20 07 26 MAX   301
2022 02 20 13 37 MIN    25
2022 02 20 19 49 MAX   336
2022 02 21 02 09 MIN    49
2022 02 21 08 04 MAX   303
2022 02 21 14 13 MIN    42
2022 02 21 20 22 MAX   320
2022 02 22 02 39 MIN    47
2022 02 22 08 47 MAX   301
2022 02 22 14 54 MIN    67
2022 02 22 20 57 MAX   298
2022 02 23 03 13 MIN    49
2022 02 23 09 37 MAX   295
2022 02 23 15 42 MIN    98
2022 02 23 21 36 MAX   271
2022 02 24 03 55 MIN    55
2022 02 24 10 40 MAX   286
2022 02 24 16 48 MIN   131
2022 02 24 22 25 MAX   242
2022 02 25 04 52 MIN    65
2022 02 25 12 04 MAX   280
2022 02 25 18 36 MIN   155
2022 02 25 23 38 MAX   217
2022 02 26 06 13 MIN    72
2022 02 26 13 44 MAX   288
2022 02 26 20 46 MIN   150
2022 02 27 01 23 MAX   208
2022 02 27 07 49 MIN    66
2022 02 27 15 08 MAX   311
2022 02 27 22 05 MIN   127
2022 02 28 02 55 MAX   222
2022 02 28 09 11 MIN    49
2022 02 28 16 08 MAX   334
2022 02 28 22 55 MIN   102
2022 03 01 04 00 MAX   247
2022 03 01 10 14 MIN    29
2022 03 01 16 56 MAX   351
2022 03 01 23 36 MIN    80
2022 03 02 04 52 MAX   273
2022 03 02 11 07 MIN    14
2022 03 02 17 36 MAX   358
2022 03 03 00 12 MIN    63
2022 03 03 05 36 MAX   294
2022 03 03 11 52 MIN     7
2022 03 03 18 13 MAX   357
2022 03 04 00 43 MIN    51
2022 03 04 06 17 MAX   309
2022 03 04 12 33 MIN     9
2022 03 04 18 46 MAX   348
2022 03 05 01 11 MIN    43
2022 03 05 06 55 MAX   317
2022 03 05 13 09 MIN    20
2022 03 05 19 16 MAX   333
2022 03 06 01 37 MIN    39
2022 03 06 07 31 MAX   318
2022 03 06 13 43 MIN    38
2022 03 06 19 45 MAX   315
2022 03 07 02 00 MIN    39
2022 03 07 08 07 MAX   313
2022 03 07 14 16 MIN    61
2022 03 07 20 12 MAX   294
2022 03 08 02 24 MIN    44
2022 03 08 08 44 MAX   302
2022 03 08 14 49 MIN    88
2022 03 08 20 37 MAX   271
2022 03 09 02 50 MIN    54
2022 03 09 09 24 MAX   287
2022 03 09 15 25 MIN   119
2022 03 09 21 03 MAX   247
2022 03 10 03 21 MIN    68
2022 03 10 10 13 MAX   268
2022 03 10 16 13 MIN   151
2022 03 10 21 30 MAX   223
2022 03 11 04 03 MIN    87
2022 03 11 11 25 MAX   251
2022 03 11 17 42 MIN   177
2022 03 11 22 05 MAX   200
2022 03 12 05 10 MIN   105
2022 03 12 13 21 MAX   249
2022 03 12 21 04 MIN   176
2022 03 13 00 19 MAX   183
2022 03 13 07 01 MIN   112
2022 03 13 14 56 MAX   265
2022 03 13 22 01 MIN   155
2022 03 14 02 32 MAX   196
2022 03 14 08 34 MIN    98
2022 03 14 15 46 MAX   287
2022 03 14 22 28 MIN   133
