<TOPS - 조위예측극치자료>

대상조위관측소 : 완도
위도(WGS84) : N  34도 18분 56초
경도(WGS84) : E 126도 45분 35초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 01 34 MIN    75
2021 12 01 07 41 MAX   306
2021 12 01 14 01 MIN    90
2021 12 01 19 43 MAX   310
2021 12 02 02 17 MIN    44
2021 12 02 08 28 MAX   342
2021 12 02 14 55 MIN    70
2021 12 02 20 28 MAX   319
2021 12 03 02 59 MIN    16
2021 12 03 09 14 MAX   373
2021 12 03 15 46 MIN    56
2021 12 03 21 13 MAX   324
2021 12 04 03 43 MIN    -5
2021 12 04 10 01 MAX   395
2021 12 04 16 36 MIN    49
2021 12 04 21 58 MAX   323
2021 12 05 04 26 MIN   -16
2021 12 05 10 48 MAX   406
2021 12 05 17 25 MIN    51
2021 12 05 22 43 MAX   315
2021 12 06 05 12 MIN   -15
2021 12 06 11 36 MAX   402
2021 12 06 18 15 MIN    62
2021 12 06 23 28 MAX   301
2021 12 07 05 58 MIN    -2
2021 12 07 12 25 MAX   387
2021 12 07 19 07 MIN    79
2021 12 08 00 16 MAX   284
2021 12 08 06 47 MIN    22
2021 12 08 13 16 MAX   362
2021 12 08 20 01 MIN    98
2021 12 09 01 07 MAX   264
2021 12 09 07 39 MIN    53
2021 12 09 14 11 MAX   333
2021 12 09 21 00 MIN   114
2021 12 10 02 07 MAX   246
2021 12 10 08 37 MIN    85
2021 12 10 15 13 MAX   305
2021 12 10 22 05 MIN   123
2021 12 11 03 23 MAX   235
2021 12 11 09 45 MIN   114
2021 12 11 16 22 MAX   284
2021 12 11 23 11 MIN   123
2021 12 12 04 56 MAX   236
2021 12 12 11 04 MIN   133
2021 12 12 17 32 MAX   270
2021 12 13 00 13 MIN   115
2021 12 13 06 20 MAX   249
2021 12 13 12 25 MIN   140
2021 12 13 18 30 MAX   264
2021 12 14 01 05 MIN   103
2021 12 14 07 20 MAX   268
2021 12 14 13 34 MIN   137
2021 12 14 19 18 MAX   262
2021 12 15 01 48 MIN    89
2021 12 15 08 07 MAX   287
2021 12 15 14 28 MIN   130
2021 12 15 19 59 MAX   263
2021 12 16 02 25 MIN    76
2021 12 16 08 45 MAX   305
2021 12 16 15 12 MIN   121
2021 12 16 20 35 MAX   265
2021 12 17 02 58 MIN    64
2021 12 17 09 20 MAX   320
2021 12 17 15 50 MIN   112
2021 12 17 21 09 MAX   268
2021 12 18 03 30 MIN    53
2021 12 18 09 53 MAX   333
2021 12 18 16 25 MIN   105
2021 12 18 21 42 MAX   271
2021 12 19 04 02 MIN    44
2021 12 19 10 25 MAX   343
2021 12 19 16 57 MIN   101
2021 12 19 22 15 MAX   273
2021 12 20 04 34 MIN    38
2021 12 20 10 58 MAX   348
2021 12 20 17 31 MIN    99
2021 12 20 22 48 MAX   274
2021 12 21 05 08 MIN    36
2021 12 21 11 31 MAX   349
2021 12 21 18 05 MIN   101
2021 12 21 23 21 MAX   272
2021 12 22 05 44 MIN    39
2021 12 22 12 06 MAX   344
2021 12 22 18 41 MIN   106
2021 12 22 23 57 MAX   268
2021 12 23 06 22 MIN    48
2021 12 23 12 42 MAX   336
2021 12 23 19 20 MIN   111
2021 12 24 00 35 MAX   261
2021 12 24 07 03 MIN    62
2021 12 24 13 21 MAX   324
2021 12 24 20 03 MIN   117
2021 12 25 01 20 MAX   253
2021 12 25 07 49 MIN    80
2021 12 25 14 04 MAX   310
2021 12 25 20 51 MIN   119
2021 12 26 02 14 MAX   245
2021 12 26 08 41 MIN    98
2021 12 26 14 53 MAX   296
2021 12 26 21 46 MIN   117
2021 12 27 03 24 MAX   242
2021 12 27 09 46 MIN   114
2021 12 27 15 51 MAX   284
2021 12 27 22 46 MIN   109
2021 12 28 04 47 MAX   250
2021 12 28 11 03 MIN   124
2021 12 28 16 57 MAX   276
2021 12 28 23 49 MIN    93
2021 12 29 06 07 MAX   270
2021 12 29 12 24 MIN   122
2021 12 29 18 05 MAX   273
2021 12 30 00 48 MIN    71
2021 12 30 07 15 MAX   300
2021 12 30 13 39 MIN   109
2021 12 30 19 09 MAX   277
2021 12 31 01 44 MIN    46
2021 12 31 08 14 MAX   332
2021 12 31 14 44 MIN    90
2021 12 31 20 07 MAX   284
2022 01 01 02 37 MIN    20
2022 01 01 09 07 MAX   363
2022 01 01 15 40 MIN    72
2022 01 01 20 59 MAX   293
2022 01 02 03 27 MIN    -2
2022 01 02 09 56 MAX   386
2022 01 02 16 31 MIN    59
