<TOPS - 조위예측극치자료>

대상조위관측소 : 울릉도
위도(WGS84) : N  37도 29분 29초
경도(WGS84) : E 130도 54분 49초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 06 09 MIN     7
2021 12 01 12 08 MAX    17
2021 12 01 18 10 MIN     9
2021 12 02 00 08 MAX    21
2021 12 02 06 57 MIN     3
2021 12 02 13 27 MAX    18
2021 12 02 18 52 MIN    11
2021 12 03 00 36 MAX    23
2021 12 03 07 45 MIN     0
2021 12 03 14 35 MAX    19
2021 12 03 19 31 MIN    14
2021 12 04 01 10 MAX    26
2021 12 04 08 34 MIN    -2
2021 12 04 15 39 MAX    20
2021 12 04 20 06 MIN    16
2021 12 05 01 47 MAX    28
2021 12 05 09 25 MIN    -4
2021 12 05 16 44 MAX    20
2021 12 05 20 36 MIN    18
2021 12 06 02 29 MAX    30
2021 12 06 10 20 MIN    -5
2021 12 06 17 55 MAX    19
2021 12 06 21 01 MIN    18
2021 12 07 03 14 MAX    31
2021 12 07 11 17 MIN    -4
2021 12 08 04 03 MAX    30
2021 12 08 12 15 MIN    -3
2021 12 09 04 57 MAX    28
2021 12 09 13 15 MIN    -2
2021 12 10 05 58 MAX    25
2021 12 10 14 14 MIN     0
2021 12 10 22 39 MAX    16
2021 12 11 01 28 MIN    15
2021 12 11 07 08 MAX    21
2021 12 11 15 11 MIN     3
2021 12 11 22 44 MAX    16
2021 12 12 03 38 MIN    13
2021 12 12 08 34 MAX    17
2021 12 12 16 03 MIN     5
2021 12 12 22 58 MAX    17
2021 12 13 05 11 MIN    10
2021 12 13 10 22 MAX    15
2021 12 13 16 47 MIN     7
2021 12 13 23 15 MAX    18
2021 12 14 06 14 MIN     7
2021 12 14 12 11 MAX    14
2021 12 14 17 22 MIN    10
2021 12 14 23 34 MAX    19
2021 12 15 07 01 MIN     5
2021 12 15 13 40 MAX    14
2021 12 15 17 51 MIN    12
2021 12 15 23 56 MAX    21
2021 12 16 07 38 MIN     3
2021 12 16 14 45 MAX    15
2021 12 16 18 16 MIN    14
2021 12 17 00 20 MAX    22
2021 12 17 08 10 MIN     3
2021 12 17 15 33 MAX    16
2021 12 17 18 40 MIN    15
2021 12 18 00 46 MAX    24
2021 12 18 08 41 MIN     2
2021 12 18 16 13 MAX    17
2021 12 18 19 07 MIN    16
2021 12 19 01 16 MAX    25
2021 12 19 09 14 MIN     1
2021 12 20 01 48 MAX    25
2021 12 20 09 51 MIN     1
2021 12 20 17 37 MAX    17
2021 12 20 20 00 MIN    16
2021 12 21 02 23 MAX    25
2021 12 21 10 32 MIN     0
2021 12 22 03 00 MAX    25
2021 12 22 11 14 MIN     0
2021 12 23 03 39 MAX    23
2021 12 23 11 55 MIN    -1
2021 12 24 04 18 MAX    21
2021 12 24 12 35 MIN    -2
2021 12 25 05 02 MAX    19
2021 12 25 13 13 MIN    -2
