<TOPS - 조위예측극치자료>

대상조위관측소 : 울산
위도(WGS84) : N  35도 30분 07초
경도(WGS84) : E 129도 23분 14초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 05 12 MAX    47
2021 12 01 11 03 MIN    15
2021 12 01 17 20 MAX    49
2021 12 01 23 10 MIN    11
2021 12 02 05 55 MAX    49
2021 12 02 11 49 MIN    10
2021 12 02 18 13 MAX    53
2021 12 02 23 58 MIN    10
2021 12 03 06 38 MAX    52
2021 12 03 12 34 MIN     6
2021 12 03 19 03 MAX    57
2021 12 04 00 45 MIN    11
2021 12 04 07 21 MAX    54
2021 12 04 13 19 MIN     3
2021 12 04 19 53 MAX    59
2021 12 05 01 31 MIN    12
2021 12 05 08 03 MAX    55
2021 12 05 14 04 MIN     1
2021 12 05 20 41 MAX    59
2021 12 06 02 17 MIN    15
2021 12 06 08 43 MAX    55
2021 12 06 14 51 MIN     1
2021 12 06 21 30 MAX    57
2021 12 07 03 02 MIN    18
2021 12 07 09 22 MAX    54
2021 12 07 15 38 MIN     3
2021 12 07 22 20 MAX    54
2021 12 08 03 48 MIN    22
2021 12 08 10 00 MAX    52
2021 12 08 16 27 MIN     6
2021 12 08 23 14 MAX    50
2021 12 09 04 38 MIN    24
2021 12 09 10 40 MAX    49
2021 12 09 17 18 MIN    10
2021 12 10 00 14 MAX    46
2021 12 10 05 32 MIN    25
2021 12 10 11 26 MAX    45
2021 12 10 18 17 MIN    13
2021 12 11 01 22 MAX    43
2021 12 11 06 35 MIN    26
2021 12 11 12 30 MAX    41
2021 12 11 19 25 MIN    16
2021 12 12 02 29 MAX    41
2021 12 12 07 48 MIN    24
2021 12 12 14 06 MAX    38
2021 12 12 20 41 MIN    17
2021 12 13 03 27 MAX    40
2021 12 13 09 03 MIN    21
2021 12 13 15 38 MAX    37
2021 12 13 21 52 MIN    17
2021 12 14 04 17 MAX    40
2021 12 14 10 09 MIN    17
2021 12 14 16 47 MAX    38
2021 12 14 22 49 MIN    16
2021 12 15 05 02 MAX    41
2021 12 15 11 02 MIN    13
2021 12 15 17 40 MAX    40
2021 12 15 23 36 MIN    15
2021 12 16 05 43 MAX    42
2021 12 16 11 47 MIN    10
2021 12 16 18 22 MAX    41
2021 12 17 00 16 MIN    14
2021 12 17 06 23 MAX    43
2021 12 17 12 27 MIN     7
2021 12 17 18 59 MAX    43
2021 12 18 00 54 MIN    14
2021 12 18 07 00 MAX    44
2021 12 18 13 04 MIN     4
2021 12 18 19 33 MAX    44
2021 12 19 01 28 MIN    14
2021 12 19 07 36 MAX    46
2021 12 19 13 40 MIN     3
2021 12 19 20 05 MAX    45
2021 12 20 02 00 MIN    15
2021 12 20 08 10 MAX    47
2021 12 20 14 14 MIN     2
2021 12 20 20 37 MAX    45
2021 12 21 02 30 MIN    15
2021 12 21 08 44 MAX    47
2021 12 21 14 47 MIN     3
2021 12 21 21 09 MAX    45
2021 12 22 03 01 MIN    16
2021 12 22 09 16 MAX    47
2021 12 22 15 20 MIN     4
2021 12 22 21 41 MAX    44
2021 12 23 03 33 MIN    17
2021 12 23 09 47 MAX    46
2021 12 23 15 54 MIN     5
2021 12 23 22 15 MAX    42
2021 12 24 04 10 MIN    18
2021 12 24 10 20 MAX    44
2021 12 24 16 30 MIN     6
2021 12 24 22 52 MAX    40
2021 12 25 04 53 MIN    19
2021 12 25 10 57 MAX    41
2021 12 25 17 12 MIN     8
2021 12 25 23 39 MAX    38
2021 12 26 05 47 MIN    19
2021 12 26 11 46 MAX    39
2021 12 26 18 02 MIN    10
2021 12 27 00 42 MAX    37
2021 12 27 06 54 MIN    19
2021 12 27 12 54 MAX    36
2021 12 27 19 05 MIN    11
2021 12 28 02 00 MAX    36
2021 12 28 08 10 MIN    17
2021 12 28 14 21 MAX    36
2021 12 28 20 19 MIN    12
2021 12 29 03 15 MAX    36
2021 12 29 09 24 MIN    14
2021 12 29 15 46 MAX    37
2021 12 29 21 33 MIN    12
2021 12 30 04 21 MAX    37
2021 12 30 10 31 MIN     9
2021 12 30 16 58 MAX    41
2021 12 30 22 42 MIN    11
2021 12 31 05 22 MAX    39
2021 12 31 11 29 MIN     4
2021 12 31 18 01 MAX    45
2021 12 31 23 43 MIN    10
2022 01 01 06 16 MAX    41
2022 01 01 12 23 MIN     0
2022 01 01 18 58 MAX    48
2022 01 02 00 38 MIN    10
2022 01 02 07 10 MAX    44
2022 01 02 13 14 MIN    -4
2022 01 02 19 52 MAX    51
2022 01 03 01 29 MIN    10
2022 01 03 07 58 MAX    47
2022 01 03 14 02 MIN    -7
2022 01 03 20 43 MAX    52
2022 01 04 02 16 MIN    10
2022 01 04 08 43 MAX    49
2022 01 04 14 48 MIN    -7
2022 01 04 21 30 MAX    51
2022 01 05 03 00 MIN    11
2022 01 05 09 23 MAX    49
2022 01 05 15 32 MIN    -6
2022 01 05 22 15 MAX    49
2022 01 06 03 42 MIN    11
2022 01 06 10 01 MAX    48
2022 01 06 16 14 MIN    -4
2022 01 06 22 57 MAX    46
2022 01 07 04 23 MIN    12
2022 01 07 10 36 MAX    45
2022 01 07 16 55 MIN     0
2022 01 07 23 37 MAX    42
2022 01 08 05 05 MIN    13
2022 01 08 11 10 MAX    41
2022 01 08 17 36 MIN     4
2022 01 09 00 18 MAX    38
2022 01 09 05 50 MIN    13
2022 01 09 11 49 MAX    37
2022 01 09 18 22 MIN     9
2022 01 10 01 01 MAX    34
2022 01 10 06 43 MIN    13
2022 01 10 12 43 MAX    32
2022 01 10 19 19 MIN    12
2022 01 11 01 54 MAX    31
2022 01 11 07 50 MIN    13
