<TOPS - 조위예측극치자료>

대상조위관측소 : 제주
위도(WGS84) : N  33도 31분 39초
경도(WGS84) : E 126도 32분 35초
관측기간 : 2022-01-01 00:00:00 ~ 2022-12-31 23:59:00

2021 12 01 02 09 MIN    74
2021 12 01 08 21 MAX   230
2021 12 01 14 35 MIN    90
2021 12 01 20 15 MAX   229
2021 12 02 02 50 MIN    49
2021 12 02 09 07 MAX   254
2021 12 02 15 29 MIN    79
2021 12 02 20 56 MAX   233
2021 12 03 03 32 MIN    26
2021 12 03 09 53 MAX   277
2021 12 03 16 19 MIN    70
2021 12 03 21 39 MAX   235
2021 12 04 04 15 MIN     7
2021 12 04 10 40 MAX   294
2021 12 04 17 09 MIN    66
2021 12 04 22 22 MAX   235
2021 12 05 04 59 MIN    -4
2021 12 05 11 27 MAX   302
2021 12 05 17 58 MIN    68
2021 12 05 23 07 MAX   230
2021 12 06 05 46 MIN    -4
2021 12 06 12 17 MAX   300
2021 12 06 18 48 MIN    76
2021 12 06 23 52 MAX   222
2021 12 07 06 33 MIN     6
2021 12 07 13 09 MAX   288
2021 12 07 19 41 MIN    88
2021 12 08 00 41 MAX   210
2021 12 08 07 23 MIN    25
2021 12 08 14 04 MAX   271
2021 12 08 20 37 MIN   100
2021 12 09 01 35 MAX   197
2021 12 09 08 18 MIN    49
2021 12 09 15 05 MAX   251
2021 12 09 21 40 MIN   109
2021 12 10 02 41 MAX   185
2021 12 10 09 18 MIN    74
2021 12 10 16 12 MAX   233
2021 12 10 22 47 MIN   111
2021 12 11 04 09 MAX   178
2021 12 11 10 27 MIN    97
2021 12 11 17 21 MAX   219
2021 12 11 23 54 MIN   108
2021 12 12 05 54 MAX   181
2021 12 12 11 45 MIN   113
2021 12 12 18 22 MAX   209
2021 12 13 00 53 MIN   100
2021 12 13 07 17 MAX   190
2021 12 13 13 03 MIN   120
2021 12 13 19 11 MAX   201
2021 12 14 01 42 MIN    90
2021 12 14 08 15 MAX   202
2021 12 14 14 12 MIN   122
2021 12 14 19 51 MAX   196
2021 12 15 02 23 MIN    80
2021 12 15 08 58 MAX   213
2021 12 15 15 07 MIN   118
2021 12 15 20 26 MAX   193
2021 12 16 02 59 MIN    70
2021 12 16 09 34 MAX   224
2021 12 16 15 52 MIN   113
2021 12 16 21 01 MAX   192
2021 12 17 03 32 MIN    60
2021 12 17 10 06 MAX   234
2021 12 17 16 30 MIN   107
2021 12 17 21 34 MAX   193
2021 12 18 04 04 MIN    52
2021 12 18 10 36 MAX   243
2021 12 18 17 05 MIN   102
2021 12 18 22 07 MAX   195
2021 12 19 04 36 MIN    44
2021 12 19 11 07 MAX   250
2021 12 19 17 38 MIN    98
2021 12 19 22 40 MAX   197
2021 12 20 05 09 MIN    39
2021 12 20 11 40 MAX   255
2021 12 20 18 11 MIN    97
2021 12 20 23 14 MAX   198
2021 12 21 05 43 MIN    38
2021 12 21 12 13 MAX   256
2021 12 21 18 45 MIN    98
2021 12 21 23 48 MAX   198
2021 12 22 06 20 MIN    40
2021 12 22 12 49 MAX   253
2021 12 22 19 23 MIN   102
2021 12 23 00 24 MAX   195
2021 12 23 06 59 MIN    47
2021 12 23 13 28 MAX   247
2021 12 23 20 04 MIN   106
2021 12 24 01 05 MAX   190
2021 12 24 07 42 MIN    57
2021 12 24 14 08 MAX   239
2021 12 24 20 50 MIN   108
2021 12 25 01 52 MAX   184
2021 12 25 08 29 MIN    70
2021 12 25 14 53 MAX   229
2021 12 25 21 42 MIN   108
2021 12 26 02 51 MAX   179
2021 12 26 09 23 MIN    83
2021 12 26 15 42 MAX   220
2021 12 26 22 37 MIN   103
2021 12 27 04 07 MAX   178
2021 12 27 10 26 MIN    95
2021 12 27 16 37 MAX   211
2021 12 27 23 34 MIN    92
2021 12 28 05 38 MAX   185
2021 12 28 11 41 MIN   102
2021 12 28 17 38 MAX   205
2021 12 29 00 29 MIN    77
2021 12 29 06 57 MAX   201
2021 12 29 13 00 MIN   103
2021 12 29 18 38 MAX   201
2021 12 30 01 25 MIN    58
2021 12 30 08 01 MAX   222
